fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,results_feenstrar,results_scholtenj,results_absentee_feenstrar,results_absentee_scholtenj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,nyt_race_description_race,race_rating_race,nyt_key_race_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
19009,Audubon,3113,1869,2,3,None,79,3923,79%,79% reported,edison,2,unknown,1979,1134,1065,804,2020-11-10T16:55:48Z,27.14423,R+27,Feenstra +27,republican,IA-G-H-4-2020-11-03,ia-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,"J.D. Scholten, a former minor league pitcher turned Democratic candidate, faces off against Randy Feenstra, a Republican state senator. Earlier this year, Mr. Feenstra defeated the incumbent, Steve King, the nine-term Republican with a history of racist comments, in one of the biggest surprises of the 2020 primary season. ",solid-rep,TRUE,4,District 4,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",381584,186322,38,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,445,489,91% reporting,91%,87,441000,edison,87%,87% reported,edison,republican,FALSE,2020-11-10T19:29:45Z,FALSE,24.26726,92600,R+24,Feenstra +24,republican,Mail ballots postmarked by the day before the election have until Nov. 9 to arrive.,Mail ballots postmarked by the day before the election have until Nov. 9 to arrive.,6,-1,1604467247103
19015,Boone,14633,9096,13,13,None,90,16279,90%,90% reported,edison,4,unknown,8180,6453,4211,4885,2020-11-10T14:03:47Z,11.80209,R+12,Feenstra +12,republican,IA-G-H-4-2020-11-03,ia-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,"J.D. Scholten, a former minor league pitcher turned Democratic candidate, faces off against Randy Feenstra, a Republican state senator. Earlier this year, Mr. Feenstra defeated the incumbent, Steve King, the nine-term Republican with a history of racist comments, in one of the biggest surprises of the 2020 primary season. ",solid-rep,TRUE,4,District 4,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",381584,186322,38,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,445,489,91% reporting,91%,87,441000,edison,87%,87% reported,edison,republican,FALSE,2020-11-10T19:29:45Z,FALSE,24.26726,92600,R+24,Feenstra +24,republican,Mail ballots postmarked by the day before the election have until Nov. 9 to arrive.,Mail ballots postmarked by the day before the election have until Nov. 9 to arrive.,6,-1,1604467247103
19021,Buena Vista,7625,4403,8,8,None,80,9505,80%,80% reported,edison,4,some,4648,2977,2334,2069,2020-11-10T16:55:44Z,21.91475,R+22,Feenstra +22,republican,IA-G-H-4-2020-11-03,ia-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,"J.D. Scholten, a former minor league pitcher turned Democratic candidate, faces off against Randy Feenstra, a Republican state senator. Earlier this year, Mr. Feenstra defeated the incumbent, Steve King, the nine-term Republican with a history of racist comments, in one of the biggest surprises of the 2020 primary season. ",solid-rep,TRUE,4,District 4,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",381584,186322,38,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,445,489,91% reporting,91%,87,441000,edison,87%,87% reported,edison,republican,FALSE,2020-11-10T19:29:45Z,FALSE,24.26726,92600,R+24,Feenstra +24,republican,Mail ballots postmarked by the day before the election have until Nov. 9 to arrive.,Mail ballots postmarked by the day before the election have until Nov. 9 to arrive.,6,-1,1604467247103
19023,Butler,7570,3901,7,8,None,100,7448,>98%,>98% reported,edison,2,unknown,5157,2413,2319,1582,2020-11-09T23:40:36Z,36.24835,R+36,Feenstra +36,republican,IA-G-H-4-2020-11-03,ia-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,"J.D. Scholten, a former minor league pitcher turned Democratic candidate, faces off against Randy Feenstra, a Republican state senator. Earlier this year, Mr. Feenstra defeated the incumbent, Steve King, the nine-term Republican with a history of racist comments, in one of the biggest surprises of the 2020 primary season. ",solid-rep,TRUE,4,District 4,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",381584,186322,38,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,445,489,91% reporting,91%,87,441000,edison,87%,87% reported,edison,republican,FALSE,2020-11-10T19:29:45Z,FALSE,24.26726,92600,R+24,Feenstra +24,republican,Mail ballots postmarked by the day before the election have until Nov. 9 to arrive.,Mail ballots postmarked by the day before the election have until Nov. 9 to arrive.,6,-1,1604467247103
19025,Calhoun,5043,2410,9,11,None,85,5928,85%,85% reported,edison,2,unknown,3473,1570,1422,988,2020-11-10T19:29:43Z,37.73547,R+38,Feenstra +38,republican,IA-G-H-4-2020-11-03,ia-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,"J.D. Scholten, a former minor league pitcher turned Democratic candidate, faces off against Randy Feenstra, a Republican state senator. Earlier this year, Mr. Feenstra defeated the incumbent, Steve King, the nine-term Republican with a history of racist comments, in one of the biggest surprises of the 2020 primary season. ",solid-rep,TRUE,4,District 4,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",381584,186322,38,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,445,489,91% reporting,91%,87,441000,edison,87%,87% reported,edison,republican,FALSE,2020-11-10T19:29:45Z,FALSE,24.26726,92600,R+24,Feenstra +24,republican,Mail ballots postmarked by the day before the election have until Nov. 9 to arrive.,Mail ballots postmarked by the day before the election have until Nov. 9 to arrive.,6,-1,1604467247103
19027,Carroll,10573,5952,12,14,None,87,12127,87%,87% reported,edison,2,unknown,6768,3805,3270,2682,2020-11-09T15:34:46Z,28.02421,R+28,Feenstra +28,republican,IA-G-H-4-2020-11-03,ia-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,"J.D. Scholten, a former minor league pitcher turned Democratic candidate, faces off against Randy Feenstra, a Republican state senator. Earlier this year, Mr. Feenstra defeated the incumbent, Steve King, the nine-term Republican with a history of racist comments, in one of the biggest surprises of the 2020 primary season. ",solid-rep,TRUE,4,District 4,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",381584,186322,38,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,445,489,91% reporting,91%,87,441000,edison,87%,87% reported,edison,republican,FALSE,2020-11-10T19:29:45Z,FALSE,24.26726,92600,R+24,Feenstra +24,republican,Mail ballots postmarked by the day before the election have until Nov. 9 to arrive.,Mail ballots postmarked by the day before the election have until Nov. 9 to arrive.,6,-1,1604467247103
19033,Cerro Gordo,22612,13385,26,27,None,100,22684,>98%,>98% reported,edison,4,unknown,11736,10876,5626,7759,2020-11-09T18:55:46Z,3.80329,R+4,Feenstra +4,republican,IA-G-H-4-2020-11-03,ia-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,"J.D. Scholten, a former minor league pitcher turned Democratic candidate, faces off against Randy Feenstra, a Republican state senator. Earlier this year, Mr. Feenstra defeated the incumbent, Steve King, the nine-term Republican with a history of racist comments, in one of the biggest surprises of the 2020 primary season. ",solid-rep,TRUE,4,District 4,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",381584,186322,38,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,445,489,91% reporting,91%,87,441000,edison,87%,87% reported,edison,republican,FALSE,2020-11-10T19:29:45Z,FALSE,24.26726,92600,R+24,Feenstra +24,republican,Mail ballots postmarked by the day before the election have until Nov. 9 to arrive.,Mail ballots postmarked by the day before the election have until Nov. 9 to arrive.,6,-1,1604467247103
19035,Cherokee,6258,3883,6,7,None,87,7184,87%,87% reported,edison,2,unknown,4168,2090,2347,1536,2020-11-07T22:49:50Z,33.2055,R+33,Feenstra +33,republican,IA-G-H-4-2020-11-03,ia-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,"J.D. Scholten, a former minor league pitcher turned Democratic candidate, faces off against Randy Feenstra, a Republican state senator. Earlier this year, Mr. Feenstra defeated the incumbent, Steve King, the nine-term Republican with a history of racist comments, in one of the biggest surprises of the 2020 primary season. ",solid-rep,TRUE,4,District 4,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",381584,186322,38,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,445,489,91% reporting,91%,87,441000,edison,87%,87% reported,edison,republican,FALSE,2020-11-10T19:29:45Z,FALSE,24.26726,92600,R+24,Feenstra +24,republican,Mail ballots postmarked by the day before the election have until Nov. 9 to arrive.,Mail ballots postmarked by the day before the election have until Nov. 9 to arrive.,6,-1,1604467247103
19037,Chickasaw,6346,4089,14,14,None,100,6334,>98%,>98% reported,edison,6,all,4254,2092,2406,1683,2020-11-09T23:54:42Z,34.0687,R+34,Feenstra +34,republican,IA-G-H-4-2020-11-03,ia-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,"J.D. Scholten, a former minor league pitcher turned Democratic candidate, faces off against Randy Feenstra, a Republican state senator. Earlier this year, Mr. Feenstra defeated the incumbent, Steve King, the nine-term Republican with a history of racist comments, in one of the biggest surprises of the 2020 primary season. ",solid-rep,TRUE,4,District 4,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",381584,186322,38,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,445,489,91% reporting,91%,87,441000,edison,87%,87% reported,edison,republican,FALSE,2020-11-10T19:29:45Z,FALSE,24.26726,92600,R+24,Feenstra +24,republican,Mail ballots postmarked by the day before the election have until Nov. 9 to arrive.,Mail ballots postmarked by the day before the election have until Nov. 9 to arrive.,6,-1,1604467247103
19041,Clay,8632,5474,10,12,None,87,9923,87%,87% reported,edison,2,unknown,5798,2834,3304,2170,2020-11-09T23:54:42Z,34.33735,R+34,Feenstra +34,republican,IA-G-H-4-2020-11-03,ia-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,"J.D. Scholten, a former minor league pitcher turned Democratic candidate, faces off against Randy Feenstra, a Republican state senator. Earlier this year, Mr. Feenstra defeated the incumbent, Steve King, the nine-term Republican with a history of racist comments, in one of the biggest surprises of the 2020 primary season. ",solid-rep,TRUE,4,District 4,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",381584,186322,38,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,445,489,91% reporting,91%,87,441000,edison,87%,87% reported,edison,republican,FALSE,2020-11-10T19:29:45Z,FALSE,24.26726,92600,R+24,Feenstra +24,republican,Mail ballots postmarked by the day before the election have until Nov. 9 to arrive.,Mail ballots postmarked by the day before the election have until Nov. 9 to arrive.,6,-1,1604467247103
