fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_lahoodd,results_petrillig,results_absentee_lahoodd,results_absentee_petrillig,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
17001,Adams,32956,18806,68,74,Released as a separate subtotal at the end of tabulation,100,32619,>98%,>98% reported,edison,2,some,8885,26028,6928,13628,5178,2020-11-04T10:43:29Z,57.95606,R+58,LaHood +58,republican,IL-G-H-18-2020-11-03,il-house-general-district-018-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-18.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 18,U.S. House,H,solid-rep,18,District 18,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",365984,51546,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,679,734,93% reporting,93%,94,389000,edison,94%,94% reported,edison,republican,FALSE,2020-11-07T02:17:33Z,TRUE,41.01545,150110,R+41,LaHood +41,republican,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604460280482
17009,Brown,2485,0,13,14,None,100,2413,>98%,>98% reported,edison,4,some,594,2102,383,0,0,2020-11-04T10:43:30Z,69.17505,R+69,LaHood +69,republican,IL-G-H-18-2020-11-03,il-house-general-district-018-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-18.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 18,U.S. House,H,solid-rep,18,District 18,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",365984,51546,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,679,734,93% reporting,93%,94,389000,edison,94%,94% reported,edison,republican,FALSE,2020-11-07T02:17:33Z,TRUE,41.01545,150110,R+41,LaHood +41,republican,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604460280482
17017,Cass,5203,0,19,21,Other,100,5177,>98%,>98% reported,edison,4,some,1222,3902,1301,0,0,2020-11-04T10:43:30Z,49.99039,R+50,LaHood +50,republican,IL-G-H-18-2020-11-03,il-house-general-district-018-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-18.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 18,U.S. House,H,solid-rep,18,District 18,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",365984,51546,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,679,734,93% reporting,93%,94,389000,edison,94%,94% reported,edison,republican,FALSE,2020-11-07T02:17:33Z,TRUE,41.01545,150110,R+41,LaHood +41,republican,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604460280482
17067,Hancock,6393,0,21,33,None,70,9188,70%,70% reported,edison,4,none,1187,5441,952,0,0,2020-11-04T10:43:37Z,70.21743,R+70,LaHood +70,republican,IL-G-H-18-2020-11-03,il-house-general-district-018-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-18.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 18,U.S. House,H,solid-rep,18,District 18,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",365984,51546,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,679,734,93% reporting,93%,94,389000,edison,94%,94% reported,edison,republican,FALSE,2020-11-07T02:17:33Z,TRUE,41.01545,150110,R+41,LaHood +41,republican,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604460280482
17107,Logan,12988,0,28,29,Merged into voters' home precincts and released with cumulative results,100,12988,>98%,>98% reported,edison,6,all,3994,10003,2985,0,0,2020-11-04T10:43:31Z,54.03449,R+54,LaHood +54,republican,IL-G-H-18-2020-11-03,il-house-general-district-018-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-18.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 18,U.S. House,H,solid-rep,18,District 18,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",365984,51546,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,679,734,93% reporting,93%,94,389000,edison,94%,94% reported,edison,republican,FALSE,2020-11-07T02:17:33Z,TRUE,41.01545,150110,R+41,LaHood +41,republican,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604460280482
17123,Marshall,6058,0,13,14,Merged into voters' home precincts and released with cumulative results,91,6628,91%,91% reported,edison,2,unknown,1712,4577,1481,0,0,2020-11-05T18:05:48Z,51.10598,R+51,LaHood +51,republican,IL-G-H-18-2020-11-03,il-house-general-district-018-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-18.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 18,U.S. House,H,solid-rep,18,District 18,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",365984,51546,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,679,734,93% reporting,93%,94,389000,edison,94%,94% reported,edison,republican,FALSE,2020-11-07T02:17:33Z,TRUE,41.01545,150110,R+41,LaHood +41,republican,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604460280482
17125,Mason,6659,2427,19,21,Merged into voters' home precincts and released with cumulative results,100,6659,>98%,>98% reported,edison,6,all,1229,5072,1587,1539,888,2020-11-04T10:43:32Z,52.33519,R+52,LaHood +52,republican,IL-G-H-18-2020-11-03,il-house-general-district-018-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-18.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 18,U.S. House,H,solid-rep,18,District 18,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",365984,51546,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,679,734,93% reporting,93%,94,389000,edison,94%,94% reported,edison,republican,FALSE,2020-11-07T02:17:33Z,TRUE,41.01545,150110,R+41,LaHood +41,republican,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604460280482
17109,McDonough,12024,0,26,31,Merged into voters' home precincts and released with cumulative results,91,13226,91%,91% reported,edison,2,unknown,4725,7913,4111,0,0,2020-11-04T10:43:37Z,31.62009,R+32,LaHood +32,republican,IL-G-H-18-2020-11-03,il-house-general-district-018-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-18.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 18,U.S. House,H,solid-rep,18,District 18,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",365984,51546,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,679,734,93% reporting,93%,94,389000,edison,94%,94% reported,edison,republican,FALSE,2020-11-07T02:17:33Z,TRUE,41.01545,150110,R+41,LaHood +41,republican,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604460280482
17113,McLean,61766,0,48,49,None,99,62264,>98%,>98% reported,edison,2,unknown,16888,37905,23861,0,0,2020-11-05T22:00:23Z,22.73743,R+23,LaHood +23,republican,IL-G-H-18-2020-11-03,il-house-general-district-018-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-18.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 18,U.S. House,H,solid-rep,18,District 18,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",365984,51546,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,679,734,93% reporting,93%,94,389000,edison,94%,94% reported,edison,republican,FALSE,2020-11-07T02:17:33Z,TRUE,41.01545,150110,R+41,LaHood +41,republican,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604460280482
17129,Menard,6655,2971,13,14,Merged into voters' home precincts and released with cumulative results,92,7205,92%,92% reported,edison,4,none,2304,5157,1498,1993,978,2020-11-04T10:43:34Z,54.98122,R+55,LaHood +55,republican,IL-G-H-18-2020-11-03,il-house-general-district-018-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-18.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 18,U.S. House,H,solid-rep,18,District 18,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",365984,51546,4,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,679,734,93% reporting,93%,94,389000,edison,94%,94% reported,edison,republican,FALSE,2020-11-07T02:17:33Z,TRUE,41.01545,150110,R+41,LaHood +41,republican,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604460280482
