fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_bairdj,results_mackeyj,results_absentee_bairdj,results_absentee_mackeyj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
18007,Benton,4031,0,15,15,Merged into voters' home precincts and released with cumulative results,100,4031,>98%,>98% reported,edison,6,all,1863,3013,1018,0,0,2020-11-04T10:43:59Z,49.49144,R+49,Baird +49,republican,IN-G-H-4-2020-11-03,in-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",337338,76681,4,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,596,602,99% reporting,99%,99,339000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-06T21:34:38Z,TRUE,33.24855,112160,R+33,Baird +33,republican,"","",0,0,1604455174682
18011,Boone,16717,11557,24,24,Released as a separate subtotal as first report of the night,100,16717,>98%,>98% reported,edison,6,all,20573,12223,4494,8377,3180,2020-11-05T02:31:03Z,46.23437,R+46,Baird +46,republican,IN-G-H-4-2020-11-03,in-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",337338,76681,4,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,596,602,99% reporting,99%,99,339000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-06T21:34:38Z,TRUE,33.24855,112160,R+33,Baird +33,republican,"","",0,0,1604455174682
18015,Carroll,9434,0,19,19,None,100,9293,>98%,>98% reported,edison,4,some,3417,7179,2255,0,0,2020-11-04T10:43:59Z,52.19419,R+52,Baird +52,republican,IN-G-H-4-2020-11-03,in-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",337338,76681,4,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,596,602,99% reporting,99%,99,339000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-06T21:34:38Z,TRUE,33.24855,112160,R+33,Baird +33,republican,"","",0,0,1604455174682
18017,Cass,14915,0,39,40,Released as a separate subtotal as first report of the night,100,14915,>98%,>98% reported,edison,6,all,4407,10233,4682,0,0,2020-11-05T01:02:00Z,37.21757,R+37,Baird +37,republican,IN-G-H-4-2020-11-03,in-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",337338,76681,4,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,596,602,99% reporting,99%,99,339000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-06T21:34:38Z,TRUE,33.24855,112160,R+33,Baird +33,republican,"","",0,0,1604455174682
18023,Clinton,12710,0,39,39,Merged into voters' home precincts and released with cumulative results,100,12710,>98%,>98% reported,edison,6,all,5508,9399,3311,0,0,2020-11-04T10:43:54Z,47.89929,R+48,Baird +48,republican,IN-G-H-4-2020-11-03,in-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",337338,76681,4,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,596,602,99% reporting,99%,99,339000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-06T21:34:38Z,TRUE,33.24855,112160,R+33,Baird +33,republican,"","",0,0,1604455174682
18045,Fountain,7835,0,17,18,Merged into voters' home precincts and released with cumulative results,94,8372,94%,94% reported,edison,2,unknown,2649,6161,1674,0,0,2020-11-04T10:43:54Z,57.26867,R+57,Baird +57,republican,IN-G-H-4-2020-11-03,in-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",337338,76681,4,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,596,602,99% reporting,99%,99,339000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-06T21:34:38Z,TRUE,33.24855,112160,R+33,Baird +33,republican,"","",0,0,1604455174682
18063,Hendricks,86243,0,104,104,Released as a separate subtotal as first report of the night,100,86243,>98%,>98% reported,edison,6,all,33144,56289,29954,0,0,2020-11-04T10:43:55Z,30.53581,R+31,Baird +31,republican,IN-G-H-4-2020-11-03,in-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",337338,76681,4,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,596,602,99% reporting,99%,99,339000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-06T21:34:38Z,TRUE,33.24855,112160,R+33,Baird +33,republican,"","",0,0,1604455174682
18067,Howard,34031,0,66,68,None,100,34031,>98%,>98% reported,edison,6,all,16788,21800,12231,0,0,2020-11-04T10:44:00Z,28.11848,R+28,Baird +28,republican,IN-G-H-4-2020-11-03,in-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",337338,76681,4,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,596,602,99% reporting,99%,99,339000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-06T21:34:38Z,TRUE,33.24855,112160,R+33,Baird +33,republican,"","",0,0,1604455174682
18073,Jasper,15139,7501,29,29,Merged into voters' home precincts and released with cumulative results,100,14389,>98%,>98% reported,edison,2,some,4737,11406,3733,5227,2274,2020-11-04T10:44:00Z,50.68366,R+51,Baird +51,republican,IN-G-H-4-2020-11-03,in-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",337338,76681,4,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,596,602,99% reporting,99%,99,339000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-06T21:34:38Z,TRUE,33.24855,112160,R+33,Baird +33,republican,"","",0,0,1604455174682
18107,Montgomery,16812,0,27,27,Released as a precinct as first report of the night,100,15816,>98%,>98% reported,edison,6,all,7172,13018,3794,0,0,2020-11-06T21:34:36Z,54.86557,R+55,Baird +55,republican,IN-G-H-4-2020-11-03,in-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",337338,76681,4,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,596,602,99% reporting,99%,99,339000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-06T21:34:38Z,TRUE,33.24855,112160,R+33,Baird +33,republican,"","",0,0,1604455174682
18109,Morgan,11698,9386,18,18,Merged into voters' home precincts and released with cumulative results,100,11698,>98%,>98% reported,edison,6,all,24375,9132,2566,7176,2210,2020-11-04T10:43:57Z,56.12925,R+56,Baird +56,republican,IN-G-H-4-2020-11-03,in-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",337338,76681,4,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,596,602,99% reporting,99%,99,339000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-06T21:34:38Z,TRUE,33.24855,112160,R+33,Baird +33,republican,"","",0,0,1604455174682
18111,Newton,6431,0,18,18,Merged into voters' home precincts and released with cumulative results,100,6255,>98%,>98% reported,edison,2,unknown,1877,4909,1522,0,0,2020-11-04T10:44:00Z,52.66677,R+53,Baird +53,republican,IN-G-H-4-2020-11-03,in-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",337338,76681,4,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,596,602,99% reporting,99%,99,339000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-06T21:34:38Z,TRUE,33.24855,112160,R+33,Baird +33,republican,"","",0,0,1604455174682
18133,Putnam,16365,0,31,31,None,100,16442,>98%,>98% reported,edison,2,some,7191,12594,3771,0,0,2020-11-05T19:22:48Z,53.91384,R+54,Baird +54,republican,IN-G-H-4-2020-11-03,in-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",337338,76681,4,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,596,602,99% reporting,99%,99,339000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-06T21:34:38Z,TRUE,33.24855,112160,R+33,Baird +33,republican,"","",0,0,1604455174682
18157,Tippecanoe,70380,48237,119,119,Merged into voters' home precincts and released with cumulative results,100,69498,>98%,>98% reported,edison,2,unknown,4383,36465,33915,23812,24425,2020-11-04T21:22:46Z,3.62319,R+4,Baird +4,republican,IN-G-H-4-2020-11-03,in-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",337338,76681,4,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,596,602,99% reporting,99%,99,339000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-06T21:34:38Z,TRUE,33.24855,112160,R+33,Baird +33,republican,"","",0,0,1604455174682
18171,Warren,4392,0,13,13,Released as a separate subtotal as first report of the night,100,4392,>98%,>98% reported,edison,4,all,1629,3426,966,0,0,2020-11-04T10:44:01Z,56.01093,R+56,Baird +56,republican,IN-G-H-4-2020-11-03,in-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",337338,76681,4,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,596,602,99% reporting,99%,99,339000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-06T21:34:38Z,TRUE,33.24855,112160,R+33,Baird +33,republican,"","",0,0,1604455174682
18181,White,10205,0,18,20,Released as a separate subtotal as first report of the night,94,10808,94%,94% reported,edison,4,some,4013,7502,2703,0,0,2020-11-04T10:43:59Z,47.02597,R+47,Baird +47,republican,IN-G-H-4-2020-11-03,in-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",337338,76681,4,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,596,602,99% reporting,99%,99,339000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-06T21:34:38Z,TRUE,33.24855,112160,R+33,Baird +33,republican,"","",0,0,1604455174682
