fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_tiffanyt,results_zunkert,results_absentee_tiffanyt,results_absentee_zunkert,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
55003,Ashland,8538,0,17,17,Merged into voters' home precincts and released with cumulative results,100,869,>98%,>98% reported,edison,6,unknown,1553,3745,4793,0,0,2020-11-04T10:43:43Z,12.27454,D+12,Zunker +12,democrat,WI-G-H-7-2020-11-03,wi-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",414732,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,690,691,99% reporting,99%,93,448000,edison,93%,93% reported,edison,republican,FALSE,2020-11-05T17:37:17Z,TRUE,21.52619,89276,R+22,Tiffany +22,republican,"","",0,0,1604467082936
55005,Barron,25055,0,36,36,Merged into voters' home precincts and released with cumulative results,100,23442,>98%,>98% reported,edison,6,unknown,4648,15936,9119,0,0,2020-11-05T17:37:16Z,27.20814,R+27,Tiffany +27,republican,WI-G-H-7-2020-11-03,wi-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",414732,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,690,691,99% reporting,99%,93,448000,edison,93%,93% reported,edison,republican,FALSE,2020-11-05T17:37:17Z,TRUE,21.52619,89276,R+22,Tiffany +22,republican,"","",0,0,1604467082936
55007,Bayfield,10698,0,29,29,Merged into voters' home precincts and released with cumulative results,100,9481,>98%,>98% reported,edison,6,unknown,2054,4589,6109,0,0,2020-11-04T17:26:38Z,14.20826,D+14,Zunker +14,democrat,WI-G-H-7-2020-11-03,wi-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",414732,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,690,691,99% reporting,99%,93,448000,edison,93%,93% reported,edison,republican,FALSE,2020-11-05T17:37:17Z,TRUE,21.52619,89276,R+22,Tiffany +22,republican,"","",0,0,1604467082936
55013,Burnett,9995,0,24,24,Merged into voters' home precincts and released with cumulative results,95,10549,95%,95% reported,edison,2,all,1150,6496,3499,0,0,2020-11-04T10:43:44Z,29.98499,R+30,Tiffany +30,republican,WI-G-H-7-2020-11-03,wi-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",414732,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,690,691,99% reporting,99%,93,448000,edison,93%,93% reported,edison,republican,FALSE,2020-11-05T17:37:17Z,TRUE,21.52619,89276,R+22,Tiffany +22,republican,"","",0,0,1604467082936
55017,Chippewa,14492,0,19,19,Merged into voters' home precincts and released with cumulative results,100,12810,>98%,>98% reported,edison,2,some,5366,9721,4771,0,0,2020-11-04T10:43:44Z,34.15678,R+34,Tiffany +34,republican,WI-G-H-7-2020-11-03,wi-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",414732,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,690,691,99% reporting,99%,93,448000,edison,93%,93% reported,edison,republican,FALSE,2020-11-05T17:37:17Z,TRUE,21.52619,89276,R+22,Tiffany +22,republican,"","",0,0,1604467082936
55019,Clark,14636,0,51,51,Merged into voters' home precincts and released with cumulative results,100,13894,>98%,>98% reported,edison,6,all,1937,9965,4671,0,0,2020-11-04T17:26:45Z,36.17108,R+36,Tiffany +36,republican,WI-G-H-7-2020-11-03,wi-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",414732,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,690,691,99% reporting,99%,93,448000,edison,93%,93% reported,edison,republican,FALSE,2020-11-05T17:37:17Z,TRUE,21.52619,89276,R+22,Tiffany +22,republican,"","",0,0,1604467082936
55031,Douglas,24222,0,26,26,Merged into voters' home precincts and released with cumulative results,90,26870,90%,90% reported,edison,2,unknown,4935,10960,13262,0,0,2020-11-04T17:29:13Z,9.50376,D+10,Zunker +10,democrat,WI-G-H-7-2020-11-03,wi-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",414732,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,690,691,99% reporting,99%,93,448000,edison,93%,93% reported,edison,republican,FALSE,2020-11-05T17:37:17Z,TRUE,21.52619,89276,R+22,Tiffany +22,republican,"","",0,0,1604467082936
55037,Florence,2901,0,8,8,Released as a separate subtotal at the end of tabulation,100,2901,>98%,>98% reported,edison,6,unknown,602,2149,752,0,0,2020-11-04T10:43:51Z,48.15581,R+48,Tiffany +48,republican,WI-G-H-7-2020-11-03,wi-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",414732,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,690,691,99% reporting,99%,93,448000,edison,93%,93% reported,edison,republican,FALSE,2020-11-05T17:37:17Z,TRUE,21.52619,89276,R+22,Tiffany +22,republican,"","",0,0,1604467082936
55041,Forest,5019,0,14,15,Released as a separate subtotal at the end of tabulation,100,4167,>98%,>98% reported,edison,6,unknown,878,3238,1781,0,0,2020-11-04T10:43:51Z,29.02969,R+29,Tiffany +29,republican,WI-G-H-7-2020-11-03,wi-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",414732,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,690,691,99% reporting,99%,93,448000,edison,93%,93% reported,edison,republican,FALSE,2020-11-05T17:37:17Z,TRUE,21.52619,89276,R+22,Tiffany +22,republican,"","",0,0,1604467082936
55051,Iron,3939,0,19,19,Merged into voters' home precincts and released with cumulative results,100,3144,>98%,>98% reported,edison,6,all,1020,2397,1542,0,0,2020-11-04T17:28:12Z,21.70602,R+22,Tiffany +22,republican,WI-G-H-7-2020-11-03,wi-house-general-district-007-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-7.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 7,U.S. House,H,solid-rep,7,District 7,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",414732,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,690,691,99% reporting,99%,93,448000,edison,93%,93% reported,edison,republican,FALSE,2020-11-05T17:37:17Z,TRUE,21.52619,89276,R+22,Tiffany +22,republican,"","",0,0,1604467082936
