fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_westk,results_blankenshipd,results_hammonsb,results_charlesm,results_carrollb,results_kopitkek,results_la_rivag,results_de_la_fuenter,results_mchughj,results_pierceb,results_collinsp,results_jacob_fambrop,results_huberb,results_hunterd,results_kennedya,results_scottj,results_kishorej,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_westk,results_absentee_blankenshipd,results_absentee_hammonsb,results_absentee_charlesm,results_absentee_carrollb,results_absentee_kopitkek,results_absentee_la_rivag,results_absentee_de_la_fuenter,results_absentee_mchughj,results_absentee_pierceb,results_absentee_collinsp,results_absentee_jacob_fambrop,results_absentee_huberb,results_absentee_hunterd,results_absentee_kennedya,results_absentee_scottj,results_absentee_kishorej,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
08001,Adams,234599,0,260,260,Other,100,228525,>98%,>98% reported,edison,4,all,,,,,132951,94874,3667,739,710,452,262,196,158,101,89,71,59,50,46,40,37,37,24,23,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-05T02:19:43Z,16.23067,D+16,Biden +16,democrat,-16.23067,193677,-8.5,176230,-16.84,colorado,2020-11-10T19:32:37.064897Z
08003,Alamosa,7519,0,7,8,Other,92,8188,92%,92% reported,edison,4,unknown,,,,,3624,3676,82,23,43,22,5,8,7,3,3,5,4,3,2,0,1,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:43Z,0.69158,R+0.69,Trump +0.69,republican,0.69158,6939,-2.1,6715,-16.47,colorado,2020-11-10T19:32:37.064897Z
08005,Arapahoe,346740,0,378,390,Other,97,357594,97%,97% reported,edison,4,some,,,,,211498,126124,5352,903,889,492,327,188,292,94,116,67,58,45,63,64,41,44,41,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-05T23:11:36Z,24.62191,D+25,Biden +25,democrat,-24.62191,303048,-14.1,285516,-9.92,colorado,2020-11-10T19:32:37.064897Z
08007,Archuleta,9030,0,8,8,Other,100,8577,>98%,>98% reported,edison,6,all,,,,,3693,5126,114,19,20,20,9,6,7,2,2,0,2,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:44Z,15.86932,R+16,Trump +16,republican,15.86932,7339,24,6734,17.72,colorado,2020-11-10T19:32:37.064897Z
08009,Baca,2193,0,8,9,Other,100,2193,>98%,>98% reported,edison,6,all,,,,,313,1840,26,3,3,2,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:44Z,69.63064,R+70,Trump +70,republican,69.63064,2153,68.3,2106,51.85,colorado,2020-11-10T19:32:37.064897Z
08011,Bent,2229,0,5,5,Other,100,2131,>98%,>98% reported,edison,2,unknown,,,,,723,1468,14,6,7,5,0,0,0,0,0,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:45Z,33.42306,R+33,Trump +33,republican,33.42306,1927,31,1942,13.39,colorado,2020-11-10T19:32:37.064897Z
08013,Boulder,193709,0,209,240,Other,87,222008,87%,87% reported,edison,2,some,,,,,150247,39289,2315,635,358,205,112,69,128,18,91,22,16,31,17,22,19,23,21,6,12,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-06T15:08:35Z,57.28077,D+57,Biden +57,democrat,-57.28077,188145,-48.3,179499,-41.84,colorado,2020-11-10T19:32:37.064897Z
08014,Broomfield,46297,0,37,37,Other,100,40958,>98%,>98% reported,edison,6,all,,,,,28871,16188,759,101,103,71,46,23,50,10,14,8,13,13,6,2,2,5,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-05T01:06:41Z,27.39486,D+27,Biden +27,democrat,-27.39486,37690,-14.2,32777,-5.97,colorado,2020-11-10T19:32:37.064897Z
08015,Chaffee,13620,0,9,9,Other,100,13275,>98%,>98% reported,edison,2,unknown,,,,,7112,6180,188,43,21,20,10,11,14,3,1,2,2,1,3,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:45Z,6.84288,D+7,Biden +7,democrat,-6.84288,11250,4.5,10462,-0.15,colorado,2020-11-10T19:32:37.064897Z
08017,Cheyenne,1105,0,4,5,Other,91,1209,91%,91% reported,edison,4,some,,,,,127,966,6,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-04T10:43:46Z,75.9276,R+76,Trump +76,republican,75.9276,1102,72,1093,65.6,colorado,2020-11-10T19:32:37.064897Z
