fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
30001,Beaverhead,5661,0,16,16,Merged into voters' home precincts AFTER election night,100,5664,>98%,>98% reported,edison,6,all,,4174,,,3923,1608,130,0,0,0,0,0,2020-11-04T10:43:41Z,40.89384,R+41,Trump +41,republican,40.89384,4849,45.6,4812,39.86,montana,2020-11-10T19:31:51.522489Z
30003,Big Horn,4669,0,18,19,Released as a separate subtotal as first report of the night,90,5191,90%,90% reported,edison,2,some,,2040,,,2185,2401,83,0,0,0,0,0,2020-11-05T20:04:04Z,4.62626,D+5,Biden +5,democrat,-4.62626,4237,-5.7,4626,-26.26,montana,2020-11-10T19:31:51.522489Z
30005,Blaine,3121,0,8,8,Merged into voters' home precincts AFTER election night,100,3135,>98%,>98% reported,edison,6,all,,1576,,,1469,1589,63,0,0,0,0,0,2020-11-05T20:39:55Z,3.84492,D+4,Biden +4,democrat,-3.84492,2684,2.5,2859,-15.32,montana,2020-11-10T19:31:51.522489Z
30007,Broadwater,4056,0,5,5,Merged into voters' home precincts and released with cumulative results,100,4069,>98%,>98% reported,edison,6,all,,2206,,,3139,830,87,0,0,0,0,0,2020-11-04T10:43:43Z,56.92801,R+57,Trump +57,republican,56.92801,3133,56.7,3011,46.1,montana,2020-11-10T19:31:51.522489Z
30009,Carbon,7045,0,13,13,Merged into voters' home precincts and released with cumulative results,100,7045,>98%,>98% reported,edison,6,all,,4579,,,4424,2412,160,49,0,0,0,0,2020-11-04T10:43:43Z,28.55926,R+29,Trump +29,republican,28.55926,5991,32,5847,23.72,montana,2020-11-10T19:31:51.522489Z
30011,Carter,864,0,4,4,Merged into voters' home precincts and released with cumulative results,92,937,92%,92% reported,edison,2,unknown,,414,,,775,74,15,0,0,0,0,0,2020-11-04T10:43:43Z,81.13426,R+81,Trump +81,republican,81.13426,786,77.4,796,73.12,montana,2020-11-10T19:31:51.522489Z
30013,Cascade,39688,0,22,23,Merged into voters' home precincts and released with cumulative results,100,39841,>98%,>98% reported,edison,6,all,,42859,,,23199,15384,1105,0,0,0,0,0,2020-11-04T15:08:38Z,19.69109,R+20,Trump +20,republican,19.69109,34571,21.6,34576,9,montana,2020-11-10T19:31:51.522489Z
30015,Chouteau,2967,0,9,9,Merged into voters' home precincts and released with cumulative results,99,2985,>98%,>98% reported,edison,6,all,,2205,,,1888,988,82,9,0,0,0,0,2020-11-04T10:43:44Z,30.33367,R+30,Trump +30,republican,30.33367,2603,36.4,2821,27.65,montana,2020-11-10T19:31:51.522489Z
30017,Custer,5878,0,13,14,Merged into voters' home precincts AFTER election night,100,5878,>98%,>98% reported,edison,6,unknown,,3874,,,4204,1510,141,23,0,0,0,0,2020-11-04T10:43:44Z,45.83192,R+46,Trump +46,republican,45.83192,5185,47.8,5365,28.7,montana,2020-11-10T19:31:51.522489Z
30019,Daniels,1014,0,4,4,Merged into voters' home precincts and released with cumulative results,85,1188,85%,85% reported,edison,2,unknown,,595,,,799,195,20,0,0,0,0,0,2020-11-04T10:43:45Z,59.56607,R+60,Trump +60,republican,59.56607,962,58.4,1007,49.95,montana,2020-11-10T19:31:51.522489Z
