fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_mcconnellm,results_mcgratha,results_barronb,results_write_ins,results_absentee_mcconnellm,results_absentee_mcgratha,results_absentee_barronb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
21001,Adair,8724,0,14,16,Merged into voters' home precincts and released with cumulative results,98,8924,98%,98% reported,edison,4,all,,904,,,6753,1623,348,0,0,0,0,0,2020-11-06T22:40:36Z,58.8033,R+59,McConnell +59,republican,kentucky,2020-11-10T19:34:13.479681Z
21003,Allen,9305,6516,13,13,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,8775,>98%,>98% reported,edison,4,unknown,,661,,,6948,1919,433,5,4751,1524,241,0,2020-11-10T16:06:33Z,54.04621,R+54,McConnell +54,republican,kentucky,2020-11-10T19:34:13.479681Z
21005,Anderson,13235,2498,13,14,Released as a precinct as first report of the night,100,13261,>98%,>98% reported,edison,6,unknown,,690,,,9010,3654,562,9,914,1494,86,4,2020-11-04T10:43:39Z,40.46845,R+40,McConnell +40,republican,kentucky,2020-11-10T19:34:13.479681Z
21007,Ballard,4227,0,11,13,Released as a separate subtotal as first report of the night,95,4445,95%,95% reported,edison,2,unknown,,208,,,3155,936,136,0,0,0,0,0,2020-11-06T17:15:36Z,52.49586,R+52,McConnell +52,republican,kentucky,2020-11-10T19:34:13.479681Z
21009,Barren,20031,16027,22,25,Merged into voters' home precincts and released with cumulative results,100,20039,>98%,>98% reported,edison,4,all,,1384,,,13341,5600,1081,9,10594,4740,684,9,2020-11-07T13:40:36Z,38.6451,R+39,McConnell +39,republican,kentucky,2020-11-10T19:34:13.479681Z
21011,Bath,5610,0,12,12,Released as a precinct as first report of the night,100,4972,>98%,>98% reported,edison,2,unknown,,570,,,3537,1827,246,0,0,0,0,0,2020-11-04T10:43:42Z,30.48128,R+30,McConnell +30,republican,kentucky,2020-11-10T19:34:13.479681Z
21013,Bell,9947,0,25,30,Merged into voters' home precincts and released with cumulative results,99,10042,>98%,>98% reported,edison,6,all,,963,,,7346,2159,442,0,0,0,0,0,2020-11-06T22:01:36Z,52.14638,R+52,McConnell +52,republican,kentucky,2020-11-10T19:34:13.479681Z
21015,Boone,66950,39442,60,63,"As a precinct in the FIRST cumulative report, along with regular precincts",100,39444,>98%,>98% reported,edison,6,all,,5563,,,41726,22446,2778,0,23039,15239,1164,0,2020-11-06T21:25:37Z,28.79761,R+29,McConnell +29,republican,kentucky,2020-11-10T19:34:13.479681Z
21017,Bourbon,9648,0,14,16,Merged into voters' home precincts and released with cumulative results,100,9590,>98%,>98% reported,edison,4,some,,674,,,5807,3477,364,0,0,0,0,0,2020-11-06T21:19:37Z,24.15008,R+24,McConnell +24,republican,kentucky,2020-11-10T19:34:13.479681Z
21019,Boyd,21755,0,42,48,Merged into voters' home precincts and released with cumulative results,98,22281,98%,98% reported,edison,4,all,,1979,,,12909,7915,931,0,0,0,0,0,2020-11-06T18:25:36Z,22.95564,R+23,McConnell +23,republican,kentucky,2020-11-10T19:34:13.479681Z
