fips,name,votes,absentee_votes,reporting,precincts,eevp_display,eevp_source,results_goldenj,results_craftsd,results_write_ins,results_absentee_goldenj,results_absentee_craftsd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,nyt_race_description_race,race_rating_race,nyt_key_race_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
23001,Androscoggin,56385,17226,22,24,"",edison,32359,23762,264,11986,5211,29,2020-11-04T10:43:28Z,15.24696,D+15,Golden +15,democrat,ME-G-H-2-2020-11-03,me-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maine-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maine.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maine.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-maine.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"Maine is only one of two states where there is no winner-take-all of the Electoral College votes. As in Nebraska, the winner in each Maine district (there are two) receives one <a href=""https://www.nytimes.com/article/electoral-college-explained.html"">Electoral College</a> vote in a process called the congressional district method. So there is a scenario in which the presidential election could be decided by a vote in Maine. That might be in this increasingly competitive race, where the Republican challenger Dale Crafts hopes to unseat Jared Golden, the incumbent Democrat and a Marine Corps veteran.",likely-dem,TRUE,2,District 2,ME,maine,Maine,Maine,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",325870,26414,9,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,263,397,66% reporting,66%,80,406000,edison,80%,80% reported,edison,democrat,FALSE,2020-11-10T19:13:26Z,TRUE,7.47875,24371,D+7,Golden +7,democrat,"","",0,0,1604514778474
23003,Aroostook,30408,0,42,67,"",edison,14990,15304,114,0,0,0,2020-11-04T10:44:11Z,1.03262,R+1.0,Crafts +1.0,republican,ME-G-H-2-2020-11-03,me-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maine-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maine.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maine.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-maine.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"Maine is only one of two states where there is no winner-take-all of the Electoral College votes. As in Nebraska, the winner in each Maine district (there are two) receives one <a href=""https://www.nytimes.com/article/electoral-college-explained.html"">Electoral College</a> vote in a process called the congressional district method. So there is a scenario in which the presidential election could be decided by a vote in Maine. That might be in this increasingly competitive race, where the Republican challenger Dale Crafts hopes to unseat Jared Golden, the incumbent Democrat and a Marine Corps veteran.",likely-dem,TRUE,2,District 2,ME,maine,Maine,Maine,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",325870,26414,9,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,263,397,66% reporting,66%,80,406000,edison,80%,80% reported,edison,democrat,FALSE,2020-11-10T19:13:26Z,TRUE,7.47875,24371,D+7,Golden +7,democrat,"","",0,0,1604514778474
23007,Franklin,14906,0,14,22,"",edison,8461,6320,125,0,0,0,2020-11-04T10:44:10Z,14.36334,D+14,Golden +14,democrat,ME-G-H-2-2020-11-03,me-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maine-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maine.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maine.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-maine.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"Maine is only one of two states where there is no winner-take-all of the Electoral College votes. As in Nebraska, the winner in each Maine district (there are two) receives one <a href=""https://www.nytimes.com/article/electoral-college-explained.html"">Electoral College</a> vote in a process called the congressional district method. So there is a scenario in which the presidential election could be decided by a vote in Maine. That might be in this increasingly competitive race, where the Republican challenger Dale Crafts hopes to unseat Jared Golden, the incumbent Democrat and a Marine Corps veteran.",likely-dem,TRUE,2,District 2,ME,maine,Maine,Maine,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",325870,26414,9,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,263,397,66% reporting,66%,80,406000,edison,80%,80% reported,edison,democrat,FALSE,2020-11-10T19:13:26Z,TRUE,7.47875,24371,D+7,Golden +7,democrat,"","",0,0,1604514778474
23009,Hancock,26509,2660,28,42,"",edison,15793,10697,19,1825,832,3,2020-11-04T14:31:12Z,19.22366,D+19,Golden +19,democrat,ME-G-H-2-2020-11-03,me-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maine-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maine.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maine.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-maine.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"Maine is only one of two states where there is no winner-take-all of the Electoral College votes. As in Nebraska, the winner in each Maine district (there are two) receives one <a href=""https://www.nytimes.com/article/electoral-college-explained.html"">Electoral College</a> vote in a process called the congressional district method. So there is a scenario in which the presidential election could be decided by a vote in Maine. That might be in this increasingly competitive race, where the Republican challenger Dale Crafts hopes to unseat Jared Golden, the incumbent Democrat and a Marine Corps veteran.",likely-dem,TRUE,2,District 2,ME,maine,Maine,Maine,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",325870,26414,9,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,263,397,66% reporting,66%,80,406000,edison,80%,80% reported,edison,democrat,FALSE,2020-11-10T19:13:26Z,TRUE,7.47875,24371,D+7,Golden +7,democrat,"","",0,0,1604514778474
23011,Kennebec,27534,811,15,16,"",edison,14451,13083,,472,339,,2020-11-04T21:10:28Z,4.9684,D+5,Golden +5,democrat,ME-G-H-2-2020-11-03,me-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maine-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maine.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maine.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-maine.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"Maine is only one of two states where there is no winner-take-all of the Electoral College votes. As in Nebraska, the winner in each Maine district (there are two) receives one <a href=""https://www.nytimes.com/article/electoral-college-explained.html"">Electoral College</a> vote in a process called the congressional district method. So there is a scenario in which the presidential election could be decided by a vote in Maine. That might be in this increasingly competitive race, where the Republican challenger Dale Crafts hopes to unseat Jared Golden, the incumbent Democrat and a Marine Corps veteran.",likely-dem,TRUE,2,District 2,ME,maine,Maine,Maine,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",325870,26414,9,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,263,397,66% reporting,66%,80,406000,edison,80%,80% reported,edison,democrat,FALSE,2020-11-10T19:13:26Z,TRUE,7.47875,24371,D+7,Golden +7,democrat,"","",0,0,1604514778474
23017,Oxford,30196,0,25,37,"",edison,16132,13963,101,0,0,0,2020-11-06T14:47:29Z,7.18307,D+7,Golden +7,democrat,ME-G-H-2-2020-11-03,me-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maine-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maine.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maine.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-maine.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"Maine is only one of two states where there is no winner-take-all of the Electoral College votes. As in Nebraska, the winner in each Maine district (there are two) receives one <a href=""https://www.nytimes.com/article/electoral-college-explained.html"">Electoral College</a> vote in a process called the congressional district method. So there is a scenario in which the presidential election could be decided by a vote in Maine. That might be in this increasingly competitive race, where the Republican challenger Dale Crafts hopes to unseat Jared Golden, the incumbent Democrat and a Marine Corps veteran.",likely-dem,TRUE,2,District 2,ME,maine,Maine,Maine,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",325870,26414,9,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,263,397,66% reporting,66%,80,406000,edison,80%,80% reported,edison,democrat,FALSE,2020-11-10T19:13:26Z,TRUE,7.47875,24371,D+7,Golden +7,democrat,"","",0,0,1604514778474
23019,Penobscot,75386,4192,41,61,"",edison,39710,35070,606,3199,971,22,2020-11-04T19:18:28Z,6.15499,D+6,Golden +6,democrat,ME-G-H-2-2020-11-03,me-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maine-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maine.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maine.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-maine.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"Maine is only one of two states where there is no winner-take-all of the Electoral College votes. As in Nebraska, the winner in each Maine district (there are two) receives one <a href=""https://www.nytimes.com/article/electoral-college-explained.html"">Electoral College</a> vote in a process called the congressional district method. So there is a scenario in which the presidential election could be decided by a vote in Maine. That might be in this increasingly competitive race, where the Republican challenger Dale Crafts hopes to unseat Jared Golden, the incumbent Democrat and a Marine Corps veteran.",likely-dem,TRUE,2,District 2,ME,maine,Maine,Maine,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",325870,26414,9,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,263,397,66% reporting,66%,80,406000,edison,80%,80% reported,edison,democrat,FALSE,2020-11-10T19:13:26Z,TRUE,7.47875,24371,D+7,Golden +7,democrat,"","",0,0,1604514778474
23021,Piscataquis,9161,0,13,20,"",edison,4122,5013,26,0,0,0,2020-11-04T20:28:19Z,9.72601,R+10,Crafts +10,republican,ME-G-H-2-2020-11-03,me-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maine-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maine.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maine.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-maine.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"Maine is only one of two states where there is no winner-take-all of the Electoral College votes. As in Nebraska, the winner in each Maine district (there are two) receives one <a href=""https://www.nytimes.com/article/electoral-college-explained.html"">Electoral College</a> vote in a process called the congressional district method. So there is a scenario in which the presidential election could be decided by a vote in Maine. That might be in this increasingly competitive race, where the Republican challenger Dale Crafts hopes to unseat Jared Golden, the incumbent Democrat and a Marine Corps veteran.",likely-dem,TRUE,2,District 2,ME,maine,Maine,Maine,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",325870,26414,9,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,263,397,66% reporting,66%,80,406000,edison,80%,80% reported,edison,democrat,FALSE,2020-11-10T19:13:26Z,TRUE,7.47875,24371,D+7,Golden +7,democrat,"","",0,0,1604514778474
23025,Somerset,20729,1524,17,34,"",edison,9956,10727,46,1041,481,2,2020-11-04T17:03:29Z,3.71943,R+4,Crafts +4,republican,ME-G-H-2-2020-11-03,me-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maine-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maine.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maine.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-maine.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"Maine is only one of two states where there is no winner-take-all of the Electoral College votes. As in Nebraska, the winner in each Maine district (there are two) receives one <a href=""https://www.nytimes.com/article/electoral-college-explained.html"">Electoral College</a> vote in a process called the congressional district method. So there is a scenario in which the presidential election could be decided by a vote in Maine. That might be in this increasingly competitive race, where the Republican challenger Dale Crafts hopes to unseat Jared Golden, the incumbent Democrat and a Marine Corps veteran.",likely-dem,TRUE,2,District 2,ME,maine,Maine,Maine,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",325870,26414,9,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,263,397,66% reporting,66%,80,406000,edison,80%,80% reported,edison,democrat,FALSE,2020-11-10T19:13:26Z,TRUE,7.47875,24371,D+7,Golden +7,democrat,"","",0,0,1604514778474
23027,Waldo,22690,0,25,28,"",edison,12850,9821,19,0,0,0,2020-11-04T16:53:03Z,13.34949,D+13,Golden +13,democrat,ME-G-H-2-2020-11-03,me-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maine-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maine.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maine.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-maine.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,"Maine is only one of two states where there is no winner-take-all of the Electoral College votes. As in Nebraska, the winner in each Maine district (there are two) receives one <a href=""https://www.nytimes.com/article/electoral-college-explained.html"">Electoral College</a> vote in a process called the congressional district method. So there is a scenario in which the presidential election could be decided by a vote in Maine. That might be in this increasingly competitive race, where the Republican challenger Dale Crafts hopes to unseat Jared Golden, the incumbent Democrat and a Marine Corps veteran.",likely-dem,TRUE,2,District 2,ME,maine,Maine,Maine,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",325870,26414,9,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,263,397,66% reporting,66%,80,406000,edison,80%,80% reported,edison,democrat,FALSE,2020-11-10T19:13:26Z,TRUE,7.47875,24371,D+7,Golden +7,democrat,"","",0,0,1604514778474
