fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_williamsr,results_oliverj,results_kelseyb,results_absentee_williamsr,results_absentee_oliverj,results_absentee_kelseyb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
48027,Bell,11711,9466,4,4,Released as a precinct as first report of the night,100,10276,>98%,>98% reported,edison,4,unknown,89466,3509,7860,342,2607,6612,247,2020-11-04T10:44:16Z,37.1531,D+37,Oliver +37,democrat,TX-G-H-25-2020-11-03,tx-house-general-district-025-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-25.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 25,U.S. House,H,likely-rep,25,District 25,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",391222,343872,13,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,235,249,94% reporting,94%,95,411000,edison,95%,95% reported,edison,republican,FALSE,2020-11-10T00:59:15Z,TRUE,13.96726,54643,R+14,Williams +14,republican,"","",1,0,1604470079991
48035,Bosque,8985,6446,11,12,Released as a precinct as first report of the night,88,10234,88%,88% reported,edison,2,unknown,4229,7387,1468,130,5269,1104,73,2020-11-04T10:44:16Z,65.87646,R+66,Williams +66,republican,TX-G-H-25-2020-11-03,tx-house-general-district-025-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-25.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 25,U.S. House,H,likely-rep,25,District 25,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",391222,343872,13,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,235,249,94% reporting,94%,95,411000,edison,95%,95% reported,edison,republican,FALSE,2020-11-10T00:59:15Z,TRUE,13.96726,54643,R+14,Williams +14,republican,"","",1,0,1604470079991
48053,Burnet,24177,20422,20,21,Released as a precinct as first report of the night,97,25025,97%,97% reported,edison,2,unknown,17630,18529,5160,488,15527,4538,357,2020-11-04T10:44:16Z,55.29636,R+55,Williams +55,republican,TX-G-H-25-2020-11-03,tx-house-general-district-025-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-25.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 25,U.S. House,H,likely-rep,25,District 25,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",391222,343872,13,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,235,249,94% reporting,94%,95,411000,edison,95%,95% reported,edison,republican,FALSE,2020-11-10T00:59:15Z,TRUE,13.96726,54643,R+14,Williams +14,republican,"","",1,0,1604470079991
48099,Coryell,23131,19042,16,16,Released as a precinct as first report of the night,97,23782,97%,97% reported,edison,2,some,16701,15436,7051,644,12534,6045,463,2020-11-04T10:44:16Z,36.25005,R+36,Williams +36,republican,TX-G-H-25-2020-11-03,tx-house-general-district-025-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-25.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 25,U.S. House,H,likely-rep,25,District 25,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",391222,343872,13,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,235,249,94% reporting,94%,95,411000,edison,95%,95% reported,edison,republican,FALSE,2020-11-10T00:59:15Z,TRUE,13.96726,54643,R+14,Williams +14,republican,"","",1,0,1604470079991
48143,Erath,7382,6114,9,10,Released as a precinct as first report of the night,88,8389,88%,88% reported,edison,2,unknown,13085,5950,1289,143,4931,1082,101,2020-11-04T10:44:16Z,63.14007,R+63,Williams +63,republican,TX-G-H-25-2020-11-03,tx-house-general-district-025-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-25.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 25,U.S. House,H,likely-rep,25,District 25,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",391222,343872,13,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,235,249,94% reporting,94%,95,411000,edison,95%,95% reported,edison,republican,FALSE,2020-11-10T00:59:15Z,TRUE,13.96726,54643,R+14,Williams +14,republican,"","",1,0,1604470079991
48193,Hamilton,4228,3200,11,12,Released as a precinct as first report of the night,89,4733,89%,89% reported,edison,2,unknown,3191,3580,578,70,2688,466,46,2020-11-04T10:44:17Z,71.00284,R+71,Williams +71,republican,TX-G-H-25-2020-11-03,tx-house-general-district-025-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-25.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 25,U.S. House,H,likely-rep,25,District 25,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",391222,343872,13,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,235,249,94% reporting,94%,95,411000,edison,95%,95% reported,edison,republican,FALSE,2020-11-10T00:59:15Z,TRUE,13.96726,54643,R+14,Williams +14,republican,"","",1,0,1604470079991
48209,Hays,35346,33093,24,24,Released as a precinct as first report of the night,100,32426,>98%,>98% reported,edison,2,some,65929,20130,14472,744,18576,13898,619,2020-11-04T10:44:16Z,16.00747,R+16,Williams +16,republican,TX-G-H-25-2020-11-03,tx-house-general-district-025-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-25.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 25,U.S. House,H,likely-rep,25,District 25,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",391222,343872,13,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,235,249,94% reporting,94%,95,411000,edison,95%,95% reported,edison,republican,FALSE,2020-11-10T00:59:15Z,TRUE,13.96726,54643,R+14,Williams +14,republican,"","",1,0,1604470079991
48217,Hill,14623,9500,19,22,Released as a precinct as first report of the night,100,14623,>98%,>98% reported,edison,6,all,8740,11777,2651,195,7509,1881,110,2020-11-04T10:44:17Z,62.40853,R+62,Williams +62,republican,TX-G-H-25-2020-11-03,tx-house-general-district-025-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-25.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 25,U.S. House,H,likely-rep,25,District 25,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",391222,343872,13,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,235,249,94% reporting,94%,95,411000,edison,95%,95% reported,edison,republican,FALSE,2020-11-10T00:59:15Z,TRUE,13.96726,54643,R+14,Williams +14,republican,"","",1,0,1604470079991
48251,Johnson,70712,60135,34,36,Released as a precinct as first report of the night,100,70712,>98%,>98% reported,edison,6,some,51853,54243,15275,1194,45965,13284,886,2020-11-04T10:44:17Z,55.10804,R+55,Williams +55,republican,TX-G-H-25-2020-11-03,tx-house-general-district-025-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-25.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 25,U.S. House,H,likely-rep,25,District 25,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",391222,343872,13,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,235,249,94% reporting,94%,95,411000,edison,95%,95% reported,edison,republican,FALSE,2020-11-10T00:59:15Z,TRUE,13.96726,54643,R+14,Williams +14,republican,"","",1,0,1604470079991
48281,Lampasas,10272,8549,10,10,Released as a precinct as first report of the night,96,10700,96%,96% reported,edison,2,unknown,6404,8094,1969,209,6665,1739,145,2020-11-04T10:44:17Z,59.62812,R+60,Williams +60,republican,TX-G-H-25-2020-11-03,tx-house-general-district-025-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-25.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 25,U.S. House,H,likely-rep,25,District 25,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",391222,343872,13,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,235,249,94% reporting,94%,95,411000,edison,95%,95% reported,edison,republican,FALSE,2020-11-10T00:59:15Z,TRUE,13.96726,54643,R+14,Williams +14,republican,"","",1,0,1604470079991
