fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_gallagherm,results_stucka,results_absentee_gallagherm,results_absentee_stucka,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
55009,Brown,95933,0,59,95,Merged into voters' home precincts and released with cumulative results,100,95933,>98%,>98% reported,edison,6,unknown,55945,62652,33281,0,0,2020-11-04T12:04:37Z,30.61616,R+31,Gallagher +31,republican,WI-G-H-8-2020-11-03,wi-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",370303,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,372,415,90% reporting,90%,83,448000,edison,83%,83% reported,edison,republican,FALSE,2020-11-04T17:47:25Z,TRUE,30.75184,113875,R+31,Gallagher +31,republican,"","",0,0,1604467590023
55015,Calumet,30439,0,36,36,Merged into voters' home precincts and released with cumulative results,100,14352,>98%,>98% reported,edison,6,unknown,10174,20136,10303,0,0,2020-11-04T17:46:55Z,32.30395,R+32,Gallagher +32,republican,WI-G-H-8-2020-11-03,wi-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",370303,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,372,415,90% reporting,90%,83,448000,edison,83%,83% reported,edison,republican,FALSE,2020-11-04T17:47:25Z,TRUE,30.75184,113875,R+31,Gallagher +31,republican,"","",0,0,1604467590023
55029,Door,20033,0,21,21,Merged into voters' home precincts and released with cumulative results,95,21032,95%,95% reported,edison,2,unknown,6534,11255,8778,0,0,2020-11-04T17:27:07Z,12.3646,R+12,Gallagher +12,republican,WI-G-H-8-2020-11-03,wi-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",370303,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,372,415,90% reporting,90%,83,448000,edison,83%,83% reported,edison,republican,FALSE,2020-11-04T17:47:25Z,TRUE,30.75184,113875,R+31,Gallagher +31,republican,"","",0,0,1604467590023
55061,Kewaunee,12024,0,14,14,Merged into voters' home precincts and released with cumulative results,100,9713,>98%,>98% reported,edison,6,unknown,1563,8612,3412,0,0,2020-11-04T10:43:26Z,43.24684,R+43,Gallagher +43,republican,WI-G-H-8-2020-11-03,wi-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",370303,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,372,415,90% reporting,90%,83,448000,edison,83%,83% reported,edison,republican,FALSE,2020-11-04T17:47:25Z,TRUE,30.75184,113875,R+31,Gallagher +31,republican,"","",0,0,1604467590023
55075,Marinette,22793,0,28,28,Merged into voters' home precincts and released with cumulative results,93,24541,93%,93% reported,edison,2,unknown,3737,16513,6280,0,0,2020-11-04T17:32:08Z,44.89536,R+45,Gallagher +45,republican,WI-G-H-8-2020-11-03,wi-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",370303,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,372,415,90% reporting,90%,83,448000,edison,83%,83% reported,edison,republican,FALSE,2020-11-04T17:47:25Z,TRUE,30.75184,113875,R+31,Gallagher +31,republican,"","",0,0,1604467590023
55078,Menominee,1428,0,2,2,Merged into voters' home precincts and released with cumulative results,100,1428,>98%,>98% reported,edison,6,unknown,257,417,1011,0,0,2020-11-04T10:43:27Z,41.59664,D+42,Stuck +42,democrat,WI-G-H-8-2020-11-03,wi-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",370303,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,372,415,90% reporting,90%,83,448000,edison,83%,83% reported,edison,republican,FALSE,2020-11-04T17:47:25Z,TRUE,30.75184,113875,R+31,Gallagher +31,republican,"","",0,0,1604467590023
55083,Oconto,23019,0,29,29,Merged into voters' home precincts and released with cumulative results,100,18841,>98%,>98% reported,edison,6,unknown,4978,17375,5644,0,0,2020-11-04T17:47:24Z,50.96225,R+51,Gallagher +51,republican,WI-G-H-8-2020-11-03,wi-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",370303,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,372,415,90% reporting,90%,83,448000,edison,83%,83% reported,edison,republican,FALSE,2020-11-04T17:47:25Z,TRUE,30.75184,113875,R+31,Gallagher +31,republican,"","",0,0,1604467590023
55087,Outagamie,104828,0,94,101,Merged into voters' home precincts and released with cumulative results,100,104828,>98%,>98% reported,edison,6,unknown,38925,63591,41237,0,0,2020-11-04T10:43:27Z,21.32446,R+21,Gallagher +21,republican,WI-G-H-8-2020-11-03,wi-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",370303,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,372,415,90% reporting,90%,83,448000,edison,83%,83% reported,edison,republican,FALSE,2020-11-04T17:47:25Z,TRUE,30.75184,113875,R+31,Gallagher +31,republican,"","",0,0,1604467590023
55115,Shawano,23325,0,43,43,Merged into voters' home precincts and released with cumulative results,100,20743,>98%,>98% reported,edison,6,unknown,4344,15969,7356,0,0,2020-11-04T10:43:27Z,36.92605,R+37,Gallagher +37,republican,WI-G-H-8-2020-11-03,wi-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",370303,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,372,415,90% reporting,90%,83,448000,edison,83%,83% reported,edison,republican,FALSE,2020-11-04T17:47:25Z,TRUE,30.75184,113875,R+31,Gallagher +31,republican,"","",0,0,1604467590023
55135,Waupaca,28703,0,39,39,Merged into voters' home precincts and released with cumulative results,100,25235,>98%,>98% reported,edison,6,unknown,6316,19954,8749,0,0,2020-11-04T10:43:27Z,39.03773,R+39,Gallagher +39,republican,WI-G-H-8-2020-11-03,wi-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",370303,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,372,415,90% reporting,90%,83,448000,edison,83%,83% reported,edison,republican,FALSE,2020-11-04T17:47:25Z,TRUE,30.75184,113875,R+31,Gallagher +31,republican,"","",0,0,1604467590023
