fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_mckinleyd,results_clinen,results_write_ins,results_absentee_mckinleyd,results_absentee_clinen,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
54001,Barbour,6486,0,13,13,Merged into voters' home precincts and released with cumulative results,97,6659,97%,97% reported,edison,2,unknown,2032,4917,1569,0,0,0,0,2020-11-10T13:14:46Z,51.61887,R+52,McKinley +52,republican,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",260205,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,535,559,96% reporting,96%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-10T19:20:27Z,TRUE,37.99735,98871,R+38,McKinley +38,republican,"All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.","All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.",6,0,1604455258241
54009,Brooke,10267,0,21,22,Merged into voters' home precincts and released with cumulative results,100,10227,>98%,>98% reported,edison,6,some,3091,7132,3128,7,0,0,0,2020-11-09T21:38:39Z,38.99873,R+39,McKinley +39,republican,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",260205,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,535,559,96% reporting,96%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-10T19:20:27Z,TRUE,37.99735,98871,R+38,McKinley +38,republican,"All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.","All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.",6,0,1604455258241
54017,Doddridge,2975,0,11,12,Merged into voters' home precincts and released with cumulative results,95,3124,95%,95% reported,edison,2,unknown,1440,2492,483,0,0,0,0,2020-11-09T20:13:42Z,67.52941,R+68,McKinley +68,republican,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",260205,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,535,559,96% reporting,96%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-10T19:20:27Z,TRUE,37.99735,98871,R+38,McKinley +38,republican,"All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.","All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.",6,0,1604455258241
54021,Gilmer,2521,0,9,10,Other,90,2797,90%,90% reported,edison,2,unknown,1074,1844,677,0,0,0,0,2020-11-09T17:37:38Z,46.29115,R+46,McKinley +46,republican,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",260205,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,535,559,96% reporting,96%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-10T19:20:27Z,TRUE,37.99735,98871,R+38,McKinley +38,republican,"All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.","All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.",6,0,1604455258241
54023,Grant,5065,0,14,15,Merged into voters' home precincts and released with cumulative results,93,5452,93%,93% reported,edison,2,unknown,2250,4403,662,0,0,0,0,2020-11-09T20:32:41Z,73.85982,R+74,McKinley +74,republican,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",260205,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,535,559,96% reporting,96%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-10T19:20:27Z,TRUE,37.99735,98871,R+38,McKinley +38,republican,"All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.","All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.",6,0,1604455258241
54029,Hancock,13049,0,22,24,Merged into voters' home precincts and released with cumulative results,93,13972,93%,93% reported,edison,4,all,3621,9202,3843,4,0,0,0,2020-11-04T10:43:33Z,41.06828,R+41,McKinley +41,republican,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",260205,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,535,559,96% reporting,96%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-10T19:20:27Z,TRUE,37.99735,98871,R+38,McKinley +38,republican,"All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.","All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.",6,0,1604455258241
54033,Harrison,29322,0,64,67,Other,95,30756,95%,95% reported,edison,4,all,6885,20443,8853,26,0,0,0,2020-11-04T10:43:34Z,39.52664,R+40,McKinley +40,republican,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",260205,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,535,559,96% reporting,96%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-10T19:20:27Z,TRUE,37.99735,98871,R+38,McKinley +38,republican,"All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.","All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.",6,0,1604455258241
54049,Marion,24907,14469,68,70,Merged into voters' home precincts and released with cumulative results,98,25332,98%,98% reported,edison,4,all,7667,16161,8737,9,8525,5935,9,2020-11-09T20:13:42Z,29.80688,R+30,McKinley +30,republican,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",260205,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,535,559,96% reporting,96%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-10T19:20:27Z,TRUE,37.99735,98871,R+38,McKinley +38,republican,"All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.","All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.",6,0,1604455258241
54051,Marshall,13297,0,34,37,None,91,14538,91%,91% reported,edison,2,unknown,4835,9812,3485,0,0,0,0,2020-11-10T19:20:24Z,47.58216,R+48,McKinley +48,republican,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",260205,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,535,559,96% reporting,96%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-10T19:20:27Z,TRUE,37.99735,98871,R+38,McKinley +38,republican,"All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.","All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.",6,0,1604455258241
54057,Mineral,12485,0,25,26,None,98,12720,98%,98% reported,edison,2,unknown,3014,9876,2609,0,0,0,0,2020-11-10T13:14:46Z,58.20585,R+58,McKinley +58,republican,WV-G-H-1-2020-11-03,wv-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-west-virginia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-west-virginia.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,WV,west-virginia,West Virginia,W.Va.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",260205,69447,3,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,535,559,96% reporting,96%,97,269000,edison,97%,97% reported,edison,republican,FALSE,2020-11-10T19:20:27Z,TRUE,37.99735,98871,R+38,McKinley +38,republican,"All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.","All ballots arriving after Election Day will be reported on Nov. 9, the deadline for them to arrive.",6,0,1604455258241
