fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_blankenshipd,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_blankenshipd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
37001,Alamance,84710,68096,36,38,Released as a separate subtotal as first report of the night,100,85000,>98%,>98% reported,edison,2,none,,62360,,,45490,38186,667,220,147,0,34433,32922,468,165,108,0,2020-11-04T10:43:29Z,8.62236,R+9,Trump +9,republican,8.62236,71157,12.6,67776,13.71,north-carolina,2020-11-10T20:52:10.365623Z
37003,Alexander,20120,16818,9,10,Released as a separate subtotal as first report of the night,100,20088,>98%,>98% reported,edison,6,all,,15384,,,15806,4113,127,18,24,32,13065,3620,76,16,20,21,2020-11-04T10:43:30Z,58.1163,R+58,Trump +58,republican,58.1163,18271,55.4,17196,44.44,north-carolina,2020-11-10T20:52:10.365623Z
37005,Alleghany,6040,5006,4,4,Released as a separate subtotal as first report of the night,100,5336,>98%,>98% reported,edison,6,all,,5206,,,4501,1480,31,15,5,8,3652,1313,25,11,5,0,2020-11-04T10:43:32Z,50.01656,R+50,Trump +50,republican,50.01656,5315,47.2,5067,35.66,north-carolina,2020-11-10T20:52:10.365623Z
37007,Anson,11183,7913,8,9,Released as a precinct as first report of the night,97,11500,97%,97% reported,edison,2,unknown,,10515,,,5321,5788,41,14,19,0,3208,4659,25,9,12,0,2020-11-06T22:59:49Z,4.17598,D+4,Biden +4,democrat,-4.17598,10545,-12.8,11256,-25.35,north-carolina,2020-11-10T20:52:10.365623Z
37009,Ashe,15691,11243,16,17,"As a precinct in the FIRST cumulative report, along with regular precincts",100,15720,>98%,>98% reported,edison,2,unknown,,9733,,,11368,4149,125,22,27,0,7688,3451,71,13,20,0,2020-11-04T10:43:34Z,46.00727,R+46,Trump +46,republican,46.00727,13424,44,12610,32.72,north-carolina,2020-11-10T20:52:10.365623Z
37011,Avery,9339,5962,17,19,Released as a separate subtotal as first report of the night,97,9660,97%,97% reported,edison,2,unknown,,4091,,,7092,2171,54,12,10,0,4229,1689,32,8,4,0,2020-11-04T10:43:35Z,52.69301,R+53,Trump +53,republican,52.69301,8249,55.9,7759,50.06,north-carolina,2020-11-10T20:52:10.365623Z
37013,Beaufort,26164,20365,18,21,Released as a precinct as first report of the night,93,28032,93%,93% reported,edison,4,all,,22376,,,16352,9575,134,30,37,36,12021,8210,90,18,26,0,2020-11-04T10:43:36Z,25.902,R+26,Trump +26,republican,25.902,23938,24.1,23620,19.23,north-carolina,2020-11-10T20:52:10.365623Z
37015,Bertie,9680,7765,10,12,Merged into voters' home precincts and released with cumulative results,100,9676,>98%,>98% reported,edison,6,all,,9773,,,3778,5846,29,15,8,4,2732,4990,25,13,5,0,2020-11-04T10:43:37Z,21.36364,D+21,Biden +21,democrat,-21.36364,9347,-24.8,10123,-32.68,north-carolina,2020-11-10T20:52:10.365623Z
37017,Bladen,17009,13773,15,17,Released as a precinct as first report of the night,98,17307,98%,98% reported,edison,2,unknown,,16846,,,9623,7281,67,18,20,0,7497,6203,46,14,13,0,2020-11-04T10:43:37Z,13.76918,R+14,Trump +14,republican,13.76918,15897,9.4,15957,-1.97,north-carolina,2020-11-10T20:52:10.365623Z
37019,Brunswick,89328,78863,25,25,Released as a separate subtotal as first report of the night,99,90000,>98%,>98% reported,edison,2,unknown,,65557,,,55373,32984,625,112,89,145,47469,30790,441,90,73,0,2020-11-04T10:43:38Z,25.06381,R+25,Trump +25,republican,25.06381,68351,28.4,57362,22.15,north-carolina,2020-11-10T20:52:10.365623Z
37021,Buncombe,161259,141433,74,80,Released as a precinct as first report of the night,93,173684,93%,93% reported,edison,4,some,,142646,,,62253,96383,1455,540,224,404,50488,89302,1068,398,177,0,2020-11-09T23:48:48Z,21.16471,D+21,Biden +21,democrat,-21.16471,138947,-14.2,127696,-12.47,north-carolina,2020-11-10T20:52:10.365623Z
37023,Burke,44182,36522,30,33,Released as a separate subtotal as first report of the night,97,45576,97%,97% reported,edison,2,unknown,,37205,,,30814,12985,259,81,43,0,24934,11319,177,56,36,0,2020-11-04T10:43:41Z,40.35354,R+40,Trump +40,republican,40.35354,38920,38.5,36544,23.44,north-carolina,2020-11-10T20:52:10.365623Z
37025,Cabarrus,116722,97086,39,39,Released as a precinct as first report of the night,99,118000,>98%,>98% reported,edison,4,all,,66450,,,62974,51943,1086,251,142,326,50169,45845,782,183,107,0,2020-11-07T00:26:49Z,9.45066,R+9,Trump +9,republican,9.45066,93289,19.6,83566,19.99,north-carolina,2020-11-10T20:52:10.365623Z
37027,Caldwell,42438,35583,19,20,Released as a precinct as first report of the night,99,43000,>98%,>98% reported,edison,2,unknown,,37674,,,31877,10105,266,59,52,79,26440,8846,202,50,45,0,2020-11-04T10:43:43Z,51.30308,R+51,Trump +51,republican,51.30308,36320,50.1,34732,35.5,north-carolina,2020-11-10T20:52:10.365623Z
37029,Camden,5953,4473,3,3,Released as a precinct as first report of the night,100,5900,>98%,>98% reported,edison,4,all,,4042,,,4312,1537,76,8,5,15,3104,1310,49,7,3,0,2020-11-10T18:35:21Z,46.61515,R+47,Trump +47,republican,46.61515,5006,45.4,4704,34.03,north-carolina,2020-11-10T20:52:10.365623Z
37031,Carteret,42446,34524,23,26,Released as a separate subtotal as first report of the night,95,44365,95%,95% reported,edison,2,all,,34930,,,29886,11999,367,61,54,79,23494,10700,251,36,43,0,2020-11-04T10:43:44Z,42.1406,R+42,Trump +42,republican,42.1406,37781,44,35517,40.75,north-carolina,2020-11-10T20:52:10.365623Z
37033,Caswell,11962,8365,8,9,Released as a precinct as first report of the night,100,11962,>98%,>98% reported,edison,6,all,,9422,,,7040,4831,64,19,8,0,4389,3921,40,10,5,0,2020-11-04T10:43:45Z,18.46681,R+18,Trump +18,republican,18.46681,11070,11.1,11039,2.23,north-carolina,2020-11-10T20:52:10.365623Z
37035,Catawba,82751,67978,37,40,"As a precinct in the FIRST cumulative report, along with regular precincts",98,84725,98%,98% reported,edison,4,all,,67210,,,56203,25420,643,192,128,165,45296,21870,444,144,99,125,2020-11-04T10:43:45Z,37.19955,R+37,Trump +37,republican,37.19955,72351,37.5,69601,29.41,north-carolina,2020-11-10T20:52:10.365623Z
37037,Chatham,48308,43581,17,18,Released as a precinct as first report of the night,97,49811,97%,97% reported,edison,4,unknown,,39498,,,21055,26642,358,86,58,109,17713,25368,289,75,50,86,2020-11-04T10:43:46Z,11.56537,D+12,Biden +12,democrat,-11.56537,39849,-9.9,35434,-4.79,north-carolina,2020-11-10T20:52:10.365623Z
37039,Cherokee,16341,11402,15,16,Released as a precinct as first report of the night,98,16606,98%,98% reported,edison,2,unknown,,10581,,,12568,3563,93,49,39,29,8385,2927,45,29,16,0,2020-11-04T10:43:46Z,55.10679,R+55,Trump +55,republican,55.10679,14181,56.3,12867,45.85,north-carolina,2020-11-10T20:52:10.365623Z
37041,Chowan,7754,6634,5,6,Released as a precinct as first report of the night,88,8773,88%,88% reported,edison,4,unknown,,8195,,,4458,3232,46,7,4,7,3731,2861,32,7,3,0,2020-11-04T10:43:47Z,15.81119,R+16,Trump +16,republican,15.81119,7228,14.1,7505,4.46,north-carolina,2020-11-10T20:52:10.365623Z
37043,Clay,6828,5222,8,9,Released as a precinct as first report of the night,100,6828,>98%,>98% reported,edison,6,all,,5792,,,5074,1685,45,13,11,0,3700,1482,26,8,6,0,2020-11-04T10:43:48Z,49.63386,R+50,Trump +50,republican,49.63386,6010,51.1,5642,42.43,north-carolina,2020-11-10T20:52:10.365623Z
37045,Cleveland,51095,41583,19,21,Released as a precinct as first report of the night,100,51095,>98%,>98% reported,edison,6,unknown,,35936,,,33664,16879,327,81,73,71,26607,14581,231,59,52,53,2020-11-04T10:43:49Z,32.85057,R+33,Trump +33,republican,32.85057,44673,30.3,43340,20.15,north-carolina,2020-11-10T20:52:10.365623Z
37047,Columbus,26243,19093,23,26,Released as a precinct as first report of the night,100,26263,>98%,>98% reported,edison,2,unknown,,20755,,,16696,9382,85,23,33,24,11290,7716,48,15,24,0,2020-11-04T10:43:50Z,27.87029,R+28,Trump +28,republican,27.87029,23732,21.9,24243,7.8,north-carolina,2020-11-10T20:52:10.365623Z
37049,Craven,52918,44782,19,21,Released as a precinct as first report of the night,96,55192,96%,96% reported,edison,2,unknown,,49498,,,30943,21098,621,91,73,92,25479,18742,431,76,54,0,2020-11-09T21:47:48Z,18.60426,R+19,Trump +19,republican,18.60426,47001,21.5,46170,17.68,north-carolina,2020-11-10T20:52:10.365623Z
37051,Cumberland,146533,122284,69,75,Released as a separate subtotal as first report of the night,92,159383,92%,92% reported,edison,2,unknown,,132574,,,59808,84110,1627,418,241,329,46877,73743,1166,312,186,0,2020-11-09T20:11:47Z,16.58466,D+17,Biden +17,democrat,-16.58466,127506,-16,127641,-19.68,north-carolina,2020-11-10T20:52:10.365623Z
