fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
42001,Adams,56721,0,50,50,Merged into voters' home precincts and released with cumulative results,100,56000,>98%,>98% reported,edison,4,none,,3456,,,18250,37563,814,94,0,0,0,0,2020-11-10T20:14:46Z,34.04912,R+34,Trump +34,republican,34.04912,47990,35.8,42457,27.5,pennsylvania,2020-11-10T20:53:04.412711Z
42003,Allegheny,700979,335573,1229,1323,Merged into voters' home precincts and released with cumulative results,97,725000,97%,97% reported,edison,4,unknown,,44826,,,415861,274348,8079,2691,267690,64889,2994,0,2020-11-09T19:29:37Z,20.18791,D+20,Biden +20,democrat,-20.18791,657189,-16.5,622081,-14.57,pennsylvania,2020-11-10T20:53:04.412711Z
42005,Armstrong,35881,0,60,62,Merged into voters' home precincts AFTER election night,100,35810,>98%,>98% reported,edison,4,unknown,,2059,,,8352,27112,417,0,0,0,0,0,2020-11-07T16:28:38Z,52.28394,R+52,Trump +52,republican,52.28394,31864,51.2,29602,37.49,pennsylvania,2020-11-10T20:53:04.412711Z
42007,Beaver,93354,0,123,129,Merged into voters' home precincts and released with cumulative results,100,93250,>98%,>98% reported,edison,4,unknown,,6320,,,37747,54108,1228,271,0,0,0,0,2020-11-09T21:32:38Z,17.52576,R+18,Trump +18,republican,17.52576,84462,18.5,80474,6.57,pennsylvania,2020-11-10T20:53:04.412711Z
42009,Bedford,27018,5369,39,40,Merged into voters' home precincts and released with cumulative results,100,27018,>98%,>98% reported,edison,6,unknown,,2106,,,4266,22529,178,45,2424,2872,55,18,2020-11-04T10:43:52Z,67.59568,R+68,Trump +68,republican,67.59568,23675,67.2,21697,54.91,pennsylvania,2020-11-10T20:53:04.412711Z
42011,Berks,198803,0,188,202,Other,99,200000,>98%,>98% reported,edison,4,unknown,,10526,,,89530,105941,2789,543,0,0,0,0,2020-11-04T22:52:50Z,8.25491,R+8,Trump +8,republican,8.25491,184085,9.9,170320,0.99,pennsylvania,2020-11-10T20:53:04.412711Z
42013,Blair,62898,0,91,93,Merged into voters' home precincts and released with cumulative results,99,63694,>98%,>98% reported,edison,4,some,,4155,,,17425,44714,645,114,0,0,0,0,2020-11-06T22:22:38Z,43.38612,R+43,Trump +43,republican,43.38612,55341,45.5,50241,33.92,pennsylvania,2020-11-10T20:53:04.412711Z
42015,Bradford,30200,0,61,61,None,100,29116,>98%,>98% reported,edison,4,none,,2080,,,8044,21586,513,57,0,0,0,0,2020-11-10T20:48:46Z,44.84106,R+45,Trump +45,republican,44.84106,25986,45.3,23426,24.7,pennsylvania,2020-11-10T20:53:04.412711Z
42017,Bucks,388164,0,294,304,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,388000,>98%,>98% reported,edison,4,some,,25432,,,199760,183440,4074,890,0,0,0,0,2020-11-08T19:58:40Z,4.20441,D+4,Biden +4,democrat,-4.20441,345042,-0.8,321016,-1.23,pennsylvania,2020-11-10T20:53:04.412711Z
42019,Butler,111017,0,87,89,Released as a separate subtotal at the end of tabulation,99,111600,>98%,>98% reported,edison,4,none,,7869,,,36534,73023,1403,57,0,0,0,0,2020-11-05T00:22:52Z,32.86794,R+33,Trump +33,republican,32.86794,98044,36.6,89445,34.89,pennsylvania,2020-11-10T20:53:04.412711Z
