fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
54001,Barbour,6677,0,13,13,Merged into voters' home precincts and released with cumulative results,100,6659,>98%,>98% reported,edison,2,unknown,,2032,,,5116,1457,81,23,0,0,0,0,0,0,2020-11-10T13:14:47Z,54.80006,R+55,Trump +55,republican,54.80006,6116,54,5761,35.69,west-virginia,2020-11-10T20:51:52.822476Z
54003,Berkeley,49146,0,66,66,Merged into voters' home precincts and released with cumulative results,100,49100,>98%,>98% reported,edison,2,unknown,,15549,,,32062,16075,841,168,0,0,0,0,0,0,2020-11-04T15:19:53Z,32.52961,R+33,Trump +33,republican,32.52961,43364,36.7,37172,21.2,west-virginia,2020-11-10T20:51:52.822476Z
54005,Boone,9038,0,24,26,Other,100,8983,>98%,>98% reported,edison,6,all,,2061,,,6816,2041,122,33,26,0,0,0,0,0,2020-11-09T21:38:40Z,52.83249,R+53,Trump +53,republican,52.83249,8779,53.7,8500,31.49,west-virginia,2020-11-10T20:51:52.822476Z
54007,Braxton,5664,0,18,18,Merged into voters' home precincts and released with cumulative results,100,5599,>98%,>98% reported,edison,2,unknown,,2472,,,4120,1457,62,25,0,0,0,0,0,0,2020-11-09T17:54:38Z,47.01624,R+47,Trump +47,republican,47.01624,5100,43.5,4804,15.13,west-virginia,2020-11-10T20:51:52.822476Z
54009,Brooke,10672,0,22,22,Merged into voters' home precincts and released with cumulative results,100,10631,>98%,>98% reported,edison,6,some,,3091,,,7545,2947,138,26,16,0,0,0,0,0,2020-11-09T21:38:40Z,43.08471,R+43,Trump +43,republican,43.08471,9696,41.8,9294,11.35,west-virginia,2020-11-10T20:51:52.822476Z
54011,Cabell,37360,0,71,71,None,100,36900,>98%,>98% reported,edison,2,unknown,,13914,,,21721,14994,527,118,0,0,0,0,0,0,2020-11-10T16:06:56Z,18.00589,R+18,Trump +18,republican,18.00589,33585,25,32144,13.74,west-virginia,2020-11-10T20:51:52.822476Z
54013,Calhoun,2971,0,10,10,Merged into voters' home precincts and released with cumulative results,100,2879,>98%,>98% reported,edison,2,unknown,,965,,,2364,568,29,10,0,0,0,0,0,0,2020-11-09T20:32:41Z,60.45103,R+60,Trump +60,republican,60.45103,2638,59.9,2207,22.7,west-virginia,2020-11-10T20:51:52.822476Z
54015,Clay,3365,0,11,11,Merged into voters' home precincts and released with cumulative results,100,3313,>98%,>98% reported,edison,2,unknown,,1368,,,2679,641,37,8,0,0,0,0,0,0,2020-11-09T21:38:40Z,60.56464,R+61,Trump +61,republican,60.56464,2995,57.8,3012,34.53,west-virginia,2020-11-10T20:51:52.822476Z
54017,Doddridge,3101,0,12,12,Merged into voters' home precincts and released with cumulative results,99,3124,>98%,>98% reported,edison,2,unknown,,1440,,,2619,435,30,17,0,0,0,0,0,0,2020-11-09T20:13:40Z,70.42889,R+70,Trump +70,republican,70.42889,2863,69.7,2769,56.16,west-virginia,2020-11-10T20:51:52.822476Z
54019,Fayette,16894,0,37,37,Merged into voters' home precincts and released with cumulative results,100,16794,>98%,>98% reported,edison,6,all,,4426,,,11580,5063,158,61,32,0,0,0,0,0,2020-11-10T16:06:56Z,38.57583,R+39,Trump +39,republican,38.57583,15478,39.2,14070,20.83,west-virginia,2020-11-10T20:51:52.822476Z
54021,Gilmer,2662,0,9,10,Other,95,2797,95%,95% reported,edison,2,unknown,,1074,,,2012,599,39,12,0,0,0,0,0,0,2020-11-09T17:37:38Z,53.08039,R+53,Trump +53,republican,53.08039,2579,52.4,2509,30.09,west-virginia,2020-11-10T20:51:52.822476Z
54023,Grant,5509,0,15,15,Merged into voters' home precincts and released with cumulative results,100,5452,>98%,>98% reported,edison,2,unknown,,2250,,,4871,607,20,11,0,0,0,0,0,0,2020-11-09T20:32:41Z,77.40062,R+77,Trump +77,republican,77.40062,4965,77.2,4586,66.83,west-virginia,2020-11-10T20:51:52.822476Z
54025,Greenbrier,15870,0,29,29,Other,100,15374,>98%,>98% reported,edison,4,all,,5698,,,10925,4655,210,60,20,0,0,0,0,0,2020-11-09T20:13:40Z,39.50851,R+40,Trump +40,republican,39.50851,14224,40.7,12963,24.84,west-virginia,2020-11-10T20:51:52.822476Z
54027,Hampshire,10100,0,24,24,None,100,9872,>98%,>98% reported,edison,6,all,,2597,,,8033,1939,93,21,14,0,0,0,0,0,2020-11-09T21:38:40Z,60.33663,R+60,Trump +60,republican,60.33663,8679,58.9,7986,40.37,west-virginia,2020-11-10T20:51:52.822476Z
54029,Hancock,13546,0,23,24,Merged into voters' home precincts and released with cumulative results,98,13882,98%,98% reported,edison,4,all,,3621,,,9653,3670,150,42,31,0,0,0,0,0,2020-11-04T10:43:35Z,44.16802,R+44,Trump +44,republican,44.16802,12802,44.1,12118,21.45,west-virginia,2020-11-10T20:51:52.822476Z
54031,Hardy,6331,0,14,14,Other,100,6207,>98%,>98% reported,edison,2,unknown,,1837,,,4859,1381,72,19,0,0,0,0,0,0,2020-11-09T20:13:40Z,54.93603,R+55,Trump +55,republican,54.93603,5674,55,5168,39.74,west-virginia,2020-11-10T20:51:52.822476Z
54033,Harrison,30375,0,66,67,Other,99,30559,>98%,>98% reported,edison,4,all,,6885,,,20581,9149,458,104,83,0,0,0,0,0,2020-11-04T10:43:35Z,37.63621,R+38,Trump +38,republican,37.63621,28351,39,26147,23.5,west-virginia,2020-11-10T20:51:52.822476Z
54035,Jackson,13508,0,31,31,Merged into voters' home precincts and released with cumulative results,100,13320,>98%,>98% reported,edison,2,unknown,,6758,,,10093,3207,171,37,0,0,0,0,0,0,2020-11-10T19:03:46Z,50.9772,R+51,Trump +51,republican,50.9772,12304,51.7,11544,30.79,west-virginia,2020-11-10T20:51:52.822476Z
54037,Jefferson,27163,0,32,32,Released as a separate subtotal as first report of the night,99,27300,>98%,>98% reported,edison,4,some,,10602,,,14813,11831,406,113,0,0,0,0,0,0,2020-11-04T10:43:36Z,10.97817,R+11,Trump +11,republican,10.97817,24508,15,22138,3.88,west-virginia,2020-11-10T20:51:52.822476Z
54039,Kanawha,82531,42379,166,169,Merged into voters' home precincts and released with cumulative results,99,83259,>98%,>98% reported,edison,4,all,,23987,,,46398,34344,1224,278,287,19434,22203,486,139,117,2020-11-09T18:19:38Z,14.60542,R+15,Trump +15,republican,14.60542,76888,20.3,75077,11.83,west-virginia,2020-11-10T20:51:52.822476Z
54041,Lewis,7457,0,23,24,Merged into voters' home precincts and released with cumulative results,98,7621,98%,98% reported,edison,2,unknown,,2592,,,5782,1538,116,21,0,0,0,0,0,0,2020-11-09T20:13:39Z,56.91297,R+57,Trump +57,republican,56.91297,6936,56.6,6287,41.98,west-virginia,2020-11-10T20:51:52.822476Z
54043,Lincoln,7830,0,16,16,Other,100,7773,>98%,>98% reported,edison,2,unknown,,2981,,,6012,1711,85,22,0,0,0,0,0,0,2020-11-09T22:09:39Z,54.92976,R+55,Trump +55,republican,54.92976,7137,53.9,6818,31.62,west-virginia,2020-11-10T20:51:52.822476Z
54045,Logan,13026,0,34,36,None,96,13595,96%,96% reported,edison,2,unknown,,3142,,,10534,2333,134,25,0,0,0,0,0,0,2020-11-10T16:06:56Z,62.9587,R+63,Trump +63,republican,62.9587,12440,62.7,11946,39.79,west-virginia,2020-11-10T20:51:52.822476Z
54049,Marion,25854,14919,70,70,Merged into voters' home precincts and released with cumulative results,100,25170,>98%,>98% reported,edison,4,all,,7667,,,16300,8901,482,111,60,8194,6433,204,59,29,2020-11-09T20:13:39Z,28.6184,R+29,Trump +29,republican,28.6184,23364,33,21542,14.37,west-virginia,2020-11-10T20:51:52.822476Z
54051,Marshall,13666,0,35,37,None,95,14445,95%,95% reported,edison,2,unknown,,4835,,,10137,3348,137,44,0,0,0,0,0,0,2020-11-04T10:43:41Z,49.67803,R+50,Trump +50,republican,49.67803,13351,50.5,12916,28.27,west-virginia,2020-11-10T20:51:52.822476Z
54053,Mason,11149,0,30,30,Released as a separate subtotal as first report of the night,100,11205,>98%,>98% reported,edison,4,all,,4762,,,8422,2511,149,36,31,0,0,0,0,0,2020-11-04T10:43:42Z,53.01821,R+53,Trump +53,republican,53.01821,10269,54.3,9789,20.05,west-virginia,2020-11-10T20:51:52.822476Z
54047,McDowell,6494,0,35,37,None,95,6823,95%,95% reported,edison,2,unknown,,1014,,,5125,1323,29,17,0,0,0,0,0,0,2020-11-04T10:43:38Z,58.54635,R+59,Trump +59,republican,58.54635,6246,51.1,6188,29.9,west-virginia,2020-11-10T20:51:52.822476Z
