fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_scotta,results_hollidayl,results_write_ins,results_absentee_scotta,results_absentee_hollidayl,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
13003,Atkinson,2905,2020,4,4,None,87,3341,87%,87% reported,edison,2,unknown,2338,2201,704,0,1522,498,0,2020-11-05T03:48:47Z,51.53184,R+52,Scott +52,republican,GA-G-H-8-2020-11-03,ga-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",311096,232924,24,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,205,207,99% reporting,99%,91,340000,edison,91%,91% reported,edison,republican,FALSE,2020-11-10T23:27:54Z,TRUE,29.30221,91158,R+29,Scott +29,republican,"A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.","A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.",0,0,1604456699154
13017,Ben Hill,6393,5627,3,3,Other,100,6393,>98%,>98% reported,edison,6,all,5778,4168,2225,0,3718,1909,0,2020-11-05T03:49:30Z,30.39262,R+30,Scott +30,republican,GA-G-H-8-2020-11-03,ga-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",311096,232924,24,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,205,207,99% reporting,99%,91,340000,edison,91%,91% reported,edison,republican,FALSE,2020-11-10T23:27:54Z,TRUE,29.30221,91158,R+29,Scott +29,republican,"A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.","A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.",0,0,1604456699154
13019,Berrien,7496,5370,5,5,Released as a separate subtotal as first report of the night,89,8428,89%,89% reported,edison,2,unknown,4416,6349,1147,0,4531,839,0,2020-11-09T17:29:38Z,69.39701,R+69,Scott +69,republican,GA-G-H-8-2020-11-03,ga-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",311096,232924,24,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,205,207,99% reporting,99%,91,340000,edison,91%,91% reported,edison,republican,FALSE,2020-11-10T23:27:54Z,TRUE,29.30221,91158,R+29,Scott +29,republican,"A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.","A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.",0,0,1604456699154
13021,Bibb,24619,19131,11,11,Released as a separate subtotal in the middle of the tabulation,89,27596,89%,89% reported,edison,4,unknown,38674,13588,11002,29,10122,8989,20,2020-11-10T23:27:48Z,10.50408,R+11,Scott +11,republican,GA-G-H-8-2020-11-03,ga-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",311096,232924,24,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,205,207,99% reporting,99%,91,340000,edison,91%,91% reported,edison,republican,FALSE,2020-11-10T23:27:54Z,TRUE,29.30221,91158,R+29,Scott +29,republican,"A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.","A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.",0,0,1604456699154
13023,Bleckley,5588,4359,1,1,Merged into voters' home precincts and released with cumulative results,100,5437,>98%,>98% reported,edison,2,unknown,4032,4347,1241,0,3399,960,0,2020-11-06T22:20:42Z,55.58339,R+56,Scott +56,republican,GA-G-H-8-2020-11-03,ga-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",311096,232924,24,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,205,207,99% reporting,99%,91,340000,edison,91%,91% reported,edison,republican,FALSE,2020-11-10T23:27:54Z,TRUE,29.30221,91158,R+29,Scott +29,republican,"A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.","A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.",0,0,1604456699154
13027,Brooks,6829,4943,7,7,Released as a precinct as first report of the night,100,6810,>98%,>98% reported,edison,6,all,5648,4227,2602,0,2828,2115,0,2020-11-06T22:47:38Z,23.79558,R+24,Scott +24,republican,GA-G-H-8-2020-11-03,ga-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",311096,232924,24,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,205,207,99% reporting,99%,91,340000,edison,91%,91% reported,edison,republican,FALSE,2020-11-10T23:27:54Z,TRUE,29.30221,91158,R+29,Scott +29,republican,"A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.","A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.",0,0,1604456699154
13071,Colquitt,15623,10330,19,19,None,90,17409,90%,90% reported,edison,2,unknown,9626,11824,3799,0,7571,2759,0,2020-11-09T16:50:38Z,51.36657,R+51,Scott +51,republican,GA-G-H-8-2020-11-03,ga-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",311096,232924,24,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,205,207,99% reporting,99%,91,340000,edison,91%,91% reported,edison,republican,FALSE,2020-11-10T23:27:54Z,TRUE,29.30221,91158,R+29,Scott +29,republican,"A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.","A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.",0,0,1604456699154
13075,Cook,6827,5203,8,8,Released as a separate subtotal as first report of the night,88,7732,88%,88% reported,edison,2,unknown,5070,4917,1910,0,3791,1412,0,2020-11-06T20:30:38Z,44.0457,R+44,Scott +44,republican,GA-G-H-8-2020-11-03,ga-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",311096,232924,24,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,205,207,99% reporting,99%,91,340000,edison,91%,91% reported,edison,republican,FALSE,2020-11-10T23:27:54Z,TRUE,29.30221,91158,R+29,Scott +29,republican,"A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.","A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.",0,0,1604456699154
13091,Dodge,10901,4966,16,16,Released as a precinct as first report of the night,100,7785,>98%,>98% reported,edison,6,all,5826,8242,2659,0,3525,1441,0,2020-11-07T14:06:12Z,51.21548,R+51,Scott +51,republican,GA-G-H-8-2020-11-03,ga-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",311096,232924,24,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,205,207,99% reporting,99%,91,340000,edison,91%,91% reported,edison,republican,FALSE,2020-11-10T23:27:54Z,TRUE,29.30221,91158,R+29,Scott +29,republican,"A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.","A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.",0,0,1604456699154
13153,Houston,73508,55290,16,16,Other,96,76472,96%,96% reported,edison,2,some,53598,42880,30552,76,30878,24412,0,2020-11-07T01:27:37Z,16.77096,R+17,Scott +17,republican,GA-G-H-8-2020-11-03,ga-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-georgia.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-georgia.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,GA,georgia,Georgia,Ga.,vertical,1.3,"",FALSE,TRUE,winner,AP,FALSE,"",311096,232924,24,unknown,Polls close at 7 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,205,207,99% reporting,99%,91,340000,edison,91%,91% reported,edison,republican,FALSE,2020-11-10T23:27:54Z,TRUE,29.30221,91158,R+29,Scott +29,republican,"A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.","A small number of absentee, provisional and overseas military ballots remain uncounted. The secretary of state said Friday that because of the small margin between the presidential candidates, there will be a recount.",0,0,1604456699154
