fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,results_mcmorris_rodgersc,results_wilsond,results_write_ins,results_absentee_mcmorris_rodgersc,results_absentee_wilsond,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
53003,Asotin,11681,0,26,26,None,100,11294,>98%,>98% reported,edison,4,all,8131,3533,17,0,0,0,2020-11-06T22:04:41Z,39.36307,R+39,McMorris Rodgers +39,republican,WA-G-H-5-2020-11-03,wa-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-washington.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,WA,washington,Washington,Wash.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385899,0,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,659,689,96% reporting,96%,99,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T00:16:48Z,TRUE,21.98658,84846,R+22,McMorris Rodgers +22,republican,Postmarked ballots have until Nov. 23 to arrive.,Postmarked ballots have until Nov. 23 to arrive.,20,0,1604474383651
53013,Columbia,2372,0,12,13,None,94,2531,94%,94% reported,edison,2,unknown,1829,543,0,0,0,0,2020-11-04T10:44:00Z,54.21585,R+54,McMorris Rodgers +54,republican,WA-G-H-5-2020-11-03,wa-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-washington.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,WA,washington,Washington,Wash.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385899,0,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,659,689,96% reporting,96%,99,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T00:16:48Z,TRUE,21.98658,84846,R+22,McMorris Rodgers +22,republican,Postmarked ballots have until Nov. 23 to arrive.,Postmarked ballots have until Nov. 23 to arrive.,20,0,1604474383651
53019,Ferry,4219,0,19,19,None,100,4177,>98%,>98% reported,edison,4,some,2930,1274,15,0,0,0,2020-11-06T20:52:38Z,39.25101,R+39,McMorris Rodgers +39,republican,WA-G-H-5-2020-11-03,wa-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-washington.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,WA,washington,Washington,Wash.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385899,0,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,659,689,96% reporting,96%,99,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T00:16:48Z,TRUE,21.98658,84846,R+22,McMorris Rodgers +22,republican,Postmarked ballots have until Nov. 23 to arrive.,Postmarked ballots have until Nov. 23 to arrive.,20,0,1604474383651
53023,Garfield,1458,0,12,12,None,100,1445,>98%,>98% reported,edison,4,all,1183,272,3,0,0,0,2020-11-05T18:21:46Z,62.48285,R+62,McMorris Rodgers +62,republican,WA-G-H-5-2020-11-03,wa-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-washington.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,WA,washington,Washington,Wash.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385899,0,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,659,689,96% reporting,96%,99,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T00:16:48Z,TRUE,21.98658,84846,R+22,McMorris Rodgers +22,republican,Postmarked ballots have until Nov. 23 to arrive.,Postmarked ballots have until Nov. 23 to arrive.,20,0,1604474383651
53043,Lincoln,6843,0,46,46,None,100,6627,>98%,>98% reported,edison,4,unknown,5482,1349,12,0,0,0,2020-11-05T21:22:39Z,60.39749,R+60,McMorris Rodgers +60,republican,WA-G-H-5-2020-11-03,wa-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-washington.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,WA,washington,Washington,Wash.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385899,0,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,659,689,96% reporting,96%,99,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T00:16:48Z,TRUE,21.98658,84846,R+22,McMorris Rodgers +22,republican,Postmarked ballots have until Nov. 23 to arrive.,Postmarked ballots have until Nov. 23 to arrive.,20,0,1604474383651
53051,Pend Oreille,8331,0,27,27,None,100,7890,>98%,>98% reported,edison,2,unknown,6005,2326,0,0,0,0,2020-11-04T20:30:56Z,44.16036,R+44,McMorris Rodgers +44,republican,WA-G-H-5-2020-11-03,wa-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-washington.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,WA,washington,Washington,Wash.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385899,0,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,659,689,96% reporting,96%,99,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T00:16:48Z,TRUE,21.98658,84846,R+22,McMorris Rodgers +22,republican,Postmarked ballots have until Nov. 23 to arrive.,Postmarked ballots have until Nov. 23 to arrive.,20,0,1604474383651
53063,Spokane,289861,0,362,362,None,100,263605,>98%,>98% reported,edison,4,all,171791,118070,0,0,0,0,2020-11-11T00:16:47Z,18.53337,R+19,McMorris Rodgers +19,republican,WA-G-H-5-2020-11-03,wa-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-washington.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,WA,washington,Washington,Wash.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385899,0,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,659,689,96% reporting,96%,99,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T00:16:48Z,TRUE,21.98658,84846,R+22,McMorris Rodgers +22,republican,Postmarked ballots have until Nov. 23 to arrive.,Postmarked ballots have until Nov. 23 to arrive.,20,0,1604474383651
53065,Stevens,21382,0,47,58,None,81,26305,81%,81% reported,edison,4,some,15545,5805,32,0,0,0,2020-11-06T20:24:38Z,45.55233,R+46,McMorris Rodgers +46,republican,WA-G-H-5-2020-11-03,wa-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-washington.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,WA,washington,Washington,Wash.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385899,0,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,659,689,96% reporting,96%,99,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T00:16:48Z,TRUE,21.98658,84846,R+22,McMorris Rodgers +22,republican,Postmarked ballots have until Nov. 23 to arrive.,Postmarked ballots have until Nov. 23 to arrive.,20,0,1604474383651
53071,Walla Walla,21082,0,44,57,None,79,26827,79%,79% reported,edison,4,some,12401,8672,9,0,0,0,2020-11-07T02:20:39Z,17.68808,R+18,McMorris Rodgers +18,republican,WA-G-H-5-2020-11-03,wa-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-washington.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,WA,washington,Washington,Wash.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385899,0,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,659,689,96% reporting,96%,99,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T00:16:48Z,TRUE,21.98658,84846,R+22,McMorris Rodgers +22,republican,Postmarked ballots have until Nov. 23 to arrive.,Postmarked ballots have until Nov. 23 to arrive.,20,0,1604474383651
53075,Whitman,18768,0,64,69,None,93,20074,93%,93% reported,edison,4,unknown,10071,8678,19,0,0,0,2020-11-10T23:46:49Z,7.42221,R+7,McMorris Rodgers +7,republican,WA-G-H-5-2020-11-03,wa-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-washington.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-washington.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,WA,washington,Washington,Wash.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",385899,0,unknown,Polls close at 11 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T04:00:00.000Z,11 p.m.,659,689,96% reporting,96%,99,371000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T00:16:48Z,TRUE,21.98658,84846,R+22,McMorris Rodgers +22,republican,Postmarked ballots have until Nov. 23 to arrive.,Postmarked ballots have until Nov. 23 to arrive.,20,0,1604474383651
