fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,results_negusej,results_winnc,results_atkinsont,results_swingg,results_absentee_negusej,results_absentee_winnc,results_absentee_atkinsont,results_absentee_swingg,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
08013,Boulder,134764,0,146,177,Other,82,163897,82%,82% reported,edison,2,some,107763,24091,2402,508,0,0,0,0,2020-11-11T03:26:13Z,62.0878,D+62,Neguse +62,democrat,CO-G-H-2-2020-11-03,co-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",504623,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,550,606,91% reporting,91%,91,557000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-11T03:25:53Z,TRUE,25.72217,129800,D+26,Neguse +26,democrat,"","",0,0,1604459067018
08014,Broomfield,44982,0,37,37,Other,100,39904,>98%,>98% reported,edison,6,all,26802,16799,1158,223,0,0,0,0,2020-11-11T03:26:18Z,22.23778,D+22,Neguse +22,democrat,CO-G-H-2-2020-11-03,co-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",504623,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,550,606,91% reporting,91%,91,557000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-11T03:25:53Z,TRUE,25.72217,129800,D+26,Neguse +26,democrat,"","",0,0,1604459067018
08019,Clear Creek,6098,0,8,9,Other,88,6922,88%,88% reported,edison,2,some,3303,2555,204,36,0,0,0,0,2020-11-11T03:26:14Z,12.26632,D+12,Neguse +12,democrat,CO-G-H-2-2020-11-03,co-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",504623,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,550,606,91% reporting,91%,91,557000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-11T03:25:53Z,TRUE,25.72217,129800,D+26,Neguse +26,democrat,"","",0,0,1604459067018
08037,Eagle,6908,0,7,8,Other,100,6908,>98%,>98% reported,edison,6,some,4501,2133,216,58,0,0,0,0,2020-11-11T03:26:15Z,34.2791,D+34,Neguse +34,democrat,CO-G-H-2-2020-11-03,co-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",504623,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,550,606,91% reporting,91%,91,557000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-11T03:25:53Z,TRUE,25.72217,129800,D+26,Neguse +26,democrat,"","",0,0,1604459067018
08047,Gilpin,4058,0,6,6,Other,96,4220,96%,96% reported,edison,2,unknown,2122,1734,172,30,0,0,0,0,2020-11-11T03:26:15Z,9.56136,D+10,Neguse +10,democrat,CO-G-H-2-2020-11-03,co-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",504623,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,550,606,91% reporting,91%,91,557000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-11T03:25:53Z,TRUE,25.72217,129800,D+26,Neguse +26,democrat,"","",0,0,1604459067018
08049,Grand,9439,0,11,12,Other,93,10134,93%,93% reported,edison,2,unknown,4324,4763,300,52,0,0,0,0,2020-11-11T03:26:16Z,4.65092,R+5,Winn +5,republican,CO-G-H-2-2020-11-03,co-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",504623,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,550,606,91% reporting,91%,91,557000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-11T03:25:53Z,TRUE,25.72217,129800,D+26,Neguse +26,democrat,"","",0,0,1604459067018
08059,Jefferson,57564,0,46,50,Other,100,54083,>98%,>98% reported,edison,4,all,29129,26711,1482,242,0,0,0,0,2020-11-11T03:26:17Z,4.20054,D+4,Neguse +4,democrat,CO-G-H-2-2020-11-03,co-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",504623,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,550,606,91% reporting,91%,91,557000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-11T03:25:53Z,TRUE,25.72217,129800,D+26,Neguse +26,democrat,"","",0,0,1604459067018
08069,Larimer,217345,0,263,280,Other,94,231256,94%,94% reported,edison,4,some,117620,92096,6444,1185,0,0,0,0,2020-11-11T03:26:18Z,11.74354,D+12,Neguse +12,democrat,CO-G-H-2-2020-11-03,co-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",504623,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,550,606,91% reporting,91%,91,557000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-11T03:25:53Z,TRUE,25.72217,129800,D+26,Neguse +26,democrat,"","",0,0,1604459067018
08093,Park,5724,0,7,7,Other,93,6162,93%,93% reported,edison,2,unknown,2179,3275,235,35,0,0,0,0,2020-11-11T03:26:19Z,19.14745,R+19,Winn +19,republican,CO-G-H-2-2020-11-03,co-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",504623,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,550,606,91% reporting,91%,91,557000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-11T03:25:53Z,TRUE,25.72217,129800,D+26,Neguse +26,democrat,"","",0,0,1604459067018
08117,Summit,17741,0,19,20,Other,93,19085,93%,93% reported,edison,2,some,11605,5391,642,103,0,0,0,0,2020-11-11T03:26:17Z,35.02621,D+35,Neguse +35,democrat,CO-G-H-2-2020-11-03,co-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",504623,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,550,606,91% reporting,91%,91,557000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-11T03:25:53Z,TRUE,25.72217,129800,D+26,Neguse +26,democrat,"","",0,0,1604459067018
