fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_dunnn,results_write_ins,results_absentee_dunnn,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
12005,Bay,82114,0,41,44,Released as a precinct as first report of the night,94,87449,94%,94% reported,edison,4,unknown,82646,76963,5151,0,0,2020-11-11T03:25:14Z,87.45403,R+87,Dunn +87,republican,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",328203,132887,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,290,303,96% reporting,96%,92,355000,edison,92%,92% reported,edison,republican,FALSE,2020-11-11T03:26:32Z,TRUE,85.17747,279555,R+85,Dunn +85,republican,"","",0,0,1604451716493
12013,Calhoun,5816,4158,14,15,Released as a precinct as first report of the night,100,5812,>98%,>98% reported,edison,6,all,5416,5662,154,4030,128,2020-11-11T03:25:18Z,94.70426,R+95,Dunn +95,republican,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",328203,132887,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,290,303,96% reporting,96%,92,355000,edison,92%,92% reported,edison,republican,FALSE,2020-11-11T03:26:32Z,TRUE,85.17747,279555,R+85,Dunn +85,republican,"","",0,0,1604451716493
12023,Columbia,24372,19986,17,19,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,24384,>98%,>98% reported,edison,4,some,28810,23288,1084,18993,993,2020-11-11T03:25:37Z,91.10455,R+91,Dunn +91,republican,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",328203,132887,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,290,303,96% reporting,96%,92,355000,edison,92%,92% reported,edison,republican,FALSE,2020-11-11T03:26:32Z,TRUE,85.17747,279555,R+85,Dunn +85,republican,"","",0,0,1604451716493
12029,Dixie,7184,4757,11,12,Released as a separate subtotal as first report of the night,100,7184,>98%,>98% reported,edison,6,some,5219,6997,187,4757,0,2020-11-11T03:25:20Z,94.79399,R+95,Dunn +95,republican,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",328203,132887,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,290,303,96% reporting,96%,92,355000,edison,92%,92% reported,edison,republican,FALSE,2020-11-11T03:26:32Z,TRUE,85.17747,279555,R+85,Dunn +85,republican,"","",0,0,1604451716493
12037,Franklin,5660,4157,8,8,Released as a precinct as first report of the night,100,5660,>98%,>98% reported,edison,6,unknown,4651,5217,443,3767,390,2020-11-11T03:25:22Z,84.34629,R+84,Dunn +84,republican,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",328203,132887,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,290,303,96% reporting,96%,92,355000,edison,92%,92% reported,edison,republican,FALSE,2020-11-11T03:26:32Z,TRUE,85.17747,279555,R+85,Dunn +85,republican,"","",0,0,1604451716493
12041,Gilchrist,8747,5401,10,10,Released as a precinct as first report of the night,100,8177,>98%,>98% reported,edison,2,some,5958,8482,265,5180,221,2020-11-11T03:25:39Z,93.94078,R+94,Dunn +94,republican,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",328203,132887,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,290,303,96% reporting,96%,92,355000,edison,92%,92% reported,edison,republican,FALSE,2020-11-11T03:26:32Z,TRUE,85.17747,279555,R+85,Dunn +85,republican,"","",0,0,1604451716493
12045,Gulf,7105,0,10,10,Released as a precinct as first report of the night,100,7105,>98%,>98% reported,edison,6,all,7363,6804,301,0,0,2020-11-11T03:24:29Z,91.52709,R+92,Dunn +92,republican,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",328203,132887,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,290,303,96% reporting,96%,92,355000,edison,92%,92% reported,edison,republican,FALSE,2020-11-11T03:26:32Z,TRUE,85.17747,279555,R+85,Dunn +85,republican,"","",0,0,1604451716493
12059,Holmes,3036,2142,3,3,Released as a precinct as first report of the night,100,3036,>98%,>98% reported,edison,6,some,6853,2965,71,2142,0,2020-11-11T03:25:41Z,95.32279,R+95,Dunn +95,republican,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",328203,132887,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,290,303,96% reporting,96%,92,355000,edison,92%,92% reported,edison,republican,FALSE,2020-11-11T03:26:32Z,TRUE,85.17747,279555,R+85,Dunn +85,republican,"","",0,0,1604451716493
12063,Jackson,19152,14644,14,14,Released as a precinct as first report of the night,100,19152,>98%,>98% reported,edison,6,all,19451,18232,920,13837,807,2020-11-11T03:25:26Z,90.39265,R+90,Dunn +90,republican,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",328203,132887,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,290,303,96% reporting,96%,92,355000,edison,92%,92% reported,edison,republican,FALSE,2020-11-11T03:26:32Z,TRUE,85.17747,279555,R+85,Dunn +85,republican,"","",0,0,1604451716493
12065,Jefferson,645,0,2,2,Released as a precinct as first report of the night,100,586,>98%,>98% reported,edison,6,all,6382,586,59,0,0,2020-11-11T03:25:27Z,81.70543,R+82,Dunn +82,republican,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",328203,132887,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,290,303,96% reporting,96%,92,355000,edison,92%,92% reported,edison,republican,FALSE,2020-11-11T03:26:32Z,TRUE,85.17747,279555,R+85,Dunn +85,republican,"","",0,0,1604451716493
12067,Lafayette,3804,2180,5,5,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,3355,>98%,>98% reported,edison,6,all,2546,3306,498,2137,43,2020-11-11T03:25:28Z,73.81703,R+74,Dunn +74,republican,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",328203,132887,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,290,303,96% reporting,96%,92,355000,edison,92%,92% reported,edison,republican,FALSE,2020-11-11T03:26:32Z,TRUE,85.17747,279555,R+85,Dunn +85,republican,"","",0,0,1604451716493
12073,Leon,57439,0,60,66,Released as a precinct as first report of the night,77,74252,77%,77% reported,edison,2,unknown,120819,46996,10443,0,0,2020-11-11T03:25:29Z,63.63795,R+64,Dunn +64,republican,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",328203,132887,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,290,303,96% reporting,96%,92,355000,edison,92%,92% reported,edison,republican,FALSE,2020-11-11T03:26:32Z,TRUE,85.17747,279555,R+85,Dunn +85,republican,"","",0,0,1604451716493
12075,Levy,19814,12613,13,13,Released as a precinct as first report of the night,100,18836,>98%,>98% reported,edison,2,all,14018,18956,858,11914,699,2020-11-11T03:25:44Z,91.33946,R+91,Dunn +91,republican,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",328203,132887,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,290,303,96% reporting,96%,92,355000,edison,92%,92% reported,edison,republican,FALSE,2020-11-11T03:26:32Z,TRUE,85.17747,279555,R+85,Dunn +85,republican,"","",0,0,1604451716493
12077,Liberty,3046,2076,8,8,"As a precinct in the FIRST cumulative report, along with regular precincts",100,3046,>98%,>98% reported,edison,6,all,2738,2973,73,2076,0,2020-11-11T03:25:31Z,95.20683,R+95,Dunn +95,republican,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",328203,132887,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,290,303,96% reporting,96%,92,355000,edison,92%,92% reported,edison,republican,FALSE,2020-11-11T03:26:32Z,TRUE,85.17747,279555,R+85,Dunn +85,republican,"","",0,0,1604451716493
12083,Marion,26269,20361,20,20,Released as a separate subtotal as first report of the night,100,26269,>98%,>98% reported,edison,6,all,131621,24876,1393,19110,1251,2020-11-11T03:25:45Z,89.39434,R+89,Dunn +89,republican,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",328203,132887,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,290,303,96% reporting,96%,92,355000,edison,92%,92% reported,edison,republican,FALSE,2020-11-11T03:26:32Z,TRUE,85.17747,279555,R+85,Dunn +85,republican,"","",0,0,1604451716493
12121,Suwannee,18566,12753,16,16,Released as a precinct as first report of the night,100,18155,>98%,>98% reported,edison,2,some,14190,17947,619,12225,528,2020-11-11T03:25:33Z,93.3319,R+93,Dunn +93,republican,FL-G-H-2-2020-11-03,fl-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-florida.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-florida.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,FL,florida,Florida,Fla.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",328203,132887,15,unknown,First polls close at 7 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T00:00:00.000Z,7 p.m.,290,303,96% reporting,96%,92,355000,edison,92%,92% reported,edison,republican,FALSE,2020-11-11T03:26:32Z,TRUE,85.17747,279555,R+85,Dunn +85,republican,"","",0,0,1604451716493
