fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_palazzos,results_write_ins,results_absentee_palazzos,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
28023,Clarke,830,98,3,3,None,82,1018,82%,82% reported,edison,2,some,708,821,9,96,2,2020-11-11T03:26:20Z,97.83133,R+98,Palazzo +98,republican,MS-G-H-4-2020-11-03,ms-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",236170,98,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,332,342,97% reporting,97%,84,284000,edison,84%,84% reported,edison,republican,FALSE,2020-11-11T03:25:37Z,TRUE,92.1294,217582,R+92,Palazzo +92,republican,Ballots postmarked by Election Day are accepted until Nov. 10.,Ballots postmarked by Election Day are accepted until Nov. 10.,7,0,1604451743702
28035,Forrest,21398,0,34,34,None,76,28064,76%,76% reported,edison,4,unknown,1294,20209,1189,0,0,2020-11-11T03:26:20Z,88.88681,R+89,Palazzo +89,republican,MS-G-H-4-2020-11-03,ms-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",236170,98,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,332,342,97% reporting,97%,84,284000,edison,84%,84% reported,edison,republican,FALSE,2020-11-11T03:25:37Z,TRUE,92.1294,217582,R+92,Palazzo +92,republican,Ballots postmarked by Election Day are accepted until Nov. 10.,Ballots postmarked by Election Day are accepted until Nov. 10.,7,0,1604451743702
28039,George,9973,0,22,22,Released as a separate subtotal at the end of tabulation,100,9973,>98%,>98% reported,edison,6,all,208,9831,142,0,0,2020-11-11T03:26:21Z,97.15231,R+97,Palazzo +97,republican,MS-G-H-4-2020-11-03,ms-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",236170,98,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,332,342,97% reporting,97%,84,284000,edison,84%,84% reported,edison,republican,FALSE,2020-11-11T03:25:37Z,TRUE,92.1294,217582,R+92,Palazzo +92,republican,Ballots postmarked by Election Day are accepted until Nov. 10.,Ballots postmarked by Election Day are accepted until Nov. 10.,7,0,1604451743702
28041,Greene,5036,0,12,13,Released as a precinct at the end of tabulation,94,5369,94%,94% reported,edison,2,unknown,700,4975,61,0,0,2020-11-11T03:26:21Z,97.57744,R+98,Palazzo +98,republican,MS-G-H-4-2020-11-03,ms-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",236170,98,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,332,342,97% reporting,97%,84,284000,edison,84%,84% reported,edison,republican,FALSE,2020-11-11T03:25:37Z,TRUE,92.1294,217582,R+92,Palazzo +92,republican,Ballots postmarked by Election Day are accepted until Nov. 10.,Ballots postmarked by Election Day are accepted until Nov. 10.,7,0,1604451743702
28045,Hancock,15140,0,25,25,None,86,17637,86%,86% reported,edison,4,none,860,14581,559,0,0,2020-11-11T03:26:21Z,92.61559,R+93,Palazzo +93,republican,MS-G-H-4-2020-11-03,ms-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",236170,98,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,332,342,97% reporting,97%,84,284000,edison,84%,84% reported,edison,republican,FALSE,2020-11-11T03:25:37Z,TRUE,92.1294,217582,R+92,Palazzo +92,republican,Ballots postmarked by Election Day are accepted until Nov. 10.,Ballots postmarked by Election Day are accepted until Nov. 10.,7,0,1604451743702
28047,Harrison,52127,0,44,53,None,82,63313,82%,82% reported,edison,2,unknown,2776,48603,3524,0,0,2020-11-11T03:26:21Z,86.47918,R+86,Palazzo +86,republican,MS-G-H-4-2020-11-03,ms-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",236170,98,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,332,342,97% reporting,97%,84,284000,edison,84%,84% reported,edison,republican,FALSE,2020-11-11T03:25:37Z,TRUE,92.1294,217582,R+92,Palazzo +92,republican,Ballots postmarked by Election Day are accepted until Nov. 10.,Ballots postmarked by Election Day are accepted until Nov. 10.,7,0,1604451743702
28059,Jackson,38057,0,32,32,None,100,38057,>98%,>98% reported,edison,6,none,1386,36452,1605,0,0,2020-11-11T03:26:21Z,91.56528,R+92,Palazzo +92,republican,MS-G-H-4-2020-11-03,ms-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",236170,98,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,332,342,97% reporting,97%,84,284000,edison,84%,84% reported,edison,republican,FALSE,2020-11-11T03:25:37Z,TRUE,92.1294,217582,R+92,Palazzo +92,republican,Ballots postmarked by Election Day are accepted until Nov. 10.,Ballots postmarked by Election Day are accepted until Nov. 10.,7,0,1604451743702
28067,Jones,23013,0,37,37,None,81,28352,81%,81% reported,edison,2,some,1822,22479,534,0,0,2020-11-11T03:25:43Z,95.35914,R+95,Palazzo +95,republican,MS-G-H-4-2020-11-03,ms-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",236170,98,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,332,342,97% reporting,97%,84,284000,edison,84%,84% reported,edison,republican,FALSE,2020-11-11T03:25:37Z,TRUE,92.1294,217582,R+92,Palazzo +92,republican,Ballots postmarked by Election Day are accepted until Nov. 10.,Ballots postmarked by Election Day are accepted until Nov. 10.,7,0,1604451743702
28073,Lamar,21090,0,23,23,Released as a separate subtotal at the end of tabulation,86,24592,86%,86% reported,edison,4,unknown,946,20349,741,0,0,2020-11-11T03:25:44Z,92.97297,R+93,Palazzo +93,republican,MS-G-H-4-2020-11-03,ms-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",236170,98,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,332,342,97% reporting,97%,84,284000,edison,84%,84% reported,edison,republican,FALSE,2020-11-11T03:25:37Z,TRUE,92.1294,217582,R+92,Palazzo +92,republican,Ballots postmarked by Election Day are accepted until Nov. 10.,Ballots postmarked by Election Day are accepted until Nov. 10.,7,0,1604451743702
28091,Marion,9332,0,22,22,None,80,11693,80%,80% reported,edison,4,unknown,980,9175,157,0,0,2020-11-11T03:25:44Z,96.63523,R+97,Palazzo +97,republican,MS-G-H-4-2020-11-03,ms-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",236170,98,1,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,332,342,97% reporting,97%,84,284000,edison,84%,84% reported,edison,republican,FALSE,2020-11-11T03:25:37Z,TRUE,92.1294,217582,R+92,Palazzo +92,republican,Ballots postmarked by Election Day are accepted until Nov. 10.,Ballots postmarked by Election Day are accepted until Nov. 10.,7,0,1604451743702
