fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_arringtonj,results_watsont,results_burnesj,results_absentee_arringtonj,results_absentee_watsont,results_absentee_burnesj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
48017,Bailey,1821,1270,4,5,Released as a precinct as first report of the night,79,2303,79%,79% reported,edison,2,unknown,1464,1446,332,43,1042,211,17,2020-11-11T03:27:05Z,61.17518,R+61,Arrington +61,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",263935,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,341,391,87% reporting,87%,89,295000,edison,89%,89% reported,edison,republican,FALSE,2020-11-11T03:26:42Z,TRUE,52.02379,137309,R+52,Arrington +52,republican,"","",1,0,1604459431237
48033,Borden,407,303,7,8,Released as a precinct as first report of the night,86,471,86%,86% reported,edison,2,unknown,320,389,15,3,292,10,1,2020-11-11T03:27:05Z,91.89189,R+92,Arrington +92,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",263935,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,341,391,87% reporting,87%,89,295000,edison,89%,89% reported,edison,republican,FALSE,2020-11-11T03:26:42Z,TRUE,52.02379,137309,R+52,Arrington +52,republican,"","",1,0,1604459431237
48069,Castro,2011,1094,7,9,Released as a precinct as first report of the night,78,2576,78%,78% reported,edison,2,unknown,1417,1587,399,25,850,234,10,2020-11-11T03:27:06Z,59.07509,R+59,Arrington +59,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",263935,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,341,391,87% reporting,87%,89,295000,edison,89%,89% reported,edison,republican,FALSE,2020-11-11T03:26:42Z,TRUE,52.02379,137309,R+52,Arrington +52,republican,"","",1,0,1604459431237
48079,Cochran,984,669,3,4,Released as a precinct as first report of the night,85,1162,85%,85% reported,edison,2,unknown,604,805,162,17,552,110,7,2020-11-11T03:27:06Z,65.34553,R+65,Arrington +65,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",263935,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,341,391,87% reporting,87%,89,295000,edison,89%,89% reported,edison,republican,FALSE,2020-11-11T03:26:42Z,TRUE,52.02379,137309,R+52,Arrington +52,republican,"","",1,0,1604459431237
48107,Crosby,1888,1192,4,5,Released as a precinct as first report of the night,85,2211,85%,85% reported,edison,2,unknown,1368,1422,435,31,894,285,13,2020-11-11T03:26:57Z,52.27754,R+52,Arrington +52,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",263935,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,341,391,87% reporting,87%,89,295000,edison,89%,89% reported,edison,republican,FALSE,2020-11-11T03:26:42Z,TRUE,52.02379,137309,R+52,Arrington +52,republican,"","",1,0,1604459431237
48151,Fisher,1806,1293,4,5,Released as a precinct as first report of the night,81,2221,81%,81% reported,edison,2,unknown,1044,1451,326,29,1033,245,15,2020-11-11T03:27:06Z,62.29236,R+62,Arrington +62,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",263935,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,341,391,87% reporting,87%,89,295000,edison,89%,89% reported,edison,republican,FALSE,2020-11-11T03:26:42Z,TRUE,52.02379,137309,R+52,Arrington +52,republican,"","",1,0,1604459431237
48153,Floyd,1148,943,3,4,Released as a precinct as first report of the night,80,1434,80%,80% reported,edison,2,unknown,2191,890,240,18,748,185,10,2020-11-11T03:27:06Z,56.62021,R+57,Arrington +57,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",263935,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,341,391,87% reporting,87%,89,295000,edison,89%,89% reported,edison,republican,FALSE,2020-11-11T03:26:42Z,TRUE,52.02379,137309,R+52,Arrington +52,republican,"","",1,0,1604459431237
48165,Gaines,5708,4994,9,9,Released as a precinct as first report of the night,96,5946,96%,96% reported,edison,2,unknown,3944,5118,494,96,4519,403,72,2020-11-11T03:27:06Z,81.00911,R+81,Arrington +81,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",263935,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,341,391,87% reporting,87%,89,295000,edison,89%,89% reported,edison,republican,FALSE,2020-11-11T03:26:42Z,TRUE,52.02379,137309,R+52,Arrington +52,republican,"","",1,0,1604459431237
48169,Garza,1611,1215,6,7,Released as a precinct as first report of the night,84,1913,84%,84% reported,edison,2,unknown,1568,1393,199,19,1058,144,13,2020-11-11T03:27:07Z,74.11546,R+74,Arrington +74,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",263935,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,341,391,87% reporting,87%,89,295000,edison,89%,89% reported,edison,republican,FALSE,2020-11-11T03:26:42Z,TRUE,52.02379,137309,R+52,Arrington +52,republican,"","",1,0,1604459431237
48189,Hale,9365,7364,25,31,Released as a precinct as first report of the night,82,11396,82%,82% reported,edison,2,unknown,8534,7289,1894,182,5821,1428,115,2020-11-11T03:27:07Z,57.60812,R+58,Arrington +58,republican,TX-G-H-19-2020-11-03,tx-house-general-district-019-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-19.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 19,U.S. House,H,solid-rep,19,District 19,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",263935,219096,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,341,391,87% reporting,87%,89,295000,edison,89%,89% reported,edison,republican,FALSE,2020-11-11T03:26:42Z,TRUE,52.02379,137309,R+52,Arrington +52,republican,"","",1,0,1604459431237
