fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_gonzalest,results_ortiz_jonesg,results_villelab,results_absentee_gonzalest,results_absentee_ortiz_jonesg,results_absentee_villelab,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,nyt_race_description_race,race_rating_race,nyt_key_race_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
48029,Bexar,156709,140562,146,146,Released as a precinct as first report of the night,100,146200,>98%,>98% reported,edison,2,all,609654,77668,74444,4597,69281,67620,3661,2020-11-11T03:27:06Z,2.05732,R+2,Gonzales +2,republican,TX-G-H-23-2020-11-03,tx-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,"This majority-Hispanic congressional district has been a hard-fought battleground for Democrats and Republicans for decades, and <a href=""https://www.nytimes.com/2019/08/01/us/politics/will-hurd-retires.html"">the incumbent Will Hurd</a>, the only Black Republican in the House, is retiring. Gina Ortiz Jones, a former Air Force intelligence officer, is back on the Democratic ticket after losing a tight race to Mr. Hurd in 2018. She now faces Tony Gonzales, a Navy veteran. ",lean-dem,TRUE,23,District 23,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",305826,257432,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,336,367,92% reporting,92%,99,304000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:26:47Z,FALSE,3.04487,9312,R+3,Gonzales +3,republican,"","",1,0,1604477644793
48043,Brewster,4754,3958,8,9,Released as a precinct as first report of the night,100,4754,>98%,>98% reported,edison,6,unknown,4467,2374,2243,137,1934,1923,101,2020-11-11T03:27:06Z,2.75557,R+3,Gonzales +3,republican,TX-G-H-23-2020-11-03,tx-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,"This majority-Hispanic congressional district has been a hard-fought battleground for Democrats and Republicans for decades, and <a href=""https://www.nytimes.com/2019/08/01/us/politics/will-hurd-retires.html"">the incumbent Will Hurd</a>, the only Black Republican in the House, is retiring. Gina Ortiz Jones, a former Air Force intelligence officer, is back on the Democratic ticket after losing a tight race to Mr. Hurd in 2018. She now faces Tony Gonzales, a Navy veteran. ",lean-dem,TRUE,23,District 23,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",305826,257432,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,336,367,92% reporting,92%,99,304000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:26:47Z,FALSE,3.04487,9312,R+3,Gonzales +3,republican,"","",1,0,1604477644793
48103,Crane,1481,1069,3,4,Released as a precinct as first report of the night,82,1812,82%,82% reported,edison,2,unknown,1280,1191,259,31,874,175,20,2020-11-11T03:27:03Z,62.93045,R+63,Gonzales +63,republican,TX-G-H-23-2020-11-03,tx-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,"This majority-Hispanic congressional district has been a hard-fought battleground for Democrats and Republicans for decades, and <a href=""https://www.nytimes.com/2019/08/01/us/politics/will-hurd-retires.html"">the incumbent Will Hurd</a>, the only Black Republican in the House, is retiring. Gina Ortiz Jones, a former Air Force intelligence officer, is back on the Democratic ticket after losing a tight race to Mr. Hurd in 2018. She now faces Tony Gonzales, a Navy veteran. ",lean-dem,TRUE,23,District 23,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",305826,257432,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,336,367,92% reporting,92%,99,304000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:26:47Z,FALSE,3.04487,9312,R+3,Gonzales +3,republican,"","",1,0,1604477644793
48105,Crockett,1502,1160,4,5,Released as a precinct as first report of the night,82,1827,82%,82% reported,edison,2,unknown,1379,1138,340,24,886,257,17,2020-11-11T03:27:06Z,53.12916,R+53,Gonzales +53,republican,TX-G-H-23-2020-11-03,tx-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,"This majority-Hispanic congressional district has been a hard-fought battleground for Democrats and Republicans for decades, and <a href=""https://www.nytimes.com/2019/08/01/us/politics/will-hurd-retires.html"">the incumbent Will Hurd</a>, the only Black Republican in the House, is retiring. Gina Ortiz Jones, a former Air Force intelligence officer, is back on the Democratic ticket after losing a tight race to Mr. Hurd in 2018. She now faces Tony Gonzales, a Navy veteran. ",lean-dem,TRUE,23,District 23,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",305826,257432,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,336,367,92% reporting,92%,99,304000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:26:47Z,FALSE,3.04487,9312,R+3,Gonzales +3,republican,"","",1,0,1604477644793
48109,Culberson,803,532,5,6,Released as a precinct as first report of the night,80,1000,80%,80% reported,edison,2,unknown,681,350,429,24,227,295,10,2020-11-11T03:27:06Z,9.83811,D+10,Ortiz Jones +10,democrat,TX-G-H-23-2020-11-03,tx-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,"This majority-Hispanic congressional district has been a hard-fought battleground for Democrats and Republicans for decades, and <a href=""https://www.nytimes.com/2019/08/01/us/politics/will-hurd-retires.html"">the incumbent Will Hurd</a>, the only Black Republican in the House, is retiring. Gina Ortiz Jones, a former Air Force intelligence officer, is back on the Democratic ticket after losing a tight race to Mr. Hurd in 2018. She now faces Tony Gonzales, a Navy veteran. ",lean-dem,TRUE,23,District 23,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",305826,257432,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,336,367,92% reporting,92%,99,304000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:26:47Z,FALSE,3.04487,9312,R+3,Gonzales +3,republican,"","",1,0,1604477644793
48127,Dimmit,3568,2414,7,8,Released as a precinct as first report of the night,84,4225,84%,84% reported,edison,2,unknown,2084,1248,2242,78,808,1561,45,2020-11-11T03:27:07Z,27.85874,D+28,Ortiz Jones +28,democrat,TX-G-H-23-2020-11-03,tx-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,"This majority-Hispanic congressional district has been a hard-fought battleground for Democrats and Republicans for decades, and <a href=""https://www.nytimes.com/2019/08/01/us/politics/will-hurd-retires.html"">the incumbent Will Hurd</a>, the only Black Republican in the House, is retiring. Gina Ortiz Jones, a former Air Force intelligence officer, is back on the Democratic ticket after losing a tight race to Mr. Hurd in 2018. She now faces Tony Gonzales, a Navy veteran. ",lean-dem,TRUE,23,District 23,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",305826,257432,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,336,367,92% reporting,92%,99,304000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:26:47Z,FALSE,3.04487,9312,R+3,Gonzales +3,republican,"","",1,0,1604477644793
48137,Edwards,998,729,4,5,Released as a precinct as first report of the night,71,1403,71%,71% reported,edison,2,unknown,827,833,153,12,611,111,7,2020-11-11T03:26:54Z,68.13627,R+68,Gonzales +68,republican,TX-G-H-23-2020-11-03,tx-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,"This majority-Hispanic congressional district has been a hard-fought battleground for Democrats and Republicans for decades, and <a href=""https://www.nytimes.com/2019/08/01/us/politics/will-hurd-retires.html"">the incumbent Will Hurd</a>, the only Black Republican in the House, is retiring. Gina Ortiz Jones, a former Air Force intelligence officer, is back on the Democratic ticket after losing a tight race to Mr. Hurd in 2018. She now faces Tony Gonzales, a Navy veteran. ",lean-dem,TRUE,23,District 23,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",305826,257432,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,336,367,92% reporting,92%,99,304000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:26:47Z,FALSE,3.04487,9312,R+3,Gonzales +3,republican,"","",1,0,1604477644793
48141,El Paso,23242,17758,18,21,Released as a precinct as first report of the night,84,27792,84%,84% reported,edison,2,some,157724,6139,16091,1012,4497,12597,664,2020-11-11T03:27:02Z,42.81903,D+43,Ortiz Jones +43,democrat,TX-G-H-23-2020-11-03,tx-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,"This majority-Hispanic congressional district has been a hard-fought battleground for Democrats and Republicans for decades, and <a href=""https://www.nytimes.com/2019/08/01/us/politics/will-hurd-retires.html"">the incumbent Will Hurd</a>, the only Black Republican in the House, is retiring. Gina Ortiz Jones, a former Air Force intelligence officer, is back on the Democratic ticket after losing a tight race to Mr. Hurd in 2018. She now faces Tony Gonzales, a Navy veteran. ",lean-dem,TRUE,23,District 23,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",305826,257432,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,336,367,92% reporting,92%,99,304000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:26:47Z,FALSE,3.04487,9312,R+3,Gonzales +3,republican,"","",1,0,1604477644793
48163,Frio,5070,3583,9,10,Released as a precinct as first report of the night,88,5764,88%,88% reported,edison,2,some,2129,2460,2480,130,1668,1843,72,2020-11-11T03:27:04Z,0.39448,D+0.39,Ortiz Jones +0.39,democrat,TX-G-H-23-2020-11-03,tx-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,"This majority-Hispanic congressional district has been a hard-fought battleground for Democrats and Republicans for decades, and <a href=""https://www.nytimes.com/2019/08/01/us/politics/will-hurd-retires.html"">the incumbent Will Hurd</a>, the only Black Republican in the House, is retiring. Gina Ortiz Jones, a former Air Force intelligence officer, is back on the Democratic ticket after losing a tight race to Mr. Hurd in 2018. She now faces Tony Gonzales, a Navy veteran. ",lean-dem,TRUE,23,District 23,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",305826,257432,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,336,367,92% reporting,92%,99,304000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:26:47Z,FALSE,3.04487,9312,R+3,Gonzales +3,republican,"","",1,0,1604477644793
48229,Hudspeth,1098,574,5,5,Released as a precinct as first report of the night,96,1141,96%,96% reported,edison,2,unknown,355,652,410,36,349,209,16,2020-11-11T03:27:02Z,22.04007,R+22,Gonzales +22,republican,TX-G-H-23-2020-11-03,tx-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,"This majority-Hispanic congressional district has been a hard-fought battleground for Democrats and Republicans for decades, and <a href=""https://www.nytimes.com/2019/08/01/us/politics/will-hurd-retires.html"">the incumbent Will Hurd</a>, the only Black Republican in the House, is retiring. Gina Ortiz Jones, a former Air Force intelligence officer, is back on the Democratic ticket after losing a tight race to Mr. Hurd in 2018. She now faces Tony Gonzales, a Navy veteran. ",lean-dem,TRUE,23,District 23,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",305826,257432,29,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,336,367,92% reporting,92%,99,304000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:26:47Z,FALSE,3.04487,9312,R+3,Gonzales +3,republican,"","",1,0,1604477644793
