fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
13001,Appling,8341,6237,9,9,None,100,8341,>98%,>98% reported,edison,6,unknown,,4621,,,6526,1779,36,0,4764,1442,31,0,2020-11-11T03:26:21Z,56.91164,R+57,Trump +57,republican,56.91164,7012,57.9,7086,49.04,georgia,2020-11-11T12:17:47.978392Z
13003,Atkinson,3155,2174,4,4,None,100,3155,>98%,>98% reported,edison,6,unknown,,2338,,,2300,825,30,0,1583,575,16,0,2020-11-11T03:26:23Z,46.75119,R+47,Trump +47,republican,46.75119,2610,45.2,2902,34.73,georgia,2020-11-11T12:17:47.978392Z
13005,Bacon,4668,4087,1,1,"As a precinct in the FIRST cumulative report, along with regular precincts",100,4668,>98%,>98% reported,edison,10,unknown,,3600,,,4018,625,25,0,3586,484,17,0,2020-11-11T03:26:25Z,72.68638,R+73,Trump +73,republican,72.68638,4020,68.6,3931,58.56,georgia,2020-11-11T12:17:47.978392Z
13007,Baker,1555,1111,5,5,"Released as first report, then NOT included in cumulative results",100,1555,>98%,>98% reported,edison,10,unknown,,1091,,,897,652,6,0,604,503,4,0,2020-11-11T03:26:27Z,15.75563,R+16,Trump +16,republican,15.75563,1440,8.7,1589,-0.57,georgia,2020-11-11T12:17:47.978392Z
13009,Baldwin,18251,14783,14,14,Other,100,18251,>98%,>98% reported,edison,10,all,,14066,,,8903,9140,208,0,7026,7612,145,0,2020-11-11T03:26:28Z,1.29856,D+1.3,Biden +1.3,democrat,-1.29856,16116,-1.7,16238,-5.51,georgia,2020-11-11T12:17:47.978392Z
13011,Banks,8813,6984,13,13,None,100,8801,>98%,>98% reported,edison,6,unknown,,3683,,,7795,932,74,12,6141,779,54,10,2020-11-11T03:26:18Z,77.8736,R+78,Trump +78,republican,77.8736,6975,78.1,6195,73.83,georgia,2020-11-11T12:17:47.978392Z
13013,Barrow,38017,30087,8,8,None,100,38017,>98%,>98% reported,edison,10,unknown,,20877,,,26804,10453,664,96,20916,8733,438,0,2020-11-11T03:26:21Z,43.00971,R+43,Trump +43,republican,43.00971,29061,50,25199,50.39,georgia,2020-11-11T12:17:47.978392Z
13015,Bartow,50466,37807,17,17,None,100,50465,>98%,>98% reported,edison,6,unknown,,25757,,,37673,12091,701,1,27475,9909,423,0,2020-11-11T03:26:47Z,50.69155,R+51,Trump +51,republican,50.69155,39733,54.6,35802,51.62,georgia,2020-11-11T12:17:47.978392Z
13017,Ben Hill,6560,5764,3,3,Other,100,6560,>98%,>98% reported,edison,10,unknown,,5778,,,4110,2392,58,0,3668,2056,40,0,2020-11-11T03:26:47Z,26.18902,R+26,Trump +26,republican,26.18902,5936,27.6,5956,14.84,georgia,2020-11-11T12:17:47.978392Z
13019,Berrien,7743,5543,5,5,Released as a separate subtotal as first report of the night,100,7743,>98%,>98% reported,edison,10,unknown,,4416,,,6419,1269,55,0,4574,935,34,0,2020-11-11T03:26:48Z,66.51169,R+67,Trump +67,republican,66.51169,6590,66.4,6201,57.57,georgia,2020-11-11T12:17:47.978392Z
13021,Bibb,70945,53780,31,31,Released as a separate subtotal in the middle of the tabulation,100,70802,>98%,>98% reported,edison,6,unknown,,38674,,,26585,43468,749,143,18609,34648,447,76,2020-11-11T03:26:48Z,23.79731,D+24,Biden +24,democrat,-23.79731,62596,-20.4,64718,-20.03,georgia,2020-11-11T12:17:47.978392Z
13023,Bleckley,5706,4447,1,1,Merged into voters' home precincts and released with cumulative results,100,5706,>98%,>98% reported,edison,10,unknown,,4032,,,4328,1311,67,0,3384,1016,47,0,2020-11-11T03:26:49Z,52.87417,R+53,Trump +53,republican,52.87417,4974,52.6,4907,47.24,georgia,2020-11-11T12:17:47.978392Z
13025,Brantley,7746,5577,3,3,"As a precinct in the FIRST cumulative report, along with regular precincts",100,7746,>98%,>98% reported,edison,6,unknown,,3280,,,6991,699,56,0,4992,553,32,0,2020-11-11T03:26:49Z,81.22902,R+81,Trump +81,republican,81.22902,6301,78.5,6002,67.06,georgia,2020-11-11T12:17:47.978392Z
13027,Brooks,7100,5129,7,7,Released as a precinct as first report of the night,100,7100,>98%,>98% reported,edison,10,all,,5648,,,4260,2790,50,0,2831,2264,34,0,2020-11-11T03:26:49Z,20.70423,R+21,Trump +21,republican,20.70423,6336,18.5,6742,6.17,georgia,2020-11-11T12:17:47.978392Z
13029,Bryan,21340,17808,10,10,Released as a precinct in the middle of the night,100,21340,>98%,>98% reported,edison,6,unknown,,11968,,,14244,6739,357,0,11660,5899,249,0,2020-11-11T03:26:34Z,35.1687,R+35,Trump +35,republican,35.1687,15173,42.9,13453,43.51,georgia,2020-11-11T12:17:47.978392Z
13031,Bulloch,30084,20765,16,16,Other,100,30084,>98%,>98% reported,edison,10,unknown,,19275,,,18386,11243,455,0,11710,8793,262,0,2020-11-11T03:26:35Z,23.74352,R+24,Trump +24,republican,23.74352,25316,23.1,24085,19.02,georgia,2020-11-11T12:17:47.978392Z
13033,Burke,10684,7220,16,16,None,100,10684,>98%,>98% reported,edison,10,unknown,,6829,,,5400,5209,75,0,3451,3719,50,0,2020-11-11T03:26:36Z,1.78772,R+1.8,Trump +1.8,republican,1.78772,9351,-2.6,9779,-11.29,georgia,2020-11-11T12:17:47.978392Z
13035,Butts,11789,10558,1,1,Released as a precinct as first report of the night,100,11789,>98%,>98% reported,edison,6,all,,10779,,,8405,3272,91,21,7579,2895,69,15,2020-11-11T03:27:00Z,43.54059,R+44,Trump +44,republican,43.54059,9514,43.6,9381,35.58,georgia,2020-11-11T12:17:47.978392Z
13037,Calhoun,2194,1548,5,5,Merged into voters' home precincts and released with cumulative results,100,2194,>98%,>98% reported,edison,6,unknown,,1318,,,923,1260,11,0,644,899,5,0,2020-11-11T03:27:00Z,15.36007,D+15,Biden +15,democrat,-15.36007,2025,-17.2,2188,-18.97,georgia,2020-11-11T12:17:47.978392Z
13039,Camden,23688,18724,14,14,"As a precinct in the FIRST cumulative report, along with regular precincts",100,23688,>98%,>98% reported,edison,6,unknown,,14382,,,15251,7967,470,0,11626,6798,300,0,2020-11-11T03:27:00Z,30.74975,R+31,Trump +31,republican,30.74975,19069,33.5,17983,27.61,georgia,2020-11-11T12:17:47.978392Z
