fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_durbinr,results_curranm,results_maloufd,results_wilsonw,results_blackd,results_write_ins,results_absentee_durbinr,results_absentee_curranm,results_absentee_maloufd,results_absentee_wilsonw,results_absentee_blackd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
17001,Adams,33113,18889,68,74,Released as a separate subtotal at the end of tabulation,100,32202,>98%,>98% reported,edison,2,some,,8885,,,8777,23531,389,239,164,13,6354,12115,194,119,97,10,2020-11-11T03:25:56Z,44.55652,R+45,Curran +45,republican,illinois,2020-11-11T12:19:42.310073Z
17003,Alexander,5481,0,11,11,None,100,3010,>98%,>98% reported,edison,6,unknown,,1150,,,2770,2600,61,34,16,0,0,0,0,0,0,0,2020-11-11T03:25:57Z,3.10162,D+3,Durbin +3,democrat,illinois,2020-11-11T12:19:42.310073Z
17005,Bond,5917,0,18,25,Released as a precinct at the end of tabulation,100,1160,>98%,>98% reported,edison,6,unknown,,2398,,,1971,3740,113,49,44,0,0,0,0,0,0,0,2020-11-11T03:25:49Z,29.89691,R+30,Curran +30,republican,illinois,2020-11-11T12:19:42.310073Z
17007,Boone,24365,0,36,38,Other,100,22910,>98%,>98% reported,edison,4,some,,4522,,,9939,13460,400,319,247,0,0,0,0,0,0,0,2020-11-11T03:25:50Z,14.45106,R+14,Curran +14,republican,illinois,2020-11-11T12:19:42.310073Z
17009,Brown,2486,0,13,14,None,95,2604,95%,95% reported,edison,4,some,,594,,,634,1786,33,16,16,1,0,0,0,0,0,0,2020-11-11T03:25:51Z,46.3395,R+46,Curran +46,republican,illinois,2020-11-11T12:19:42.310073Z
17011,Bureau,16994,7344,46,50,Merged into voters' home precincts and released with cumulative results,94,18093,94%,94% reported,edison,4,unknown,,3786,,,6960,9379,254,280,121,0,3923,3247,72,62,40,0,2020-11-11T03:25:53Z,14.23444,R+14,Curran +14,republican,illinois,2020-11-11T12:19:42.310073Z
17013,Calhoun,2686,0,7,7,Other,95,2827,95%,95% reported,edison,4,all,,710,,,928,1693,30,17,18,0,0,0,0,0,0,0,2020-11-11T03:25:53Z,28.48101,R+28,Curran +28,republican,illinois,2020-11-11T12:19:42.310073Z
17015,Carroll,7898,0,21,22,Merged into voters' home precincts and released with cumulative results,100,1062,>98%,>98% reported,edison,6,unknown,,1638,,,2827,4834,105,91,41,0,0,0,0,0,0,0,2020-11-11T03:25:54Z,25.4115,R+25,Curran +25,republican,illinois,2020-11-11T12:19:42.310073Z
17017,Cass,5231,0,19,21,Other,93,5603,93%,93% reported,edison,4,some,,1222,,,1862,3259,47,28,34,1,0,0,0,0,0,0,2020-11-11T03:25:44Z,26.70617,R+27,Curran +27,republican,illinois,2020-11-11T12:19:42.310073Z
17019,Champaign,92333,66603,107,118,None,91,101437,91%,91% reported,edison,4,some,,23782,,,53462,34712,1484,1442,1180,53,43440,20446,873,941,867,36,2020-11-11T03:25:45Z,20.30693,D+20,Durbin +20,democrat,illinois,2020-11-11T12:19:42.310073Z
