fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_marshallr,results_bollierb,results_buckleyj,results_absentee_marshallr,results_absentee_bollierb,results_absentee_buckleyj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
20001,Allen,5796,2757,22,22,Other,78,7429,78%,78% reported,edison,6,unknown,,2827,,,3802,1686,308,1548,1087,122,2020-11-11T03:26:03Z,36.50794,R+37,Marshall +37,republican,kansas,2020-11-11T12:19:47.382434Z
20003,Anderson,3678,0,19,19,Merged into voters' home precincts and released with cumulative results,100,3664,>98%,>98% reported,edison,6,all,,1459,,,2594,824,260,0,0,0,2020-11-11T03:25:56Z,48.12398,R+48,Marshall +48,republican,kansas,2020-11-11T12:19:47.382434Z
20005,Atchison,7293,0,11,11,"As a precinct in the FIRST cumulative report, along with regular precincts",100,362,>98%,>98% reported,edison,6,unknown,,4051,,,4381,2393,519,0,0,0,2020-11-11T03:25:57Z,27.25902,R+27,Marshall +27,republican,kansas,2020-11-11T12:19:47.382434Z
20007,Barber,2294,0,21,23,"As a subtotal in the FIRST cumulative report, along with regular precincts",92,2507,92%,92% reported,edison,4,all,,1357,,,1860,321,113,0,0,0,2020-11-11T03:25:57Z,67.08806,R+67,Marshall +67,republican,kansas,2020-11-11T12:19:47.382434Z
20009,Barton,10914,2415,38,40,Merged into voters' home precincts and released with cumulative results,100,10891,>98%,>98% reported,edison,6,all,,7606,,,8036,2441,437,1897,446,72,2020-11-11T03:25:58Z,51.26443,R+51,Marshall +51,republican,kansas,2020-11-11T12:19:47.382434Z
20011,Bourbon,6485,3012,19,20,Released separately AFTER election night,96,6776,96%,96% reported,edison,2,some,,4810,,,4520,1654,311,1856,1018,138,2020-11-11T03:25:59Z,44.19429,R+44,Marshall +44,republican,kansas,2020-11-11T12:19:47.382434Z
20013,Brown,4361,0,17,18,Released as a separate subtotal as first report of the night,100,4377,>98%,>98% reported,edison,2,unknown,,2133,,,2925,1181,255,0,0,0,2020-11-11T03:26:00Z,39.99083,R+40,Marshall +40,republican,kansas,2020-11-11T12:19:47.382434Z
20015,Butler,31889,0,49,49,Merged into voters' home precincts and released with cumulative results,100,31708,>98%,>98% reported,edison,6,some,,10166,,,20955,9375,1559,0,0,0,2020-11-11T03:25:53Z,36.31346,R+36,Marshall +36,republican,kansas,2020-11-11T12:19:47.382434Z
20017,Chase,1475,0,11,11,"As a subtotal in the FIRST cumulative report, along with regular precincts",99,1484,>98%,>98% reported,edison,2,unknown,,946,,,1016,388,71,0,0,0,2020-11-11T03:25:54Z,42.57627,R+43,Marshall +43,republican,kansas,2020-11-11T12:19:47.382434Z
20019,Chautauqua,1617,0,14,14,Merged into voters' home precincts and released with cumulative results,91,1768,91%,91% reported,edison,2,unknown,,742,,,1340,225,52,0,0,0,2020-11-11T03:25:54Z,68.95485,R+69,Marshall +69,republican,kansas,2020-11-11T12:19:47.382434Z
20021,Cherokee,8875,0,35,38,Released as a separate subtotal as first report of the night,99,8925,>98%,>98% reported,edison,6,all,,2829,,,6084,2332,459,0,0,0,2020-11-11T03:25:54Z,42.27606,R+42,Marshall +42,republican,kansas,2020-11-11T12:19:47.382434Z
20023,Cheyenne,1445,0,7,8,Other,89,1621,89%,89% reported,edison,2,unknown,,1605,,,1144,237,64,0,0,0,2020-11-11T03:25:55Z,62.76817,R+63,Marshall +63,republican,kansas,2020-11-11T12:19:47.382434Z
20025,Clark,1039,483,6,7,Merged into voters' home precincts and released with cumulative results,90,1156,90%,90% reported,edison,4,all,,621,,,816,164,59,348,110,25,2020-11-11T03:25:56Z,62.75265,R+63,Marshall +63,republican,kansas,2020-11-11T12:19:47.382434Z
20027,Clay,4098,0,21,22,Other,94,4342,94%,94% reported,edison,2,unknown,,3531,,,2951,920,227,0,0,0,2020-11-11T03:25:47Z,49.56076,R+50,Marshall +50,republican,kansas,2020-11-11T12:19:47.382434Z
20029,Cloud,4137,2224,24,26,Released separately AFTER election night,90,4609,90%,90% reported,edison,2,some,,1701,,,2973,916,248,1394,699,131,2020-11-11T03:25:48Z,49.72202,R+50,Marshall +50,republican,kansas,2020-11-11T12:19:47.382434Z
20031,Coffey,4412,1300,21,22,"As a precinct in the FIRST cumulative report, along with regular precincts",99,4442,>98%,>98% reported,edison,6,all,,2402,,,3155,994,263,952,285,63,2020-11-11T03:25:50Z,48.98005,R+49,Marshall +49,republican,kansas,2020-11-11T12:19:47.382434Z
20033,Comanche,904,168,5,5,Merged into voters' home precincts and released with cumulative results,90,1006,90%,90% reported,edison,4,unknown,,280,,,702,153,49,101,58,9,2020-11-11T03:25:51Z,60.73009,R+61,Marshall +61,republican,kansas,2020-11-11T12:19:47.382434Z
