fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_smitht,results_lewisj,results_oconnork,results_steinbergo,results_absentee_smitht,results_absentee_lewisj,results_absentee_oconnork,results_absentee_steinbergo,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
27001,Aitkin,9840,0,50,54,Merged into voters' home precincts and released with cumulative results,98,10005,98%,98% reported,edison,6,all,,2973,,,3474,5761,462,143,0,0,0,0,2020-11-11T03:25:54Z,23.24187,R+23,Lewis +23,republican,minnesota,2020-11-11T12:20:02.315675Z
27003,Anoka,206686,0,123,128,Merged into voters' home precincts and released with cumulative results,96,215479,96%,96% reported,edison,2,some,,34809,,,89417,98041,15386,3842,0,0,0,0,2020-11-11T03:25:46Z,4.17251,R+4,Lewis +4,republican,minnesota,2020-11-11T12:20:02.315675Z
27005,Becker,19016,6167,46,48,Merged into voters' home precincts and released with cumulative results,100,19025,>98%,>98% reported,edison,6,all,,4508,,,6372,11275,1070,299,3298,2586,220,63,2020-11-11T03:25:47Z,25.78355,R+26,Lewis +26,republican,minnesota,2020-11-11T12:20:02.315675Z
27007,Beltrami,23823,0,60,63,Merged into voters' home precincts and released with cumulative results,94,25461,94%,94% reported,edison,2,unknown,,4845,,,9987,11468,1804,564,0,0,0,0,2020-11-11T03:25:48Z,6.21668,R+6,Lewis +6,republican,minnesota,2020-11-11T12:20:02.315675Z
27009,Benton,21753,0,25,27,Merged into voters' home precincts and released with cumulative results,98,22088,98%,98% reported,edison,2,unknown,,3225,,,6835,12914,1539,465,0,0,0,0,2020-11-11T03:25:49Z,27.94557,R+28,Lewis +28,republican,minnesota,2020-11-11T12:20:02.315675Z
27011,Big Stone,2945,0,21,23,Merged into voters' home precincts and released with cumulative results,99,2987,>98%,>98% reported,edison,4,some,,612,,,1106,1637,163,39,0,0,0,0,2020-11-11T03:25:49Z,18.03056,R+18,Lewis +18,republican,minnesota,2020-11-11T12:20:02.315675Z
27013,Blue Earth,35285,0,49,54,Merged into voters' home precincts and released with cumulative results,89,39485,89%,89% reported,edison,4,some,,5756,,,16527,15040,2847,871,0,0,0,0,2020-11-11T03:25:50Z,4.21426,D+4,Smith +4,democrat,minnesota,2020-11-11T12:20:02.315675Z
27015,Brown,14458,0,29,32,Merged into voters' home precincts and released with cumulative results,100,13777,>98%,>98% reported,edison,4,all,,2808,,,4808,8736,690,224,0,0,0,0,2020-11-11T03:25:43Z,27.16835,R+27,Lewis +27,republican,minnesota,2020-11-11T12:20:02.315675Z
27017,Carlton,19937,0,36,38,Merged into voters' home precincts and released with cumulative results,98,20361,98%,98% reported,edison,6,all,,3884,,,9577,8906,1093,361,0,0,0,0,2020-11-11T03:25:44Z,3.3656,D+3,Smith +3,democrat,minnesota,2020-11-11T12:20:02.315675Z
27019,Carver,65456,0,35,35,Merged into voters' home precincts and released with cumulative results,100,65382,>98%,>98% reported,edison,6,unknown,,12048,,,27613,33624,3292,927,0,0,0,0,2020-11-11T03:25:45Z,9.18327,R+9,Lewis +9,republican,minnesota,2020-11-11T12:20:02.315675Z
27021,Cass,18089,0,71,73,Merged into voters' home precincts and released with cumulative results,100,17708,>98%,>98% reported,edison,2,unknown,,4911,,,5913,10877,966,333,0,0,0,0,2020-11-11T03:25:45Z,27.44209,R+27,Lewis +27,republican,minnesota,2020-11-11T12:20:02.315675Z
27023,Chippewa,6524,0,23,25,Merged into voters' home precincts and released with cumulative results,100,6175,>98%,>98% reported,edison,2,some,,1308,,,2269,3807,358,90,0,0,0,0,2020-11-11T03:25:45Z,23.57449,R+24,Lewis +24,republican,minnesota,2020-11-11T12:20:02.315675Z
27025,Chisago,33744,0,22,23,Merged into voters' home precincts and released with cumulative results,100,33288,>98%,>98% reported,edison,2,some,,5696,,,11014,19699,2340,691,0,0,0,0,2020-11-11T03:25:46Z,25.73791,R+26,Lewis +26,republican,minnesota,2020-11-11T12:20:02.315675Z
27027,Clay,31508,0,54,58,Merged into voters' home precincts and released with cumulative results,92,34102,92%,92% reported,edison,2,unknown,,6609,,,15136,13308,2348,716,0,0,0,0,2020-11-11T03:25:38Z,5.8017,D+6,Smith +6,democrat,minnesota,2020-11-11T12:20:02.315675Z
27029,Clearwater,4613,0,27,29,Merged into voters' home precincts and released with cumulative results,100,4556,>98%,>98% reported,edison,4,some,,869,,,1224,3078,242,69,0,0,0,0,2020-11-11T03:25:39Z,40.19077,R+40,Lewis +40,republican,minnesota,2020-11-11T12:20:02.315675Z
27031,Cook,3712,0,12,13,Merged into voters' home precincts and released with cumulative results,100,3644,>98%,>98% reported,edison,2,some,,1133,,,2344,1162,133,73,0,0,0,0,2020-11-11T03:25:40Z,31.84267,D+32,Smith +32,democrat,minnesota,2020-11-11T12:20:02.315675Z
27033,Cottonwood,5989,0,26,29,Merged into voters' home precincts and released with cumulative results,93,6440,93%,93% reported,edison,2,unknown,,1245,,,1792,3792,320,85,0,0,0,0,2020-11-11T03:25:40Z,33.39456,R+33,Lewis +33,republican,minnesota,2020-11-11T12:20:02.315675Z
27035,Crow Wing,39562,0,59,62,Merged into voters' home precincts and released with cumulative results,100,39471,>98%,>98% reported,edison,4,none,,10353,,,12964,23792,2032,774,0,0,0,0,2020-11-11T03:25:41Z,27.3697,R+27,Lewis +27,republican,minnesota,2020-11-11T12:20:02.315675Z
27037,Dakota,256935,0,135,141,Merged into voters' home precincts and released with cumulative results,96,268470,96%,96% reported,edison,2,unknown,,57003,,,130887,106654,15257,4137,0,0,0,0,2020-11-11T03:25:43Z,9.43157,D+9,Smith +9,democrat,minnesota,2020-11-11T12:20:02.315675Z
27039,Dodge,11983,0,22,22,Merged into voters' home precincts and released with cumulative results,100,11733,>98%,>98% reported,edison,4,unknown,,1812,,,4011,6919,805,248,0,0,0,0,2020-11-11T03:25:35Z,24.26771,R+24,Lewis +24,republican,minnesota,2020-11-11T12:20:02.315675Z
27041,Douglas,23767,0,35,37,Merged into voters' home precincts and released with cumulative results,94,25271,94%,94% reported,edison,2,unknown,,5981,,,7616,14775,1055,321,0,0,0,0,2020-11-11T03:25:36Z,30.1216,R+30,Lewis +30,republican,minnesota,2020-11-11T12:20:02.315675Z
27043,Faribault,7747,0,30,33,Merged into voters' home precincts and released with cumulative results,100,7630,>98%,>98% reported,edison,2,unknown,,1508,,,2531,4624,444,148,0,0,0,0,2020-11-11T03:25:37Z,27.01691,R+27,Lewis +27,republican,minnesota,2020-11-11T12:20:02.315675Z
27045,Fillmore,11966,0,35,37,Merged into voters' home precincts and released with cumulative results,98,12174,98%,98% reported,edison,4,some,,1887,,,4696,6440,625,205,0,0,0,0,2020-11-11T03:25:37Z,14.57463,R+15,Lewis +15,republican,minnesota,2020-11-11T12:20:02.315675Z
27047,Freeborn,16531,0,36,41,Merged into voters' home precincts and released with cumulative results,100,16517,>98%,>98% reported,edison,4,unknown,,3864,,,6797,8364,1057,313,0,0,0,0,2020-11-11T03:25:37Z,9.47916,R+9,Lewis +9,republican,minnesota,2020-11-11T12:20:02.315675Z
27049,Goodhue,28332,0,38,40,Merged into voters' home precincts and released with cumulative results,95,29832,95%,95% reported,edison,2,unknown,,5379,,,11186,15171,1486,489,0,0,0,0,2020-11-11T03:25:38Z,14.06537,R+14,Lewis +14,republican,minnesota,2020-11-11T12:20:02.315675Z
27051,Grant,3595,0,21,23,Merged into voters' home precincts and released with cumulative results,96,3728,96%,96% reported,edison,2,unknown,,855,,,1349,2044,163,39,0,0,0,0,2020-11-11T03:25:30Z,19.33241,R+19,Lewis +19,republican,minnesota,2020-11-11T12:20:02.315675Z
27053,Hennepin,741279,0,399,425,Merged into voters' home precincts and released with cumulative results,94,788773,94%,94% reported,edison,2,unknown,,179553,,,478120,209753,41277,12129,0,0,0,0,2020-11-11T03:25:31Z,36.20324,D+36,Smith +36,democrat,minnesota,2020-11-11T12:20:02.315675Z
27055,Houston,11199,0,25,27,Merged into voters' home precincts and released with cumulative results,96,11678,96%,96% reported,edison,4,some,,1965,,,4478,5778,700,243,0,0,0,0,2020-11-11T03:25:32Z,11.60818,R+12,Lewis +12,republican,minnesota,2020-11-11T12:20:02.315675Z
27057,Hubbard,12798,0,36,38,Merged into voters' home precincts and released with cumulative results,96,13346,96%,96% reported,edison,2,unknown,,3437,,,4281,7713,572,232,0,0,0,0,2020-11-11T03:25:33Z,26.81669,R+27,Lewis +27,republican,minnesota,2020-11-11T12:20:02.315675Z
27059,Isanti,23806,0,19,19,Merged into voters' home precincts and released with cumulative results,100,20857,>98%,>98% reported,edison,2,unknown,,3609,,,6752,14775,1671,608,0,0,0,0,2020-11-11T03:25:33Z,33.70159,R+34,Lewis +34,republican,minnesota,2020-11-11T12:20:02.315675Z
27061,Itasca,26222,0,72,76,Merged into voters' home precincts and released with cumulative results,100,25925,>98%,>98% reported,edison,6,unknown,,5760,,,10463,13948,1353,458,0,0,0,0,2020-11-11T05:08:50Z,13.29037,R+13,Lewis +13,republican,minnesota,2020-11-11T12:20:02.315675Z
27063,Jackson,5702,0,25,28,Merged into voters' home precincts and released with cumulative results,94,6039,94%,94% reported,edison,2,unknown,,917,,,1743,3521,323,115,0,0,0,0,2020-11-11T03:25:27Z,31.18204,R+31,Lewis +31,republican,minnesota,2020-11-11T12:20:02.315675Z
27065,Kanabec,9028,0,19,20,Merged into voters' home precincts and released with cumulative results,100,8115,>98%,>98% reported,edison,4,all,,1575,,,2611,5656,576,185,0,0,0,0,2020-11-11T03:25:28Z,33.7284,R+34,Lewis +34,republican,minnesota,2020-11-11T12:20:02.315675Z
27067,Kandiyohi,22968,0,44,48,Merged into voters' home precincts and released with cumulative results,96,23977,96%,96% reported,edison,2,unknown,,5181,,,8117,13388,1151,312,0,0,0,0,2020-11-11T03:25:28Z,22.94932,R+23,Lewis +23,republican,minnesota,2020-11-11T12:20:02.315675Z
27069,Kittson,2596,0,37,39,Merged into voters' home precincts and released with cumulative results,99,2627,>98%,>98% reported,edison,6,all,,501,,,1116,1350,98,32,0,0,0,0,2020-11-11T03:25:29Z,9.01387,R+9,Lewis +9,republican,minnesota,2020-11-11T12:20:02.315675Z
27071,Koochiching,6745,0,20,22,Merged into voters' home precincts and released with cumulative results,100,6383,>98%,>98% reported,edison,4,all,,2004,,,2637,3629,365,114,0,0,0,0,2020-11-11T03:25:29Z,14.70719,R+15,Lewis +15,republican,minnesota,2020-11-11T12:20:02.315675Z
