fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_grahaml,results_harrisonj,results_bledsoeb,results_absentee_grahaml,results_absentee_harrisonj,results_absentee_bledsoeb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
45001,Abbeville,12439,6846,15,16,Merged into voters' home precincts and released with cumulative results,84,14800,84%,84% reported,edison,4,all,,3221,,,8025,4232,182,3824,2943,79,2020-11-11T03:25:02Z,30.4928,R+30,Graham +30,republican,south-carolina,2020-11-11T12:20:29.135574Z
45003,Aiken,85164,44583,80,84,"As a precinct in the FIRST cumulative report, along with regular precincts",100,83950,>98%,>98% reported,edison,4,all,,20973,,,51080,32829,1255,23821,20375,387,2020-11-11T03:25:03Z,21.43042,R+21,Graham +21,republican,south-carolina,2020-11-11T12:20:29.135574Z
45005,Allendale,3625,2431,7,8,Released as a precinct as first report of the night,86,4229,86%,86% reported,edison,4,some,,2170,,,833,2773,19,391,2031,9,2020-11-11T03:25:05Z,53.51724,D+54,Harrison +54,democrat,south-carolina,2020-11-11T12:20:29.135574Z
45007,Anderson,96035,31149,79,79,Released as a precinct at the end of tabulation,100,95693,>98%,>98% reported,edison,6,all,,15738,,,66655,28075,1305,17564,13326,259,2020-11-11T03:25:06Z,40.17285,R+40,Graham +40,republican,south-carolina,2020-11-11T12:20:29.135574Z
45009,Bamberg,6477,3648,11,13,Released as a separate subtotal at the end of tabulation,93,6990,93%,93% reported,edison,4,all,,1944,,,2373,4060,44,1043,2593,12,2020-11-11T03:25:07Z,26.04601,D+26,Harrison +26,democrat,south-carolina,2020-11-11T12:20:29.135574Z
45011,Barnwell,10312,5604,14,15,"As a precinct in the FIRST cumulative report, along with regular precincts",96,10713,96%,96% reported,edison,4,none,,2475,,,5378,4806,128,2582,2975,47,2020-11-11T03:25:10Z,5.54694,R+6,Graham +6,republican,south-carolina,2020-11-11T12:20:29.135574Z
45013,Beaufort,97915,56478,95,95,Released as a precinct at the end of tabulation,100,88070,>98%,>98% reported,edison,4,all,,27701,,,53575,43489,851,26492,29697,289,2020-11-11T03:25:12Z,10.30077,R+10,Graham +10,republican,south-carolina,2020-11-11T12:20:29.135574Z
45015,Berkeley,104391,57049,96,96,"As a precinct in the FIRST cumulative report, along with regular precincts",99,105000,>98%,>98% reported,edison,4,all,,19053,,,56358,46233,1800,26522,29906,621,2020-11-11T03:25:14Z,9.69911,R+10,Graham +10,republican,south-carolina,2020-11-11T12:20:29.135574Z
45017,Calhoun,8299,4334,11,12,Released as a precinct as first report of the night,98,8457,98%,98% reported,edison,2,unknown,,2608,,,4201,3975,123,1593,2702,39,2020-11-11T03:25:15Z,2.72322,R+3,Graham +3,republican,south-carolina,2020-11-11T12:20:29.135574Z
45019,Charleston,219114,161511,182,182,Released as a precinct as first report of the night,100,215071,>98%,>98% reported,edison,6,some,,54234,,,95401,121517,2196,65652,94679,1180,2020-11-11T03:25:17Z,11.91891,D+12,Harrison +12,democrat,south-carolina,2020-11-11T12:20:29.135574Z
