fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_lummisc,results_ben_davidm,results_absentee_lummisc,results_absentee_ben_davidm,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
56001,Albany,18255,0,13,14,Released as a separate subtotal as first report of the night,100,18255,>98%,>98% reported,edison,6,all,,7554,,,9217,9038,0,0,2020-11-11T03:25:56Z,0.98055,R+0.98,Lummis +0.98,republican,wyoming,2020-11-11T12:20:44.541589Z
56003,Big Horn,5643,0,12,13,Merged into voters' home precincts and released with cumulative results,95,5955,95%,95% reported,edison,2,some,,1650,,,4887,756,0,0,2020-11-11T03:25:57Z,73.20574,R+73,Lummis +73,republican,wyoming,2020-11-11T12:20:44.541589Z
56005,Campbell,18896,18896,14,37,Merged into voters' home precincts and released with cumulative results,97,19564,97%,97% reported,edison,6,all,,8522,,,16958,1938,16958,1938,2020-11-11T03:24:54Z,79.48772,R+79,Lummis +79,republican,wyoming,2020-11-11T12:20:44.541589Z
56007,Carbon,6530,2814,17,19,Merged into voters' home precincts and released with cumulative results,90,7233,90%,90% reported,edison,2,some,,2373,,,5089,1441,1881,933,2020-11-11T03:24:59Z,55.86524,R+56,Lummis +56,republican,wyoming,2020-11-11T12:20:44.541589Z
56009,Converse,6742,0,17,19,Merged into voters' home precincts and released with cumulative results,90,7452,90%,90% reported,edison,2,some,,2742,,,5714,1028,0,0,2020-11-11T03:24:59Z,69.5046,R+70,Lummis +70,republican,wyoming,2020-11-11T12:20:44.541589Z
56011,Crook,4025,0,16,17,Merged into voters' home precincts and released with cumulative results,94,4285,94%,94% reported,edison,2,some,,1090,,,3653,372,0,0,2020-11-11T03:25:56Z,81.51553,R+82,Lummis +82,republican,wyoming,2020-11-11T12:20:44.541589Z
56013,Fremont,17699,0,31,33,Merged into voters' home precincts and released with cumulative results,93,19066,93%,93% reported,edison,2,unknown,,5466,,,12314,5385,0,0,2020-11-11T03:25:56Z,39.1491,R+39,Lummis +39,republican,wyoming,2020-11-11T12:20:44.541589Z
56015,Goshen,6116,0,24,25,Merged into voters' home precincts and released with cumulative results,94,6492,94%,94% reported,edison,2,unknown,,1994,,,4910,1206,0,0,2020-11-11T03:25:56Z,60.56246,R+61,Lummis +61,republican,wyoming,2020-11-11T12:20:44.541589Z
56017,Hot Springs,2528,0,3,4,Merged into voters' home precincts and released with cumulative results,87,2896,87%,87% reported,edison,2,unknown,,862,,,2001,527,0,0,2020-11-11T03:25:45Z,58.30696,R+58,Lummis +58,republican,wyoming,2020-11-11T12:20:44.541589Z
56019,Johnson,4826,0,16,16,Merged into voters' home precincts and released with cumulative results,98,4947,98%,98% reported,edison,2,some,,1765,,,3921,905,0,0,2020-11-11T03:25:45Z,62.49482,R+62,Lummis +62,republican,wyoming,2020-11-11T12:20:44.541589Z
56021,Laramie,44394,0,59,61,Merged into voters' home precincts and released with cumulative results,97,45885,97%,97% reported,edison,2,unknown,,24234,,,29276,15118,0,0,2020-11-11T03:25:45Z,31.8917,R+32,Lummis +32,republican,wyoming,2020-11-11T12:20:44.541589Z
56023,Lincoln,10306,0,15,15,Merged into voters' home precincts and released with cumulative results,97,10600,97%,97% reported,edison,4,some,,3246,,,8846,1460,0,0,2020-11-11T03:25:46Z,71.66699,R+72,Lummis +72,republican,wyoming,2020-11-11T12:20:44.541589Z
56025,Natrona,34265,17039,42,46,Released as a precinct as first report of the night,92,37350,92%,92% reported,edison,4,all,,11960,,,25057,9208,11105,5934,2020-11-11T03:25:46Z,46.2542,R+46,Lummis +46,republican,wyoming,2020-11-11T12:20:44.541589Z
56027,Niobrara,1289,377,5,6,None,88,1472,88%,88% reported,edison,2,some,,480,,,1133,156,301,76,2020-11-11T03:25:47Z,75.79519,R+76,Lummis +76,republican,wyoming,2020-11-11T12:20:44.541589Z
56029,Park,16288,0,29,30,Merged into voters' home precincts and released with cumulative results,98,16699,98%,98% reported,edison,6,all,,6325,,,13176,3112,0,0,2020-11-11T03:25:47Z,61.78782,R+62,Lummis +62,republican,wyoming,2020-11-11T12:20:44.541589Z
56031,Platte,4860,1964,12,13,Merged into voters' home precincts and released with cumulative results,96,5072,96%,96% reported,edison,2,all,,1712,,,3962,898,1406,558,2020-11-11T03:25:48Z,63.04527,R+63,Lummis +63,republican,wyoming,2020-11-11T12:20:44.541589Z
56033,Sheridan,16065,0,29,29,None,98,16428,98%,98% reported,edison,6,all,,5912,,,12287,3778,0,0,2020-11-11T03:24:55Z,52.96608,R+53,Lummis +53,republican,wyoming,2020-11-11T12:20:44.541589Z
56035,Sublette,4839,0,7,7,Merged into voters' home precincts and released with cumulative results,97,5000,97%,97% reported,edison,2,some,,1936,,,4004,835,0,0,2020-11-11T03:24:58Z,65.48874,R+65,Lummis +65,republican,wyoming,2020-11-11T12:20:44.541589Z
56037,Sweetwater,16193,0,31,37,Merged into voters' home precincts and released with cumulative results,98,16489,98%,98% reported,edison,6,all,,4187,,,12320,3873,0,0,2020-11-11T03:24:59Z,52.16452,R+52,Lummis +52,republican,wyoming,2020-11-11T12:20:44.541589Z
56039,Teton,14400,0,19,19,Released as a separate subtotal as first report of the night,100,14142,>98%,>98% reported,edison,2,unknown,,7958,,,5370,9030,0,0,2020-11-11T03:24:59Z,25.41667,D+25,Ben-David +25,democrat,wyoming,2020-11-11T12:20:44.541589Z
56041,Uinta,9145,3823,10,10,Merged into voters' home precincts and released with cumulative results,96,9486,96%,96% reported,edison,2,some,,3219,,,7548,1597,2832,991,2020-11-11T03:25:03Z,65.07381,R+65,Lummis +65,republican,wyoming,2020-11-11T12:20:44.541589Z
