fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_blankenshipd,results_carrollb,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_blankenshipd,results_absentee_carrollb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
55001,Adams,11808,0,20,20,Merged into voters' home precincts and released with cumulative results,100,11808,>98%,>98% reported,edison,6,unknown,,2010,,,4329,7362,84,27,4,2,0,0,0,0,0,0,2020-11-11T03:25:49Z,25.68598,R+26,Trump +26,republican,25.68598,10130,21.9,10287,-8.73,wisconsin,2020-11-12T00:35:04.863642Z
55003,Ashland,8744,0,17,17,Merged into voters' home precincts and released with cumulative results,100,8744,>98%,>98% reported,edison,6,unknown,,1553,,,4794,3845,67,11,11,16,0,0,0,0,0,0,2020-11-11T03:25:50Z,10.85316,D+11,Biden +11,democrat,-10.85316,8032,-11.5,8372,-30.81,wisconsin,2020-11-12T00:35:04.863642Z
55005,Barron,25345,0,36,36,Merged into voters' home precincts and released with cumulative results,100,25333,>98%,>98% reported,edison,6,unknown,,4648,,,9194,15803,262,37,20,29,0,0,0,0,0,0,2020-11-11T03:25:51Z,26.07615,R+26,Trump +26,republican,26.07615,22671,25.3,22692,2.44,wisconsin,2020-11-12T00:35:04.863642Z
55007,Bayfield,10885,0,29,29,Merged into voters' home precincts and released with cumulative results,100,10885,>98%,>98% reported,edison,6,unknown,,2054,,,6155,4617,80,11,13,9,0,0,0,0,0,0,2020-11-11T03:25:52Z,14.12954,D+14,Biden +14,democrat,-14.12954,9612,-8.6,9788,-24.83,wisconsin,2020-11-12T00:35:04.863642Z
55009,Brown,144011,0,95,95,Merged into voters' home precincts and released with cumulative results,100,144011,>98%,>98% reported,edison,6,unknown,,55945,,,65509,75865,1829,215,205,388,0,0,0,0,0,0,2020-11-11T03:25:53Z,7.19112,R+7,Trump +7,republican,7.19112,129011,10.7,128928,1.79,wisconsin,2020-11-12T00:35:04.863642Z
55011,Buffalo,7811,0,23,23,Merged into voters' home precincts and released with cumulative results,100,7811,>98%,>98% reported,edison,6,unknown,,1338,,,2859,4834,75,20,10,13,0,0,0,0,0,0,2020-11-11T03:25:48Z,25.28485,R+25,Trump +25,republican,25.28485,6981,21.8,7039,-2.93,wisconsin,2020-11-12T00:35:04.863642Z
55013,Burnett,10141,0,24,24,Merged into voters' home precincts and released with cumulative results,100,10141,>98%,>98% reported,edison,6,all,,1150,,,3569,6461,86,13,9,3,0,0,0,0,0,0,2020-11-11T03:25:49Z,28.5179,R+29,Trump +29,republican,28.5179,8738,28.2,8677,6.5,wisconsin,2020-11-12T00:35:04.863642Z
55015,Calumet,30858,0,36,36,Merged into voters' home precincts and released with cumulative results,100,30858,>98%,>98% reported,edison,6,unknown,,10174,,,12115,18142,363,102,75,61,0,0,0,0,0,0,2020-11-11T03:25:49Z,19.5314,R+20,Trump +20,republican,19.5314,26595,21.5,26420,11.54,wisconsin,2020-11-12T00:35:04.863642Z
55017,Chippewa,35945,0,47,47,Merged into voters' home precincts and released with cumulative results,100,35945,>98%,>98% reported,edison,6,some,,5366,,,14001,21316,487,60,44,37,0,0,0,0,0,0,2020-11-11T03:25:50Z,20.35054,R+20,Trump +20,republican,20.35054,31568,19.1,30932,0.27,wisconsin,2020-11-12T00:35:04.863642Z
55019,Clark,14873,0,51,51,Merged into voters' home precincts and released with cumulative results,100,14873,>98%,>98% reported,edison,6,unknown,,1937,,,4520,10001,167,31,147,7,0,0,0,0,0,0,2020-11-11T03:25:51Z,36.85201,R+37,Trump +37,republican,36.85201,13673,32.4,13801,8.98,wisconsin,2020-11-12T00:35:04.863642Z
55021,Columbia,33917,0,40,40,Merged into voters' home precincts and released with cumulative results,100,33917,>98%,>98% reported,edison,6,unknown,,8394,,,16408,16925,421,61,32,70,0,0,0,0,0,0,2020-11-11T03:25:52Z,1.52431,R+1.5,Trump +1.5,republican,1.52431,29698,2.1,30546,-13.58,wisconsin,2020-11-12T00:35:04.863642Z
55023,Crawford,8698,0,27,27,Merged into voters' home precincts and released with cumulative results,100,8698,>98%,>98% reported,edison,6,unknown,,1396,,,3953,4620,92,18,12,3,0,0,0,0,0,0,2020-11-11T03:25:45Z,7.66843,R+8,Trump +8,republican,7.66843,7728,5.4,7817,-19.98,wisconsin,2020-11-12T00:35:04.863642Z
55025,Dane,344745,0,240,240,Merged into voters' home precincts and released with cumulative results,100,344745,>98%,>98% reported,edison,6,all,,123182,,,260157,78789,3666,404,583,1146,0,0,0,0,0,0,2020-11-11T03:25:45Z,52.60932,D+53,Biden +53,democrat,-52.60932,309354,-47.3,304181,-43.54,wisconsin,2020-11-12T00:35:04.863642Z
55027,Dodge,48497,0,61,61,Merged into voters' home precincts and released with cumulative results,100,48497,>98%,>98% reported,edison,6,unknown,,10082,,,16355,31354,535,90,81,82,0,0,0,0,0,0,2020-11-11T03:25:45Z,30.92769,R+31,Trump +31,republican,30.92769,43078,29.4,44488,14.5,wisconsin,2020-11-12T00:35:04.863642Z
55029,Door,20117,0,21,21,Merged into voters' home precincts and released with cumulative results,100,20117,>98%,>98% reported,edison,6,unknown,,6534,,,10044,9752,231,27,22,41,0,0,0,0,0,0,2020-11-11T03:25:46Z,1.45151,D+1.5,Biden +1.5,democrat,-1.45151,17592,3.2,17671,-6.99,wisconsin,2020-11-12T00:35:04.863642Z
