fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_petersg,results_jamesj,results_willisv,results_squierm,results_dernd,results_absentee_petersg,results_absentee_jamesj,results_absentee_willisv,results_absentee_squierm,results_absentee_dernd,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
26001,Alcona,6997,0,12,12,Merged into voters' home precincts and released with cumulative results,99,7063,>98%,>98% reported,edison,6,all,,731,,,2284,4614,50,34,15,0,0,0,0,0,2020-11-11T03:25:40Z,33.29999,R+33,James +33,republican,michigan,2020-11-12T00:37:51.545845Z
26003,Alger,5082,0,9,9,Merged into voters' home precincts and released with cumulative results,99,5135,>98%,>98% reported,edison,6,some,,484,,,2089,2919,36,31,7,0,0,0,0,0,2020-11-11T03:25:41Z,16.33215,R+16,James +16,republican,michigan,2020-11-12T00:37:51.545845Z
26005,Allegan,66430,0,42,42,Merged into voters' home precincts and released with cumulative results,99,67182,>98%,>98% reported,edison,6,unknown,,9594,,,22937,42351,594,416,132,0,0,0,0,0,2020-11-11T03:25:43Z,29.22475,R+29,James +29,republican,michigan,2020-11-12T00:37:51.545845Z
26007,Alpena,16771,0,19,19,Merged into voters' home precincts and released with cumulative results,100,16771,>98%,>98% reported,edison,6,all,,2738,,,6273,10257,119,82,40,0,0,0,0,0,2020-11-11T03:25:44Z,23.75529,R+24,James +24,republican,michigan,2020-11-12T00:37:51.545845Z
26009,Antrim,17219,0,16,16,Merged into voters' home precincts AFTER election night,100,15415,>98%,>98% reported,edison,2,unknown,,2188,,,6807,9345,960,81,26,0,0,0,0,0,2020-11-11T03:25:45Z,14.73953,R+15,James +15,republican,michigan,2020-11-12T00:37:51.545845Z
26011,Arenac,8711,0,15,15,Merged into voters' home precincts and released with cumulative results,99,8830,>98%,>98% reported,edison,6,unknown,,563,,,3084,5443,103,48,33,0,0,0,0,0,2020-11-11T03:25:37Z,27.0807,R+27,James +27,republican,michigan,2020-11-12T00:37:51.545845Z
26013,Baraga,4000,0,8,8,Merged into voters' home precincts and released with cumulative results,99,4033,>98%,>98% reported,edison,6,unknown,,489,,,1528,2409,31,23,9,0,0,0,0,0,2020-11-11T03:25:37Z,22.025,R+22,James +22,republican,michigan,2020-11-12T00:37:51.545845Z
26015,Barry,35580,0,24,24,Merged into voters' home precincts and released with cumulative results,99,35914,>98%,>98% reported,edison,6,unknown,,5623,,,11379,23499,366,241,95,0,0,0,0,0,2020-11-11T03:25:37Z,34.06408,R+34,James +34,republican,michigan,2020-11-12T00:37:51.545845Z
26017,Bay,60200,0,75,75,Merged into voters' home precincts and released with cumulative results,100,53505,>98%,>98% reported,edison,6,unknown,,11503,,,27579,31521,571,385,144,0,0,0,0,0,2020-11-11T03:25:38Z,6.54817,R+7,James +7,republican,michigan,2020-11-12T00:37:51.545845Z
26019,Benzie,12168,0,13,13,Merged into voters' home precincts and released with cumulative results,99,12259,>98%,>98% reported,edison,6,unknown,,2388,,,5328,6691,58,66,25,0,0,0,0,0,2020-11-11T03:25:39Z,11.20151,R+11,James +11,republican,michigan,2020-11-12T00:37:51.545845Z
26021,Berrien,81118,0,59,62,Merged into voters' home precincts and released with cumulative results,95,85000,95%,95% reported,edison,2,none,,15349,,,34777,44800,764,568,209,0,0,0,0,0,2020-11-11T03:25:39Z,12.35607,R+12,James +12,republican,michigan,2020-11-12T00:37:51.545845Z
26023,Branch,20285,0,22,22,Merged into voters' home precincts and released with cumulative results,99,20540,>98%,>98% reported,edison,6,unknown,,2519,,,6121,13686,277,132,69,0,0,0,0,0,2020-11-11T03:25:30Z,37.29357,R+37,James +37,republican,michigan,2020-11-12T00:37:51.545845Z
26025,Calhoun,64827,0,67,67,Merged into voters' home precincts and released with cumulative results,99,65568,>98%,>98% reported,edison,6,all,,9574,,,27700,35474,882,553,218,0,0,0,0,0,2020-11-11T03:25:32Z,11.99192,R+12,James +12,republican,michigan,2020-11-12T00:37:51.545845Z
26027,Cass,25851,0,24,24,Merged into voters' home precincts and released with cumulative results,99,26221,>98%,>98% reported,edison,6,unknown,,2750,,,8565,16814,253,161,58,0,0,0,0,0,2020-11-11T03:25:33Z,31.90979,R+32,James +32,republican,michigan,2020-11-12T00:37:51.545845Z
26029,Charlevoix,16888,0,20,20,Merged into voters' home precincts and released with cumulative results,99,17000,>98%,>98% reported,edison,6,unknown,,2686,,,6664,10030,83,82,29,0,0,0,0,0,2020-11-11T03:25:34Z,19.93131,R+20,James +20,republican,michigan,2020-11-12T00:37:51.545845Z
26031,Cheboygan,15718,0,22,22,None,99,15849,>98%,>98% reported,edison,6,unknown,,2254,,,5471,10014,121,82,30,0,0,0,0,0,2020-11-11T03:25:35Z,28.90317,R+29,James +29,republican,michigan,2020-11-12T00:37:51.545845Z
26033,Chippewa,17493,0,18,18,Merged into voters' home precincts and released with cumulative results,99,17675,>98%,>98% reported,edison,6,all,,1942,,,6732,10498,128,102,33,0,0,0,0,0,2020-11-11T03:25:36Z,21.52861,R+22,James +22,republican,michigan,2020-11-12T00:37:51.545845Z
26035,Clare,16107,0,20,20,Merged into voters' home precincts and released with cumulative results,99,16280,>98%,>98% reported,edison,6,unknown,,2290,,,5373,10467,124,96,47,0,0,0,0,0,2020-11-11T03:25:25Z,31.626,R+32,James +32,republican,michigan,2020-11-12T00:37:51.545845Z
26037,Clinton,47408,4481,34,34,Merged into voters' home precincts and released with cumulative results,99,47902,>98%,>98% reported,edison,6,unknown,,9045,,,21485,25267,304,266,86,2784,1647,24,21,5,2020-11-11T03:25:28Z,7.97756,R+8,James +8,republican,michigan,2020-11-12T00:37:51.545845Z
26039,Crawford,7586,0,10,10,Merged into voters' home precincts and released with cumulative results,99,7665,>98%,>98% reported,edison,6,some,,1244,,,2594,4889,51,33,19,0,0,0,0,0,2020-11-11T03:25:28Z,30.2531,R+30,James +30,republican,michigan,2020-11-12T00:37:51.545845Z
26041,Delta,20917,0,27,27,Merged into voters' home precincts and released with cumulative results,99,21154,>98%,>98% reported,edison,6,all,,3134,,,7827,12828,126,97,39,0,0,0,0,0,2020-11-11T03:25:29Z,23.90878,R+24,James +24,republican,michigan,2020-11-12T00:37:51.545845Z
