fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,results_buckk,results_mccorklei,results_griffithb,results_irelandl,results_absentee_buckk,results_absentee_mccorklei,results_absentee_griffithb,results_absentee_irelandl,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
08001,Adams,4784,0,6,6,Other,99,4846,>98%,>98% reported,edison,4,all,3578,1005,130,71,0,0,0,0,2020-11-11T03:25:30Z,53.78344,R+54,Buck +54,republican,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",468809,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,507,528,96% reporting,96%,99,475000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,23.65142,110880,R+24,Buck +24,republican,"","",0,0,1604459787450
08005,Arapahoe,5036,0,6,6,Other,99,5063,>98%,>98% reported,edison,4,some,3857,1000,141,38,0,0,0,0,2020-11-11T03:25:29Z,56.73153,R+57,Buck +57,republican,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",468809,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,507,528,96% reporting,96%,99,475000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,23.65142,110880,R+24,Buck +24,republican,"","",0,0,1604459787450
08009,Baca,2134,0,8,9,Other,100,2134,>98%,>98% reported,edison,6,unknown,1796,272,41,25,0,0,0,0,2020-11-11T03:25:16Z,71.41518,R+71,Buck +71,republican,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",468809,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,507,528,96% reporting,96%,99,475000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,23.65142,110880,R+24,Buck +24,republican,"","",0,0,1604459787450
08011,Bent,2184,0,5,5,Other,96,2274,96%,96% reported,edison,2,unknown,1469,631,45,39,0,0,0,0,2020-11-11T03:25:17Z,38.36996,R+38,Buck +38,republican,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",468809,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,507,528,96% reporting,96%,99,475000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,23.65142,110880,R+24,Buck +24,republican,"","",0,0,1604459787450
08013,Boulder,54289,0,59,63,Other,93,58110,93%,93% reported,edison,2,some,18310,34228,1194,557,0,0,0,0,2020-11-11T03:25:18Z,29.32086,D+29,McCorkle +29,democrat,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",468809,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,507,528,96% reporting,96%,99,475000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,23.65142,110880,R+24,Buck +24,republican,"","",0,0,1604459787450
08017,Cheyenne,1092,0,4,5,Other,84,1300,84%,84% reported,edison,4,some,966,98,15,13,0,0,0,0,2020-11-11T03:25:19Z,79.48718,R+79,Buck +79,republican,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",468809,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,507,528,96% reporting,96%,99,475000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,23.65142,110880,R+24,Buck +24,republican,"","",0,0,1604459787450
08025,Crowley,1697,0,6,6,Other,94,1802,94%,94% reported,edison,4,unknown,1245,378,41,33,0,0,0,0,2020-11-11T03:25:19Z,51.09016,R+51,Buck +51,republican,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",468809,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,507,528,96% reporting,96%,99,475000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,23.65142,110880,R+24,Buck +24,republican,"","",0,0,1604459787450
08035,Douglas,154560,0,114,114,Other,100,148803,>98%,>98% reported,edison,6,all,92058,57629,3686,1187,0,0,0,0,2020-11-11T03:25:31Z,22.27549,R+22,Buck +22,republican,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",468809,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,507,528,96% reporting,96%,99,475000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,23.65142,110880,R+24,Buck +24,republican,"","",0,0,1604459787450
08039,Elbert,18138,0,14,15,Other,96,18854,96%,96% reported,edison,2,unknown,13854,3742,405,137,0,0,0,0,2020-11-11T03:25:29Z,55.75036,R+56,Buck +56,republican,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",468809,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,507,528,96% reporting,96%,99,475000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,23.65142,110880,R+24,Buck +24,republican,"","",0,0,1604459787450
08061,Kiowa,881,0,3,4,Other,87,1009,87%,87% reported,edison,2,unknown,787,77,13,4,0,0,0,0,2020-11-11T03:25:20Z,80.59024,R+81,Buck +81,republican,CO-G-H-4-2020-11-03,co-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",468809,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,507,528,96% reporting,96%,99,475000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-11T03:25:54Z,TRUE,23.65142,110880,R+24,Buck +24,republican,"","",0,0,1604459787450
