fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_hickenlooperj,results_gardnerc,results_doaner,results_doyled,results_evanss,results_write_ins,results_absentee_hickenlooperj,results_absentee_gardnerc,results_absentee_doaner,results_absentee_doyled,results_absentee_evanss,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
08001,Adams,233628,0,260,260,Other,100,228525,>98%,>98% reported,edison,4,all,,,,,129220,97547,4847,1065,949,,0,0,0,0,0,,2020-11-11T03:25:06Z,13.55702,D+14,Hickenlooper +14,democrat,colorado,2020-11-12T12:19:56.459270Z
08003,Alamosa,7420,0,7,8,Other,91,8188,91%,91% reported,edison,4,unknown,,,,,3591,3674,94,38,23,,0,0,0,0,0,,2020-11-11T03:25:06Z,1.1186,R+1.1,Gardner +1.1,republican,colorado,2020-11-12T12:19:56.459270Z
08005,Arapahoe,345311,0,377,390,Other,97,357594,97%,97% reported,edison,4,some,,,,,202078,135480,5596,1062,1095,,0,0,0,0,0,,2020-11-11T03:25:07Z,19.28638,D+19,Hickenlooper +19,democrat,colorado,2020-11-12T12:19:56.459270Z
08007,Archuleta,8909,0,8,8,Other,100,8577,>98%,>98% reported,edison,6,all,,,,,3549,5162,158,26,14,,0,0,0,0,0,,2020-11-11T03:25:08Z,18.10529,R+18,Gardner +18,republican,colorado,2020-11-12T12:19:56.459270Z
08009,Baca,2164,0,8,9,Other,99,2193,>98%,>98% reported,edison,6,unknown,,,,,323,1791,31,12,7,,0,0,0,0,0,,2020-11-11T03:25:09Z,67.83734,R+68,Gardner +68,republican,colorado,2020-11-12T12:19:56.459270Z
08011,Bent,2211,0,5,5,Other,100,2131,>98%,>98% reported,edison,2,unknown,,,,,694,1452,32,26,7,,0,0,0,0,0,,2020-11-11T03:25:10Z,34.28313,R+34,Gardner +34,republican,colorado,2020-11-12T12:19:56.459270Z
08013,Boulder,193087,0,209,240,Other,87,222008,87%,87% reported,edison,2,some,,,,,146039,43753,2600,294,401,,0,0,0,0,0,,2020-11-11T03:25:02Z,52.97405,D+53,Hickenlooper +53,democrat,colorado,2020-11-12T12:19:56.459270Z
08014,Broomfield,45871,0,37,37,Other,100,40958,>98%,>98% reported,edison,6,all,,,,,27259,17738,695,81,98,,0,0,0,0,0,,2020-11-11T03:25:14Z,20.75603,D+21,Hickenlooper +21,democrat,colorado,2020-11-12T12:19:56.459270Z
08015,Chaffee,13488,0,9,9,Other,100,13275,>98%,>98% reported,edison,2,unknown,,,,,6907,6296,231,32,22,,0,0,0,0,0,,2020-11-11T03:25:03Z,4.52995,D+5,Hickenlooper +5,democrat,colorado,2020-11-12T12:19:56.459270Z
08017,Cheyenne,1095,0,4,5,Other,91,1209,91%,91% reported,edison,4,some,,,,,113,971,7,2,2,,0,0,0,0,0,,2020-11-11T03:25:04Z,78.35616,R+78,Gardner +78,republican,colorado,2020-11-12T12:19:56.459270Z
08019,Clear Creek,6224,0,8,9,Other,91,6824,91%,91% reported,edison,2,some,,,,,3386,2703,110,15,10,,0,0,0,0,0,,2020-11-11T03:25:04Z,10.97365,D+11,Hickenlooper +11,democrat,colorado,2020-11-12T12:19:56.459270Z
08021,Conejos,4226,0,9,10,Other,100,4113,>98%,>98% reported,edison,6,all,,,,,1950,2225,24,18,9,,0,0,0,0,0,,2020-11-11T03:25:05Z,6.50734,R+7,Gardner +7,republican,colorado,2020-11-12T12:19:56.459270Z
