fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,results_hinsona,results_finkenauera,results_absentee_hinsona,results_absentee_finkenauera,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,nyt_race_description_race,race_rating_race,nyt_key_race_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
19005,Allamakee,7292,4751,11,11,None,91,7974,91%,91% reported,edison,4,all,4595,2697,2632,2119,2020-11-11T03:26:18Z,26.02852,R+26,Hinson +26,republican,IA-G-H-1-2020-11-03,ia-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,"Representative Abby Finkenauer, a Democrat, flipped this northeast Iowa seat from red to blue in 2018. But Republicans hope to win it back with State Representative Ashley Hinson, a former television anchor who has outraised Ms. Finkenauer in the last two quarters.",tossup,TRUE,1,District 1,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,TRUE,democrat,412731,248737,20,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,394,412,96% reporting,96%,91,454000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-11T03:26:27Z,TRUE,2.61744,10803,R+3,Hinson +3,republican,"","",6,-1,1604504320534
19011,Benton,14472,6413,19,19,None,91,15898,91%,91% reported,edison,4,some,9165,5307,3213,3200,2020-11-11T03:26:19Z,26.65837,R+27,Hinson +27,republican,IA-G-H-1-2020-11-03,ia-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,"Representative Abby Finkenauer, a Democrat, flipped this northeast Iowa seat from red to blue in 2018. But Republicans hope to win it back with State Representative Ashley Hinson, a former television anchor who has outraised Ms. Finkenauer in the last two quarters.",tossup,TRUE,1,District 1,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,TRUE,democrat,412731,248737,20,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,394,412,96% reporting,96%,91,454000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-11T03:26:27Z,TRUE,2.61744,10803,R+3,Hinson +3,republican,"","",6,-1,1604504320534
19013,Black Hawk,65393,40432,62,63,None,89,73741,89%,89% reported,edison,4,unknown,29333,36060,14064,26368,2020-11-11T03:26:08Z,10.28703,D+10,Finkenauer +10,democrat,IA-G-H-1-2020-11-03,ia-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,"Representative Abby Finkenauer, a Democrat, flipped this northeast Iowa seat from red to blue in 2018. But Republicans hope to win it back with State Representative Ashley Hinson, a former television anchor who has outraised Ms. Finkenauer in the last two quarters.",tossup,TRUE,1,District 1,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,TRUE,democrat,412731,248737,20,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,394,412,96% reporting,96%,91,454000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-11T03:26:27Z,TRUE,2.61744,10803,R+3,Hinson +3,republican,"","",6,-1,1604504320534
19017,Bremer,14036,8113,14,14,None,91,15506,91%,91% reported,edison,4,unknown,8000,6036,3680,4433,2020-11-11T03:26:08Z,13.99259,R+14,Hinson +14,republican,IA-G-H-1-2020-11-03,ia-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,"Representative Abby Finkenauer, a Democrat, flipped this northeast Iowa seat from red to blue in 2018. But Republicans hope to win it back with State Representative Ashley Hinson, a former television anchor who has outraised Ms. Finkenauer in the last two quarters.",tossup,TRUE,1,District 1,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,TRUE,democrat,412731,248737,20,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,394,412,96% reporting,96%,91,454000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-11T03:26:27Z,TRUE,2.61744,10803,R+3,Hinson +3,republican,"","",6,-1,1604504320534
19019,Buchanan,10661,5496,11,11,None,91,11771,91%,91% reported,edison,4,all,6180,4481,2483,3013,2020-11-11T03:26:09Z,15.93659,R+16,Hinson +16,republican,IA-G-H-1-2020-11-03,ia-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,"Representative Abby Finkenauer, a Democrat, flipped this northeast Iowa seat from red to blue in 2018. But Republicans hope to win it back with State Representative Ashley Hinson, a former television anchor who has outraised Ms. Finkenauer in the last two quarters.",tossup,TRUE,1,District 1,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,TRUE,democrat,412731,248737,20,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,394,412,96% reporting,96%,91,454000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-11T03:26:27Z,TRUE,2.61744,10803,R+3,Hinson +3,republican,"","",6,-1,1604504320534
19043,Clayton,9485,4676,13,14,None,90,10508,90%,90% reported,edison,2,none,5895,3590,2233,2443,2020-11-11T03:26:10Z,24.30153,R+24,Hinson +24,republican,IA-G-H-1-2020-11-03,ia-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,"Representative Abby Finkenauer, a Democrat, flipped this northeast Iowa seat from red to blue in 2018. But Republicans hope to win it back with State Representative Ashley Hinson, a former television anchor who has outraised Ms. Finkenauer in the last two quarters.",tossup,TRUE,1,District 1,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,TRUE,democrat,412731,248737,20,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,394,412,96% reporting,96%,91,454000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-11T03:26:27Z,TRUE,2.61744,10803,R+3,Hinson +3,republican,"","",6,-1,1604504320534
19055,Delaware,9888,4761,11,12,None,93,10640,93%,93% reported,edison,2,unknown,6608,3280,2605,2156,2020-11-11T03:26:11Z,33.65696,R+34,Hinson +34,republican,IA-G-H-1-2020-11-03,ia-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,"Representative Abby Finkenauer, a Democrat, flipped this northeast Iowa seat from red to blue in 2018. But Republicans hope to win it back with State Representative Ashley Hinson, a former television anchor who has outraised Ms. Finkenauer in the last two quarters.",tossup,TRUE,1,District 1,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,TRUE,democrat,412731,248737,20,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,394,412,96% reporting,96%,91,454000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-11T03:26:27Z,TRUE,2.61744,10803,R+3,Hinson +3,republican,"","",6,-1,1604504320534
19061,Dubuque,52804,33727,35,36,None,92,57092,92%,92% reported,edison,4,unknown,26263,26541,12936,20791,2020-11-11T03:26:12Z,0.52648,D+0.53,Finkenauer +0.53,democrat,IA-G-H-1-2020-11-03,ia-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,"Representative Abby Finkenauer, a Democrat, flipped this northeast Iowa seat from red to blue in 2018. But Republicans hope to win it back with State Representative Ashley Hinson, a former television anchor who has outraised Ms. Finkenauer in the last two quarters.",tossup,TRUE,1,District 1,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,TRUE,democrat,412731,248737,20,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,394,412,96% reporting,96%,91,454000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-11T03:26:27Z,TRUE,2.61744,10803,R+3,Hinson +3,republican,"","",6,-1,1604504320534
19065,Fayette,10083,5367,25,26,None,100,10074,>98%,>98% reported,edison,6,all,5984,4099,2539,2828,2020-11-11T03:26:13Z,18.69483,R+19,Hinson +19,republican,IA-G-H-1-2020-11-03,ia-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,"Representative Abby Finkenauer, a Democrat, flipped this northeast Iowa seat from red to blue in 2018. But Republicans hope to win it back with State Representative Ashley Hinson, a former television anchor who has outraised Ms. Finkenauer in the last two quarters.",tossup,TRUE,1,District 1,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,TRUE,democrat,412731,248737,20,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,394,412,96% reporting,96%,91,454000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-11T03:26:27Z,TRUE,2.61744,10803,R+3,Hinson +3,republican,"","",6,-1,1604504320534
19089,Howard,4837,2474,8,9,None,100,4836,>98%,>98% reported,edison,6,all,2944,1893,1201,1273,2020-11-11T03:26:20Z,21.72834,R+22,Hinson +22,republican,IA-G-H-1-2020-11-03,ia-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-iowa.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-iowa.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,"Representative Abby Finkenauer, a Democrat, flipped this northeast Iowa seat from red to blue in 2018. But Republicans hope to win it back with State Representative Ashley Hinson, a former television anchor who has outraised Ms. Finkenauer in the last two quarters.",tossup,TRUE,1,District 1,IA,iowa,Iowa,Iowa,horizontal,"",FALSE,TRUE,winner,AP,TRUE,democrat,412731,248737,20,unknown,Polls close at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,394,412,96% reporting,96%,91,454000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-11T03:26:27Z,TRUE,2.61744,10803,R+3,Hinson +3,republican,"","",6,-1,1604504320534
