fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_harrisa,results_masonm,results_absentee_harrisa,results_absentee_masonm,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
24005,Baltimore,29373,0,16,20,Released separately AFTER election night,82,35842,82%,82% reported,edison,2,none,89978,18448,10925,0,0,2020-11-12T01:33:43Z,25.61196,R+26,Harris +26,republican,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",367946,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,260,295,88% reporting,88%,90,411000,edison,90%,90% reported,edison,republican,FALSE,2020-11-12T01:33:46Z,TRUE,29.19341,107416,R+29,Harris +29,republican,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,10,0,1604464796616
24011,Caroline,14685,0,8,8,Released as a precinct as first report of the night,94,15625,94%,94% reported,edison,2,unknown,3784,10290,4395,0,0,2020-11-11T03:26:39Z,40.143,R+40,Harris +40,republican,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",367946,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,260,295,88% reporting,88%,90,411000,edison,90%,90% reported,edison,republican,FALSE,2020-11-12T01:33:46Z,TRUE,29.19341,107416,R+29,Harris +29,republican,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,10,0,1604464796616
24013,Carroll,36818,19869,13,14,Released separately AFTER election night,93,39674,93%,93% reported,edison,4,some,16653,26696,10122,13116,6753,2020-11-11T03:24:58Z,45.01602,R+45,Harris +45,republican,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",367946,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,260,295,88% reporting,88%,90,411000,edison,90%,90% reported,edison,republican,FALSE,2020-11-12T01:33:46Z,TRUE,29.19341,107416,R+29,Harris +29,republican,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,10,0,1604464796616
24015,Cecil,44625,0,25,28,Other,89,50121,89%,89% reported,edison,2,none,9424,29289,15336,0,0,2020-11-11T03:26:39Z,31.26723,R+31,Harris +31,republican,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",367946,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,260,295,88% reporting,88%,90,411000,edison,90%,90% reported,edison,republican,FALSE,2020-11-12T01:33:46Z,TRUE,29.19341,107416,R+29,Harris +29,republican,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,10,0,1604464796616
24019,Dorchester,13175,0,30,39,Other,78,16916,78%,78% reported,edison,2,none,3944,8198,4977,0,0,2020-11-11T03:26:39Z,24.44782,R+24,Harris +24,republican,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",367946,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,260,295,88% reporting,88%,90,411000,edison,90%,90% reported,edison,republican,FALSE,2020-11-12T01:33:46Z,TRUE,29.19341,107416,R+29,Harris +29,republican,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,10,0,1604464796616
24025,Harford,92429,46711,54,58,Released as a separate subtotal as first report of the night,93,99697,93%,93% reported,edison,4,some,26224,62582,29847,36202,10509,2020-11-11T03:26:40Z,35.41637,R+35,Harris +35,republican,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",367946,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,260,295,88% reporting,88%,90,411000,edison,90%,90% reported,edison,republican,FALSE,2020-11-12T01:33:46Z,TRUE,29.19341,107416,R+29,Harris +29,republican,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,10,0,1604464796616
24029,Kent,9819,0,10,11,None,89,11064,89%,89% reported,edison,2,none,3816,5104,4715,0,0,2020-11-11T03:26:40Z,3.96171,R+4,Harris +4,republican,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",367946,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,260,295,88% reporting,88%,90,411000,edison,90%,90% reported,edison,republican,FALSE,2020-11-12T01:33:46Z,TRUE,29.19341,107416,R+29,Harris +29,republican,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,10,0,1604464796616
24035,Queen Anne's,28480,0,12,12,Other,97,29319,97%,97% reported,edison,2,unknown,6419,19110,9370,0,0,2020-11-11T03:25:30Z,34.19944,R+34,Harris +34,republican,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",367946,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,260,295,88% reporting,88%,90,411000,edison,90%,90% reported,edison,republican,FALSE,2020-11-12T01:33:46Z,TRUE,29.19341,107416,R+29,Harris +29,republican,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,10,0,1604464796616
24039,Somerset,8906,0,19,23,None,81,10966,81%,81% reported,edison,2,unknown,2648,5671,3235,0,0,2020-11-11T03:25:30Z,27.35235,R+27,Harris +27,republican,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",367946,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,260,295,88% reporting,88%,90,411000,edison,90%,90% reported,edison,republican,FALSE,2020-11-12T01:33:46Z,TRUE,29.19341,107416,R+29,Harris +29,republican,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,10,0,1604464796616
24041,Talbot,21088,0,11,12,Released as a separate subtotal as first report of the night,93,22637,93%,93% reported,edison,2,unknown,9517,11380,9708,0,0,2020-11-11T03:24:54Z,7.92868,R+8,Harris +8,republican,MD-G-H-1-2020-11-03,md-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-maryland.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-maryland.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,MD,maryland,Maryland,Md.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",367946,66580,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,260,295,88% reporting,88%,90,411000,edison,90%,90% reported,edison,republican,FALSE,2020-11-12T01:33:46Z,TRUE,29.19341,107416,R+29,Harris +29,republican,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,Mail ballots postmarked by Election Day are accepted until Nov. 13 and will be reported each day those ballots are counted.,10,0,1604464796616
