fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_hawkinsh,results_hunterd,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,results_absentee_hawkinsh,results_absentee_hunterd,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
41001,Baker,9878,0,17,17,Other,99,10008,>98%,>98% reported,edison,2,unknown,,,,,2332,7316,141,41,32,16,0,0,0,0,0,0,2020-11-11T03:26:28Z,50.45556,R+50,Trump +50,republican,50.45556,8779,50.4,8448,39.45,oregon,2020-11-12T17:32:47.220719Z
41003,Benton,52719,0,23,24,Other,95,55578,95%,95% reported,edison,2,some,,,,,35780,14853,1135,473,335,143,0,0,0,0,0,0,2020-11-11T03:26:28Z,39.69537,D+40,Biden +40,democrat,-39.69537,48753,-32.3,44802,-28.54,oregon,2020-11-12T17:32:47.220719Z
41005,Clackamas,253206,0,120,120,Other,100,244004,>98%,>98% reported,edison,2,some,,,,,136782,108407,4632,1971,991,423,0,0,0,0,0,0,2020-11-11T03:26:29Z,11.20629,D+11,Biden +11,democrat,-11.20629,214039,-6.4,189332,-3.64,oregon,2020-11-12T17:32:47.220719Z
41007,Clatsop,23519,0,33,33,Other,100,22417,>98%,>98% reported,edison,2,unknown,,,,,12740,10001,416,174,127,61,0,0,0,0,0,0,2020-11-11T03:26:29Z,11.6459,D+12,Biden +12,democrat,-11.6459,19664,-5.7,17818,-14.66,oregon,2020-11-12T17:32:47.220719Z
41009,Columbia,31518,0,33,33,Other,100,30345,>98%,>98% reported,edison,2,unknown,,,,,13535,16779,763,199,157,85,0,0,0,0,0,0,2020-11-11T03:26:29Z,10.29253,R+10,Trump +10,republican,10.29253,26618,11.5,23875,-5.16,oregon,2020-11-12T17:32:47.220719Z
41011,Coos,36484,0,18,18,Other,100,35697,>98%,>98% reported,edison,2,some,,,,,14024,21488,560,167,167,78,0,0,0,0,0,0,2020-11-11T03:26:29Z,20.45828,R+20,Trump +20,republican,20.45828,31313,23.7,28686,6.37,oregon,2020-11-12T17:32:47.220719Z
41013,Crook,15165,0,17,17,Other,98,15500,98%,98% reported,edison,2,unknown,,,,,3715,11103,221,69,41,16,0,0,0,0,0,0,2020-11-11T03:26:30Z,48.71744,R+49,Trump +49,republican,48.71744,12172,48.3,10230,36.03,oregon,2020-11-12T17:32:47.220719Z
41015,Curry,14843,0,27,27,Other,100,14377,>98%,>98% reported,edison,2,unknown,,,,,6023,8441,227,70,61,21,0,0,0,0,0,0,2020-11-11T03:26:30Z,16.29051,R+16,Trump +16,republican,16.29051,12611,23.1,11678,16.9,oregon,2020-11-12T17:32:47.220719Z
41017,Deschutes,121732,0,50,50,Other,100,112355,>98%,>98% reported,edison,2,unknown,,,,,64102,54183,1992,912,396,147,0,0,0,0,0,0,2020-11-11T03:26:30Z,8.14823,D+8,Biden +8,democrat,-8.14823,98557,3.3,81900,6.72,oregon,2020-11-12T17:32:47.220719Z
41019,Douglas,63107,0,28,28,Other,100,61014,>98%,>98% reported,edison,2,some,,,,,18780,42513,1131,298,248,137,0,0,0,0,0,0,2020-11-11T03:26:31Z,37.60756,R+38,Trump +38,republican,37.60756,53521,38.3,49803,27.37,oregon,2020-11-12T17:32:47.220719Z
41021,Gilliam,1178,0,3,3,Other,99,1192,>98%,>98% reported,edison,2,unknown,,,,,324,834,17,2,1,0,0,0,0,0,0,0,2020-11-11T03:26:31Z,43.29372,R+43,Trump +43,republican,43.29372,1019,42.4,1061,25.26,oregon,2020-11-12T17:32:47.220719Z
41023,Grant,4593,0,5,5,Other,100,4574,>98%,>98% reported,edison,6,unknown,,,,,928,3544,77,22,12,10,0,0,0,0,0,0,2020-11-11T03:26:31Z,56.95624,R+57,Trump +57,republican,56.95624,4340,56.9,3911,53,oregon,2020-11-12T17:32:47.220719Z
41025,Harney,4481,0,3,3,Other,99,4530,>98%,>98% reported,edison,2,unknown,,,,,894,3475,63,31,9,9,0,0,0,0,0,0,2020-11-11T03:26:31Z,57.59875,R+58,Trump +58,republican,57.59875,3974,56.1,3583,49.54,oregon,2020-11-12T17:32:47.220719Z
41027,Hood River,12947,0,13,13,Other,100,12437,>98%,>98% reported,edison,2,unknown,,,,,8671,3911,195,92,53,25,0,0,0,0,0,0,2020-11-11T03:26:31Z,36.76527,D+37,Biden +37,democrat,-36.76527,10910,-29.7,9838,-26.72,oregon,2020-11-12T17:32:47.220719Z
41029,Jackson,125184,0,45,45,Other,100,124633,>98%,>98% reported,edison,4,some,,,,,58386,63012,2114,791,617,264,0,0,0,0,0,0,2020-11-11T03:26:32Z,3.69536,R+4,Trump +4,republican,3.69536,109327,8.6,97127,4.69,oregon,2020-11-12T17:32:47.220719Z
41031,Jefferson,11666,0,15,15,Other,100,10783,>98%,>98% reported,edison,4,some,,,,,4306,7044,197,40,56,23,0,0,0,0,0,0,2020-11-11T03:26:32Z,23.46991,R+23,Trump +23,republican,23.46991,9459,26.5,8175,16.4,oregon,2020-11-12T17:32:47.220719Z
41033,Josephine,51358,0,47,47,Other,100,50798,>98%,>98% reported,edison,2,some,,,,,18311,31640,781,292,218,116,0,0,0,0,0,0,2020-11-11T03:26:32Z,25.95311,R+26,Trump +26,republican,25.95311,44560,30.2,40238,21.67,oregon,2020-11-12T17:32:47.220719Z
41035,Klamath,36331,0,43,43,Other,100,34778,>98%,>98% reported,edison,2,unknown,,,,,10260,25048,631,171,144,77,0,0,0,0,0,0,2020-11-11T03:26:32Z,40.70353,R+41,Trump +41,republican,40.70353,30507,43.4,28152,37.64,oregon,2020-11-12T17:32:47.220719Z
41037,Lake,4336,0,18,19,Other,97,4480,97%,97% reported,edison,4,all,,,,,788,3449,62,20,10,7,0,0,0,0,0,0,2020-11-11T03:26:32Z,61.36993,R+61,Trump +61,republican,61.36993,3930,60.6,3710,54.93,oregon,2020-11-12T17:32:47.220719Z
41039,Lane,221585,0,80,80,Other,100,218823,>98%,>98% reported,edison,4,some,,,,,133924,80144,3888,1720,1340,569,0,0,0,0,0,0,2020-11-11T03:26:32Z,24.2706,D+24,Biden +24,democrat,-24.2706,191950,-18.6,171850,-23.36,oregon,2020-11-12T17:32:47.220719Z
41041,Lincoln,30441,0,32,32,Other,100,28792,>98%,>98% reported,edison,4,unknown,,,,,17248,12336,450,138,206,63,0,0,0,0,0,0,2020-11-11T03:26:32Z,16.13613,D+16,Biden +16,democrat,-16.13613,25256,-9.7,22984,-20.51,oregon,2020-11-12T17:32:47.220719Z
