fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_sullivand,results_grossa,results_howej,results_absentee_sullivand,results_absentee_grossa,results_absentee_howej,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
02901,ED 1,7013,3415,8,9,Released as a separate subtotal as first report of the night,92,7634,92%,92% reported,edison,2,unknown,,4000,,,3393,3218,402,1329,1935,151,2020-11-11T13:18:16Z,2.49537,R+2,Sullivan +2,republican,alaska,2020-11-12T17:35:20.786364Z
02910,ED 10,9880,4765,10,11,Released as a separate subtotal as first report of the night,95,10396,95%,95% reported,edison,2,unknown,,4000,,,6862,2495,523,2906,1679,180,2020-11-11T03:26:09Z,44.2004,R+44,Sullivan +44,republican,alaska,2020-11-12T17:35:20.786364Z
02911,ED 11,9741,5417,7,9,Released as a separate subtotal as first report of the night,87,11142,87%,87% reported,edison,2,unknown,,4000,,,6499,2829,413,3194,2030,193,2020-11-11T13:18:21Z,37.6758,R+38,Sullivan +38,republican,alaska,2020-11-12T17:35:20.786364Z
02912,ED 12,10121,4901,6,7,Released as a separate subtotal as first report of the night,92,10974,92%,92% reported,edison,2,unknown,,4000,,,7168,2580,373,2940,1813,148,2020-11-11T03:26:10Z,45.33149,R+45,Sullivan +45,republican,alaska,2020-11-12T17:35:20.786364Z
02913,ED 13,3525,429,3,6,Released as a separate subtotal as first report of the night,47,7513,47%,47% reported,edison,2,unknown,,4000,,,2500,829,196,236,178,15,2020-11-12T16:41:28Z,47.40426,R+47,Sullivan +47,republican,alaska,2020-11-12T17:35:20.786364Z
02914,ED 14,10140,5898,5,7,Released as a separate subtotal as first report of the night,85,11983,85%,85% reported,edison,2,unknown,,4000,,,6284,3507,349,3121,2626,151,2020-11-12T16:41:28Z,27.38659,R+27,Sullivan +27,republican,alaska,2020-11-12T17:35:20.786364Z
02915,ED 15,4840,2616,4,5,Released as a separate subtotal as first report of the night,84,5729,84%,84% reported,edison,2,unknown,,4000,,,2376,2187,277,1133,1358,125,2020-11-12T16:41:27Z,3.90496,R+4,Sullivan +4,republican,alaska,2020-11-12T17:35:20.786364Z
02916,ED 16,7251,4062,6,7,Released as a separate subtotal as first report of the night,85,8551,85%,85% reported,edison,2,unknown,,4000,,,3220,3687,344,1355,2553,154,2020-11-11T13:18:18Z,6.44049,D+6,Gross +6,democrat,alaska,2020-11-12T17:35:20.786364Z
02917,ED 17,3791,1404,3,7,Released as a separate subtotal as first report of the night,49,7806,49%,49% reported,edison,2,unknown,,4000,,,1850,1762,179,547,821,36,2020-11-11T13:18:17Z,2.32129,R+2,Sullivan +2,republican,alaska,2020-11-12T17:35:20.786364Z
02918,ED 18,3986,1720,4,10,Released as a separate subtotal as first report of the night,47,8512,47%,47% reported,edison,2,unknown,,4000,,,1795,2018,173,635,1029,56,2020-11-11T13:18:17Z,5.59458,D+6,Gross +6,democrat,alaska,2020-11-12T17:35:20.786364Z
02919,ED 19,4656,2510,5,6,Released as a separate subtotal as first report of the night,84,5511,84%,84% reported,edison,2,unknown,,4000,,,1677,2710,269,644,1766,100,2020-11-11T13:18:16Z,22.18643,D+22,Gross +22,democrat,alaska,2020-11-12T17:35:20.786364Z
02902,ED 2,5515,2503,3,4,Released as a separate subtotal as first report of the night,87,6316,87%,87% reported,edison,2,unknown,,4000,,,3308,1847,360,1246,1144,113,2020-11-11T13:18:16Z,26.49139,R+26,Sullivan +26,republican,alaska,2020-11-12T17:35:20.786364Z
02920,ED 20,6669,4675,7,9,Released as a separate subtotal as first report of the night,81,8211,81%,81% reported,edison,2,unknown,,4000,,,2232,4240,197,1276,3296,103,2020-11-11T13:18:16Z,30.10946,D+30,Gross +30,democrat,alaska,2020-11-12T17:35:20.786364Z
02921,ED 21,8641,5182,7,8,Released as a separate subtotal as first report of the night,87,9944,87%,87% reported,edison,2,unknown,,4000,,,3657,4732,252,1620,3463,99,2020-11-11T13:18:15Z,12.44069,D+12,Gross +12,democrat,alaska,2020-11-12T17:35:20.786364Z
02922,ED 22,5414,1454,4,7,Released as a separate subtotal as first report of the night,56,9628,56%,56% reported,edison,2,unknown,,4000,,,3403,1815,196,732,686,36,2020-11-12T16:41:40Z,29.33136,R+29,Sullivan +29,republican,alaska,2020-11-12T17:35:20.786364Z
02923,ED 23,7159,3661,7,8,Released as a separate subtotal as first report of the night,90,7963,90%,90% reported,edison,2,unknown,,4000,,,3502,3349,308,1367,2188,106,2020-11-12T16:41:39Z,2.13717,R+2,Sullivan +2,republican,alaska,2020-11-12T17:35:20.786364Z
02924,ED 24,5941,1831,4,7,Released as a separate subtotal as first report of the night,56,10684,56%,56% reported,edison,2,unknown,,4000,,,3913,1887,141,963,845,23,2020-11-11T13:18:23Z,34.102,R+34,Sullivan +34,republican,alaska,2020-11-12T17:35:20.786364Z
02925,ED 25,8642,4710,6,7,Released as a separate subtotal as first report of the night,92,9346,92%,92% reported,edison,2,unknown,,4000,,,4239,4085,318,1692,2890,128,2020-11-12T16:41:38Z,1.78199,R+1.8,Sullivan +1.8,republican,alaska,2020-11-12T17:35:20.786364Z
02926,ED 26,9223,5334,7,8,Released as a separate subtotal as first report of the night,90,10241,90%,90% reported,edison,2,unknown,,4000,,,5187,3810,226,2434,2783,117,2020-11-12T16:41:37Z,14.93007,R+15,Sullivan +15,republican,alaska,2020-11-12T17:35:20.786364Z
02927,ED 27,8644,4922,6,8,Released as a separate subtotal as first report of the night,86,10100,86%,86% reported,edison,2,unknown,,4000,,,4171,4185,288,1816,2998,108,2020-11-12T16:41:37Z,0.16196,D+0.16,Gross +0.16,democrat,alaska,2020-11-12T17:35:20.786364Z
02928,ED 28,6889,2026,4,9,Released as a separate subtotal as first report of the night,52,13141,52%,52% reported,edison,2,unknown,,4000,,,4357,2378,154,1069,930,27,2020-11-11T13:18:21Z,28.72696,R+29,Sullivan +29,republican,alaska,2020-11-12T17:35:20.786364Z
02929,ED 29,8687,2807,8,11,Released as a separate subtotal as first report of the night,80,10803,80%,80% reported,edison,2,unknown,,4000,,,5983,2298,406,1444,1293,70,2020-11-11T13:18:21Z,42.41971,R+42,Sullivan +42,republican,alaska,2020-11-12T17:35:20.786364Z
02903,ED 3,8165,2972,5,5,Released as a separate subtotal as first report of the night,93,8755,93%,93% reported,edison,2,unknown,,4000,,,5923,1778,464,1778,1054,140,2020-11-12T16:41:26Z,50.76546,R+51,Sullivan +51,republican,alaska,2020-11-12T17:35:20.786364Z
02930,ED 30,9632,4667,5,6,Released as a separate subtotal as first report of the night,94,10293,94%,94% reported,edison,2,unknown,,4000,,,6754,2418,460,2859,1674,134,2020-11-12T16:41:35Z,45.01661,R+45,Sullivan +45,republican,alaska,2020-11-12T17:35:20.786364Z
02931,ED 31,5363,1,4,9,Released as a separate subtotal as first report of the night,46,11709,46%,46% reported,edison,2,unknown,,4000,,,3806,1293,264,0,1,0,2020-11-11T03:25:53Z,46.8581,R+47,Sullivan +47,republican,alaska,2020-11-12T17:35:20.786364Z
02932,ED 32,3970,0,6,14,Released as a separate subtotal as first report of the night,46,8593,46%,46% reported,edison,2,unknown,,4000,,,2460,1319,191,0,0,0,2020-11-12T16:41:33Z,28.74055,R+29,Sullivan +29,republican,alaska,2020-11-12T17:35:20.786364Z
02933,ED 33,6013,2882,5,11,Released as a separate subtotal as first report of the night,53,11424,53%,53% reported,edison,2,unknown,,4000,,,2127,3659,227,740,2080,62,2020-11-12T16:41:33Z,25.47813,D+25,Gross +25,democrat,alaska,2020-11-12T17:35:20.786364Z
02934,ED 34,9936,7209,6,7,Released as a separate subtotal as first report of the night,92,10846,92%,92% reported,edison,2,unknown,,4000,,,4326,5225,385,2667,4320,222,2020-11-11T13:18:18Z,9.04791,D+9,Gross +9,democrat,alaska,2020-11-12T17:35:20.786364Z
