fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_ohallerant,results_sheddt,results_absentee_ohallerant,results_absentee_sheddt,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
04001,Apache,33962,23443,44,44,Released as a separate subtotal as first report of the night,100,33496,>98%,>98% reported,edison,2,some,14686,23063,10899,16564,6879,2020-11-11T03:25:55Z,35.8165,D+36,O'Halleran +36,democrat,AZ-G-H-1-2020-11-03,az-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arizona-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arizona.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arizona.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-arizona.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,lean-dem,1,District 1,AZ,arizona,Arizona,Ariz.,horizontal,"",FALSE,TRUE,winner,Edison,FALSE,"",362268,287072,11,unknown,Polls closed at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,266,268,99% reporting,99%,99,354000,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-12T17:25:44Z,TRUE,3.36326,12184,D+3,O'Halleran +3,democrat,0,0,1605037824731
04005,Coconino,71543,59509,71,71,Released as a separate subtotal as first report of the night,100,71801,>98%,>98% reported,edison,4,some,37503,44756,26787,39317,20192,2020-11-11T03:25:55Z,25.11636,D+25,O'Halleran +25,democrat,AZ-G-H-1-2020-11-03,az-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arizona-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arizona.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arizona.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-arizona.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,lean-dem,1,District 1,AZ,arizona,Arizona,Ariz.,horizontal,"",FALSE,TRUE,winner,Edison,FALSE,"",362268,287072,11,unknown,Polls closed at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,266,268,99% reporting,99%,99,354000,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-12T17:25:44Z,TRUE,3.36326,12184,D+3,O'Halleran +3,democrat,0,0,1605037824731
04007,Gila,9329,6867,13,14,Released as a separate subtotal as first report of the night,95,9867,95%,95% reported,edison,4,all,22311,4902,4427,3576,3291,2020-11-11T03:25:56Z,5.09165,D+5,O'Halleran +5,democrat,AZ-G-H-1-2020-11-03,az-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arizona-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arizona.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arizona.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-arizona.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,lean-dem,1,District 1,AZ,arizona,Arizona,Ariz.,horizontal,"",FALSE,TRUE,winner,Edison,FALSE,"",362268,287072,11,unknown,Polls closed at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,266,268,99% reporting,99%,99,354000,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-12T17:25:44Z,TRUE,3.36326,12184,D+3,O'Halleran +3,democrat,0,0,1605037824731
04009,Graham,14587,10119,22,22,Released separately AFTER election night,99,14804,>98%,>98% reported,edison,4,unknown,9380,4435,10152,3222,6897,2020-11-11T03:25:56Z,39.19243,R+39,Shedd +39,republican,AZ-G-H-1-2020-11-03,az-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arizona-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arizona.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arizona.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-arizona.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,lean-dem,1,District 1,AZ,arizona,Arizona,Ariz.,horizontal,"",FALSE,TRUE,winner,Edison,FALSE,"",362268,287072,11,unknown,Polls closed at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,266,268,99% reporting,99%,99,354000,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-12T17:25:44Z,TRUE,3.36326,12184,D+3,O'Halleran +3,democrat,0,0,1605037824731
04011,Greenlee,3606,2553,7,8,Released as a separate subtotal as first report of the night,90,4021,90%,90% reported,edison,4,unknown,2450,1380,2226,1144,1409,2020-11-11T03:25:57Z,23.4609,R+23,Shedd +23,republican,AZ-G-H-1-2020-11-03,az-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arizona-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arizona.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arizona.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-arizona.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,lean-dem,1,District 1,AZ,arizona,Arizona,Ariz.,horizontal,"",FALSE,TRUE,winner,Edison,FALSE,"",362268,287072,11,unknown,Polls closed at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,266,268,99% reporting,99%,99,354000,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-12T17:25:44Z,TRUE,3.36326,12184,D+3,O'Halleran +3,democrat,0,0,1605037824731
04013,Maricopa,642,351,1,1,Released as a separate subtotal as first report of the night,100,608,>98%,>98% reported,edison,2,some,1489023,549,93,304,47,2020-11-12T03:16:47Z,71.02804,D+71,O'Halleran +71,democrat,AZ-G-H-1-2020-11-03,az-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arizona-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arizona.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arizona.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-arizona.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,lean-dem,1,District 1,AZ,arizona,Arizona,Ariz.,horizontal,"",FALSE,TRUE,winner,Edison,FALSE,"",362268,287072,11,unknown,Polls closed at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,266,268,99% reporting,99%,99,354000,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-12T17:25:44Z,TRUE,3.36326,12184,D+3,O'Halleran +3,democrat,0,0,1605037824731
04015,Mohave,381,147,1,1,Released as a separate subtotal as first report of the night,100,371,>98%,>98% reported,edison,2,some,66610,265,116,116,31,2020-11-11T03:26:01Z,39.10761,D+39,O'Halleran +39,democrat,AZ-G-H-1-2020-11-03,az-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arizona-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arizona.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arizona.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-arizona.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,lean-dem,1,District 1,AZ,arizona,Arizona,Ariz.,horizontal,"",FALSE,TRUE,winner,Edison,FALSE,"",362268,287072,11,unknown,Polls closed at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,266,268,99% reporting,99%,99,354000,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-12T17:25:44Z,TRUE,3.36326,12184,D+3,O'Halleran +3,democrat,0,0,1605037824731
04017,Navajo,50576,35430,14,14,Merged into voters' home precincts and released with cumulative results,100,48545,>98%,>98% reported,edison,2,unknown,28592,24205,26371,17626,17804,2020-11-11T03:25:58Z,4.28266,R+4,Shedd +4,republican,AZ-G-H-1-2020-11-03,az-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arizona-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arizona.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arizona.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-arizona.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,lean-dem,1,District 1,AZ,arizona,Arizona,Ariz.,horizontal,"",FALSE,TRUE,winner,Edison,FALSE,"",362268,287072,11,unknown,Polls closed at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,266,268,99% reporting,99%,99,354000,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-12T17:25:44Z,TRUE,3.36326,12184,D+3,O'Halleran +3,democrat,0,0,1605037824731
04019,Pima,67500,60812,33,33,Released as a separate subtotal as first report of the night,100,67486,>98%,>98% reported,edison,4,some,406810,31469,36031,30185,30627,2020-11-11T03:26:01Z,6.75852,R+7,Shedd +7,republican,AZ-G-H-1-2020-11-03,az-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arizona-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arizona.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arizona.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-arizona.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,lean-dem,1,District 1,AZ,arizona,Arizona,Ariz.,horizontal,"",FALSE,TRUE,winner,Edison,FALSE,"",362268,287072,11,unknown,Polls closed at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,266,268,99% reporting,99%,99,354000,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-12T17:25:44Z,TRUE,3.36326,12184,D+3,O'Halleran +3,democrat,0,0,1605037824731
04021,Pinal,91358,71690,54,54,Released as a separate subtotal as first report of the night,100,82857,>98%,>98% reported,edison,4,all,88536,43034,48324,36266,35424,2020-11-12T17:25:42Z,5.79041,R+6,Shedd +6,republican,AZ-G-H-1-2020-11-03,az-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arizona-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arizona.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arizona.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-arizona.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,lean-dem,1,District 1,AZ,arizona,Arizona,Ariz.,horizontal,"",FALSE,TRUE,winner,Edison,FALSE,"",362268,287072,11,unknown,Polls closed at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,266,268,99% reporting,99%,99,354000,edison,>98%,>98% reported,edison,democrat,FALSE,2020-11-12T17:25:44Z,TRUE,3.36326,12184,D+3,O'Halleran +3,democrat,0,0,1605037824731
