fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_thompsonb,results_flowersb,results_write_ins,results_absentee_thompsonb,results_absentee_flowersb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
28007,Attala,8703,0,20,20,Merged into voters' home precincts and released with cumulative results,96,9082,96%,96% reported,edison,2,unknown,476,3764,4931,8,0,0,0,2020-11-12T17:54:51Z,13.40917,R+13,Flowers +13,republican,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",252873,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,490,491,99% reporting,99%,79,321000,edison,79%,79% reported,edison,democrat,FALSE,2020-11-12T17:54:58Z,TRUE,27.98559,70768,D+28,Thompson +28,democrat,"","",7,0,1604459127305
28011,Bolivar,11356,0,28,28,None,92,12286,92%,92% reported,edison,4,none,410,7382,3972,2,0,0,0,2020-11-11T03:26:04Z,30.02818,D+30,Thompson +30,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",252873,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,490,491,99% reporting,99%,79,321000,edison,79%,79% reported,edison,democrat,FALSE,2020-11-12T17:54:58Z,TRUE,27.98559,70768,D+28,Thompson +28,democrat,"","",7,0,1604459127305
28015,Carroll,4389,0,14,14,None,72,6081,72%,72% reported,edison,4,none,342,1342,3038,9,0,0,0,2020-11-11T03:26:05Z,38.64206,R+39,Flowers +39,republican,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",252873,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,490,491,99% reporting,99%,79,321000,edison,79%,79% reported,edison,democrat,FALSE,2020-11-12T17:54:58Z,TRUE,27.98559,70768,D+28,Thompson +28,democrat,"","",7,0,1604459127305
28021,Claiborne,2828,0,11,11,Released as a separate subtotal at the end of tabulation,60,4699,60%,60% reported,edison,4,none,776,2369,455,4,0,0,0,2020-11-11T03:26:05Z,67.68034,D+68,Thompson +68,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",252873,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,490,491,99% reporting,99%,79,321000,edison,79%,79% reported,edison,democrat,FALSE,2020-11-12T17:54:58Z,TRUE,27.98559,70768,D+28,Thompson +28,democrat,"","",7,0,1604459127305
28027,Coahoma,6941,0,18,18,Merged into voters' home precincts and released with cumulative results,88,7920,88%,88% reported,edison,4,none,,5270,1667,4,0,0,0,2020-11-11T03:26:05Z,51.90895,D+52,Thompson +52,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",252873,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,490,491,99% reporting,99%,79,321000,edison,79%,79% reported,edison,democrat,FALSE,2020-11-12T17:54:58Z,TRUE,27.98559,70768,D+28,Thompson +28,democrat,"","",7,0,1604459127305
28029,Copiah,10508,0,19,19,None,74,14280,74%,74% reported,edison,4,none,542,5375,5125,8,0,0,0,2020-11-11T03:26:06Z,2.37914,D+2,Thompson +2,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",252873,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,490,491,99% reporting,99%,79,321000,edison,79%,79% reported,edison,democrat,FALSE,2020-11-12T17:54:58Z,TRUE,27.98559,70768,D+28,Thompson +28,democrat,"","",7,0,1604459127305
28043,Grenada,7602,0,13,13,None,66,11564,66%,66% reported,edison,2,none,1570,3098,4499,5,0,0,0,2020-11-11T03:26:06Z,18.42936,R+18,Flowers +18,republican,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",252873,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,490,491,99% reporting,99%,79,321000,edison,79%,79% reported,edison,democrat,FALSE,2020-11-12T17:54:58Z,TRUE,27.98559,70768,D+28,Thompson +28,democrat,"","",7,0,1604459127305
28049,Hinds,69563,0,93,93,Merged into voters' home precincts and released with cumulative results,77,89948,77%,77% reported,edison,2,unknown,2988,53347,16116,100,0,0,0,2020-11-11T03:26:10Z,53.52127,D+54,Thompson +54,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",252873,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,490,491,99% reporting,99%,79,321000,edison,79%,79% reported,edison,democrat,FALSE,2020-11-12T17:54:58Z,TRUE,27.98559,70768,D+28,Thompson +28,democrat,"","",7,0,1604459127305
28051,Holmes,6332,0,15,15,None,100,6332,>98%,>98% reported,edison,6,none,726,5241,1087,4,0,0,0,2020-11-11T03:26:10Z,65.60328,D+66,Thompson +66,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",252873,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,490,491,99% reporting,99%,79,321000,edison,79%,79% reported,edison,democrat,FALSE,2020-11-12T17:54:58Z,TRUE,27.98559,70768,D+28,Thompson +28,democrat,"","",7,0,1604459127305
28053,Humphreys,4065,0,13,13,Merged into voters' home precincts and released with cumulative results,100,4065,>98%,>98% reported,edison,6,all,214,3074,987,4,0,0,0,2020-11-11T03:26:10Z,51.34071,D+51,Thompson +51,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",252873,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,490,491,99% reporting,99%,79,321000,edison,79%,79% reported,edison,democrat,FALSE,2020-11-12T17:54:58Z,TRUE,27.98559,70768,D+28,Thompson +28,democrat,"","",7,0,1604459127305
28055,Issaquena,663,0,5,5,None,100,621,>98%,>98% reported,edison,4,all,64,368,295,0,0,0,0,2020-11-11T03:26:11Z,11.01056,D+11,Thompson +11,democrat,MS-G-H-2-2020-11-03,ms-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-mississippi.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-mississippi.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-dem,2,District 2,MS,mississippi,Mississippi,Miss.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",252873,0,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,490,491,99% reporting,99%,79,321000,edison,79%,79% reported,edison,democrat,FALSE,2020-11-12T17:54:58Z,TRUE,27.98559,70768,D+28,Thompson +28,democrat,"","",7,0,1604459127305
