fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_foxxv,results_brownd,results_gregoryj,results_absentee_foxxv,results_absentee_brownd,results_absentee_gregoryj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
37003,Alexander,19895,16654,9,10,Released as a separate subtotal as first report of the night,100,19895,>98%,>98% reported,edison,6,some,15384,15502,3963,430,12881,3448,325,2020-11-12T23:11:31Z,57.9995,R+58,Foxx +58,republican,NC-G-H-5-2020-11-03,nc-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",381850,310935,11,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,195,215,91% reporting,91%,85,448000,edison,85%,85% reported,edison,republican,FALSE,2020-11-11T03:25:33Z,TRUE,35.9471,137264,R+36,Foxx +36,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604457385944
37005,Alleghany,6005,4996,4,4,Released as a separate subtotal as first report of the night,100,5300,>98%,>98% reported,edison,6,all,5206,4522,1374,109,3683,1232,81,2020-11-11T03:25:50Z,52.42298,R+52,Foxx +52,republican,NC-G-H-5-2020-11-03,nc-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",381850,310935,11,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,195,215,91% reporting,91%,85,448000,edison,85%,85% reported,edison,republican,FALSE,2020-11-11T03:25:33Z,TRUE,35.9471,137264,R+36,Foxx +36,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604457385944
37009,Ashe,15602,11171,16,17,"As a precinct in the FIRST cumulative report, along with regular precincts",94,16555,94%,94% reported,edison,2,unknown,9733,11193,4068,341,7604,3362,205,2020-11-11T03:25:54Z,45.66722,R+46,Foxx +46,republican,NC-G-H-5-2020-11-03,nc-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",381850,310935,11,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,195,215,91% reporting,91%,85,448000,edison,85%,85% reported,edison,republican,FALSE,2020-11-11T03:25:33Z,TRUE,35.9471,137264,R+36,Foxx +36,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604457385944
37023,Burke,43551,36044,30,33,Released as a separate subtotal as first report of the night,91,48096,91%,91% reported,edison,2,unknown,37205,30033,12767,751,24382,11110,552,2020-11-11T03:26:05Z,39.64547,R+40,Foxx +40,republican,NC-G-H-5-2020-11-03,nc-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",381850,310935,11,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,195,215,91% reporting,91%,85,448000,edison,85%,85% reported,edison,republican,FALSE,2020-11-11T03:25:33Z,TRUE,35.9471,137264,R+36,Foxx +36,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604457385944
37027,Caldwell,41690,35043,19,20,Released as a precinct as first report of the night,93,44869,93%,93% reported,edison,2,unknown,37674,31317,9687,686,26054,8461,528,2020-11-11T03:26:03Z,51.88295,R+52,Foxx +52,republican,NC-G-H-5-2020-11-03,nc-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",381850,310935,11,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,195,215,91% reporting,91%,85,448000,edison,85%,85% reported,edison,republican,FALSE,2020-11-11T03:25:33Z,TRUE,35.9471,137264,R+36,Foxx +36,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604457385944
37035,Catawba,10018,8339,6,7,"As a precinct in the FIRST cumulative report, along with regular precincts",91,11018,91%,91% reported,edison,4,unknown,67210,6614,3272,132,5330,2911,98,2020-11-11T03:26:08Z,33.35995,R+33,Foxx +33,republican,NC-G-H-5-2020-11-03,nc-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",381850,310935,11,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,195,215,91% reporting,91%,85,448000,edison,85%,85% reported,edison,republican,FALSE,2020-11-11T03:25:33Z,TRUE,35.9471,137264,R+36,Foxx +36,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604457385944
37045,Cleveland,50007,40724,19,21,Released as a precinct as first report of the night,100,50007,>98%,>98% reported,edison,6,all,35936,32157,16580,1270,25521,14271,932,2020-11-11T03:26:09Z,31.14964,R+31,Foxx +31,republican,NC-G-H-5-2020-11-03,nc-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",381850,310935,11,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,195,215,91% reporting,91%,85,448000,edison,85%,85% reported,edison,republican,FALSE,2020-11-11T03:25:33Z,TRUE,35.9471,137264,R+36,Foxx +36,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604457385944
37071,Gaston,108428,91607,42,46,Released as a precinct as first report of the night,91,119275,91%,91% reported,edison,4,some,96085,68303,38221,1904,56742,33500,1365,2020-11-11T03:26:11Z,27.74376,R+28,Foxx +28,republican,NC-G-H-5-2020-11-03,nc-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",381850,310935,11,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,195,215,91% reporting,91%,85,448000,edison,85%,85% reported,edison,republican,FALSE,2020-11-11T03:25:33Z,TRUE,35.9471,137264,R+36,Foxx +36,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604457385944
37161,Rutherford,20236,14928,9,10,Released as a separate subtotal as first report of the night,89,22706,89%,89% reported,edison,2,unknown,27253,14705,5147,384,10511,4175,242,2020-11-11T03:26:13Z,47.23265,R+47,Foxx +47,republican,NC-G-H-5-2020-11-03,nc-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",381850,310935,11,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,195,215,91% reporting,91%,85,448000,edison,85%,85% reported,edison,republican,FALSE,2020-11-11T03:25:33Z,TRUE,35.9471,137264,R+36,Foxx +36,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604457385944
37189,Watauga,31551,27352,17,20,Released as a precinct as first report of the night,100,31032,>98%,>98% reported,edison,6,all,26600,14635,16333,583,11844,15074,434,2020-11-11T03:25:57Z,5.38176,D+5,Brown +5,democrat,NC-G-H-5-2020-11-03,nc-house-general-district-005-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-5.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 5,U.S. House,H,solid-rep,5,District 5,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",381850,310935,11,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,195,215,91% reporting,91%,85,448000,edison,85%,85% reported,edison,republican,FALSE,2020-11-11T03:25:33Z,TRUE,35.9471,137264,R+36,Foxx +36,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604457385944
