fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_westk,results_pierceb,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_westk,results_absentee_pierceb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
21001,Adair,8766,0,14,16,Merged into voters' home precincts and released with cumulative results,98,8924,98%,98% reported,edison,4,all,,904,,,7275,1391,60,25,10,5,0,0,0,0,0,0,2020-11-11T03:25:24Z,67.12298,R+67,Trump +67,republican,67.12298,8233,64.5,7600,55.01,kentucky,2020-11-13T00:38:49.563727Z
21003,Allen,9363,6557,13,13,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,8775,>98%,>98% reported,edison,4,unknown,,661,,,7586,1642,99,22,14,0,5135,1345,56,15,6,0,2020-11-11T03:25:27Z,63.48393,R+63,Trump +63,republican,63.48393,8096,63.2,7100,47.55,kentucky,2020-11-13T00:38:49.563727Z
21005,Anderson,13261,2508,13,14,Released as a precinct as first report of the night,100,13261,>98%,>98% reported,edison,6,unknown,,690,,,9651,3339,183,34,19,35,978,1463,45,6,4,12,2020-11-11T03:25:29Z,47.59822,R+48,Trump +48,republican,47.59822,11422,49.1,10320,33.98,kentucky,2020-11-13T00:38:49.563727Z
21007,Ballard,4225,0,11,13,Released as a separate subtotal as first report of the night,95,4445,95%,95% reported,edison,2,unknown,,208,,,3356,825,32,10,2,,0,0,0,0,0,,2020-11-11T03:25:31Z,59.90533,R+60,Trump +60,republican,59.90533,4101,57.2,3895,37.43,kentucky,2020-11-13T00:38:49.563727Z
21009,Barren,20079,16056,22,25,Merged into voters' home precincts and released with cumulative results,100,20039,>98%,>98% reported,edison,4,all,,1384,,,14646,5115,201,51,51,15,11420,4431,139,35,16,15,2020-11-11T03:25:34Z,47.4675,R+47,Trump +47,republican,47.4675,18488,49.8,16568,33.33,kentucky,2020-11-13T00:38:49.563727Z
21011,Bath,5627,0,12,12,Released as a precinct as first report of the night,100,4972,>98%,>98% reported,edison,2,unknown,,570,,,3986,1573,44,12,12,0,0,0,0,0,0,0,2020-11-11T03:25:44Z,42.88253,R+43,Trump +43,republican,42.88253,4587,37.5,4122,12.25,kentucky,2020-11-13T00:38:49.563727Z
21013,Bell,10044,0,26,30,Merged into voters' home precincts and released with cumulative results,100,10042,>98%,>98% reported,edison,6,all,,963,,,8140,1789,78,30,7,,0,0,0,0,0,,2020-11-11T03:25:45Z,63.23178,R+63,Trump +63,republican,63.23178,9718,62.2,9482,51.71,kentucky,2020-11-13T00:38:49.563727Z
21015,Boone,66953,39444,61,63,"As a precinct in the FIRST cumulative report, along with regular precincts",100,39444,>98%,>98% reported,edison,6,all,,5563,,,44811,20897,981,171,93,,24136,14760,412,83,53,,2020-11-11T03:25:47Z,35.71759,R+36,Trump +36,republican,35.71759,57618,41.8,52511,38.65,kentucky,2020-11-13T00:38:49.563727Z
21017,Bourbon,9643,0,14,16,Merged into voters' home precincts and released with cumulative results,100,9590,>98%,>98% reported,edison,4,some,,674,,,6190,3296,106,31,20,,0,0,0,0,0,,2020-11-11T03:25:47Z,30.01141,R+30,Trump +30,republican,30.01141,8803,31.6,7923,20.41,kentucky,2020-11-13T00:38:49.563727Z
21019,Boyd,21741,0,42,48,Merged into voters' home precincts and released with cumulative results,98,22281,98%,98% reported,edison,4,all,,1979,,,14295,7083,287,55,21,,0,0,0,0,0,,2020-11-11T03:25:48Z,33.17235,R+33,Trump +33,republican,33.17235,20454,37,19049,16.32,kentucky,2020-11-13T00:38:49.563727Z
21021,Boyle,14467,10585,23,25,Merged into voters' home precincts and released with cumulative results,100,14103,>98%,>98% reported,edison,4,some,,1078,,,8872,5298,210,63,24,,6185,4228,122,34,16,,2020-11-11T03:25:51Z,24.7045,R+25,Trump +25,republican,24.7045,12946,29,12373,26.12,kentucky,2020-11-13T00:38:49.563727Z
21023,Bracken,4244,1976,8,8,"As a precinct in the FIRST cumulative report, along with regular precincts",100,4244,>98%,>98% reported,edison,6,some,,493,,,3397,799,27,11,8,2,1423,533,11,4,5,0,2020-11-11T03:25:44Z,61.21583,R+61,Trump +61,republican,61.21583,3527,56.9,3232,27.29,kentucky,2020-11-13T00:38:49.563727Z
21025,Breathitt,5667,1451,17,21,Released as a separate subtotal as first report of the night,100,5667,>98%,>98% reported,edison,6,some,,454,,,4265,1301,52,31,12,6,713,688,29,15,3,3,2020-11-11T03:25:45Z,52.30281,R+52,Trump +52,republican,52.30281,5738,42.8,5008,35.06,kentucky,2020-11-13T00:38:49.563727Z
21027,Breckinridge,10197,7209,15,16,None,100,9511,>98%,>98% reported,edison,4,unknown,,874,,,7701,2350,103,24,19,,5148,1977,53,16,15,,2020-11-11T03:25:47Z,52.47622,R+52,Trump +52,republican,52.47622,8774,51.6,7969,27.61,kentucky,2020-11-13T00:38:49.563727Z
