fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_rogersm,results_winfreya,results_absentee_rogersm,results_absentee_winfreya,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
01015,Calhoun,50287,0,43,45,Released with cumulative results periodically election night,95,53183,95%,95% reported,edison,2,unknown,1917,35994,14293,0,0,2020-11-11T03:25:20Z,43.15429,R+43,Rogers +43,republican,AL-G-H-3-2020-11-03,al-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",317782,12565,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,285,299,95% reporting,95%,98,324000,edison,98%,98% reported,edison,republican,FALSE,2020-11-12T22:04:50Z,TRUE,35.14359,111680,R+35,Rogers +35,republican,"","",0,-1,1604459097117
01017,Chambers,15065,0,20,21,Released as a precinct as first report of the night,97,15500,97%,97% reported,edison,2,unknown,883,8981,6084,0,0,2020-11-11T03:25:20Z,19.23,R+19,Rogers +19,republican,AL-G-H-3-2020-11-03,al-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",317782,12565,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,285,299,95% reporting,95%,98,324000,edison,98%,98% reported,edison,republican,FALSE,2020-11-12T22:04:50Z,TRUE,35.14359,111680,R+35,Rogers +35,republican,"","",0,-1,1604459097117
01019,Cherokee,11337,0,22,22,"As a precinct in the FIRST cumulative report, along with regular precincts",100,11337,>98%,>98% reported,edison,6,all,800,9943,1394,0,0,2020-11-11T03:25:21Z,75.40796,R+75,Rogers +75,republican,AL-G-H-3-2020-11-03,al-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",317782,12565,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,285,299,95% reporting,95%,98,324000,edison,98%,98% reported,edison,republican,FALSE,2020-11-12T22:04:50Z,TRUE,35.14359,111680,R+35,Rogers +35,republican,"","",0,-1,1604459097117
01027,Clay,6840,543,15,16,Released as a separate subtotal as first report of the night,100,6840,>98%,>98% reported,edison,6,all,950,5696,1144,393,150,2020-11-11T03:25:22Z,66.54971,R+67,Rogers +67,republican,AL-G-H-3-2020-11-03,al-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",317782,12565,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,285,299,95% reporting,95%,98,324000,edison,98%,98% reported,edison,republican,FALSE,2020-11-12T22:04:50Z,TRUE,35.14359,111680,R+35,Rogers +35,republican,"","",0,-1,1604459097117
01029,Cleburne,7120,0,16,16,Released as a precinct as first report of the night,100,5923,>98%,>98% reported,edison,6,all,483,6479,641,0,0,2020-11-11T03:25:22Z,81.99438,R+82,Rogers +82,republican,AL-G-H-3-2020-11-03,al-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",317782,12565,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,285,299,95% reporting,95%,98,324000,edison,98%,98% reported,edison,republican,FALSE,2020-11-12T22:04:50Z,TRUE,35.14359,111680,R+35,Rogers +35,republican,"","",0,-1,1604459097117
01081,Lee,70095,0,24,24,"As a precinct in the FIRST cumulative report, along with regular precincts",100,65230,>98%,>98% reported,edison,2,unknown,4032,44027,26068,0,0,2020-11-12T22:04:45Z,25.62094,R+26,Rogers +26,republican,AL-G-H-3-2020-11-03,al-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",317782,12565,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,285,299,95% reporting,95%,98,324000,edison,98%,98% reported,edison,republican,FALSE,2020-11-12T22:04:50Z,TRUE,35.14359,111680,R+35,Rogers +35,republican,"","",0,-1,1604459097117
01087,Macon,8582,0,12,14,Released as a precinct as first report of the night,100,8582,>98%,>98% reported,edison,6,all,715,1794,6788,0,0,2020-11-11T03:25:23Z,58.19156,D+58,Winfrey +58,democrat,AL-G-H-3-2020-11-03,al-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",317782,12565,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,285,299,95% reporting,95%,98,324000,edison,98%,98% reported,edison,republican,FALSE,2020-11-12T22:04:50Z,TRUE,35.14359,111680,R+35,Rogers +35,republican,"","",0,-1,1604459097117
01101,Montgomery,19872,0,9,9,Released as a separate subtotal as first report of the night,100,19872,>98%,>98% reported,edison,6,all,7544,10899,8973,0,0,2020-11-11T03:25:24Z,9.69203,R+10,Rogers +10,republican,AL-G-H-3-2020-11-03,al-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",317782,12565,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,285,299,95% reporting,95%,98,324000,edison,98%,98% reported,edison,republican,FALSE,2020-11-12T22:04:50Z,TRUE,35.14359,111680,R+35,Rogers +35,republican,"","",0,-1,1604459097117
01111,Randolph,10637,0,25,27,None,100,9951,>98%,>98% reported,edison,2,unknown,1038,8505,2132,0,0,2020-11-11T03:25:25Z,59.91351,R+60,Rogers +60,republican,AL-G-H-3-2020-11-03,al-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",317782,12565,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,285,299,95% reporting,95%,98,324000,edison,98%,98% reported,edison,republican,FALSE,2020-11-12T22:04:50Z,TRUE,35.14359,111680,R+35,Rogers +35,republican,"","",0,-1,1604459097117
01113,Russell,20872,0,19,19,Released as a precinct as first report of the night,97,21435,97%,97% reported,edison,2,unknown,1262,10099,10773,0,0,2020-11-11T03:25:26Z,3.22921,D+3,Winfrey +3,democrat,AL-G-H-3-2020-11-03,al-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",317782,12565,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,285,299,95% reporting,95%,98,324000,edison,98%,98% reported,edison,republican,FALSE,2020-11-12T22:04:50Z,TRUE,35.14359,111680,R+35,Rogers +35,republican,"","",0,-1,1604459097117
