fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_walorskij,results_hackettp,results_absentee_walorskij,results_absentee_hackettp,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
18039,Elkhart,74527,0,118,118,Released as a separate subtotal as first report of the night,100,73148,>98%,>98% reported,edison,6,unknown,25116,49304,25223,0,0,2020-11-13T20:05:47Z,32.31178,R+32,Walorski +32,republican,IN-G-H-2-2020-11-03,in-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",297062,46905,8,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,326,339,96% reporting,96%,96,309000,edison,96%,96% reported,edison,republican,FALSE,2020-11-13T22:08:47Z,TRUE,22.79995,67730,R+23,Walorski +23,republican,"","",0,0,1604463427024
18049,Fulton,9049,3011,17,17,Merged into voters' home precincts and released with cumulative results,100,9016,>98%,>98% reported,edison,6,all,5427,6733,2316,2170,841,2020-11-12T17:04:47Z,48.81202,R+49,Walorski +49,republican,IN-G-H-2-2020-11-03,in-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",297062,46905,8,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,326,339,96% reporting,96%,96,309000,edison,96%,96% reported,edison,republican,FALSE,2020-11-13T22:08:47Z,TRUE,22.79995,67730,R+23,Walorski +23,republican,"","",0,0,1604463427024
18085,Kosciusko,12765,4427,27,27,Merged into voters' home precincts and released with cumulative results,100,12757,>98%,>98% reported,edison,6,all,11537,10261,2504,3194,1233,2020-11-13T22:08:42Z,60.76772,R+61,Walorski +61,republican,IN-G-H-2-2020-11-03,in-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",297062,46905,8,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,326,339,96% reporting,96%,96,309000,edison,96%,96% reported,edison,republican,FALSE,2020-11-13T22:08:47Z,TRUE,22.79995,67730,R+23,Walorski +23,republican,"","",0,0,1604463427024
18091,LaPorte,23680,7888,45,45,Released as a separate subtotal as first report of the night,97,24453,97%,97% reported,edison,4,unknown,23451,14202,9478,4313,3575,2020-11-11T03:25:36Z,19.94932,R+20,Walorski +20,republican,IN-G-H-2-2020-11-03,in-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",297062,46905,8,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,326,339,96% reporting,96%,96,309000,edison,96%,96% reported,edison,republican,FALSE,2020-11-13T22:08:47Z,TRUE,22.79995,67730,R+23,Walorski +23,republican,"","",0,0,1604463427024
18099,Marshall,19698,2707,30,30,Merged into voters' home precincts and released with cumulative results,98,20171,98%,98% reported,edison,2,unknown,10005,14019,5679,1437,1270,2020-11-13T20:05:47Z,42.33932,R+42,Walorski +42,republican,IN-G-H-2-2020-11-03,in-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",297062,46905,8,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,326,339,96% reporting,96%,96,309000,edison,96%,96% reported,edison,republican,FALSE,2020-11-13T22:08:47Z,TRUE,22.79995,67730,R+23,Walorski +23,republican,"","",0,0,1604463427024
18103,Miami,14131,10465,23,24,Merged into voters' home precincts and released with cumulative results,97,14597,97%,97% reported,edison,2,some,8804,10902,3229,7941,2524,2020-11-11T03:25:45Z,54.29906,R+54,Walorski +54,republican,IN-G-H-2-2020-11-03,in-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",297062,46905,8,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,326,339,96% reporting,96%,96,309000,edison,96%,96% reported,edison,republican,FALSE,2020-11-13T22:08:47Z,TRUE,22.79995,67730,R+23,Walorski +23,republican,"","",0,0,1604463427024
18131,Pulaski,4279,3130,3,15,Released as a separate subtotal as first report of the night,100,4279,>98%,>98% reported,edison,6,all,2841,3129,1150,2188,942,2020-11-11T03:25:38Z,46.24912,R+46,Walorski +46,republican,IN-G-H-2-2020-11-03,in-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",297062,46905,8,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,326,339,96% reporting,96%,96,309000,edison,96%,96% reported,edison,republican,FALSE,2020-11-13T22:08:47Z,TRUE,22.79995,67730,R+23,Walorski +23,republican,"","",0,0,1604463427024
18141,St. Joseph,114548,0,16,16,Merged into voters' home precincts and released with cumulative results,93,122594,93%,93% reported,edison,4,unknown,55661,55689,58859,0,0,2020-11-11T03:25:39Z,2.7674,D+3,Hackett +3,democrat,IN-G-H-2-2020-11-03,in-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",297062,46905,8,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,326,339,96% reporting,96%,96,309000,edison,96%,96% reported,edison,republican,FALSE,2020-11-13T22:08:47Z,TRUE,22.79995,67730,R+23,Walorski +23,republican,"","",0,0,1604463427024
18149,Starke,10102,5035,21,21,Merged into voters' home precincts and released with cumulative results,100,10102,>98%,>98% reported,edison,6,all,4613,7244,2858,3266,1769,2020-11-11T03:25:41Z,43.41715,R+43,Walorski +43,republican,IN-G-H-2-2020-11-03,in-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",297062,46905,8,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,326,339,96% reporting,96%,96,309000,edison,96%,96% reported,edison,republican,FALSE,2020-11-13T22:08:47Z,TRUE,22.79995,67730,R+23,Walorski +23,republican,"","",0,0,1604463427024
18169,Wabash,14283,10242,26,26,Released as a separate subtotal as first report of the night,100,14283,>98%,>98% reported,edison,6,all,6597,10913,3370,7525,2717,2020-11-11T03:25:46Z,52.81103,R+53,Walorski +53,republican,IN-G-H-2-2020-11-03,in-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-indiana.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-indiana.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,IN,indiana,Indiana,Ind.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",297062,46905,8,unknown,First polls close at 6 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-03T23:00:00.000Z,6 p.m.,326,339,96% reporting,96%,96,309000,edison,96%,96% reported,edison,republican,FALSE,2020-11-13T22:08:47Z,TRUE,22.79995,67730,R+23,Walorski +23,republican,"","",0,0,1604463427024
