fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
51001,Accomack,16938,8645,17,17,Released separately AFTER election night,99,17184,>98%,>98% reported,edison,2,none,,1487,,,7578,9172,188,,5495,3084,66,,2020-11-12T04:11:14Z,9.41079,R+9,Trump +9,republican,9.41079,15818,11.7,16051,3.48,virginia,2020-11-14T00:42:24.923202Z
51003,Albemarle,64284,43352,30,31,Released as a precinct at the end of tabulation,100,64182,>98%,>98% reported,edison,4,unknown,,6993,,,42466,20804,1014,,33906,8979,467,,2020-11-11T03:25:50Z,33.69734,D+34,Biden +34,democrat,-33.69734,56726,-24.8,53907,-11.98,virginia,2020-11-14T00:42:24.923202Z
51510,Alexandria,81806,65530,28,31,Released as a precinct at the end of tabulation,91,89409,91%,91% reported,edison,2,unknown,,19940,,,66240,14544,1022,,55940,8951,639,,2020-11-11T03:26:35Z,63.19341,D+63,Biden +63,democrat,-63.19341,75762,-58,73411,-43.52,virginia,2020-11-14T00:42:24.923202Z
51005,Alleghany,8191,2724,12,13,Released as a separate subtotal at the end of tabulation,100,7854,>98%,>98% reported,edison,4,unknown,,550,,,2243,5859,89,,1250,1450,24,,2020-11-11T03:25:54Z,44.14601,R+44,Trump +44,republican,44.14601,7325,37,7173,2.68,virginia,2020-11-14T00:42:24.923202Z
51007,Amelia,7881,4351,6,6,Released as a precinct at the end of tabulation,100,7548,>98%,>98% reported,edison,4,unknown,,822,,,2411,5390,80,,1719,2595,37,,2020-11-11T03:25:57Z,37.79977,R+38,Trump +38,republican,37.79977,7040,36.6,6915,26.62,virginia,2020-11-14T00:42:24.923202Z
51009,Amherst,16964,8444,11,12,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,16507,>98%,>98% reported,edison,2,unknown,,1222,,,5672,11041,251,,3871,4487,86,,2020-11-12T23:30:56Z,31.64938,R+32,Trump +32,republican,31.64938,15396,30.3,14970,19.88,virginia,2020-11-14T00:42:24.923202Z
51011,Appomattox,9239,4607,10,10,Released as a precinct in the middle of the night,100,8408,>98%,>98% reported,edison,4,unknown,,525,,,2418,6702,119,,1565,2995,47,,2020-11-11T03:26:40Z,46.36865,R+46,Trump +46,republican,46.36865,7997,46.2,7935,36.38,virginia,2020-11-14T00:42:24.923202Z
51013,Arlington,129498,107030,50,55,Released as a precinct at the end of tabulation,90,143200,90%,90% reported,edison,4,none,,37665,,,105344,22318,1836,,91963,13899,1168,,2020-11-11T03:26:40Z,64.11373,D+64,Biden +64,democrat,-64.11373,121339,-59.2,117608,-39.79,virginia,2020-11-14T00:42:24.923202Z
51015,Augusta,42162,20996,26,26,Released separately AFTER election night,100,38142,>98%,>98% reported,edison,4,all,,2612,,,10840,30714,608,,7874,12866,256,,2020-11-11T03:26:40Z,47.13723,R+47,Trump +47,republican,47.13723,36343,49.5,33672,42.09,virginia,2020-11-14T00:42:24.923202Z
51017,Bath,2513,761,8,8,Released as a precinct in the middle of the night,100,2513,>98%,>98% reported,edison,6,unknown,,202,,,674,1824,15,,358,399,4,,2020-11-12T04:11:18Z,45.76204,R+46,Trump +46,republican,45.76204,2253,41.9,2223,17.09,virginia,2020-11-14T00:42:24.923202Z
51019,Bedford,48484,24216,32,33,Released as a precinct at the end of tabulation,100,44630,>98%,>98% reported,edison,4,unknown,,3722,,,12176,35600,708,,8705,15208,303,,2020-11-11T03:26:41Z,48.31285,R+48,Trump +48,republican,48.31285,42525,49.1,37425,44.01,virginia,2020-11-14T00:42:24.923202Z
51021,Bland,3475,1307,8,8,None,100,3366,>98%,>98% reported,edison,2,unknown,,209,,,532,2903,40,,313,976,18,,2020-11-11T03:26:41Z,68.23022,R+68,Trump +68,republican,68.23022,3139,67.5,2948,47.8,virginia,2020-11-14T00:42:24.923202Z
51023,Botetourt,21071,11571,10,11,"As a precinct in the FIRST cumulative report, along with regular precincts",100,19667,>98%,>98% reported,edison,2,unknown,,1719,,,5705,15102,264,,4236,7215,120,,2020-11-12T18:30:53Z,44.59684,R+45,Trump +45,republican,44.59684,18739,47.4,18241,38.52,virginia,2020-11-14T00:42:24.923202Z
51520,Bristol,7785,4707,5,5,Released as a separate subtotal as first report of the night,100,7730,>98%,>98% reported,edison,4,unknown,,770,,,2313,5347,125,,1746,2898,63,,2020-11-11T03:26:35Z,38.97238,R+39,Trump +39,republican,38.97238,7027,43.5,7387,30.97,virginia,2020-11-14T00:42:24.923202Z
51025,Brunswick,7948,4187,12,14,None,84,9479,84%,84% reported,edison,2,unknown,,801,,,4552,3357,34,5,2807,1368,12,0,2020-11-12T04:11:21Z,15.03523,D+15,Biden +15,democrat,-15.03523,7669,-18.7,8037,-25.21,virginia,2020-11-14T00:42:24.923202Z
51027,Buchanan,9942,3084,16,18,Released as a precinct in the middle of the night,100,9382,>98%,>98% reported,edison,6,all,,942,,,1587,8311,44,,768,2306,10,,2020-11-11T03:26:39Z,67.63227,R+68,Trump +68,republican,67.63227,9247,60.3,9646,34.65,virginia,2020-11-14T00:42:24.923202Z
51029,Buckingham,8108,4119,10,11,Released as a precinct in the middle of the night,100,8086,>98%,>98% reported,edison,6,all,,520,,,3471,4544,93,,2285,1795,39,,2020-11-11T03:26:39Z,13.23384,R+13,Trump +13,republican,13.23384,7289,11.3,7457,-2.43,virginia,2020-11-14T00:42:24.923202Z
51530,Buena Vista,2815,1837,3,3,Merged into voters' home precincts and released with cumulative results,100,2757,>98%,>98% reported,edison,6,unknown,,2407,,,825,1863,127,,637,1128,72,,2020-11-11T03:26:35Z,36.87389,R+37,Trump +37,republican,36.87389,2407,30.6,2526,25.53,virginia,2020-11-14T00:42:24.923202Z
51031,Campbell,29813,15055,16,17,Released separately AFTER election night,100,28898,>98%,>98% reported,edison,2,unknown,,2042,,,8073,21250,490,,5539,9336,180,,2020-11-11T03:26:39Z,44.19884,R+44,Trump +44,republican,44.19884,27535,46.8,25696,39.31,virginia,2020-11-14T00:42:24.923202Z
51033,Caroline,16288,7880,13,13,None,100,15598,>98%,>98% reported,edison,2,unknown,,1350,,,7657,8336,259,36,4957,2839,84,0,2020-11-12T04:11:17Z,4.16871,R+4,Trump +4,republican,4.16871,14248,5,13652,-8.24,virginia,2020-11-14T00:42:24.923202Z
51035,Carroll,15619,5682,17,18,Released as a precinct at the end of tabulation,100,14655,>98%,>98% reported,edison,2,unknown,,1199,,,2842,12659,118,,1740,3909,33,,2020-11-11T03:26:36Z,62.85294,R+63,Trump +63,republican,62.85294,13655,59.3,12918,39.1,virginia,2020-11-14T00:42:24.923202Z
51036,Charles City,4439,2856,4,4,Released separately AFTER election night,89,4971,89%,89% reported,edison,2,unknown,,611,,,2624,1761,54,,2024,811,21,,2020-11-11T03:26:37Z,19.44132,D+19,Biden +19,democrat,-19.44132,4107,-24.8,4232,-32.51,virginia,2020-11-14T00:42:24.923202Z
51037,Charlotte,6180,2943,7,8,None,98,6324,98%,98% reported,edison,4,all,,425,,,2317,3815,48,,1532,1390,21,,2020-11-11T03:26:37Z,24.23948,R+24,Trump +24,republican,24.23948,5807,22.8,5898,13.7,virginia,2020-11-14T00:42:24.923202Z
51540,Charlottesville,24101,17826,9,10,Released as a precinct in the middle of the night,91,26517,91%,91% reported,edison,2,unknown,,3257,,,20696,3094,311,,16289,1399,138,,2020-11-11T03:26:36Z,73.03431,D+73,Biden +73,democrat,-73.03431,22467,-66.5,21797,-53.52,virginia,2020-11-14T00:42:24.923202Z
51550,Chesapeake,126655,90410,61,64,"As a precinct in the FIRST cumulative report, along with regular precincts",95,132992,95%,95% reported,edison,2,none,,15226,,,66377,58180,2098,,53788,35502,1120,,2020-11-11T03:26:36Z,6.47191,D+6,Biden +6,democrat,-6.47191,112662,1.3,110425,-1.04,virginia,2020-11-14T00:42:24.923202Z
51041,Chesterfield,203188,154319,81,81,Released as a precinct at the end of tabulation,98,208224,98%,98% reported,edison,2,unknown,,17975,,,106935,93326,2927,0,90088,62602,1629,0,2020-11-12T03:07:57Z,6.69774,D+7,Biden +7,democrat,-6.69774,176362,2.3,170988,7.74,virginia,2020-11-14T00:42:24.923202Z
51043,Clarke,9290,5765,8,8,Released as a precinct at the end of tabulation,100,8619,>98%,>98% reported,edison,2,unknown,,1052,,,3920,5192,178,,3121,2554,90,,2020-11-11T03:26:38Z,13.69214,R+14,Trump +14,republican,13.69214,8213,19.6,7762,13.62,virginia,2020-11-14T00:42:24.923202Z
51570,Colonial Heights,9114,5736,5,6,Released as a separate subtotal at the end of tabulation,100,9026,>98%,>98% reported,edison,2,unknown,,1209,,,2972,6007,135,,2095,3577,64,,2020-11-11T03:26:36Z,33.30042,R+33,Trump +33,republican,33.30042,8457,39.2,8624,39.39,virginia,2020-11-14T00:42:24.923202Z
51580,Covington,2594,1108,6,6,None,100,2554,>98%,>98% reported,edison,4,unknown,,181,,,964,1580,50,,578,510,20,,2020-11-11T03:26:32Z,23.74711,R+24,Trump +24,republican,23.74711,2382,18.3,2330,-14.76,virginia,2020-11-14T00:42:24.923202Z
51045,Craig,3163,1127,9,9,Merged into voters' home precincts and released with cumulative results,100,2996,>98%,>98% reported,edison,2,unknown,,2794,,,587,2536,40,,313,804,10,,2020-11-11T03:26:38Z,61.61872,R+62,Trump +62,republican,61.61872,2791,57.3,2667,34.76,virginia,2020-11-14T00:42:24.923202Z
51047,Culpeper,27116,15044,16,16,"As a precinct in the FIRST cumulative report, along with regular precincts",100,23318,>98%,>98% reported,edison,4,unknown,,2558,,,10617,16012,406,81,8016,6837,191,0,2020-11-11T03:26:34Z,19.896,R+20,Trump +20,republican,19.896,22218,25.2,20211,16.3,virginia,2020-11-14T00:42:24.923202Z
51049,Cumberland,5302,2481,5,6,Released as a separate subtotal in the middle of the tabulation,98,5404,98%,98% reported,edison,4,some,,345,,,2230,3019,53,,1422,1039,20,,2020-11-11T03:26:34Z,14.88118,R+15,Trump +15,republican,14.88118,4906,13.5,5048,2.3,virginia,2020-11-14T00:42:24.923202Z
51590,Danville,19333,11815,15,17,Released as a precinct in the middle of the night,81,23811,81%,81% reported,edison,4,unknown,,2090,,,11710,7428,195,,7555,4186,74,,2020-11-11T03:26:32Z,22.14866,D+22,Biden +22,democrat,-22.14866,18940,-19.8,20204,-22.05,virginia,2020-11-14T00:42:24.923202Z
51051,Dickenson,7303,3510,11,11,None,99,7376,>98%,>98% reported,edison,4,all,,793,,,1503,5748,44,8,1030,2462,18,0,2020-11-11T03:26:35Z,58.1268,R+58,Trump +58,republican,58.1268,6440,55.9,6904,26.09,virginia,2020-11-14T00:42:24.923202Z
51053,Dinwiddie,15063,8306,13,14,None,100,14555,>98%,>98% reported,edison,4,all,,1542,,,6224,8695,144,,4265,3982,59,,2020-11-11T03:26:35Z,16.40443,R+16,Trump +16,republican,16.40443,13575,12.4,13589,2.39,virginia,2020-11-14T00:42:24.923202Z
51595,Emporia,2379,1043,7,8,Merged into voters' home precincts and released with cumulative results,75,3177,75%,75% reported,edison,4,all,,2367,,,1612,754,13,,796,244,3,,2020-11-11T03:26:33Z,36.06557,D+36,Biden +36,democrat,-36.06557,2366,-31.3,2696,-33.64,virginia,2020-11-14T00:42:24.923202Z
51057,Essex,6171,3893,5,5,"As a precinct in the FIRST cumulative report, along with regular precincts",100,6082,>98%,>98% reported,edison,2,unknown,,644,,,3038,3075,58,,2131,1736,26,,2020-11-11T03:26:36Z,0.59958,R+0.60,Trump +0.60,republican,0.59958,5372,2.1,5675,-7.3,virginia,2020-11-14T00:42:24.923202Z
51059,Fairfax,596358,410021,244,244,Released as a precinct in the middle of the night,92,650396,92%,92% reported,edison,4,all,,93111,,,419943,168401,8014,,321219,84585,4217,,2020-11-12T04:15:00Z,42.1797,D+42,Biden +42,democrat,-42.1797,551183,-35.8,529287,-20.5,virginia,2020-11-14T00:42:24.923202Z
51600,Fairfax City,13397,10107,7,7,Released separately AFTER election night,100,13209,>98%,>98% reported,edison,6,none,,2574,,,9192,4002,203,,7610,2374,123,,2020-11-11T03:26:33Z,38.74002,D+39,Biden +39,democrat,-38.74002,12028,-30.5,11629,-16.13,virginia,2020-11-14T00:42:24.923202Z
51610,Falls Church,8750,7531,4,4,Released as a precinct in the middle of the night,96,9153,96%,96% reported,edison,4,none,,2617,,,7146,1490,114,,6481,976,74,,2020-11-11T03:26:34Z,64.64,D+65,Biden +65,democrat,-64.64,7757,-57.9,7276,-39.42,virginia,2020-11-14T00:42:24.923202Z
