fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_hagertyb,results_bradshawm,results_mcleode,results_faparusiy,results_morgank,results_henleyr,results_stansberrye,results_grunauj,results_hilld,results_jamesa,results_hoopers,results_absentee_hagertyb,results_absentee_bradshawm,results_absentee_mcleode,results_absentee_faparusiy,results_absentee_morgank,results_absentee_henleyr,results_absentee_stansberrye,results_absentee_grunauj,results_absentee_hilld,results_absentee_jamesa,results_absentee_hoopers,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
47001,Anderson,34521,23147,27,27,Released as a precinct as first report of the night,93,37072,93%,93% reported,edison,4,some,,24252,,,22973,10810,197,103,82,75,61,58,55,54,53,15660,7100,109,59,34,41,36,29,23,27,29,2020-11-11T03:25:53Z,35.23363,R+35,Hagerty +35,republican,tennessee,2020-11-14T00:45:46.362289Z
47003,Bedford,18109,0,11,11,Released as a separate subtotal as first report of the night,98,18456,98%,98% reported,edison,2,unknown,,10626,,,13884,3801,69,49,65,63,32,26,36,29,55,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:54Z,55.6795,R+56,Hagerty +56,republican,tennessee,2020-11-14T00:45:46.362289Z
47005,Benton,6974,0,6,6,Merged into voters' home precincts and released with cumulative results,95,7340,95%,95% reported,edison,2,some,,4922,,,5455,1336,32,13,19,24,8,17,17,7,46,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:54Z,59.06223,R+59,Hagerty +59,republican,tennessee,2020-11-14T00:45:46.362289Z
47007,Bledsoe,5473,0,12,12,None,95,5780,95%,95% reported,edison,2,unknown,,1711,,,4460,898,22,2,17,19,13,7,6,17,12,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:55Z,65.08314,R+65,Hagerty +65,republican,tennessee,2020-11-14T00:45:46.362289Z
47009,Blount,64411,49547,31,31,Merged into voters' home precincts and released with cumulative results,97,66306,97%,97% reported,edison,6,all,,40960,,,47218,15861,146,263,91,221,39,95,191,58,228,35329,13303,98,179,62,152,25,67,129,39,164,2020-11-11T03:25:56Z,48.68268,R+49,Hagerty +49,republican,tennessee,2020-11-14T00:45:46.362289Z
47011,Bradley,44128,34052,17,17,Released as a separate subtotal as first report of the night,96,45968,96%,96% reported,edison,6,all,,30918,,,34249,8714,229,143,118,111,283,61,57,64,99,26290,6984,149,94,76,73,208,32,40,39,67,2020-11-11T03:26:19Z,57.86575,R+58,Hagerty +58,republican,tennessee,2020-11-14T00:45:46.362289Z
47013,Campbell,14063,0,19,20,Released as a separate subtotal as first report of the night,97,14537,97%,97% reported,edison,2,unknown,,7473,,,11609,2170,32,24,18,60,12,29,40,11,58,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:20Z,67.11939,R+67,Hagerty +67,republican,tennessee,2020-11-14T00:45:46.362289Z
47015,Cannon,6160,2485,9,9,Released as a precinct as first report of the night,93,6600,93%,93% reported,edison,2,unknown,,2997,,,4904,1105,25,19,27,24,8,11,6,14,17,1964,448,14,8,15,12,4,5,0,7,8,2020-11-11T03:26:00Z,61.67208,R+62,Hagerty +62,republican,tennessee,2020-11-14T00:45:46.362289Z
47017,Carroll,11428,7579,18,19,Released as a separate subtotal as first report of the night,88,13042,88%,88% reported,edison,2,some,,6252,,,8888,2286,58,18,26,44,15,23,20,17,33,5742,1686,30,8,15,28,8,18,12,13,19,2020-11-11T03:26:01Z,57.77039,R+58,Hagerty +58,republican,tennessee,2020-11-14T00:45:46.362289Z
47019,Carter,23584,11932,21,22,Released as a precinct as first report of the night,95,24868,95%,95% reported,edison,6,all,,13611,,,18850,4204,135,69,69,58,39,34,51,41,34,8943,2737,65,36,31,29,22,14,22,19,14,2020-11-11T03:26:01Z,62.10142,R+62,Hagerty +62,republican,tennessee,2020-11-14T00:45:46.362289Z
47021,Cheatham,19366,15906,8,8,Released as a separate subtotal as first report of the night,96,20091,96%,96% reported,edison,6,all,,12907,,,13990,4911,127,65,51,41,17,25,28,35,76,11228,4331,100,46,35,32,13,20,21,26,54,2020-11-11T03:26:02Z,46.88113,R+47,Hagerty +47,republican,tennessee,2020-11-14T00:45:46.362289Z
47023,Chester,7415,0,11,11,Released as a separate subtotal as first report of the night,95,7821,95%,95% reported,edison,2,unknown,,4605,,,5949,1304,27,8,28,14,15,5,7,37,21,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:15Z,62.64329,R+63,Hagerty +63,republican,tennessee,2020-11-14T00:45:46.362289Z
47025,Claiborne,12290,0,16,16,Released as a separate subtotal as first report of the night,95,12908,95%,95% reported,edison,2,unknown,,6758,,,10110,1960,42,24,29,27,25,9,17,19,28,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:15Z,66.31408,R+66,Hagerty +66,republican,tennessee,2020-11-14T00:45:46.362289Z
47027,Clay,3225,0,7,7,Released as a separate subtotal as first report of the night,92,3509,92%,92% reported,edison,2,unknown,,1984,,,2525,616,14,5,14,14,5,6,7,3,16,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:16Z,59.1938,R+59,Hagerty +59,republican,tennessee,2020-11-14T00:45:46.362289Z
47029,Cocke,13872,0,19,19,Other,92,15000,92%,92% reported,edison,2,unknown,,8249,,,11256,2220,73,32,50,43,39,31,30,18,80,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:17Z,65.13841,R+65,Hagerty +65,republican,tennessee,2020-11-14T00:45:46.362289Z
47031,Coffee,23650,16727,23,23,Released as a separate subtotal as first report of the night,97,24313,97%,97% reported,edison,6,all,,13744,,,17587,5214,181,56,128,100,58,31,47,159,89,12092,4124,109,30,85,61,41,11,28,92,54,2020-11-11T03:26:18Z,52.31712,R+52,Hagerty +52,republican,tennessee,2020-11-14T00:45:46.362289Z
47033,Crockett,5754,0,11,12,"As a precinct in the FIRST cumulative report, along with regular precincts",90,6378,90%,90% reported,edison,2,unknown,,3380,,,4455,1190,21,16,20,12,11,5,8,2,14,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:19Z,56.74314,R+57,Hagerty +57,republican,tennessee,2020-11-14T00:45:46.362289Z
47035,Cumberland,30911,21983,24,24,Released as a separate subtotal as first report of the night,96,32307,96%,96% reported,edison,6,all,,21382,,,24411,5908,140,65,84,76,49,44,50,32,52,16771,4846,88,42,55,41,33,27,29,25,26,2020-11-11T03:26:10Z,59.85895,R+60,Hagerty +60,republican,tennessee,2020-11-14T00:45:46.362289Z
47037,Davidson,300377,247643,160,160,Released as a separate subtotal as first report of the night,98,306783,98%,98% reported,edison,6,all,,227158,,,105795,183290,2374,1657,1696,681,904,393,474,1506,1607,79782,159914,1701,1189,1175,445,611,259,324,1061,1182,2020-11-11T03:26:11Z,25.79925,D+26,Bradshaw +26,democrat,tennessee,2020-11-14T00:45:46.362289Z
47041,DeKalb,7951,0,15,15,Released as a precinct as first report of the night,95,8360,95%,95% reported,edison,2,unknown,,4360,,,6153,1522,30,33,32,25,24,6,70,12,44,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:12Z,58.24425,R+58,Hagerty +58,republican,tennessee,2020-11-14T00:45:46.362289Z
47039,Decatur,5039,3631,12,13,"Released as first report, then NOT included in cumulative results",95,5327,95%,95% reported,edison,2,unknown,,3109,,,4075,817,21,8,22,15,17,7,7,32,18,2884,652,11,6,13,10,10,5,5,23,12,2020-11-11T03:26:12Z,64.65569,R+65,Hagerty +65,republican,tennessee,2020-11-14T00:45:46.362289Z
47043,Dickson,23590,16455,17,17,Released as a separate subtotal as first report of the night,97,24342,97%,97% reported,edison,6,unknown,,12625,,,17191,5549,136,67,129,82,70,32,41,121,172,11603,4305,85,43,90,57,45,26,23,75,103,2020-11-11T03:26:13Z,49.35142,R+49,Hagerty +49,republican,tennessee,2020-11-14T00:45:46.362289Z
47045,Dyer,14341,0,15,16,Released as a separate subtotal as first report of the night,86,16586,86%,86% reported,edison,2,unknown,,9314,,,11237,2733,78,36,43,64,38,24,22,22,44,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:13Z,59.29851,R+59,Hagerty +59,republican,tennessee,2020-11-14T00:45:46.362289Z
47047,Fayette,21757,0,15,15,Merged into voters' home precincts and released with cumulative results,90,24284,90%,90% reported,edison,2,unknown,,13370,,,15385,5795,116,56,60,80,58,53,34,47,73,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:06Z,44.07777,R+44,Hagerty +44,republican,tennessee,2020-11-14T00:45:46.362289Z
47049,Fentress,8240,0,13,13,Other,97,8506,97%,97% reported,edison,2,unknown,,6047,,,7035,1052,33,13,24,14,15,14,15,14,11,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:07Z,72.60922,R+73,Hagerty +73,republican,tennessee,2020-11-14T00:45:46.362289Z
47051,Franklin,18215,11421,17,18,Released as a separate subtotal as first report of the night,95,19146,95%,95% reported,edison,6,some,,10688,,,13483,4383,83,44,38,60,27,18,22,21,36,7818,3415,49,35,16,21,8,13,18,11,17,2020-11-11T03:26:08Z,49.95883,R+50,Hagerty +50,republican,tennessee,2020-11-14T00:45:46.362289Z
47053,Gibson,21173,13887,26,28,Released as a separate subtotal as first report of the night,95,22336,95%,95% reported,edison,6,all,,10676,,,15571,4861,90,73,64,101,232,43,30,27,81,10119,3324,54,51,40,67,114,28,22,17,51,2020-11-11T03:26:09Z,50.58329,R+51,Hagerty +51,republican,tennessee,2020-11-14T00:45:46.362289Z
47055,Giles,12463,0,14,14,"As a subtotal in the FIRST cumulative report, along with regular precincts",93,13386,93%,93% reported,edison,2,unknown,,7703,,,9312,2828,59,24,41,73,19,13,34,29,31,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:09Z,52.026,R+52,Hagerty +52,republican,tennessee,2020-11-14T00:45:46.362289Z
47057,Grainger,9568,0,10,10,Released as a separate subtotal as first report of the night,94,10200,94%,94% reported,edison,2,unknown,,4964,,,8126,1267,29,19,26,24,20,11,17,6,23,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:09Z,71.68687,R+72,Hagerty +72,republican,tennessee,2020-11-14T00:45:46.362289Z
47059,Greene,27354,27354,16,17,Released as a precinct as first report of the night,97,28057,97%,97% reported,edison,6,all,,13642,,,21838,4788,145,48,97,83,78,20,39,138,80,21838,4788,145,48,97,83,78,20,39,138,80,2020-11-11T03:26:10Z,62.33092,R+62,Hagerty +62,republican,tennessee,2020-11-14T00:45:46.362289Z
47061,Grundy,5386,0,10,10,Released as a precinct as first report of the night,91,5900,91%,91% reported,edison,2,unknown,,2619,,,4368,885,18,8,22,19,17,9,5,18,17,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:10Z,64.66766,R+65,Hagerty +65,republican,tennessee,2020-11-14T00:45:46.362289Z
47063,Hamblen,23499,0,16,16,Released as a separate subtotal as first report of the night,94,24870,94%,94% reported,edison,4,some,,13898,,,18162,4810,115,75,67,51,70,31,30,31,57,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:04Z,56.81944,R+57,Hagerty +57,republican,tennessee,2020-11-14T00:45:46.362289Z
47065,Hamilton,168686,0,135,135,Released as a separate subtotal as first report of the night,100,165193,>98%,>98% reported,edison,2,unknown,,94364,,,94984,70460,807,797,339,312,127,191,211,264,194,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:05Z,14.53825,R+15,Hagerty +15,republican,tennessee,2020-11-14T00:45:46.362289Z
47067,Hancock,2499,0,7,7,Released as a precinct as first report of the night,91,2760,91%,91% reported,edison,2,unknown,,1141,,,2159,301,9,4,5,4,8,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:05Z,74.34974,R+74,Hagerty +74,republican,tennessee,2020-11-14T00:45:46.362289Z
47069,Hardeman,9160,0,11,13,None,76,12109,76%,76% reported,edison,2,unknown,,5839,,,5377,3450,41,21,41,73,26,34,34,20,43,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:06Z,21.03712,R+21,Hagerty +21,republican,tennessee,2020-11-14T00:45:46.362289Z
47071,Hardin,11113,0,13,14,"Released as first report, then NOT included in cumulative results",91,12174,91%,91% reported,edison,2,unknown,,6210,,,9219,1599,53,24,40,28,28,7,16,63,36,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:00Z,68.56834,R+69,Hagerty +69,republican,tennessee,2020-11-14T00:45:46.362289Z
47073,Hawkins,19551,0,16,20,Released as a separate subtotal as first report of the night,81,24094,81%,81% reported,edison,2,unknown,,14007,,,15914,3174,83,36,72,75,72,31,35,30,29,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:00Z,65.16291,R+65,Hagerty +65,republican,tennessee,2020-11-14T00:45:46.362289Z
47075,Haywood,7129,0,10,11,Released as a separate subtotal as first report of the night,81,8780,81%,81% reported,edison,2,unknown,,4957,,,3292,3685,24,10,9,28,11,8,14,17,31,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:01Z,5.51269,D+6,Bradshaw +6,democrat,tennessee,2020-11-14T00:45:46.362289Z
