fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_aderholtr,results_neighborsr,results_absentee_aderholtr,results_absentee_neighborsr,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
01009,Blount,2106,0,2,2,"As a precinct in the FIRST cumulative report, along with regular precincts",100,2106,>98%,>98% reported,edison,6,all,1181,1919,187,0,0,2020-11-14T16:39:05Z,82.24122,R+82,Aderholt +82,republican,AL-G-H-4-2020-11-03,al-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",297398,2816,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,377,417,90% reporting,90%,91,326000,edison,91%,91% reported,edison,republican,FALSE,2020-11-14T16:40:01Z,TRUE,65.8841,195938,R+66,Aderholt +66,republican,"","",0,-1,1604459127293
01019,Cherokee,801,0,2,2,"As a precinct in the FIRST cumulative report, along with regular precincts",100,801,>98%,>98% reported,edison,6,all,800,705,96,0,0,2020-11-14T16:39:12Z,76.02996,R+76,Aderholt +76,republican,AL-G-H-4-2020-11-03,al-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",297398,2816,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,377,417,90% reporting,90%,91,326000,edison,91%,91% reported,edison,republican,FALSE,2020-11-14T16:40:01Z,TRUE,65.8841,195938,R+66,Aderholt +66,republican,"","",0,-1,1604459127293
01033,Colbert,24296,1488,31,35,Released as a precinct as first report of the night,100,24296,>98%,>98% reported,edison,6,all,1442,17371,6925,650,838,2020-11-14T16:39:15Z,42.99473,R+43,Aderholt +43,republican,AL-G-H-4-2020-11-03,al-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",297398,2816,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,377,417,90% reporting,90%,91,326000,edison,91%,91% reported,edison,republican,FALSE,2020-11-14T16:40:01Z,TRUE,65.8841,195938,R+66,Aderholt +66,republican,"","",0,-1,1604459127293
01043,Cullman,41396,0,49,50,Released as a precinct in the middle of the night,98,42121,98%,98% reported,edison,2,none,1880,37054,4342,0,0,2020-11-14T16:39:05Z,79.02213,R+79,Aderholt +79,republican,AL-G-H-4-2020-11-03,al-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",297398,2816,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,377,417,90% reporting,90%,91,326000,edison,91%,91% reported,edison,republican,FALSE,2020-11-14T16:40:01Z,TRUE,65.8841,195938,R+66,Aderholt +66,republican,"","",0,-1,1604459127293
01049,DeKalb,28883,0,53,53,Released as a precinct as first report of the night,100,28883,>98%,>98% reported,edison,6,all,1682,24439,4444,0,0,2020-11-14T16:39:06Z,69.22757,R+69,Aderholt +69,republican,AL-G-H-4-2020-11-03,al-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",297398,2816,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,377,417,90% reporting,90%,91,326000,edison,91%,91% reported,edison,republican,FALSE,2020-11-14T16:40:01Z,TRUE,65.8841,195938,R+66,Aderholt +66,republican,"","",0,-1,1604459127293
01055,Etowah,47023,0,31,32,"As a precinct in the FIRST cumulative report, along with regular precincts",100,47023,>98%,>98% reported,edison,6,all,2245,35733,11290,0,0,2020-11-14T16:39:06Z,51.98095,R+52,Aderholt +52,republican,AL-G-H-4-2020-11-03,al-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",297398,2816,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,377,417,90% reporting,90%,91,326000,edison,91%,91% reported,edison,republican,FALSE,2020-11-14T16:40:01Z,TRUE,65.8841,195938,R+66,Aderholt +66,republican,"","",0,-1,1604459127293
01057,Fayette,8652,475,26,28,Released as a precinct as first report of the night,94,9192,94%,94% reported,edison,4,all,362,7297,1355,295,180,2020-11-14T16:39:07Z,68.67776,R+69,Aderholt +69,republican,AL-G-H-4-2020-11-03,al-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",297398,2816,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,377,417,90% reporting,90%,91,326000,edison,91%,91% reported,edison,republican,FALSE,2020-11-14T16:40:01Z,TRUE,65.8841,195938,R+66,Aderholt +66,republican,"","",0,-1,1604459127293
01059,Franklin,12366,0,23,25,Released as a precinct as first report of the night,100,12366,>98%,>98% reported,edison,6,all,653,10241,2125,0,0,2020-11-14T16:39:08Z,65.63157,R+66,Aderholt +66,republican,AL-G-H-4-2020-11-03,al-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",297398,2816,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,377,417,90% reporting,90%,91,326000,edison,91%,91% reported,edison,republican,FALSE,2020-11-14T16:40:01Z,TRUE,65.8841,195938,R+66,Aderholt +66,republican,"","",0,-1,1604459127293
01071,Jackson,82,0,1,1,Released as a precinct as first report of the night,87,94,87%,87% reported,edison,4,none,1483,76,6,0,0,2020-11-14T16:39:15Z,85.36585,R+85,Aderholt +85,republican,AL-G-H-4-2020-11-03,al-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",297398,2816,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,377,417,90% reporting,90%,91,326000,edison,91%,91% reported,edison,republican,FALSE,2020-11-14T16:40:01Z,TRUE,65.8841,195938,R+66,Aderholt +66,republican,"","",0,-1,1604459127293
01075,Lamar,7103,0,24,26,Released as a precinct as first report of the night,100,7103,>98%,>98% reported,edison,6,some,790,6160,943,0,0,2020-11-14T16:39:08Z,73.44784,R+73,Aderholt +73,republican,AL-G-H-4-2020-11-03,al-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",297398,2816,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,377,417,90% reporting,90%,91,326000,edison,91%,91% reported,edison,republican,FALSE,2020-11-14T16:40:01Z,TRUE,65.8841,195938,R+66,Aderholt +66,republican,"","",0,-1,1604459127293
