fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_fallonp,results_fosterr,results_write_ins,results_antonellil,results_absentee_fallonp,results_absentee_fosterr,results_absentee_write_ins,results_absentee_antonellil,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
48037,Bowie,37737,29740,36,43,Released as a precinct as first report of the night,85,44491,85%,85% reported,edison,4,all,32487,26357,10202,608,570,20104,8736,488,412,2020-11-14T16:42:11Z,42.80944,R+43,Fallon +43,republican,TX-G-H-4-2020-11-03,tx-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",339935,279124,18,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,300,335,90% reporting,90%,94,361000,edison,94%,94% reported,edison,republican,FALSE,2020-11-14T16:41:58Z,FALSE,52.29735,177777,R+52,Fallon +52,republican,"","",1,0,1604458451049
48063,Camp,4971,4223,4,5,Released as a precinct as first report of the night,85,5859,85%,85% reported,edison,2,unknown,4295,3575,1313,14,69,3082,1090,11,40,2020-11-14T16:42:12Z,45.50392,R+46,Fallon +46,republican,TX-G-H-4-2020-11-03,tx-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",339935,279124,18,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,300,335,90% reporting,90%,94,361000,edison,94%,94% reported,edison,republican,FALSE,2020-11-14T16:41:58Z,FALSE,52.29735,177777,R+52,Fallon +52,republican,"","",1,0,1604458451049
48067,Cass,13463,10458,16,19,Released as a precinct as first report of the night,85,15862,85%,85% reported,edison,2,unknown,8478,10525,2607,160,171,8076,2140,141,101,2020-11-14T16:42:12Z,58.81304,R+59,Fallon +59,republican,TX-G-H-4-2020-11-03,tx-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",339935,279124,18,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,300,335,90% reporting,90%,94,361000,edison,94%,94% reported,edison,republican,FALSE,2020-11-14T16:41:58Z,FALSE,52.29735,177777,R+52,Fallon +52,republican,"","",1,0,1604458451049
48085,Collin,28872,25907,13,13,Released as a precinct as first report of the night,100,28855,>98%,>98% reported,edison,6,unknown,368567,21464,6727,13,668,19214,6132,0,561,2020-11-14T16:42:13Z,51.04253,R+51,Fallon +51,republican,TX-G-H-4-2020-11-03,tx-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",339935,279124,18,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,300,335,90% reporting,90%,94,361000,edison,94%,94% reported,edison,republican,FALSE,2020-11-14T16:41:58Z,FALSE,52.29735,177777,R+52,Fallon +52,republican,"","",1,0,1604458451049
48119,Delta,2465,1744,7,8,Released as a precinct as first report of the night,84,2940,84%,84% reported,edison,2,unknown,1505,2060,366,3,36,1419,299,3,23,2020-11-14T16:42:13Z,68.72211,R+69,Fallon +69,republican,TX-G-H-4-2020-11-03,tx-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",339935,279124,18,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,300,335,90% reporting,90%,94,361000,edison,94%,94% reported,edison,republican,FALSE,2020-11-14T16:41:58Z,FALSE,52.29735,177777,R+52,Fallon +52,republican,"","",1,0,1604458451049
48147,Fannin,14490,10712,16,17,Released as a precinct as first report of the night,94,15474,94%,94% reported,edison,2,unknown,8408,11808,2382,14,286,8609,1918,13,172,2020-11-14T16:42:14Z,65.05176,R+65,Fallon +65,republican,TX-G-H-4-2020-11-03,tx-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",339935,279124,18,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,300,335,90% reporting,90%,94,361000,edison,94%,94% reported,edison,republican,FALSE,2020-11-14T16:41:58Z,FALSE,52.29735,177777,R+52,Fallon +52,republican,"","",1,0,1604458451049
48159,Franklin,4867,3825,8,9,Released as a precinct as first report of the night,87,5622,87%,87% reported,edison,2,unknown,3878,4041,722,36,68,3153,598,29,45,2020-11-14T16:42:14Z,68.19396,R+68,Fallon +68,republican,TX-G-H-4-2020-11-03,tx-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",339935,279124,18,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,300,335,90% reporting,90%,94,361000,edison,94%,94% reported,edison,republican,FALSE,2020-11-14T16:41:58Z,FALSE,52.29735,177777,R+52,Fallon +52,republican,"","",1,0,1604458451049
48181,Grayson,58031,49670,35,37,Released as a precinct as first report of the night,95,60821,95%,95% reported,edison,2,unknown,43337,44166,12786,,1079,37642,11253,,775,2020-11-14T16:42:14Z,54.07455,R+54,Fallon +54,republican,TX-G-H-4-2020-11-03,tx-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",339935,279124,18,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,300,335,90% reporting,90%,94,361000,edison,94%,94% reported,edison,republican,FALSE,2020-11-14T16:41:58Z,FALSE,52.29735,177777,R+52,Fallon +52,republican,"","",1,0,1604458451049
48223,Hopkins,15371,12509,19,22,Released as a precinct as first report of the night,88,17390,88%,88% reported,edison,2,unknown,12167,12316,2766,5,284,10007,2295,4,203,2020-11-14T16:42:15Z,62.12999,R+62,Fallon +62,republican,TX-G-H-4-2020-11-03,tx-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",339935,279124,18,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,300,335,90% reporting,90%,94,361000,edison,94%,94% reported,edison,republican,FALSE,2020-11-14T16:41:58Z,FALSE,52.29735,177777,R+52,Fallon +52,republican,"","",1,0,1604458451049
48231,Hunt,37304,27455,31,34,Released as a precinct as first report of the night,92,40416,92%,92% reported,edison,2,unknown,22277,28569,7968,,767,20808,6163,,484,2020-11-14T16:42:15Z,55.22464,R+55,Fallon +55,republican,TX-G-H-4-2020-11-03,tx-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",339935,279124,18,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,300,335,90% reporting,90%,94,361000,edison,94%,94% reported,edison,republican,FALSE,2020-11-14T16:41:58Z,FALSE,52.29735,177777,R+52,Fallon +52,republican,"","",1,0,1604458451049
