fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_markeye,results_oconnork,results_write_ins,results_absentee_markeye,results_absentee_oconnork,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
25001,Barnstable,145282,0,63,65,,,,,"",edison,,,,,,,87798,56768,716,0,0,0,2020-11-14T16:39:21Z,21.35846,D+21,Markey +21,democrat,massachusetts,2020-11-15T00:45:21.862216Z
25003,Berkshire,63265,0,52,59,,,,,"",edison,,,,,,,47020,15955,290,0,0,0,2020-11-14T16:39:02Z,49.10298,D+49,Markey +49,democrat,massachusetts,2020-11-15T00:45:21.862216Z
25005,Bristol,266474,15237,160,172,,,,,"",edison,,,,,,,152261,112269,1944,8686,6439,112,2020-11-14T16:38:42Z,15.00784,D+15,Markey +15,democrat,massachusetts,2020-11-15T00:45:21.862216Z
25007,Dukes,12408,0,6,7,,,,,"",edison,,,,,,,9605,2755,48,0,0,0,2020-11-14T16:38:44Z,55.20632,D+55,Markey +55,democrat,massachusetts,2020-11-15T00:45:21.862216Z
25009,Essex,406795,0,227,240,,,,,"",edison,,,,,,,262624,141338,2833,0,0,0,2020-11-14T16:38:47Z,29.81502,D+30,Markey +30,democrat,massachusetts,2020-11-15T00:45:21.862216Z
25011,Franklin,38291,848,36,40,,,,,"",edison,,,,,,,27326,10454,511,637,211,0,2020-11-14T16:38:49Z,44.06257,D+44,Markey +44,democrat,massachusetts,2020-11-15T00:45:21.862216Z
25013,Hampden,205395,5478,147,166,,,,,"",edison,,,,,,,120254,82569,2572,3459,2019,0,2020-11-14T16:39:00Z,18.34757,D+18,Markey +18,democrat,massachusetts,2020-11-15T00:45:21.862216Z
25015,Hampshire,84137,4853,52,56,,,,,"",edison,,,,,,,61291,22086,760,2409,2390,54,2020-11-14T16:38:52Z,46.59662,D+47,Markey +47,democrat,massachusetts,2020-11-15T00:45:21.862216Z
25017,Middlesex,813287,10596,436,474,,,,,"",edison,,,,,,,581405,226597,5285,7024,3522,50,2020-11-14T16:38:39Z,43.62642,D+44,Markey +44,democrat,massachusetts,2020-11-15T00:45:21.862216Z
25019,Nantucket,7185,4460,1,1,,,,,"",edison,,,,,,,5127,2030,28,3498,957,5,2020-11-14T16:39:16Z,43.10369,D+43,Markey +43,democrat,massachusetts,2020-11-15T00:45:21.862216Z
25021,Norfolk,354879,15760,184,211,,,,,"",edison,,,,,,,234340,118582,1957,12475,3253,32,2020-11-14T16:38:41Z,32.61901,D+33,Markey +33,democrat,massachusetts,2020-11-15T00:45:21.862216Z
25023,Plymouth,254135,40218,114,143,,,,,"",edison,,,,,,,137571,115017,1547,27167,12912,139,2020-11-14T16:39:10Z,8.87481,D+9,Markey +9,democrat,massachusetts,2020-11-15T00:45:21.862216Z
25025,Suffolk,305891,0,294,298,,,,,"",edison,,,,,,,248846,55552,1493,0,0,0,2020-11-14T16:38:32Z,63.19048,D+63,Markey +63,democrat,massachusetts,2020-11-15T00:45:21.862216Z
25027,Worcester,401858,14517,222,242,,,,,"",edison,,,,,,,234927,161886,5045,9390,5034,93,2020-11-14T16:38:43Z,18.17582,D+18,Markey +18,democrat,massachusetts,2020-11-15T00:45:21.862216Z
