fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_youngd,results_galvina,results_absentee_youngd,results_absentee_galvina,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,nyt_race_description_race,race_rating_race,nyt_key_race_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
02901,ED 1,7061,3491,8,9,Released as a separate subtotal as first report of the night,96,7375,96%,96% reported,edison,2,unknown,4000,3432,3629,1391,2100,2020-11-14T16:38:34Z,2.78997,D+3,Galvin +3,democrat,AK-G-H-1-2020-11-03,ak-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alaska.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,"For Alaska’s single House seat, Alyse Galvin is <a href=""https://www.nytimes.com/2020/09/12/us/politics/alaska-democrats-independent-challengers.html"">again challenging Representative Don Young</a>, the body’s longest-serving member. Running as an independent with Democratic backing, Ms. Galvin, an education activist, lost to Mr. Young two years ago, but her bid in 2020 has become increasingly competitive. ",lean-rep,TRUE,1,At-Large,AK,alaska,Alaska,Alaska,horizontal,1,"",FALSE,TRUE,winner,AP,FALSE,"",335045,160213,36,unknown,Polls close at 1 a.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T06:00:00.000Z,1 a.m.,441,441,100% reporting,100%,99,367000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-15T18:48:48Z,TRUE,9.63244,32273,R+10,Young +10,republican,"","",10,0,1605115341304
02910,ED 10,10698,5336,11,11,Released as a separate subtotal as first report of the night,100,10144,>98%,>98% reported,edison,2,unknown,4000,7647,3051,3370,1966,2020-11-14T16:38:35Z,42.9613,R+43,Young +43,republican,AK-G-H-1-2020-11-03,ak-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alaska.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,"For Alaska’s single House seat, Alyse Galvin is <a href=""https://www.nytimes.com/2020/09/12/us/politics/alaska-democrats-independent-challengers.html"">again challenging Representative Don Young</a>, the body’s longest-serving member. Running as an independent with Democratic backing, Ms. Galvin, an education activist, lost to Mr. Young two years ago, but her bid in 2020 has become increasingly competitive. ",lean-rep,TRUE,1,At-Large,AK,alaska,Alaska,Alaska,horizontal,1,"",FALSE,TRUE,winner,AP,FALSE,"",335045,160213,36,unknown,Polls close at 1 a.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T06:00:00.000Z,1 a.m.,441,441,100% reporting,100%,99,367000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-15T18:48:48Z,TRUE,9.63244,32273,R+10,Young +10,republican,"","",10,0,1605115341304
02911,ED 11,10359,5743,8,9,Released as a separate subtotal as first report of the night,96,10805,96%,96% reported,edison,2,unknown,4000,6859,3500,3373,2370,2020-11-14T16:38:37Z,32.42591,R+32,Young +32,republican,AK-G-H-1-2020-11-03,ak-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alaska.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,"For Alaska’s single House seat, Alyse Galvin is <a href=""https://www.nytimes.com/2020/09/12/us/politics/alaska-democrats-independent-challengers.html"">again challenging Representative Don Young</a>, the body’s longest-serving member. Running as an independent with Democratic backing, Ms. Galvin, an education activist, lost to Mr. Young two years ago, but her bid in 2020 has become increasingly competitive. ",lean-rep,TRUE,1,At-Large,AK,alaska,Alaska,Alaska,horizontal,1,"",FALSE,TRUE,winner,AP,FALSE,"",335045,160213,36,unknown,Polls close at 1 a.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T06:00:00.000Z,1 a.m.,441,441,100% reporting,100%,99,367000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-15T18:48:48Z,TRUE,9.63244,32273,R+10,Young +10,republican,"","",10,0,1605115341304
02912,ED 12,10850,5454,7,7,Released as a separate subtotal as first report of the night,100,10705,>98%,>98% reported,edison,2,unknown,4000,7677,3173,3301,2153,2020-11-14T16:38:39Z,41.51152,R+42,Young +42,republican,AK-G-H-1-2020-11-03,ak-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alaska.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,"For Alaska’s single House seat, Alyse Galvin is <a href=""https://www.nytimes.com/2020/09/12/us/politics/alaska-democrats-independent-challengers.html"">again challenging Representative Don Young</a>, the body’s longest-serving member. Running as an independent with Democratic backing, Ms. Galvin, an education activist, lost to Mr. Young two years ago, but her bid in 2020 has become increasingly competitive. ",lean-rep,TRUE,1,At-Large,AK,alaska,Alaska,Alaska,horizontal,1,"",FALSE,TRUE,winner,AP,FALSE,"",335045,160213,36,unknown,Polls close at 1 a.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T06:00:00.000Z,1 a.m.,441,441,100% reporting,100%,99,367000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-15T18:48:48Z,TRUE,9.63244,32273,R+10,Young +10,republican,"","",10,0,1605115341304
02913,ED 13,6618,3547,5,6,Released as a separate subtotal as first report of the night,91,7290,91%,91% reported,edison,2,unknown,4000,4100,2518,1865,1682,2020-11-14T16:38:41Z,23.9045,R+24,Young +24,republican,AK-G-H-1-2020-11-03,ak-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alaska.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,"For Alaska’s single House seat, Alyse Galvin is <a href=""https://www.nytimes.com/2020/09/12/us/politics/alaska-democrats-independent-challengers.html"">again challenging Representative Don Young</a>, the body’s longest-serving member. Running as an independent with Democratic backing, Ms. Galvin, an education activist, lost to Mr. Young two years ago, but her bid in 2020 has become increasingly competitive. ",lean-rep,TRUE,1,At-Large,AK,alaska,Alaska,Alaska,horizontal,1,"",FALSE,TRUE,winner,AP,FALSE,"",335045,160213,36,unknown,Polls close at 1 a.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T06:00:00.000Z,1 a.m.,441,441,100% reporting,100%,99,367000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-15T18:48:48Z,TRUE,9.63244,32273,R+10,Young +10,republican,"","",10,0,1605115341304
02914,ED 14,10074,5877,6,7,Released as a separate subtotal as first report of the night,87,11540,87%,87% reported,edison,2,unknown,4000,6078,3996,3019,2858,2020-11-14T16:38:42Z,20.66706,R+21,Young +21,republican,AK-G-H-1-2020-11-03,ak-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alaska.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,"For Alaska’s single House seat, Alyse Galvin is <a href=""https://www.nytimes.com/2020/09/12/us/politics/alaska-democrats-independent-challengers.html"">again challenging Representative Don Young</a>, the body’s longest-serving member. Running as an independent with Democratic backing, Ms. Galvin, an education activist, lost to Mr. Young two years ago, but her bid in 2020 has become increasingly competitive. ",lean-rep,TRUE,1,At-Large,AK,alaska,Alaska,Alaska,horizontal,1,"",FALSE,TRUE,winner,AP,FALSE,"",335045,160213,36,unknown,Polls close at 1 a.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T06:00:00.000Z,1 a.m.,441,441,100% reporting,100%,99,367000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-15T18:48:48Z,TRUE,9.63244,32273,R+10,Young +10,republican,"","",10,0,1605115341304
02915,ED 15,4821,2611,4,5,Released as a separate subtotal as first report of the night,86,5576,86%,86% reported,edison,2,unknown,4000,2386,2435,1127,1484,2020-11-14T16:38:43Z,1.01639,D+1.0,Galvin +1.0,democrat,AK-G-H-1-2020-11-03,ak-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alaska.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,"For Alaska’s single House seat, Alyse Galvin is <a href=""https://www.nytimes.com/2020/09/12/us/politics/alaska-democrats-independent-challengers.html"">again challenging Representative Don Young</a>, the body’s longest-serving member. Running as an independent with Democratic backing, Ms. Galvin, an education activist, lost to Mr. Young two years ago, but her bid in 2020 has become increasingly competitive. ",lean-rep,TRUE,1,At-Large,AK,alaska,Alaska,Alaska,horizontal,1,"",FALSE,TRUE,winner,AP,FALSE,"",335045,160213,36,unknown,Polls close at 1 a.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T06:00:00.000Z,1 a.m.,441,441,100% reporting,100%,99,367000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-15T18:48:48Z,TRUE,9.63244,32273,R+10,Young +10,republican,"","",10,0,1605115341304
02916,ED 16,7492,4045,6,7,Released as a separate subtotal as first report of the night,90,8294,90%,90% reported,edison,2,unknown,4000,3367,4125,1351,2694,2020-11-14T16:38:46Z,10.11746,D+10,Galvin +10,democrat,AK-G-H-1-2020-11-03,ak-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alaska.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,"For Alaska’s single House seat, Alyse Galvin is <a href=""https://www.nytimes.com/2020/09/12/us/politics/alaska-democrats-independent-challengers.html"">again challenging Representative Don Young</a>, the body’s longest-serving member. Running as an independent with Democratic backing, Ms. Galvin, an education activist, lost to Mr. Young two years ago, but her bid in 2020 has become increasingly competitive. ",lean-rep,TRUE,1,At-Large,AK,alaska,Alaska,Alaska,horizontal,1,"",FALSE,TRUE,winner,AP,FALSE,"",335045,160213,36,unknown,Polls close at 1 a.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T06:00:00.000Z,1 a.m.,441,441,100% reporting,100%,99,367000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-15T18:48:48Z,TRUE,9.63244,32273,R+10,Young +10,republican,"","",10,0,1605115341304
02917,ED 17,6526,3871,6,7,Released as a separate subtotal as first report of the night,86,7564,86%,86% reported,edison,2,unknown,4000,2660,3866,1198,2673,2020-11-14T16:38:48Z,18.47993,D+18,Galvin +18,democrat,AK-G-H-1-2020-11-03,ak-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alaska.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,"For Alaska’s single House seat, Alyse Galvin is <a href=""https://www.nytimes.com/2020/09/12/us/politics/alaska-democrats-independent-challengers.html"">again challenging Representative Don Young</a>, the body’s longest-serving member. Running as an independent with Democratic backing, Ms. Galvin, an education activist, lost to Mr. Young two years ago, but her bid in 2020 has become increasingly competitive. ",lean-rep,TRUE,1,At-Large,AK,alaska,Alaska,Alaska,horizontal,1,"",FALSE,TRUE,winner,AP,FALSE,"",335045,160213,36,unknown,Polls close at 1 a.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T06:00:00.000Z,1 a.m.,441,441,100% reporting,100%,99,367000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-15T18:48:48Z,TRUE,9.63244,32273,R+10,Young +10,republican,"","",10,0,1605115341304
02918,ED 18,7077,4525,8,10,Released as a separate subtotal as first report of the night,85,8298,85%,85% reported,edison,2,unknown,4000,2611,4466,1300,3225,2020-11-14T16:38:49Z,26.21167,D+26,Galvin +26,democrat,AK-G-H-1-2020-11-03,ak-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska-house-district-at-large.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alaska.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alaska.html,house,general,2020-11-03,FALSE,U.S. House At-Large,U.S. House,H,"For Alaska’s single House seat, Alyse Galvin is <a href=""https://www.nytimes.com/2020/09/12/us/politics/alaska-democrats-independent-challengers.html"">again challenging Representative Don Young</a>, the body’s longest-serving member. Running as an independent with Democratic backing, Ms. Galvin, an education activist, lost to Mr. Young two years ago, but her bid in 2020 has become increasingly competitive. ",lean-rep,TRUE,1,At-Large,AK,alaska,Alaska,Alaska,horizontal,1,"",FALSE,TRUE,winner,AP,FALSE,"",335045,160213,36,unknown,Polls close at 1 a.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T06:00:00.000Z,1 a.m.,441,441,100% reporting,100%,99,367000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-15T18:48:48Z,TRUE,9.63244,32273,R+10,Young +10,republican,"","",10,0,1605115341304
