fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_mannt,results_barnettk,results_absentee_mannt,results_absentee_barnettk,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
20009,Barton,10742,2343,38,40,Merged into voters' home precincts and released with cumulative results,100,10651,>98%,>98% reported,edison,6,all,7606,8348,2394,1926,417,2020-11-14T16:40:32Z,55.42729,R+55,Mann +55,republican,KS-G-H-1-2020-11-03,ks-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",285836,73284,20,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,1273,1336,95% reporting,95%,97,294000,edison,97%,97% reported,edison,republican,FALSE,2020-11-14T16:40:22Z,FALSE,42.93161,122714,R+43,Mann +43,republican,"","",3,0,1604459955514
20017,Chase,1458,0,11,11,"As a subtotal in the FIRST cumulative report, along with regular precincts",98,1481,98%,98% reported,edison,2,unknown,946,1073,385,0,0,2020-11-14T16:39:07Z,47.18793,R+47,Mann +47,republican,KS-G-H-1-2020-11-03,ks-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",285836,73284,20,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,1273,1336,95% reporting,95%,97,294000,edison,97%,97% reported,edison,republican,FALSE,2020-11-14T16:40:22Z,FALSE,42.93161,122714,R+43,Mann +43,republican,"","",3,0,1604459955514
20023,Cheyenne,1404,0,7,8,Other,94,1495,94%,94% reported,edison,2,unknown,1605,1174,230,0,0,2020-11-14T16:39:08Z,67.23647,R+67,Mann +67,republican,KS-G-H-1-2020-11-03,ks-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",285836,73284,20,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,1273,1336,95% reporting,95%,97,294000,edison,97%,97% reported,edison,republican,FALSE,2020-11-14T16:40:22Z,FALSE,42.93161,122714,R+43,Mann +43,republican,"","",3,0,1604459955514
20025,Clark,1012,478,6,7,Merged into voters' home precincts and released with cumulative results,98,1031,98%,98% reported,edison,4,all,621,842,170,368,110,2020-11-14T16:39:09Z,66.40316,R+66,Mann +66,republican,KS-G-H-1-2020-11-03,ks-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",285836,73284,20,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,1273,1336,95% reporting,95%,97,294000,edison,97%,97% reported,edison,republican,FALSE,2020-11-14T16:40:22Z,FALSE,42.93161,122714,R+43,Mann +43,republican,"","",3,0,1604459955514
20027,Clay,4040,0,21,22,Other,100,4052,>98%,>98% reported,edison,2,unknown,3531,3178,862,0,0,2020-11-14T16:39:10Z,57.32673,R+57,Mann +57,republican,KS-G-H-1-2020-11-03,ks-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",285836,73284,20,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,1273,1336,95% reporting,95%,97,294000,edison,97%,97% reported,edison,republican,FALSE,2020-11-14T16:40:22Z,FALSE,42.93161,122714,R+43,Mann +43,republican,"","",3,0,1604459955514
20029,Cloud,4056,2172,24,26,Released separately AFTER election night,97,4172,97%,97% reported,edison,2,some,1701,3208,848,1517,655,2020-11-14T16:39:11Z,58.1854,R+58,Mann +58,republican,KS-G-H-1-2020-11-03,ks-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",285836,73284,20,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,1273,1336,95% reporting,95%,97,294000,edison,97%,97% reported,edison,republican,FALSE,2020-11-14T16:40:22Z,FALSE,42.93161,122714,R+43,Mann +43,republican,"","",3,0,1604459955514
20039,Decatur,1444,1442,24,27,Other,93,1546,93%,93% reported,edison,2,some,824,1225,219,1223,219,2020-11-14T16:39:13Z,69.66759,R+70,Mann +70,republican,KS-G-H-1-2020-11-03,ks-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",285836,73284,20,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,1273,1336,95% reporting,95%,97,294000,edison,97%,97% reported,edison,republican,FALSE,2020-11-14T16:40:22Z,FALSE,42.93161,122714,R+43,Mann +43,republican,"","",3,0,1604459955514
20041,Dickinson,9080,3810,34,34,Merged into voters' home precincts and released with cumulative results,100,8996,>98%,>98% reported,edison,6,all,3990,6988,2092,2519,1291,2020-11-14T16:39:14Z,53.9207,R+54,Mann +54,republican,KS-G-H-1-2020-11-03,ks-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",285836,73284,20,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,1273,1336,95% reporting,95%,97,294000,edison,97%,97% reported,edison,republican,FALSE,2020-11-14T16:40:22Z,FALSE,42.93161,122714,R+43,Mann +43,republican,"","",3,0,1604459955514
20051,Ellis,13254,6397,35,35,"As a precinct in the FIRST cumulative report, along with regular precincts",100,13033,>98%,>98% reported,edison,6,all,6586,9513,3741,3917,2480,2020-11-14T16:39:14Z,43.54912,R+44,Mann +44,republican,KS-G-H-1-2020-11-03,ks-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",285836,73284,20,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,1273,1336,95% reporting,95%,97,294000,edison,97%,97% reported,edison,republican,FALSE,2020-11-14T16:40:22Z,FALSE,42.93161,122714,R+43,Mann +43,republican,"","",3,0,1604459955514
20053,Ellsworth,2777,0,23,25,Released as a separate subtotal as first report of the night,98,2846,98%,98% reported,edison,4,all,1286,2100,677,0,0,2020-11-14T16:39:15Z,51.24235,R+51,Mann +51,republican,KS-G-H-1-2020-11-03,ks-house-general-district-001-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas-house-district-1.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-kansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-kansas.html,house,general,2020-11-03,FALSE,U.S. House District 1,U.S. House,H,solid-rep,1,District 1,KS,kansas,Kansas,Kan.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",285836,73284,20,unknown,First polls close at 8 p.m. Eastern time.,First polls close in,Most polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,1273,1336,95% reporting,95%,97,294000,edison,97%,97% reported,edison,republican,FALSE,2020-11-14T16:40:22Z,FALSE,42.93161,122714,R+43,Mann +43,republican,"","",3,0,1604459955514
