fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_colet,results_brannonm,results_whiteb,results_absentee_colet,results_absentee_brannonm,results_absentee_whiteb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
40017,Canadian,9527,2303,8,8,Released as a separate subtotal as first report of the night,100,9527,>98%,>98% reported,edison,10,all,10027,7187,1958,382,1403,842,58,2020-11-14T16:39:31Z,54.88611,R+55,Cole +55,republican,OK-G-H-4-2020-11-03,ok-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",314358,97483,15,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,351,351,100% reporting,100%,99,314358,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,39.01189,122637,R+39,Cole +39,republican,0,0,1604457469400
40019,Carter,19402,4250,25,25,Released as a separate subtotal as first report of the night,100,19402,>98%,>98% reported,edison,10,all,3955,14716,4163,523,2657,1519,74,2020-11-14T16:39:34Z,54.3913,R+54,Cole +54,republican,OK-G-H-4-2020-11-03,ok-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",314358,97483,15,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,351,351,100% reporting,100%,99,314358,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,39.01189,122637,R+39,Cole +39,republican,0,0,1604457469400
40027,Cleveland,119155,46996,84,84,Released as a separate subtotal as first report of the night,100,119155,>98%,>98% reported,edison,10,all,18829,70423,44249,4483,22254,23627,1115,2020-11-14T16:39:38Z,21.96635,R+22,Cole +22,republican,OK-G-H-4-2020-11-03,ok-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",314358,97483,15,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,351,351,100% reporting,100%,99,314358,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,39.01189,122637,R+39,Cole +39,republican,0,0,1604457469400
40031,Comanche,35452,10456,39,39,Released as a separate subtotal as first report of the night,100,35452,>98%,>98% reported,edison,10,all,8736,21756,12392,1304,4953,5217,286,2020-11-14T16:39:41Z,26.41318,R+26,Cole +26,republican,OK-G-H-4-2020-11-03,ok-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",314358,97483,15,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,351,351,100% reporting,100%,99,314358,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,39.01189,122637,R+39,Cole +39,republican,0,0,1604457469400
40033,Cotton,2562,796,9,9,Released as a separate subtotal as first report of the night,100,2562,>98%,>98% reported,edison,10,unknown,760,2129,366,67,638,141,17,2020-11-14T16:39:43Z,68.81343,R+69,Cole +69,republican,OK-G-H-4-2020-11-03,ok-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",314358,97483,15,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,351,351,100% reporting,100%,99,314358,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,39.01189,122637,R+39,Cole +39,republican,0,0,1604457469400
40049,Garvin,10869,2280,17,17,Released as a separate subtotal as first report of the night,100,10869,>98%,>98% reported,edison,10,unknown,2240,8881,1701,287,1704,542,34,2020-11-14T16:39:46Z,66.05944,R+66,Cole +66,republican,OK-G-H-4-2020-11-03,ok-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",314358,97483,15,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,351,351,100% reporting,100%,99,314358,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,39.01189,122637,R+39,Cole +39,republican,0,0,1604457469400
40051,Grady,23010,5504,28,28,Released as a separate subtotal as first report of the night,100,23010,>98%,>98% reported,edison,10,all,4398,18603,3701,706,3867,1494,143,2020-11-14T16:39:48Z,64.76315,R+65,Cole +65,republican,OK-G-H-4-2020-11-03,ok-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",314358,97483,15,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,351,351,100% reporting,100%,99,314358,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,39.01189,122637,R+39,Cole +39,republican,0,0,1604457469400
40067,Jefferson,2351,519,10,10,Released as a separate subtotal as first report of the night,100,2351,>98%,>98% reported,edison,10,unknown,656,1983,306,62,434,72,13,2020-11-14T16:39:49Z,71.33135,R+71,Cole +71,republican,OK-G-H-4-2020-11-03,ok-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",314358,97483,15,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,351,351,100% reporting,100%,99,314358,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,39.01189,122637,R+39,Cole +39,republican,0,0,1604457469400
40085,Love,4060,1073,12,12,Released as a separate subtotal as first report of the night,100,4060,>98%,>98% reported,edison,10,unknown,830,3300,671,89,821,233,19,2020-11-14T16:39:51Z,64.75369,R+65,Cole +65,republican,OK-G-H-4-2020-11-03,ok-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",314358,97483,15,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,351,351,100% reporting,100%,99,314358,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,39.01189,122637,R+39,Cole +39,republican,0,0,1604457469400
40087,McClain,19174,4068,26,26,Released as a separate subtotal as first report of the night,100,19174,>98%,>98% reported,edison,10,unknown,3157,15351,3209,614,2811,1172,85,2020-11-14T16:39:53Z,63.32534,R+63,Cole +63,republican,OK-G-H-4-2020-11-03,ok-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-oklahoma.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-oklahoma.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,OK,oklahoma,Oklahoma,Okla.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",314358,97483,15,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,351,351,100% reporting,100%,99,314358,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-14T16:40:13Z,TRUE,39.01189,122637,R+39,Cole +39,republican,0,0,1604457469400
