fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_royc,results_davisw,results_dibiancaa,results_absentee_royc,results_absentee_davisw,results_absentee_dibiancaa,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,nyt_race_description_race,race_rating_race,nyt_key_race_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
48019,Bandera,12398,10833,10,11,Released as a precinct as first report of the night,93,13384,93%,93% reported,edison,2,unknown,10011,9854,2338,206,8529,2145,159,2020-11-14T16:43:00Z,60.62268,R+61,Roy +61,republican,TX-G-H-21-2020-11-03,tx-house-general-district-021-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-21.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 21,U.S. House,H,"Representative Chip Roy, a first-term Republican, is facing a strong challenge from former State Senator Wendy Davis, a Democrat who gained national attention in 2013 for filibustering an anti-abortion bill.",tossup,TRUE,21,District 21,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",446469,405113,10,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,298,318,94% reporting,94%,95,471000,edison,95%,95% reported,edison,republican,FALSE,2020-11-15T23:21:02Z,TRUE,6.75702,30168,R+7,Roy +7,republican,"","",1,0,1604473409804
48029,Bexar,137255,126006,137,152,Released as a precinct as first report of the night,90,151877,90%,90% reported,edison,2,all,609654,69128,65663,2464,62765,61197,2044,2020-11-14T16:42:59Z,2.5245,R+3,Roy +3,republican,TX-G-H-21-2020-11-03,tx-house-general-district-021-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-21.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 21,U.S. House,H,"Representative Chip Roy, a first-term Republican, is facing a strong challenge from former State Senator Wendy Davis, a Democrat who gained national attention in 2013 for filibustering an anti-abortion bill.",tossup,TRUE,21,District 21,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",446469,405113,10,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,298,318,94% reporting,94%,95,471000,edison,95%,95% reported,edison,republican,FALSE,2020-11-15T23:21:02Z,TRUE,6.75702,30168,R+7,Roy +7,republican,"","",1,0,1604473409804
48031,Blanco,7275,6311,7,7,Released as a precinct as first report of the night,98,7426,98%,98% reported,edison,2,unknown,4204,5351,1825,99,4556,1677,78,2020-11-14T16:42:59Z,48.46735,R+48,Roy +48,republican,TX-G-H-21-2020-11-03,tx-house-general-district-021-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-21.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 21,U.S. House,H,"Representative Chip Roy, a first-term Republican, is facing a strong challenge from former State Senator Wendy Davis, a Democrat who gained national attention in 2013 for filibustering an anti-abortion bill.",tossup,TRUE,21,District 21,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",446469,405113,10,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,298,318,94% reporting,94%,95,471000,edison,95%,95% reported,edison,republican,FALSE,2020-11-15T23:21:02Z,TRUE,6.75702,30168,R+7,Roy +7,republican,"","",1,0,1604473409804
48091,Comal,69540,63731,24,24,Released as a precinct as first report of the night,100,69540,>98%,>98% reported,edison,6,unknown,64101,51971,16438,1131,47409,15406,916,2020-11-14T16:43:00Z,51.09721,R+51,Roy +51,republican,TX-G-H-21-2020-11-03,tx-house-general-district-021-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-21.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 21,U.S. House,H,"Representative Chip Roy, a first-term Republican, is facing a strong challenge from former State Senator Wendy Davis, a Democrat who gained national attention in 2013 for filibustering an anti-abortion bill.",tossup,TRUE,21,District 21,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",446469,405113,10,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,298,318,94% reporting,94%,95,471000,edison,95%,95% reported,edison,republican,FALSE,2020-11-15T23:21:02Z,TRUE,6.75702,30168,R+7,Roy +7,republican,"","",1,0,1604473409804
48171,Gillespie,15562,12456,13,14,Released as a precinct as first report of the night,90,17198,90%,90% reported,edison,2,unknown,13119,12318,3023,221,9615,2682,159,2020-11-14T16:43:00Z,59.72883,R+60,Roy +60,republican,TX-G-H-21-2020-11-03,tx-house-general-district-021-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-21.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 21,U.S. House,H,"Representative Chip Roy, a first-term Republican, is facing a strong challenge from former State Senator Wendy Davis, a Democrat who gained national attention in 2013 for filibustering an anti-abortion bill.",tossup,TRUE,21,District 21,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",446469,405113,10,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,298,318,94% reporting,94%,95,471000,edison,95%,95% reported,edison,republican,FALSE,2020-11-15T23:21:02Z,TRUE,6.75702,30168,R+7,Roy +7,republican,"","",1,0,1604473409804
48209,Hays,27848,26093,19,19,Released as a precinct as first report of the night,100,26034,>98%,>98% reported,edison,2,some,65929,13089,14057,702,11680,13833,580,2020-11-14T16:43:00Z,3.47601,D+3,Davis +3,democrat,TX-G-H-21-2020-11-03,tx-house-general-district-021-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-21.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 21,U.S. House,H,"Representative Chip Roy, a first-term Republican, is facing a strong challenge from former State Senator Wendy Davis, a Democrat who gained national attention in 2013 for filibustering an anti-abortion bill.",tossup,TRUE,21,District 21,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",446469,405113,10,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,298,318,94% reporting,94%,95,471000,edison,95%,95% reported,edison,republican,FALSE,2020-11-15T23:21:02Z,TRUE,6.75702,30168,R+7,Roy +7,republican,"","",1,0,1604473409804
48259,Kendall,26172,23317,11,11,Released as a precinct as first report of the night,100,26180,>98%,>98% reported,edison,2,unknown,20363,20279,5528,365,17931,5094,292,2020-11-14T16:43:00Z,56.36176,R+56,Roy +56,republican,TX-G-H-21-2020-11-03,tx-house-general-district-021-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-21.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 21,U.S. House,H,"Representative Chip Roy, a first-term Republican, is facing a strong challenge from former State Senator Wendy Davis, a Democrat who gained national attention in 2013 for filibustering an anti-abortion bill.",tossup,TRUE,21,District 21,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",446469,405113,10,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,298,318,94% reporting,94%,95,471000,edison,95%,95% reported,edison,republican,FALSE,2020-11-15T23:21:02Z,TRUE,6.75702,30168,R+7,Roy +7,republican,"","",1,0,1604473409804
48265,Kerr,27159,23580,19,21,Released as a precinct as first report of the night,89,30367,89%,89% reported,edison,4,some,26771,20669,6084,406,17810,5440,330,2020-11-14T16:43:00Z,53.70227,R+54,Roy +54,republican,TX-G-H-21-2020-11-03,tx-house-general-district-021-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-21.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 21,U.S. House,H,"Representative Chip Roy, a first-term Republican, is facing a strong challenge from former State Senator Wendy Davis, a Democrat who gained national attention in 2013 for filibustering an anti-abortion bill.",tossup,TRUE,21,District 21,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",446469,405113,10,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,298,318,94% reporting,94%,95,471000,edison,95%,95% reported,edison,republican,FALSE,2020-11-15T23:21:02Z,TRUE,6.75702,30168,R+7,Roy +7,republican,"","",1,0,1604473409804
48385,Real,1933,1608,5,6,Released as a precinct as first report of the night,88,2198,88%,88% reported,edison,2,unknown,1530,1626,286,21,1350,241,17,2020-11-14T16:43:00Z,69.3223,R+69,Roy +69,republican,TX-G-H-21-2020-11-03,tx-house-general-district-021-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-21.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 21,U.S. House,H,"Representative Chip Roy, a first-term Republican, is facing a strong challenge from former State Senator Wendy Davis, a Democrat who gained national attention in 2013 for filibustering an anti-abortion bill.",tossup,TRUE,21,District 21,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",446469,405113,10,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,298,318,94% reporting,94%,95,471000,edison,95%,95% reported,edison,republican,FALSE,2020-11-15T23:21:02Z,TRUE,6.75702,30168,R+7,Roy +7,republican,"","",1,0,1604473409804
48453,Travis,121327,111178,53,53,Released as a precinct as first report of the night,93,130053,93%,93% reported,edison,4,some,391428,29741,88616,2970,25859,82897,2422,2020-11-15T23:22:19Z,48.52588,D+49,Davis +49,democrat,TX-G-H-21-2020-11-03,tx-house-general-district-021-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-21.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 21,U.S. House,H,"Representative Chip Roy, a first-term Republican, is facing a strong challenge from former State Senator Wendy Davis, a Democrat who gained national attention in 2013 for filibustering an anti-abortion bill.",tossup,TRUE,21,District 21,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",446469,405113,10,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,298,318,94% reporting,94%,95,471000,edison,95%,95% reported,edison,republican,FALSE,2020-11-15T23:21:02Z,TRUE,6.75702,30168,R+7,Roy +7,republican,"","",1,0,1604473409804
