fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_write_ins,results_hawkinsh,results_la_rivag,results_de_la_fuenter,results_blankenshipd,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_write_ins,results_absentee_hawkinsh,results_absentee_la_rivag,results_absentee_de_la_fuenter,results_absentee_blankenshipd,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
12001,Alachua,142784,127935,64,64,Merged into voters' home precincts and released with cumulative results,100,142784,>98%,>98% reported,edison,6,all,,106798,,,50891,89527,1389,461,301,94,69,52,43725,82315,1118,338,254,77,61,47,2020-11-14T16:39:14Z,27.05905,D+27,Biden +27,democrat,-27.05905,130100,-22.3,120418,-17.36,florida,2020-11-16T00:42:13.216499Z
12003,Baker,14082,9978,9,9,Released as a precinct as first report of the night,100,14059,>98%,>98% reported,edison,6,all,,8770,,,11911,2037,93,23,10,3,4,1,8513,1465,0,0,0,0,0,0,2020-11-14T16:39:16Z,70.11788,R+70,Trump +70,republican,70.11788,12705,64.4,11368,58.62,florida,2020-11-16T00:42:13.216499Z
12005,Bay,93213,28739,44,44,Released as a precinct as first report of the night,88,106100,88%,88% reported,edison,4,unknown,,82646,,,66097,25614,1004,205,142,45,54,52,15999,12239,296,85,57,16,16,31,2020-11-15T19:54:38Z,43.43064,R+43,Trump +43,republican,43.43064,88222,45.8,79861,43.61,florida,2020-11-16T00:42:13.216499Z
12007,Bradford,13650,11677,14,14,Released as a separate subtotal as first report of the night,100,13650,>98%,>98% reported,edison,6,all,,9374,,,10334,3160,110,19,11,3,7,6,9164,2416,67,15,3,2,6,4,2020-11-14T16:39:22Z,52.55678,R+53,Trump +53,republican,52.55678,12158,49.3,11635,42.06,florida,2020-11-16T00:42:13.216499Z
12009,Brevard,360764,0,171,174,Released as a separate subtotal as first report of the night,100,356128,>98%,>98% reported,edison,6,all,,228190,,,207883,148549,3178,44,553,164,222,171,0,0,0,0,0,0,0,0,2020-11-15T16:11:52Z,16.44676,R+16,Trump +16,republican,16.44676,318141,19.5,285559,12.71,florida,2020-11-16T00:42:13.216499Z
12011,Broward,959640,831693,577,577,Released as a separate subtotal as first report of the night,99,965000,>98%,>98% reported,edison,4,some,,668379,,,333409,618752,3114,2031,1253,417,426,238,270318,559844,0,0,1005,0,335,191,2020-11-15T19:57:30Z,29.73438,D+30,Biden +30,democrat,-29.73438,837388,-34.9,756422,-34.93,florida,2020-11-16T00:42:13.216499Z
12013,Calhoun,6537,4670,13,15,Released as a precinct as first report of the night,100,6529,>98%,>98% reported,edison,6,all,,5416,,,5274,1209,29,11,4,4,4,2,3710,925,19,7,3,3,2,1,2020-11-14T16:39:31Z,62.18449,R+62,Trump +62,republican,62.18449,6128,55.7,6152,43.92,florida,2020-11-16T00:42:13.216499Z
12015,Charlotte,116481,100876,68,68,Released as a precinct as first report of the night,100,116481,>98%,>98% reported,edison,6,all,,97168,,,73202,42240,564,222,127,32,49,45,61031,39057,396,180,104,27,43,38,2020-11-14T16:39:32Z,26.58116,R+27,Trump +27,republican,26.58116,97187,27.5,84682,14.28,florida,2020-11-16T00:42:13.216499Z
12017,Citrus,93380,72623,31,31,Released as a separate subtotal as first report of the night,97,96694,97%,97% reported,edison,4,some,,76410,,,65348,27088,548,189,86,30,42,49,47888,24071,364,143,63,22,31,41,2020-11-14T16:39:35Z,40.97237,R+41,Trump +41,republican,40.97237,80412,39.4,73935,21.91,florida,2020-11-16T00:42:13.216499Z
12019,Clay,124622,93492,47,47,"Released as first report, then NOT included in cumulative results",96,129188,96%,96% reported,edison,2,some,,97059,,,84470,38294,1285,263,153,55,45,57,61945,30409,777,161,99,34,30,37,2020-11-14T16:39:38Z,37.05285,R+37,Trump +37,republican,37.05285,107317,43.9,96589,45.83,florida,2020-11-16T00:42:13.216499Z
12021,Collier,207799,178545,58,59,Released as a separate subtotal as first report of the night,99,210070,>98%,>98% reported,edison,4,unknown,,162717,,,128950,77621,889,,186,50,64,39,107535,70113,644,,136,33,51,33,2020-11-15T16:16:49Z,24.70127,R+25,Trump +25,republican,24.70127,172510,25.7,149112,30.06,florida,2020-11-16T00:42:13.216499Z
12023,Columbia,33042,26079,21,22,"As a subtotal in the FIRST cumulative report, along with regular precincts",97,34000,97%,97% reported,edison,4,some,,28810,,,23836,8914,224,0,28,20,12,8,18461,7474,144,0,0,0,0,0,2020-11-15T16:11:51Z,45.1607,R+45,Trump +45,republican,45.1607,28864,44.2,27163,36.69,florida,2020-11-16T00:42:13.216499Z
12027,DeSoto,12676,9345,15,15,Released as a precinct as first report of the night,100,12645,>98%,>98% reported,edison,6,all,,8368,,,8313,4259,52,17,8,11,12,4,5902,3370,34,14,7,8,8,2,2020-11-14T16:39:45Z,31.9817,R+32,Trump +32,republican,31.9817,10903,27.5,9865,14.32,florida,2020-11-16T00:42:13.216499Z
12029,Dixie,8171,5627,11,12,Released as a separate subtotal as first report of the night,100,8170,>98%,>98% reported,edison,6,some,,5219,,,6758,1364,27,6,5,2,5,4,4523,1104,0,0,0,0,0,0,2020-11-14T16:39:47Z,66.01395,R+66,Trump +66,republican,66.01395,7246,62.8,6941,46.88,florida,2020-11-16T00:42:13.216499Z
