fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_warnerm,results_gaded,results_absentee_warnerm,results_absentee_gaded,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
51001,Accomack,16802,8569,15,17,Released separately AFTER election night,98,17184,98%,98% reported,edison,2,none,,1487,,,7939,8863,5569,3000,2020-11-14T16:41:54Z,5.49935,R+5,Gade +5,republican,virginia,2020-11-16T00:45:25.100219Z
51003,Albemarle,63430,42507,29,31,Released as a precinct at the end of tabulation,99,64182,>98%,>98% reported,edison,4,unknown,,6993,,,42730,20700,33176,9331,2020-11-14T16:41:54Z,34.7312,D+35,Warner +35,democrat,virginia,2020-11-16T00:45:25.100219Z
51510,Alexandria,81873,65545,28,31,Released as a precinct at the end of tabulation,92,89409,92%,92% reported,edison,2,unknown,,19940,,,65071,16802,54818,10727,2020-11-14T16:41:20Z,58.95594,D+59,Warner +59,democrat,virginia,2020-11-16T00:45:25.100219Z
51005,Alleghany,7981,2662,12,13,Released as a separate subtotal at the end of tabulation,100,7854,>98%,>98% reported,edison,4,unknown,,550,,,2822,5159,1380,1282,2020-11-14T16:41:55Z,29.28204,R+29,Gade +29,republican,virginia,2020-11-16T00:45:25.100219Z
51007,Amelia,7825,4331,6,6,Released as a precinct at the end of tabulation,100,7548,>98%,>98% reported,edison,4,unknown,,822,,,2559,5266,1786,2545,2020-11-14T16:41:55Z,34.59425,R+35,Gade +35,republican,virginia,2020-11-16T00:45:25.100219Z
51009,Amherst,16977,8467,11,12,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,16507,>98%,>98% reported,edison,2,unknown,,1222,,,6331,10646,4133,4334,2020-11-14T16:41:55Z,25.41674,R+25,Gade +25,republican,virginia,2020-11-16T00:45:25.100219Z
51011,Appomattox,9047,4487,10,10,Released as a precinct in the middle of the night,100,8408,>98%,>98% reported,edison,4,unknown,,525,,,2741,6306,1689,2798,2020-11-14T16:41:55Z,39.40533,R+39,Gade +39,republican,virginia,2020-11-16T00:45:25.100219Z
51013,Arlington,129470,106823,50,55,Released as a precinct at the end of tabulation,90,143200,90%,90% reported,edison,4,none,,37665,,,102880,26590,89563,17260,2020-11-14T16:41:55Z,58.92485,D+59,Warner +59,democrat,virginia,2020-11-16T00:45:25.100219Z
51015,Augusta,42018,20904,25,26,Released separately AFTER election night,100,38142,>98%,>98% reported,edison,4,all,,2612,,,12224,29794,8314,12590,2020-11-14T16:41:55Z,41.81541,R+42,Gade +42,republican,virginia,2020-11-16T00:45:25.100219Z
51017,Bath,2432,744,7,8,Released as a precinct in the middle of the night,97,2513,97%,97% reported,edison,6,all,,202,,,744,1688,377,367,2020-11-14T16:41:56Z,38.81579,R+39,Gade +39,republican,virginia,2020-11-16T00:45:25.100219Z
