fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_hartzlerv,results_simmonsl,results_koonses,results_absentee_hartzlerv,results_absentee_simmonsl,results_absentee_koonses,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
29007,Audrain,8324,0,12,13,Released as a precinct as first report of the night,100,8324,>98%,>98% reported,edison,6,all,1222,6060,2009,255,0,0,0,2020-11-16T15:48:12Z,48.66651,R+49,Hartzler +49,republican,MO-G-H-4-2020-11-03,mo-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362526,16723,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,365,378,97% reporting,97%,97,375000,edison,97%,97% reported,edison,republican,FALSE,2020-11-16T15:48:04Z,TRUE,37.93824,137536,R+38,Hartzler +38,republican,"","",0,0,1604461206540
29011,Barton,5940,1033,8,9,"As a precinct in the FIRST cumulative report, along with regular precincts",100,5940,>98%,>98% reported,edison,6,all,813,5053,758,129,800,216,17,2020-11-16T15:47:59Z,72.3064,R+72,Hartzler +72,republican,MO-G-H-4-2020-11-03,mo-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362526,16723,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,365,378,97% reporting,97%,97,375000,edison,97%,97% reported,edison,republican,FALSE,2020-11-16T15:48:04Z,TRUE,37.93824,137536,R+38,Hartzler +38,republican,"","",0,0,1604461206540
29013,Bates,8289,0,15,16,"As a precinct in the FIRST cumulative report, along with regular precincts",94,8825,94%,94% reported,edison,4,none,1267,6538,1556,195,0,0,0,2020-11-16T15:48:00Z,60.10375,R+60,Hartzler +60,republican,MO-G-H-4-2020-11-03,mo-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362526,16723,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,365,378,97% reporting,97%,97,375000,edison,97%,97% reported,edison,republican,FALSE,2020-11-16T15:48:04Z,TRUE,37.93824,137536,R+38,Hartzler +38,republican,"","",0,0,1604461206540
29015,Benton,10321,0,8,8,Released as a precinct as first report of the night,100,10008,>98%,>98% reported,edison,4,all,2155,7977,2072,272,0,0,0,2020-11-16T15:48:01Z,57.21345,R+57,Hartzler +57,republican,MO-G-H-4-2020-11-03,mo-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362526,16723,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,365,378,97% reporting,97%,97,375000,edison,97%,97% reported,edison,republican,FALSE,2020-11-16T15:48:04Z,TRUE,37.93824,137536,R+38,Hartzler +38,republican,"","",0,0,1604461206540
29019,Boone,88734,0,75,78,Merged into voters' home precincts and released with cumulative results,97,91769,97%,97% reported,edison,4,all,9142,40764,45486,2484,0,0,0,2020-11-16T15:48:13Z,5.32152,D+5,Simmons +5,democrat,MO-G-H-4-2020-11-03,mo-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362526,16723,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,365,378,97% reporting,97%,97,375000,edison,97%,97% reported,edison,republican,FALSE,2020-11-16T15:48:04Z,TRUE,37.93824,137536,R+38,Hartzler +38,republican,"","",0,0,1604461206540
29029,Camden,9303,2180,8,8,Released as a precinct as first report of the night,100,9303,>98%,>98% reported,edison,6,all,5960,7259,1807,237,1415,728,37,2020-11-16T15:48:01Z,58.60475,R+59,Hartzler +59,republican,MO-G-H-4-2020-11-03,mo-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362526,16723,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,365,378,97% reporting,97%,97,375000,edison,97%,97% reported,edison,republican,FALSE,2020-11-16T15:48:04Z,TRUE,37.93824,137536,R+38,Hartzler +38,republican,"","",0,0,1604461206540
29037,Cass,56575,0,41,41,Released as a precinct as first report of the night,100,56575,>98%,>98% reported,edison,6,all,5946,38157,17038,1380,0,0,0,2020-11-16T15:48:02Z,37.32921,R+37,Hartzler +37,republican,MO-G-H-4-2020-11-03,mo-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362526,16723,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,365,378,97% reporting,97%,97,375000,edison,97%,97% reported,edison,republican,FALSE,2020-11-16T15:48:04Z,TRUE,37.93824,137536,R+38,Hartzler +38,republican,"","",0,0,1604461206540
29039,Cedar,6899,1354,10,10,"As a precinct in the FIRST cumulative report, along with regular precincts",100,6556,>98%,>98% reported,edison,4,all,1147,5655,1068,176,964,370,20,2020-11-16T15:48:03Z,66.4879,R+66,Hartzler +66,republican,MO-G-H-4-2020-11-03,mo-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362526,16723,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,365,378,97% reporting,97%,97,375000,edison,97%,97% reported,edison,republican,FALSE,2020-11-16T15:48:04Z,TRUE,37.93824,137536,R+38,Hartzler +38,republican,"","",0,0,1604461206540
29053,Cooper,8580,1372,11,11,Released as a precinct as first report of the night,100,8580,>98%,>98% reported,edison,6,all,981,6227,2040,313,793,536,43,2020-11-16T15:48:13Z,48.79953,R+49,Hartzler +49,republican,MO-G-H-4-2020-11-03,mo-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362526,16723,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,365,378,97% reporting,97%,97,375000,edison,97%,97% reported,edison,republican,FALSE,2020-11-16T15:48:04Z,TRUE,37.93824,137536,R+38,Hartzler +38,republican,"","",0,0,1604461206540
29057,Dade,4039,0,6,6,Released as a precinct as first report of the night,100,4039,>98%,>98% reported,edison,6,all,562,3345,605,89,0,0,0,2020-11-16T15:48:03Z,67.83857,R+68,Hartzler +68,republican,MO-G-H-4-2020-11-03,mo-house-general-district-004-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-4.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 4,U.S. House,H,solid-rep,4,District 4,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",362526,16723,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,365,378,97% reporting,97%,97,375000,edison,97%,97% reported,edison,republican,FALSE,2020-11-16T15:48:04Z,TRUE,37.93824,137536,R+38,Hartzler +38,republican,"","",0,0,1604461206540
