fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_smithj,results_ellisk,results_schmitzt,results_absentee_smithj,results_absentee_ellisk,results_absentee_schmitzt,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
29017,Bollinger,5879,0,8,9,Released as a precinct as first report of the night,100,5879,>98%,>98% reported,edison,6,unknown,626,5016,790,73,0,0,0,2020-11-16T15:47:58Z,71.88297,R+72,Smith +72,republican,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",329996,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,408,440,93% reporting,93%,94,350000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:09Z,TRUE,55.49825,183142,R+55,Smith +55,republican,"","",0,0,1604460670594
29023,Butler,17811,0,24,26,Released as a precinct as first report of the night,100,17581,>98%,>98% reported,edison,4,none,2331,14368,3154,289,0,0,0,2020-11-16T15:47:58Z,62.96109,R+63,Smith +63,republican,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",329996,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,408,440,93% reporting,93%,94,350000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:09Z,TRUE,55.49825,183142,R+55,Smith +55,republican,"","",0,0,1604460670594
29031,Cape Girardeau,39746,0,35,36,Released as a precinct as first report of the night,100,36267,>98%,>98% reported,edison,2,unknown,4680,28993,10019,734,0,0,0,2020-11-16T15:47:59Z,47.73814,R+48,Smith +48,republican,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",329996,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,408,440,93% reporting,93%,94,350000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:09Z,TRUE,55.49825,183142,R+55,Smith +55,republican,"","",0,0,1604460670594
29035,Carter,2805,524,5,6,None,100,2805,>98%,>98% reported,edison,6,all,512,2378,392,35,386,131,7,2020-11-16T15:48:00Z,70.80214,R+71,Smith +71,republican,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",329996,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,408,440,93% reporting,93%,94,350000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:09Z,TRUE,55.49825,183142,R+55,Smith +55,republican,"","",0,0,1604460670594
29055,Crawford,10843,0,9,9,Released separately AFTER election night,99,10912,>98%,>98% reported,edison,2,unknown,1146,8620,2052,171,0,0,0,2020-11-16T15:48:15Z,60.57364,R+61,Smith +61,republican,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",329996,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,408,440,93% reporting,93%,94,350000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:09Z,TRUE,55.49825,183142,R+55,Smith +55,republican,"","",0,0,1604460670594
29065,Dent,7080,0,9,9,Released as a precinct as first report of the night,95,7457,95%,95% reported,edison,2,unknown,35,5884,1042,154,0,0,0,2020-11-16T15:48:00Z,68.38983,R+68,Smith +68,republican,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",329996,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,408,440,93% reporting,93%,94,350000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:09Z,TRUE,55.49825,183142,R+55,Smith +55,republican,"","",0,0,1604460670594
29067,Douglas,6833,0,13,14,Released as a precinct as first report of the night,100,6833,>98%,>98% reported,edison,6,all,1341,5769,937,127,0,0,0,2020-11-16T15:48:01Z,70.71564,R+71,Smith +71,republican,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",329996,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,408,440,93% reporting,93%,94,350000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:09Z,TRUE,55.49825,183142,R+55,Smith +55,republican,"","",0,0,1604460670594
29069,Dunklin,10181,0,19,22,Released separately at end; NOT included in cumulative results,98,10369,98%,98% reported,edison,2,unknown,1130,7978,2074,129,0,0,0,2020-11-16T15:48:01Z,57.99037,R+58,Smith +58,republican,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",329996,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,408,440,93% reporting,93%,94,350000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:09Z,TRUE,55.49825,183142,R+55,Smith +55,republican,"","",0,0,1604460670594
29091,Howell,18264,0,20,21,Released as a precinct as first report of the night,100,17771,>98%,>98% reported,edison,2,unknown,2469,14932,3023,309,0,0,0,2020-11-16T15:48:02Z,65.20477,R+65,Smith +65,republican,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",329996,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,408,440,93% reporting,93%,94,350000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:09Z,TRUE,55.49825,183142,R+55,Smith +55,republican,"","",0,0,1604460670594
29093,Iron,4425,0,9,10,Released as a precinct as first report of the night,94,4686,94%,94% reported,edison,2,unknown,458,3358,985,82,0,0,0,2020-11-16T15:48:02Z,53.62712,R+54,Smith +54,republican,MO-G-H-8-2020-11-03,mo-house-general-district-008-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri-house-district-8.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-missouri.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-missouri.html,house,general,2020-11-03,FALSE,U.S. House District 8,U.S. House,H,solid-rep,8,District 8,MO,missouri,Missouri,Mo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",329996,19543,7,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,408,440,93% reporting,93%,94,350000,edison,94%,94% reported,edison,republican,FALSE,2020-11-16T15:48:09Z,TRUE,55.49825,183142,R+55,Smith +55,republican,"","",0,0,1604460670594
