fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_buddt,results_huffmans,results_absentee_buddt,results_absentee_huffmans,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
37001,Alamance,84951,67468,38,38,Released as a separate subtotal as first report of the night,100,84951,>98%,>98% reported,edison,10,none,62360,46535,38416,35008,32460,2020-11-16T22:00:07Z,9.55727,R+10,Budd +10,republican,NC-G-H-13-2020-11-03,nc-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",391865,250506,9,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,186,186,100% reporting,100%,99,391865,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-16T22:05:37Z,TRUE,36.3638,142497,R+36,Budd +36,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604454953401
37033,Caswell,11819,8216,9,9,Released as a precinct as first report of the night,100,11819,>98%,>98% reported,edison,10,all,9422,6991,4828,4343,3873,2020-11-16T22:00:32Z,18.30104,R+18,Budd +18,republican,NC-G-H-13-2020-11-03,nc-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",391865,250506,9,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,186,186,100% reporting,100%,99,391865,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-16T22:05:37Z,TRUE,36.3638,142497,R+36,Budd +36,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604454953401
37037,Chatham,9217,7372,4,4,Released as a precinct as first report of the night,100,9217,>98%,>98% reported,edison,10,some,39498,5785,3432,4360,3012,2020-11-16T22:49:22Z,25.52891,R+26,Budd +26,republican,NC-G-H-13-2020-11-03,nc-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",391865,250506,9,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,186,186,100% reporting,100%,99,391865,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-16T22:05:37Z,TRUE,36.3638,142497,R+36,Budd +36,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604454953401
37057,Davidson,87909,66291,43,43,Released as a precinct as first report of the night,100,87909,>98%,>98% reported,edison,10,unknown,62552,65683,22226,49143,17148,2020-11-16T22:01:11Z,49.43407,R+49,Budd +49,republican,NC-G-H-13-2020-11-03,nc-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",391865,250506,9,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,186,186,100% reporting,100%,99,391865,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-16T22:05:37Z,TRUE,36.3638,142497,R+36,Budd +36,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604454953401
37059,Davie,25148,20086,14,14,Released as a precinct as first report of the night,100,25148,>98%,>98% reported,edison,10,some,19566,18971,6177,14747,5339,2020-11-16T22:01:30Z,50.87482,R+51,Budd +51,republican,NC-G-H-13-2020-11-03,nc-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",391865,250506,9,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,186,186,100% reporting,100%,99,391865,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-16T22:05:37Z,TRUE,36.3638,142497,R+36,Budd +36,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604454953401
37097,Iredell,1548,1400,1,1,Released as a precinct as first report of the night,100,1548,>98%,>98% reported,edison,10,unknown,70424,1179,369,1054,346,2020-11-16T22:21:29Z,52.32558,R+52,Budd +52,republican,NC-G-H-13-2020-11-03,nc-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",391865,250506,9,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,186,186,100% reporting,100%,99,391865,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-16T22:05:37Z,TRUE,36.3638,142497,R+36,Budd +36,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604454953401
37105,Lee,7822,6903,3,3,Released as a precinct as first report of the night,100,7822,>98%,>98% reported,edison,10,unknown,27472,4925,2897,4286,2617,2020-11-16T22:32:15Z,25.92687,R+26,Budd +26,republican,NC-G-H-13-2020-11-03,nc-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",391865,250506,9,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,186,186,100% reporting,100%,99,391865,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-16T22:05:37Z,TRUE,36.3638,142497,R+36,Budd +36,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604454953401
37145,Person,20948,17004,11,11,Released as a separate subtotal as first report of the night,100,20948,>98%,>98% reported,edison,10,some,21096,12651,8297,9796,7208,2020-11-16T22:02:19Z,20.7848,R+21,Budd +21,republican,NC-G-H-13-2020-11-03,nc-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",391865,250506,9,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,186,186,100% reporting,100%,99,391865,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-16T22:05:37Z,TRUE,36.3638,142497,R+36,Budd +36,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604454953401
37151,Randolph,70377,55766,22,22,Released as a separate subtotal as first report of the night,100,70377,>98%,>98% reported,edison,10,unknown,49222,55308,15069,43314,12452,2020-11-16T22:02:41Z,57.17635,R+57,Budd +57,republican,NC-G-H-13-2020-11-03,nc-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",391865,250506,9,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,186,186,100% reporting,100%,99,391865,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-16T22:05:37Z,TRUE,36.3638,142497,R+36,Budd +36,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604454953401
37159,Rowan,72126,0,41,41,Released as a separate subtotal as first report of the night,100,72126,>98%,>98% reported,edison,10,unknown,57107,49153,22973,0,0,2020-11-16T22:02:57Z,36.29759,R+36,Budd +36,republican,NC-G-H-13-2020-11-03,nc-house-general-district-013-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-13.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 13,U.S. House,H,solid-rep,13,District 13,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",391865,250506,9,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,186,186,100% reporting,100%,99,391865,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-16T22:05:37Z,TRUE,36.3638,142497,R+36,Budd +36,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604454953401
