fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,results_reedt,results_mitranot,results_kolsteea,results_absentee_reedt,results_absentee_mitranot,results_absentee_kolsteea,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,results_write_ins,results_absentee_write_ins,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
36003,Allegany,17030,0,28,34,Merged into voters' home precincts AFTER election night,83,20443,83%,83% reported,edison,2,unknown,12862,3975,193,0,0,0,2020-11-16T15:47:56Z,52.18438,R+52,Reed +52,republican,,,NY-G-H-23-2020-11-03,ny-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,solid-rep,23,District 23,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",269850,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,407,505,81% reporting,81%,84,322000,edison,84%,84% reported,edison,republican,FALSE,2020-11-16T15:47:55Z,TRUE,24.5781,66324,R+25,Reed +25,republican,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which had until Nov. 10 to arrive if postmarked by Election Day, are still being counted. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots are still being counted.,7,0,1604469559147
36009,Cattaraugus,29233,0,44,51,Merged into voters' home precincts AFTER election night,85,34271,85%,85% reported,edison,2,unknown,20239,8625,369,0,0,0,2020-11-16T15:47:57Z,39.72907,R+40,Reed +40,republican,,,NY-G-H-23-2020-11-03,ny-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,solid-rep,23,District 23,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",269850,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,407,505,81% reporting,81%,84,322000,edison,84%,84% reported,edison,republican,FALSE,2020-11-16T15:47:55Z,TRUE,24.5781,66324,R+25,Reed +25,republican,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which had until Nov. 10 to arrive if postmarked by Election Day, are still being counted. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots are still being counted.,7,0,1604469559147
36013,Chautauqua,57928,0,44,55,Merged into voters' home precincts AFTER election night,97,59546,97%,97% reported,edison,2,unknown,35856,21324,725,0,0,0,2020-11-16T15:47:58Z,25.08631,R+25,Reed +25,republican,23,0,NY-G-H-23-2020-11-03,ny-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,solid-rep,23,District 23,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",269850,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,407,505,81% reporting,81%,84,322000,edison,84%,84% reported,edison,republican,FALSE,2020-11-16T15:47:55Z,TRUE,24.5781,66324,R+25,Reed +25,republican,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which had until Nov. 10 to arrive if postmarked by Election Day, are still being counted. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots are still being counted.,7,0,1604469559147
36015,Chemung,31127,0,70,89,Merged into voters' home precincts AFTER election night,78,39698,78%,78% reported,edison,2,unknown,20342,10380,405,0,0,0,2020-11-16T15:47:58Z,32.00437,R+32,Reed +32,republican,,,NY-G-H-23-2020-11-03,ny-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,solid-rep,23,District 23,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",269850,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,407,505,81% reporting,81%,84,322000,edison,84%,84% reported,edison,republican,FALSE,2020-11-16T15:47:55Z,TRUE,24.5781,66324,R+25,Reed +25,republican,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which had until Nov. 10 to arrive if postmarked by Election Day, are still being counted. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots are still being counted.,7,0,1604469559147
36069,Ontario,16466,0,26,33,Merged into voters' home precincts AFTER election night,80,20558,80%,80% reported,edison,2,unknown,9584,6719,163,0,0,0,2020-11-16T15:47:59Z,17.39949,R+17,Reed +17,republican,,,NY-G-H-23-2020-11-03,ny-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,solid-rep,23,District 23,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",269850,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,407,505,81% reporting,81%,84,322000,edison,84%,84% reported,edison,republican,FALSE,2020-11-16T15:47:55Z,TRUE,24.5781,66324,R+25,Reed +25,republican,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which had until Nov. 10 to arrive if postmarked by Election Day, are still being counted. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots are still being counted.,7,0,1604469559147
36097,Schuyler,9596,0,16,19,Merged into voters' home precincts AFTER election night,100,9619,>98%,>98% reported,edison,2,unknown,5868,3596,125,0,0,0,2020-11-16T15:47:59Z,23.67653,R+24,Reed +24,republican,7,0,NY-G-H-23-2020-11-03,ny-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,solid-rep,23,District 23,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",269850,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,407,505,81% reporting,81%,84,322000,edison,84%,84% reported,edison,republican,FALSE,2020-11-16T15:47:55Z,TRUE,24.5781,66324,R+25,Reed +25,republican,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which had until Nov. 10 to arrive if postmarked by Election Day, are still being counted. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots are still being counted.,7,0,1604469559147
36099,Seneca,12444,0,22,27,Merged into voters' home precincts AFTER election night,81,15351,81%,81% reported,edison,2,unknown,7648,4703,93,0,0,0,2020-11-16T15:48:00Z,23.66602,R+24,Reed +24,republican,,,NY-G-H-23-2020-11-03,ny-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,solid-rep,23,District 23,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",269850,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,407,505,81% reporting,81%,84,322000,edison,84%,84% reported,edison,republican,FALSE,2020-11-16T15:47:55Z,TRUE,24.5781,66324,R+25,Reed +25,republican,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which had until Nov. 10 to arrive if postmarked by Election Day, are still being counted. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots are still being counted.,7,0,1604469559147
36101,Steuben,38120,0,70,85,Merged into voters' home precincts AFTER election night,83,46185,83%,83% reported,edison,2,unknown,27434,10384,302,0,0,0,2020-11-16T15:48:00Z,44.72718,R+45,Reed +45,republican,,,NY-G-H-23-2020-11-03,ny-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,solid-rep,23,District 23,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",269850,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,407,505,81% reporting,81%,84,322000,edison,84%,84% reported,edison,republican,FALSE,2020-11-16T15:47:55Z,TRUE,24.5781,66324,R+25,Reed +25,republican,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which had until Nov. 10 to arrive if postmarked by Election Day, are still being counted. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots are still being counted.,7,0,1604469559147
36107,Tioga,15084,0,25,31,Merged into voters' home precincts AFTER election night,81,18535,81%,81% reported,edison,2,unknown,10238,4589,251,0,0,0,2020-11-16T15:48:01Z,37.45028,R+37,Reed +37,republican,6,0,NY-G-H-23-2020-11-03,ny-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,solid-rep,23,District 23,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",269850,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,407,505,81% reporting,81%,84,322000,edison,84%,84% reported,edison,republican,FALSE,2020-11-16T15:47:55Z,TRUE,24.5781,66324,R+25,Reed +25,republican,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which had until Nov. 10 to arrive if postmarked by Election Day, are still being counted. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots are still being counted.,7,0,1604469559147
36109,Tompkins,32390,0,44,63,Merged into voters' home precincts AFTER election night,69,46658,69%,69% reported,edison,2,unknown,10036,21964,390,0,0,0,2020-11-16T15:48:01Z,36.82618,D+37,Mitrano +37,democrat,,,NY-G-H-23-2020-11-03,ny-house-general-district-023-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york-house-district-23.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-new-york.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-new-york.html,house,general,2020-11-03,FALSE,U.S. House District 23,U.S. House,H,solid-rep,23,District 23,NY,new-york,New York,N.Y.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",269850,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,407,505,81% reporting,81%,84,322000,edison,84%,84% reported,edison,republican,FALSE,2020-11-16T15:47:55Z,TRUE,24.5781,66324,R+25,Reed +25,republican,"Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots, which had until Nov. 10 to arrive if postmarked by Election Day, are still being counted. It took weeks to finish counting ballots during the state's June primary.",Only unofficial results from in-person early and Election Day voting were released on election night. Mail ballots are still being counted.,7,0,1604469559147
