fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_venturaj,results_blankenshipd,results_pierceb,results_de_la_fuenter,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_venturaj,results_absentee_blankenshipd,results_absentee_pierceb,results_absentee_de_la_fuenter,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,state,retrieved_time
02901,ED 1,7147,3503,8,9,Released as a separate subtotal as first report of the night,94,7634,94%,94% reported,edison,2,unknown,,4000,,,3429,3401,209,50,32,24,2,1332,2062,61,27,16,5,0,2020-11-16T15:48:19Z,0.39177,R+0.39,Trump +0.39,republican,0.39177,6638,9.1,alaska,2020-11-17T00:41:11.097879Z
02910,ED 10,10878,5385,11,11,Released as a separate subtotal as first report of the night,100,10396,>98%,>98% reported,edison,2,unknown,,4000,,,7813,2680,276,63,21,19,6,3379,1856,109,22,10,8,1,2020-11-16T15:48:26Z,47.18698,R+47,Trump +47,republican,47.18698,9040,49.2,alaska,2020-11-17T00:41:11.097879Z
02911,ED 11,10449,5777,8,9,Released as a separate subtotal as first report of the night,94,11142,94%,94% reported,edison,2,unknown,,4000,,,6968,3084,266,86,22,17,6,3367,2200,141,46,13,6,4,2020-11-16T15:48:26Z,37.17102,R+37,Trump +37,republican,37.17102,9689,44.4,alaska,2020-11-17T00:41:11.097879Z
02912,ED 12,10976,5478,7,7,Released as a separate subtotal as first report of the night,100,10974,>98%,>98% reported,edison,2,unknown,,4000,,,7707,2887,282,54,28,15,3,3264,2046,123,24,15,6,0,2020-11-16T15:48:27Z,43.91399,R+44,Trump +44,republican,43.91399,9543,49.3,alaska,2020-11-17T00:41:11.097879Z
02913,ED 13,7550,4268,6,6,Released as a separate subtotal as first report of the night,100,7513,>98%,>98% reported,edison,2,unknown,,4000,,,4557,2607,301,39,16,24,6,2192,1885,148,22,6,13,2,2020-11-16T17:01:04Z,25.82781,R+26,Trump +26,republican,25.82781,6533,35.9,alaska,2020-11-17T00:41:11.097879Z
02914,ED 14,11303,7051,6,7,Released as a separate subtotal as first report of the night,94,11983,94%,94% reported,edison,2,unknown,,4000,,,6632,4211,351,49,45,10,5,3516,3278,192,29,28,5,3,2020-11-16T17:01:02Z,21.41909,R+21,Trump +21,republican,21.41909,10420,28.2,alaska,2020-11-17T00:41:11.097879Z
02915,ED 15,5397,3042,4,5,Released as a separate subtotal as first report of the night,94,5729,94%,94% reported,edison,2,unknown,,4000,,,2602,2542,187,35,9,13,9,1252,1668,95,14,5,4,4,2020-11-16T17:00:59Z,1.11173,R+1.1,Trump +1.1,republican,1.11173,4982,14,alaska,2020-11-17T00:41:11.097879Z
02916,ED 16,7970,4484,6,7,Released as a separate subtotal as first report of the night,93,8551,93%,93% reported,edison,2,unknown,,4000,,,3460,4189,206,64,26,14,11,1447,2888,86,33,16,7,7,2020-11-16T17:00:56Z,9.1468,D+9,Biden +9,democrat,-9.1468,7436,-1.2,alaska,2020-11-17T00:41:11.097879Z
02917,ED 17,6952,4238,6,7,Released as a separate subtotal as first report of the night,89,7806,89%,89% reported,edison,2,unknown,,4000,,,2693,3982,173,63,15,17,9,1229,2867,92,29,7,8,6,2020-11-16T17:00:54Z,18.54143,D+19,Biden +19,democrat,-18.54143,6788,-9.9,alaska,2020-11-17T00:41:11.097879Z
02918,ED 18,7513,4929,8,10,Released as a separate subtotal as first report of the night,88,8512,88%,88% reported,edison,2,unknown,,4000,,,2678,4567,151,74,24,15,4,1378,3405,85,42,11,5,3,2020-11-16T17:00:51Z,25.14309,D+25,Biden +25,democrat,-25.14309,7402,-16.5,alaska,2020-11-17T00:41:11.097879Z
02919,ED 19,5186,2791,5,6,Released as a separate subtotal as first report of the night,94,5511,94%,94% reported,edison,2,unknown,,4000,,,1928,3056,106,51,22,10,13,737,1968,46,23,6,7,4,2020-11-16T17:00:49Z,21.75087,D+22,Biden +22,democrat,-21.75087,4792,-21.6,alaska,2020-11-17T00:41:11.097879Z
02902,ED 2,6023,2591,4,4,Released as a separate subtotal as first report of the night,95,6316,95%,95% reported,edison,2,unknown,,4000,,,3596,2073,284,29,18,14,9,1238,1248,83,10,6,4,2,2020-11-16T15:48:20Z,25.2864,R+25,Trump +25,republican,25.2864,5492,29.2,alaska,2020-11-17T00:41:11.097879Z
02920,ED 20,7217,4998,8,9,Released as a separate subtotal as first report of the night,88,8211,88%,88% reported,edison,2,unknown,,4000,,,2277,4727,144,48,6,14,1,1239,3653,67,31,2,6,0,2020-11-16T17:00:46Z,33.94762,D+34,Biden +34,democrat,-33.94762,7140,-27.5,alaska,2020-11-17T00:41:11.097879Z
02921,ED 21,9292,5676,7,8,Released as a separate subtotal as first report of the night,93,9944,93%,93% reported,edison,2,unknown,,4000,,,3632,5343,197,70,28,19,3,1626,3907,84,39,10,7,3,2020-11-16T17:00:43Z,18.41369,D+18,Biden +18,democrat,-18.41369,8647,-8.6,alaska,2020-11-17T00:41:11.097879Z
02922,ED 22,9350,5169,6,7,Released as a separate subtotal as first report of the night,97,9628,97%,97% reported,edison,2,unknown,,4000,,,4585,4490,194,44,16,18,3,1867,3160,88,28,10,14,2,2020-11-16T17:00:38Z,1.01604,R+1.0,Trump +1.0,republican,1.01604,8372,11.1,alaska,2020-11-17T00:41:11.097879Z
02923,ED 23,7531,4031,7,8,Released as a separate subtotal as first report of the night,95,7963,95%,95% reported,edison,2,unknown,,4000,,,3543,3723,163,52,22,15,13,1423,2488,70,29,11,5,5,2020-11-16T17:01:26Z,2.39012,D+2,Biden +2,democrat,-2.39012,6924,5.1,alaska,2020-11-17T00:41:11.097879Z
02924,ED 24,10289,6023,6,7,Released as a separate subtotal as first report of the night,96,10684,96%,96% reported,edison,2,unknown,,4000,,,5309,4676,215,45,15,23,6,2377,3477,116,26,10,14,3,2020-11-16T17:01:24Z,6.1522,R+6,Trump +6,republican,6.1522,9290,12.2,alaska,2020-11-17T00:41:11.097879Z
02925,ED 25,9164,5205,7,7,Released as a separate subtotal as first report of the night,98,9346,98%,98% reported,edison,2,unknown,,4000,,,4323,4530,196,65,21,14,15,1764,3279,100,31,12,6,13,2020-11-16T17:01:21Z,2.25884,D+2,Biden +2,democrat,-2.25884,8127,5.4,alaska,2020-11-17T00:41:11.097879Z
