fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_womacks,results_williamsc,results_kalagiasm,results_absentee_womacks,results_absentee_williamsc,results_absentee_kalagiasm,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
05007,Benton,119551,102588,117,117,Released as a separate subtotal as first report of the night,100,108443,>98%,>98% reported,edison,4,some,64995,76899,37491,5161,65222,33444,3922,2020-11-16T15:48:12Z,32.96334,R+33,Womack +33,republican,AR-G-H-3-2020-11-03,ar-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",334262,273303,10,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,527,541,97% reporting,97%,99,328000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-17T23:10:54Z,TRUE,32.49996,108635,R+32,Womack +32,republican,"","",0,0,1604461986981
05009,Boone,16941,12661,28,30,Released as a separate subtotal as first report of the night,100,16930,>98%,>98% reported,edison,6,all,15309,13824,2644,473,10137,2221,303,2020-11-16T15:48:13Z,65.99374,R+66,Womack +66,republican,AR-G-H-3-2020-11-03,ar-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",334262,273303,10,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,527,541,97% reporting,97%,99,328000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-17T23:10:54Z,TRUE,32.49996,108635,R+32,Womack +32,republican,"","",0,0,1604461986981
05015,Carroll,11702,9228,13,13,Other,97,12049,97%,97% reported,edison,4,all,6619,7588,3813,301,5674,3359,195,2020-11-16T15:48:13Z,32.25944,R+32,Womack +32,republican,AR-G-H-3-2020-11-03,ar-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",334262,273303,10,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,527,541,97% reporting,97%,99,328000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-17T23:10:54Z,TRUE,32.49996,108635,R+32,Womack +32,republican,"","",0,0,1604461986981
05033,Crawford,17204,13591,29,31,Released as a precinct as first report of the night,95,18123,95%,95% reported,edison,4,some,10542,13169,3445,590,10292,2903,396,2020-11-16T15:48:14Z,56.52174,R+57,Womack +57,republican,AR-G-H-3-2020-11-03,ar-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",334262,273303,10,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,527,541,97% reporting,97%,99,328000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-17T23:10:54Z,TRUE,32.49996,108635,R+32,Womack +32,republican,"","",0,0,1604461986981
05089,Marion,7430,5268,29,31,Released as a separate subtotal as first report of the night,100,7408,>98%,>98% reported,edison,6,all,5478,5908,1327,195,4101,1041,126,2020-11-16T15:48:15Z,61.65545,R+62,Womack +62,republican,AR-G-H-3-2020-11-03,ar-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",334262,273303,10,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,527,541,97% reporting,97%,99,328000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-17T23:10:54Z,TRUE,32.49996,108635,R+32,Womack +32,republican,"","",0,0,1604461986981
05101,Newton,1823,815,6,6,Released as a separate subtotal at the end of tabulation,100,1374,>98%,>98% reported,edison,2,unknown,2074,1555,235,33,656,145,14,2020-11-16T15:48:15Z,72.40812,R+72,Womack +72,republican,AR-G-H-3-2020-11-03,ar-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",334262,273303,10,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,527,541,97% reporting,97%,99,328000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-17T23:10:54Z,TRUE,32.49996,108635,R+32,Womack +32,republican,"","",0,0,1604461986981
05115,Pope,24310,20587,53,55,Released as a separate subtotal as first report of the night,96,25277,96%,96% reported,edison,4,all,17896,18479,5117,714,15568,4476,543,2020-11-17T23:10:44Z,54.96503,R+55,Womack +55,republican,AR-G-H-3-2020-11-03,ar-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",334262,273303,10,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,527,541,97% reporting,97%,99,328000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-17T23:10:54Z,TRUE,32.49996,108635,R+32,Womack +32,republican,"","",0,0,1604461986981
05129,Searcy,253,143,1,1,Released as a precinct as first report of the night,96,264,96%,96% reported,edison,2,unknown,3016,224,26,3,125,16,2,2020-11-16T15:48:19Z,78.26087,R+78,Womack +78,republican,AR-G-H-3-2020-11-03,ar-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",334262,273303,10,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,527,541,97% reporting,97%,99,328000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-17T23:10:54Z,TRUE,32.49996,108635,R+32,Womack +32,republican,"","",0,0,1604461986981
05131,Sebastian,41324,34181,97,103,Released as a separate subtotal as first report of the night,94,44004,94%,94% reported,edison,2,all,30462,27307,12337,1680,22436,10500,1245,2020-11-16T17:38:43Z,36.22592,R+36,Womack +36,republican,AR-G-H-3-2020-11-03,ar-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",334262,273303,10,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,527,541,97% reporting,97%,99,328000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-17T23:10:54Z,TRUE,32.49996,108635,R+32,Womack +32,republican,"","",0,0,1604461986981
05143,Washington,93724,74241,154,154,Released as a separate subtotal as first report of the night,100,91684,>98%,>98% reported,edison,2,unknown,43475,50007,39890,3827,37676,33993,2572,2020-11-16T15:48:18Z,10.79446,R+11,Womack +11,republican,AR-G-H-3-2020-11-03,ar-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-arkansas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-arkansas.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,solid-rep,3,District 3,AR,arkansas,Arkansas,Ark.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",334262,273303,10,unknown,Polls close at 8:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:30:00.000Z,8:30 p.m.,527,541,97% reporting,97%,99,328000,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-17T23:10:54Z,TRUE,32.49996,108635,R+32,Womack +32,republican,"","",0,0,1604461986981
