fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_mooreb,results_harvey_hallp,results_write_ins,results_absentee_mooreb,results_absentee_harvey_hallp,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
01001,Autauga,27353,0,19,19,Released as a precinct as first report of the night,99,27730,>98%,>98% reported,edison,2,unknown,1896,20010,7304,39,0,0,0,2020-11-16T15:47:47Z,46.45194,R+46,Moore +46,republican,AL-G-H-2-2020-11-03,al-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",302207,3659,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,342,363,94% reporting,94%,94,320000,edison,94%,94% reported,edison,republican,FALSE,2020-11-18T17:19:02Z,FALSE,30.68658,92737,R+31,Moore +31,republican,"","",0,-1,1604460280474
01005,Barbour,10284,0,15,17,Released as a precinct as first report of the night,100,10284,>98%,>98% reported,edison,6,all,1554,5629,4645,10,0,0,0,2020-11-16T15:47:47Z,9.56826,R+10,Moore +10,republican,AL-G-H-2-2020-11-03,al-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",302207,3659,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,342,363,94% reporting,94%,94,320000,edison,94%,94% reported,edison,republican,FALSE,2020-11-18T17:19:02Z,FALSE,30.68658,92737,R+31,Moore +31,republican,"","",0,-1,1604460280474
01011,Bullock,4493,0,14,16,Released as a precinct as first report of the night,100,4493,>98%,>98% reported,edison,6,none,557,1146,3343,4,0,0,0,2020-11-16T15:47:48Z,48.89829,D+49,Harvey-Hall +49,democrat,AL-G-H-2-2020-11-03,al-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",302207,3659,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,342,363,94% reporting,94%,94,320000,edison,94%,94% reported,edison,republican,FALSE,2020-11-18T17:19:02Z,FALSE,30.68658,92737,R+31,Moore +31,republican,"","",0,-1,1604460280474
01013,Butler,9317,1041,22,23,Released as a precinct as first report of the night,100,9317,>98%,>98% reported,edison,6,all,4735,5427,3881,9,436,605,0,2020-11-16T15:47:49Z,16.59332,R+17,Moore +17,republican,AL-G-H-2-2020-11-03,al-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",302207,3659,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,342,363,94% reporting,94%,94,320000,edison,94%,94% reported,edison,republican,FALSE,2020-11-18T17:19:02Z,FALSE,30.68658,92737,R+31,Moore +31,republican,"","",0,-1,1604460280474
01031,Coffee,22006,0,30,31,"As a precinct in the FIRST cumulative report, along with regular precincts",100,22006,>98%,>98% reported,edison,6,all,1406,17141,4850,15,0,0,0,2020-11-16T15:47:50Z,55.85295,R+56,Moore +56,republican,AL-G-H-2-2020-11-03,al-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",302207,3659,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,342,363,94% reporting,94%,94,320000,edison,94%,94% reported,edison,republican,FALSE,2020-11-18T17:19:02Z,FALSE,30.68658,92737,R+31,Moore +31,republican,"","",0,-1,1604460280474
01035,Conecuh,6200,0,24,28,Released as a precinct in the middle of the night,100,6200,>98%,>98% reported,edison,6,all,526,3228,2972,0,0,0,0,2020-11-16T15:47:50Z,4.12903,R+4,Moore +4,republican,AL-G-H-2-2020-11-03,al-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",302207,3659,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,342,363,94% reporting,94%,94,320000,edison,94%,94% reported,edison,republican,FALSE,2020-11-18T17:19:02Z,FALSE,30.68658,92737,R+31,Moore +31,republican,"","",0,-1,1604460280474
01039,Covington,17140,1495,24,25,Released as a precinct as first report of the night,100,16840,>98%,>98% reported,edison,6,all,1227,14430,2703,7,1017,477,1,2020-11-16T15:47:51Z,68.4189,R+68,Moore +68,republican,AL-G-H-2-2020-11-03,al-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",302207,3659,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,342,363,94% reporting,94%,94,320000,edison,94%,94% reported,edison,republican,FALSE,2020-11-18T17:19:02Z,FALSE,30.68658,92737,R+31,Moore +31,republican,"","",0,-1,1604460280474
01041,Crenshaw,6512,0,18,19,Released as a precinct as first report of the night,100,6256,>98%,>98% reported,edison,2,unknown,402,4816,1689,7,0,0,0,2020-11-16T15:47:51Z,48.01904,R+48,Moore +48,republican,AL-G-H-2-2020-11-03,al-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",302207,3659,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,342,363,94% reporting,94%,94,320000,edison,94%,94% reported,edison,republican,FALSE,2020-11-18T17:19:02Z,FALSE,30.68658,92737,R+31,Moore +31,republican,"","",0,-1,1604460280474
01045,Dale,19456,0,19,20,None,100,19456,>98%,>98% reported,edison,6,all,1464,14339,5098,19,0,0,0,2020-11-16T15:47:52Z,47.49692,R+47,Moore +47,republican,AL-G-H-2-2020-11-03,al-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",302207,3659,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,342,363,94% reporting,94%,94,320000,edison,94%,94% reported,edison,republican,FALSE,2020-11-18T17:19:02Z,FALSE,30.68658,92737,R+31,Moore +31,republican,"","",0,-1,1604460280474
01051,Elmore,40489,0,29,30,"As a precinct in the FIRST cumulative report, along with regular precincts",100,40489,>98%,>98% reported,edison,6,some,2117,30495,9969,25,0,0,0,2020-11-16T15:47:52Z,50.69525,R+51,Moore +51,republican,AL-G-H-2-2020-11-03,al-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-alabama.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-alabama.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,AL,alabama,Alabama,Ala.,vertical,1,"",FALSE,TRUE,winner,AP,FALSE,"",302207,3659,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,342,363,94% reporting,94%,94,320000,edison,94%,94% reported,edison,republican,FALSE,2020-11-18T17:19:02Z,FALSE,30.68658,92737,R+31,Moore +31,republican,"","",0,-1,1604460280474
