fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,results_boebertl,results_mitsch_bushd,results_keilj,results_miltonc,results_absentee_boebertl,results_absentee_mitsch_bushd,results_absentee_keilj,results_absentee_miltonc,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,nyt_race_description_race,race_rating_race,nyt_key_race_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
08003,Alamosa,7662,0,7,8,Other,97,7863,97%,97% reported,edison,4,all,3746,3616,192,108,0,0,0,0,2020-11-16T15:48:31Z,1.69668,R+1.7,Boebert +1.7,republican,CO-G-H-3-2020-11-03,co-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,"In this traditionally red district, Lauren Boebert, a Glock-packing newcomer to politics who beat the incumbent in the Republican primary, <a href=""https://www.nytimes.com/2020/09/26/us/colorado-lauren-boebert-congress.html"">
faces increasing scrutiny</a> and a well-funded challenger, Diane Mitsch Bush, a former Democratic state lawmaker and university professor.
",lean-rep,TRUE,3,District 3,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",429018,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,459,485,95% reporting,95%,96,449000,edison,96%,96% reported,edison,republican,FALSE,2020-11-18T17:18:53Z,FALSE,6.18202,26522,R+6,Boebert +6,republican,"","",0,0,1604499689977
08007,Archuleta,8922,0,8,8,Other,100,8392,>98%,>98% reported,edison,6,all,5038,3577,206,101,0,0,0,0,2020-11-16T15:48:31Z,16.37525,R+16,Boebert +16,republican,CO-G-H-3-2020-11-03,co-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,"In this traditionally red district, Lauren Boebert, a Glock-packing newcomer to politics who beat the incumbent in the Republican primary, <a href=""https://www.nytimes.com/2020/09/26/us/colorado-lauren-boebert-congress.html"">
faces increasing scrutiny</a> and a well-funded challenger, Diane Mitsch Bush, a former Democratic state lawmaker and university professor.
",lean-rep,TRUE,3,District 3,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",429018,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,459,485,95% reporting,95%,96,449000,edison,96%,96% reported,edison,republican,FALSE,2020-11-18T17:18:53Z,FALSE,6.18202,26522,R+6,Boebert +6,republican,"","",0,0,1604499689977
08021,Conejos,4218,0,9,10,Other,100,3999,>98%,>98% reported,edison,6,all,2209,1920,69,20,0,0,0,0,2020-11-16T15:48:31Z,6.85159,R+7,Boebert +7,republican,CO-G-H-3-2020-11-03,co-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,"In this traditionally red district, Lauren Boebert, a Glock-packing newcomer to politics who beat the incumbent in the Republican primary, <a href=""https://www.nytimes.com/2020/09/26/us/colorado-lauren-boebert-congress.html"">
faces increasing scrutiny</a> and a well-funded challenger, Diane Mitsch Bush, a former Democratic state lawmaker and university professor.
",lean-rep,TRUE,3,District 3,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",429018,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,459,485,95% reporting,95%,96,449000,edison,96%,96% reported,edison,republican,FALSE,2020-11-18T17:18:53Z,FALSE,6.18202,26522,R+6,Boebert +6,republican,"","",0,0,1604499689977
08023,Costilla,2034,0,7,8,Other,97,2094,97%,97% reported,edison,4,all,688,1278,51,17,0,0,0,0,2020-11-16T15:48:31Z,29.00688,D+29,Mitsch Bush +29,democrat,CO-G-H-3-2020-11-03,co-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,"In this traditionally red district, Lauren Boebert, a Glock-packing newcomer to politics who beat the incumbent in the Republican primary, <a href=""https://www.nytimes.com/2020/09/26/us/colorado-lauren-boebert-congress.html"">
faces increasing scrutiny</a> and a well-funded challenger, Diane Mitsch Bush, a former Democratic state lawmaker and university professor.
",lean-rep,TRUE,3,District 3,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",429018,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,459,485,95% reporting,95%,96,449000,edison,96%,96% reported,edison,republican,FALSE,2020-11-18T17:18:53Z,FALSE,6.18202,26522,R+6,Boebert +6,republican,"","",0,0,1604499689977
08027,Custer,3578,0,3,3,Other,100,3475,>98%,>98% reported,edison,4,all,2410,1055,87,26,0,0,0,0,2020-11-16T15:48:32Z,37.87032,R+38,Boebert +38,republican,CO-G-H-3-2020-11-03,co-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,"In this traditionally red district, Lauren Boebert, a Glock-packing newcomer to politics who beat the incumbent in the Republican primary, <a href=""https://www.nytimes.com/2020/09/26/us/colorado-lauren-boebert-congress.html"">
faces increasing scrutiny</a> and a well-funded challenger, Diane Mitsch Bush, a former Democratic state lawmaker and university professor.
",lean-rep,TRUE,3,District 3,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",429018,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,459,485,95% reporting,95%,96,449000,edison,96%,96% reported,edison,republican,FALSE,2020-11-18T17:18:53Z,FALSE,6.18202,26522,R+6,Boebert +6,republican,"","",0,0,1604499689977
08029,Delta,19145,0,19,20,Other,96,19980,96%,96% reported,edison,4,all,12937,5723,340,145,0,0,0,0,2020-11-16T15:48:32Z,37.68086,R+38,Boebert +38,republican,CO-G-H-3-2020-11-03,co-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,"In this traditionally red district, Lauren Boebert, a Glock-packing newcomer to politics who beat the incumbent in the Republican primary, <a href=""https://www.nytimes.com/2020/09/26/us/colorado-lauren-boebert-congress.html"">
faces increasing scrutiny</a> and a well-funded challenger, Diane Mitsch Bush, a former Democratic state lawmaker and university professor.
",lean-rep,TRUE,3,District 3,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",429018,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,459,485,95% reporting,95%,96,449000,edison,96%,96% reported,edison,republican,FALSE,2020-11-18T17:18:53Z,FALSE,6.18202,26522,R+6,Boebert +6,republican,"","",0,0,1604499689977
08033,Dolores,1414,0,4,4,Other,100,1357,>98%,>98% reported,edison,6,all,1063,319,16,16,0,0,0,0,2020-11-16T15:47:41Z,52.61669,R+53,Boebert +53,republican,CO-G-H-3-2020-11-03,co-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,"In this traditionally red district, Lauren Boebert, a Glock-packing newcomer to politics who beat the incumbent in the Republican primary, <a href=""https://www.nytimes.com/2020/09/26/us/colorado-lauren-boebert-congress.html"">
faces increasing scrutiny</a> and a well-funded challenger, Diane Mitsch Bush, a former Democratic state lawmaker and university professor.
",lean-rep,TRUE,3,District 3,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",429018,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,459,485,95% reporting,95%,96,449000,edison,96%,96% reported,edison,republican,FALSE,2020-11-18T17:18:53Z,FALSE,6.18202,26522,R+6,Boebert +6,republican,"","",0,0,1604499689977
08037,Eagle,21354,0,21,22,Other,100,20955,>98%,>98% reported,edison,6,all,7907,12879,426,142,0,0,0,0,2020-11-16T15:47:56Z,23.28369,D+23,Mitsch Bush +23,democrat,CO-G-H-3-2020-11-03,co-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,"In this traditionally red district, Lauren Boebert, a Glock-packing newcomer to politics who beat the incumbent in the Republican primary, <a href=""https://www.nytimes.com/2020/09/26/us/colorado-lauren-boebert-congress.html"">
faces increasing scrutiny</a> and a well-funded challenger, Diane Mitsch Bush, a former Democratic state lawmaker and university professor.
",lean-rep,TRUE,3,District 3,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",429018,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,459,485,95% reporting,95%,96,449000,edison,96%,96% reported,edison,republican,FALSE,2020-11-18T17:18:53Z,FALSE,6.18202,26522,R+6,Boebert +6,republican,"","",0,0,1604499689977
08045,Garfield,30438,0,26,27,Other,97,31499,97%,97% reported,edison,4,all,13756,15531,816,335,0,0,0,0,2020-11-16T15:47:44Z,5.83153,D+6,Mitsch Bush +6,democrat,CO-G-H-3-2020-11-03,co-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,"In this traditionally red district, Lauren Boebert, a Glock-packing newcomer to politics who beat the incumbent in the Republican primary, <a href=""https://www.nytimes.com/2020/09/26/us/colorado-lauren-boebert-congress.html"">
faces increasing scrutiny</a> and a well-funded challenger, Diane Mitsch Bush, a former Democratic state lawmaker and university professor.
",lean-rep,TRUE,3,District 3,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",429018,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,459,485,95% reporting,95%,96,449000,edison,96%,96% reported,edison,republican,FALSE,2020-11-18T17:18:53Z,FALSE,6.18202,26522,R+6,Boebert +6,republican,"","",0,0,1604499689977
08051,Gunnison,10730,0,14,15,Other,100,10269,>98%,>98% reported,edison,2,all,3683,6724,245,78,0,0,0,0,2020-11-16T15:47:44Z,28.3411,D+28,Mitsch Bush +28,democrat,CO-G-H-3-2020-11-03,co-house-general-district-003-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado-house-district-3.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-colorado.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-colorado.html,house,general,2020-11-03,FALSE,U.S. House District 3,U.S. House,H,"In this traditionally red district, Lauren Boebert, a Glock-packing newcomer to politics who beat the incumbent in the Republican primary, <a href=""https://www.nytimes.com/2020/09/26/us/colorado-lauren-boebert-congress.html"">
faces increasing scrutiny</a> and a well-funded challenger, Diane Mitsch Bush, a former Democratic state lawmaker and university professor.
",lean-rep,TRUE,3,District 3,CO,colorado,Colorado,Colo.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",429018,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,459,485,95% reporting,95%,96,449000,edison,96%,96% reported,edison,republican,FALSE,2020-11-18T17:18:53Z,FALSE,6.18202,26522,R+6,Boebert +6,republican,"","",0,0,1604499689977
