fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_bustosc,results_kinge,results_absentee_bustosc,results_absentee_kinge,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
17015,Carroll,7965,0,21,22,Merged into voters' home precincts and released with cumulative results,100,7965,>98%,>98% reported,edison,6,all,1638,3290,4675,0,0,2020-11-16T15:47:50Z,17.38858,R+17,King +17,republican,IL-G-H-17-2020-11-03,il-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,lean-dem,17,District 17,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",296646,23626,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,549,596,92% reporting,92%,91,325000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-18T17:18:21Z,TRUE,3.8342,11374,D+4,Bustos +4,democrat,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604589373570
17057,Fulton,16274,0,52,57,Merged into voters' home precincts and released with cumulative results,92,17678,92%,92% reported,edison,4,all,2166,7750,8524,0,0,2020-11-16T15:48:23Z,4.75605,R+5,King +5,republican,IL-G-H-17-2020-11-03,il-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,lean-dem,17,District 17,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",296646,23626,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,549,596,92% reporting,92%,91,325000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-18T17:18:21Z,TRUE,3.8342,11374,D+4,Bustos +4,democrat,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604589373570
17071,Henderson,3586,0,12,13,Merged into voters' home precincts and released with cumulative results,91,3940,91%,91% reported,edison,2,unknown,675,1431,2155,0,0,2020-11-16T15:47:43Z,20.18963,R+20,King +20,republican,IL-G-H-17-2020-11-03,il-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,lean-dem,17,District 17,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",296646,23626,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,549,596,92% reporting,92%,91,325000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-18T17:18:21Z,TRUE,3.8342,11374,D+4,Bustos +4,democrat,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604589373570
17073,Henry,25413,0,48,52,Merged into voters' home precincts and released with cumulative results,93,27458,93%,93% reported,edison,4,unknown,4688,10488,14925,0,0,2020-11-16T15:47:46Z,17.45957,R+17,King +17,republican,IL-G-H-17-2020-11-03,il-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,lean-dem,17,District 17,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",296646,23626,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,549,596,92% reporting,92%,91,325000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-18T17:18:21Z,TRUE,3.8342,11374,D+4,Bustos +4,democrat,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604589373570
17085,JoDaviess,12372,5973,28,29,None,98,12655,98%,98% reported,edison,2,some,3006,5423,6949,3417,2556,2020-11-16T15:47:50Z,12.3343,R+12,King +12,republican,IL-G-H-17-2020-11-03,il-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,lean-dem,17,District 17,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",296646,23626,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,549,596,92% reporting,92%,91,325000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-18T17:18:21Z,TRUE,3.8342,11374,D+4,Bustos +4,democrat,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604589373570
17095,Knox,22325,0,28,31,None,89,25094,89%,89% reported,edison,2,unknown,6554,11196,11129,0,0,2020-11-16T15:47:46Z,0.30011,D+0.30,Bustos +0.30,democrat,IL-G-H-17-2020-11-03,il-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,lean-dem,17,District 17,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",296646,23626,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,549,596,92% reporting,92%,91,325000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-18T17:18:21Z,TRUE,3.8342,11374,D+4,Bustos +4,democrat,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604589373570
17131,Mercer,8589,3201,22,24,"As a subtotal in the FIRST cumulative report, along with regular precincts",90,9532,90%,90% reported,edison,4,some,1397,3692,4897,1751,1450,2020-11-16T15:47:47Z,14.02957,R+14,King +14,republican,IL-G-H-17-2020-11-03,il-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,lean-dem,17,District 17,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",296646,23626,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,549,596,92% reporting,92%,91,325000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-18T17:18:21Z,TRUE,3.8342,11374,D+4,Bustos +4,democrat,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604589373570
17143,Peoria,28690,14452,54,62,Merged into voters' home precincts and released with cumulative results,100,28690,>98%,>98% reported,edison,6,all,31962,19395,9295,9719,4733,2020-11-16T15:47:51Z,35.2039,D+35,Bustos +35,democrat,IL-G-H-17-2020-11-03,il-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,lean-dem,17,District 17,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",296646,23626,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,549,596,92% reporting,92%,91,325000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-18T17:18:21Z,TRUE,3.8342,11374,D+4,Bustos +4,democrat,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604589373570
17161,Rock Island,66283,0,112,120,None,93,71240,93%,93% reported,edison,2,none,46442,37611,28672,0,0,2020-11-16T15:47:48Z,13.48611,D+13,Bustos +13,democrat,IL-G-H-17-2020-11-03,il-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,lean-dem,17,District 17,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",296646,23626,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,549,596,92% reporting,92%,91,325000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-18T17:18:21Z,TRUE,3.8342,11374,D+4,Bustos +4,democrat,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604589373570
17177,Stephenson,21308,0,38,40,Merged into voters' home precincts and released with cumulative results,100,21308,>98%,>98% reported,edison,6,all,6222,9319,11989,0,0,2020-11-16T15:47:51Z,12.5305,R+13,King +13,republican,IL-G-H-17-2020-11-03,il-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-illinois.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-illinois.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,lean-dem,17,District 17,IL,illinois,Illinois,Ill.,vertical,0.9,"",FALSE,TRUE,winner,AP,FALSE,"",296646,23626,3,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,549,596,92% reporting,92%,91,325000,edison,91%,91% reported,edison,democrat,FALSE,2020-11-18T17:18:21Z,TRUE,3.8342,11374,D+4,Bustos +4,democrat,Mail ballots postmarked by Election Day have two weeks to arrive in the mail. The state's election board will post the number of unreturned mail ballots on its website.,Mail ballots postmarked by Election Day have two weeks to arrive in the mail.,14,0,1604589373570
