fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_cawthornm,results_davism,results_debruhlt,results_zwinakt,results_absentee_cawthornm,results_absentee_davism,results_absentee_debruhlt,results_absentee_zwinakt,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,nyt_race_description_race,race_rating_race,nyt_key_race_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
37011,Avery,9206,5829,19,19,Released as a separate subtotal as first report of the night,100,9206,>98%,>98% reported,edison,10,unknown,4091,7010,1956,130,110,4169,1513,75,72,2020-11-18T03:17:25Z,54.89898,R+55,Cawthorn +55,republican,NC-G-H-11-2020-11-03,nc-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,"The race for the seat held by Mark Meadows before he became President Trump’s chief of staff has become unexpectedly competitive. Madison Cawthorn, the 25-year-old Republican candidate, is up against Moe Davis, a former Air Force prosecutor.",lean-rep,TRUE,11,District 11,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",450144,213958,15,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,303,303,100% reporting,100%,99,450144,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:18Z,FALSE,12.16078,54741,R+12,Cawthorn +12,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604456507054
37021,Buncombe,159225,0,80,80,Released as a precinct as first report of the night,100,159225,>98%,>98% reported,edison,10,some,142646,60429,92938,3482,2376,0,0,0,0,2020-11-18T03:19:19Z,20.41702,D+20,Davis +20,democrat,NC-G-H-11-2020-11-03,nc-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,"The race for the seat held by Mark Meadows before he became President Trump’s chief of staff has become unexpectedly competitive. Madison Cawthorn, the 25-year-old Republican candidate, is up against Moe Davis, a former Air Force prosecutor.",lean-rep,TRUE,11,District 11,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",450144,213958,15,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,303,303,100% reporting,100%,99,450144,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:18Z,FALSE,12.16078,54741,R+12,Cawthorn +12,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604456507054
37039,Cherokee,16260,11310,16,16,Released as a precinct as first report of the night,100,16260,>98%,>98% reported,edison,10,unknown,10581,12391,3433,249,187,8268,2786,138,118,2020-11-18T03:22:47Z,55.09225,R+55,Cawthorn +55,republican,NC-G-H-11-2020-11-03,nc-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,"The race for the seat held by Mark Meadows before he became President Trump’s chief of staff has become unexpectedly competitive. Madison Cawthorn, the 25-year-old Republican candidate, is up against Moe Davis, a former Air Force prosecutor.",lean-rep,TRUE,11,District 11,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",450144,213958,15,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,303,303,100% reporting,100%,99,450144,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:18Z,FALSE,12.16078,54741,R+12,Cawthorn +12,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604456507054
37043,Clay,6774,5138,9,9,Released as a precinct as first report of the night,100,6774,>98%,>98% reported,edison,10,all,5792,4928,1665,118,63,3606,1419,71,42,2020-11-18T03:29:24Z,48.16947,R+48,Cawthorn +48,republican,NC-G-H-11-2020-11-03,nc-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,"The race for the seat held by Mark Meadows before he became President Trump’s chief of staff has become unexpectedly competitive. Madison Cawthorn, the 25-year-old Republican candidate, is up against Moe Davis, a former Air Force prosecutor.",lean-rep,TRUE,11,District 11,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",450144,213958,15,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,303,303,100% reporting,100%,99,450144,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:18Z,FALSE,12.16078,54741,R+12,Cawthorn +12,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604456507054
37075,Graham,4568,3410,4,4,Released as a precinct as first report of the night,100,4568,>98%,>98% reported,edison,10,some,3416,3522,951,68,27,2597,757,39,17,2020-11-18T03:35:38Z,56.28284,R+56,Cawthorn +56,republican,NC-G-H-11-2020-11-03,nc-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,"The race for the seat held by Mark Meadows before he became President Trump’s chief of staff has become unexpectedly competitive. Madison Cawthorn, the 25-year-old Republican candidate, is up against Moe Davis, a former Air Force prosecutor.",lean-rep,TRUE,11,District 11,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",450144,213958,15,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,303,303,100% reporting,100%,99,450144,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:18Z,FALSE,12.16078,54741,R+12,Cawthorn +12,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604456507054
37087,Haywood,36201,29001,29,29,Released as a separate subtotal as first report of the night,100,36201,>98%,>98% reported,edison,10,unknown,25560,22067,13026,710,398,16821,11391,490,299,2020-11-18T03:38:02Z,24.97445,R+25,Cawthorn +25,republican,NC-G-H-11-2020-11-03,nc-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,"The race for the seat held by Mark Meadows before he became President Trump’s chief of staff has become unexpectedly competitive. Madison Cawthorn, the 25-year-old Republican candidate, is up against Moe Davis, a former Air Force prosecutor.",lean-rep,TRUE,11,District 11,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",450144,213958,15,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,303,303,100% reporting,100%,99,450144,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:18Z,FALSE,12.16078,54741,R+12,Cawthorn +12,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604456507054
37089,Henderson,67840,56251,35,35,Released as a separate subtotal as first report of the night,100,67840,>98%,>98% reported,edison,10,unknown,53818,39982,25958,1205,695,31700,23196,843,512,2020-11-18T03:38:29Z,20.67217,R+21,Cawthorn +21,republican,NC-G-H-11-2020-11-03,nc-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,"The race for the seat held by Mark Meadows before he became President Trump’s chief of staff has become unexpectedly competitive. Madison Cawthorn, the 25-year-old Republican candidate, is up against Moe Davis, a former Air Force prosecutor.",lean-rep,TRUE,11,District 11,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",450144,213958,15,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,303,303,100% reporting,100%,99,450144,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:18Z,FALSE,12.16078,54741,R+12,Cawthorn +12,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604456507054
37099,Jackson,21192,17348,13,13,Released as a precinct as first report of the night,100,21192,>98%,>98% reported,edison,10,all,15877,11102,9283,474,333,8500,8228,356,264,2020-11-18T03:40:21Z,8.58343,R+9,Cawthorn +9,republican,NC-G-H-11-2020-11-03,nc-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,"The race for the seat held by Mark Meadows before he became President Trump’s chief of staff has become unexpectedly competitive. Madison Cawthorn, the 25-year-old Republican candidate, is up against Moe Davis, a former Air Force prosecutor.",lean-rep,TRUE,11,District 11,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",450144,213958,15,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,303,303,100% reporting,100%,99,450144,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:18Z,FALSE,12.16078,54741,R+12,Cawthorn +12,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604456507054
37113,Macon,20517,0,15,15,Released as a separate subtotal as first report of the night,100,20517,>98%,>98% reported,edison,10,unknown,16526,13953,6058,300,206,0,0,0,0,2020-11-18T03:43:04Z,38.48028,R+38,Cawthorn +38,republican,NC-G-H-11-2020-11-03,nc-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,"The race for the seat held by Mark Meadows before he became President Trump’s chief of staff has become unexpectedly competitive. Madison Cawthorn, the 25-year-old Republican candidate, is up against Moe Davis, a former Air Force prosecutor.",lean-rep,TRUE,11,District 11,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",450144,213958,15,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,303,303,100% reporting,100%,99,450144,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:18Z,FALSE,12.16078,54741,R+12,Cawthorn +12,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604456507054
37115,Madison,12921,10321,12,12,Released as a separate subtotal as first report of the night,100,12921,>98%,>98% reported,edison,10,unknown,9320,7618,4883,274,146,5725,4294,201,101,2020-11-18T03:43:25Z,21.16709,R+21,Cawthorn +21,republican,NC-G-H-11-2020-11-03,nc-house-general-district-011-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina-house-district-11.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-north-carolina.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-north-carolina.html,house,general,2020-11-03,FALSE,U.S. House District 11,U.S. House,H,"The race for the seat held by Mark Meadows before he became President Trump’s chief of staff has become unexpectedly competitive. Madison Cawthorn, the 25-year-old Republican candidate, is up against Moe Davis, a former Air Force prosecutor.",lean-rep,TRUE,11,District 11,NC,north-carolina,North Carolina,N.C.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",450144,213958,15,unknown,Polls close at 7:30 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T00:30:00.000Z,7:30 p.m.,303,303,100% reporting,100%,99,450144,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:18:18Z,FALSE,12.16078,54741,R+12,Cawthorn +12,republican,Mail ballots postmarked by Election Day are accepted until Nov. 12.,Mail ballots postmarked by Election Day are accepted until Nov. 12.,9,0,1604456507054
