fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_sessionsp,results_kennedyr,results_brownt,results_absentee_sessionsp,results_absentee_kennedyr,results_absentee_brownt,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
48021,Bastrop,516,452,1,1,Released as a precinct as first report of the night,96,540,96%,96% reported,edison,2,unknown,25791,335,159,22,287,146,19,2020-11-16T15:48:35Z,34.10853,R+34,Sessions +34,republican,TX-G-H-17-2020-11-03,tx-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,solid-rep,17,District 17,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",306332,255527,12,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,305,328,93% reporting,93%,94,325000,edison,94%,94% reported,edison,republican,FALSE,2020-11-18T17:17:35Z,FALSE,14.95045,45798,R+15,Sessions +15,republican,"","",1,0,1604459172759
48041,Brazos,82202,69536,94,99,Released as a precinct as first report of the night,100,82202,>98%,>98% reported,edison,6,all,57474,47267,31685,3250,39642,27508,2386,2020-11-16T15:48:32Z,18.95574,R+19,Sessions +19,republican,TX-G-H-17-2020-11-03,tx-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,solid-rep,17,District 17,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",306332,255527,12,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,305,328,93% reporting,93%,94,325000,edison,94%,94% reported,edison,republican,FALSE,2020-11-18T17:17:35Z,FALSE,14.95045,45798,R+15,Sessions +15,republican,"","",1,0,1604459172759
48051,Burleson,8436,6556,13,14,Released as a precinct as first report of the night,93,9098,93%,93% reported,edison,2,unknown,5572,6582,1703,151,5068,1391,97,2020-11-16T15:48:33Z,57.83547,R+58,Sessions +58,republican,TX-G-H-17-2020-11-03,tx-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,solid-rep,17,District 17,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",306332,255527,12,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,305,328,93% reporting,93%,94,325000,edison,94%,94% reported,edison,republican,FALSE,2020-11-18T17:17:35Z,FALSE,14.95045,45798,R+15,Sessions +15,republican,"","",1,0,1604459172759
48145,Falls,6019,3638,11,13,Released as a precinct as first report of the night,88,6862,88%,88% reported,edison,2,unknown,3515,4149,1771,99,2349,1237,52,2020-11-16T15:48:35Z,39.50822,R+40,Sessions +40,republican,TX-G-H-17-2020-11-03,tx-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,solid-rep,17,District 17,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",306332,255527,12,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,305,328,93% reporting,93%,94,325000,edison,94%,94% reported,edison,republican,FALSE,2020-11-18T17:17:35Z,FALSE,14.95045,45798,R+15,Sessions +15,republican,"","",1,0,1604459172759
48161,Freestone,8525,6413,14,16,Released as a precinct as first report of the night,85,10020,85%,85% reported,edison,2,unknown,7301,6875,1505,145,5123,1204,86,2020-11-16T15:48:35Z,62.9912,R+63,Sessions +63,republican,TX-G-H-17-2020-11-03,tx-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,solid-rep,17,District 17,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",306332,255527,12,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,305,328,93% reporting,93%,94,325000,edison,94%,94% reported,edison,republican,FALSE,2020-11-18T17:17:35Z,FALSE,14.95045,45798,R+15,Sessions +15,republican,"","",1,0,1604459172759
48287,Lee,2646,2048,5,5,Released as a precinct as first report of the night,95,2784,95%,95% reported,edison,2,unknown,5270,2085,498,63,1602,403,43,2020-11-16T15:48:35Z,59.97732,R+60,Sessions +60,republican,TX-G-H-17-2020-11-03,tx-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,solid-rep,17,District 17,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",306332,255527,12,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,305,328,93% reporting,93%,94,325000,edison,94%,94% reported,edison,republican,FALSE,2020-11-18T17:17:35Z,FALSE,14.95045,45798,R+15,Sessions +15,republican,"","",1,0,1604459172759
48289,Leon,4477,2913,9,10,Released as a precinct as first report of the night,87,5137,87%,87% reported,edison,2,some,4924,3875,530,72,2508,362,43,2020-11-16T15:48:36Z,74.71521,R+75,Sessions +75,republican,TX-G-H-17-2020-11-03,tx-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,solid-rep,17,District 17,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",306332,255527,12,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,305,328,93% reporting,93%,94,325000,edison,94%,94% reported,edison,republican,FALSE,2020-11-18T17:17:35Z,FALSE,14.95045,45798,R+15,Sessions +15,republican,"","",1,0,1604459172759
48293,Limestone,9004,6819,19,21,Released as a precinct as first report of the night,89,10125,89%,89% reported,edison,2,unknown,6531,6779,2084,141,5049,1675,95,2020-11-16T15:48:34Z,52.14349,R+52,Sessions +52,republican,TX-G-H-17-2020-11-03,tx-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,solid-rep,17,District 17,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",306332,255527,12,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,305,328,93% reporting,93%,94,325000,edison,94%,94% reported,edison,republican,FALSE,2020-11-18T17:17:35Z,FALSE,14.95045,45798,R+15,Sessions +15,republican,"","",1,0,1604459172759
48309,McLennan,95185,78259,85,92,Released as a precinct as first report of the night,93,102557,93%,93% reported,edison,2,unknown,70693,59535,32973,2677,48032,28370,1857,2020-11-16T15:48:34Z,27.90566,R+28,Sessions +28,republican,TX-G-H-17-2020-11-03,tx-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,solid-rep,17,District 17,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",306332,255527,12,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,305,328,93% reporting,93%,94,325000,edison,94%,94% reported,edison,republican,FALSE,2020-11-18T17:17:35Z,FALSE,14.95045,45798,R+15,Sessions +15,republican,"","",1,0,1604459172759
48331,Milam,10262,8699,11,12,Released as a precinct as first report of the night,91,11321,91%,91% reported,edison,2,unknown,7689,7766,2305,191,6590,1969,140,2020-11-16T15:48:36Z,53.21575,R+53,Sessions +53,republican,TX-G-H-17-2020-11-03,tx-house-general-district-017-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas-house-district-17.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-texas.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-texas.html,house,general,2020-11-03,FALSE,U.S. House District 17,U.S. House,H,solid-rep,17,District 17,TX,texas,Texas,Texas,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",306332,255527,12,unknown,Most polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,305,328,93% reporting,93%,94,325000,edison,94%,94% reported,edison,republican,FALSE,2020-11-18T17:17:35Z,FALSE,14.95045,45798,R+15,Sessions +15,republican,"","",1,0,1604459172759
