fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_grothmang,results_kingj,results_write_ins,results_absentee_grothmang,results_absentee_kingj,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
55021,Columbia,32832,0,40,40,Merged into voters' home precincts and released with cumulative results,100,32832,>98%,>98% reported,edison,10,unknown,8394,16971,15837,24,0,0,0,2020-11-16T19:13:51Z,3.45395,R+3,Grothman +3,republican,WI-G-H-6-2020-11-03,wi-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",403333,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,430,434,99% reporting,99%,99,403333,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:26Z,TRUE,18.50456,74635,R+19,Grothman +19,republican,"","",0,0,1604467040175
55027,Dodge,25884,0,33,33,Merged into voters' home precincts and released with cumulative results,100,25884,>98%,>98% reported,edison,10,unknown,10082,16175,9709,0,0,0,0,2020-11-16T19:17:42Z,24.98068,R+25,Grothman +25,republican,WI-G-H-6-2020-11-03,wi-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",403333,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,430,434,99% reporting,99%,99,403333,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:26Z,TRUE,18.50456,74635,R+19,Grothman +19,republican,"","",0,0,1604467040175
55039,Fond du Lac,56367,0,68,68,Merged into voters' home precincts and released with cumulative results,100,56367,>98%,>98% reported,edison,10,some,16866,36176,20191,0,0,0,0,2020-11-16T15:47:56Z,28.35879,R+28,Grothman +28,republican,WI-G-H-6-2020-11-03,wi-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",403333,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,430,434,99% reporting,99%,99,403333,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:26Z,TRUE,18.50456,74635,R+19,Grothman +19,republican,"","",0,0,1604467040175
55047,Green Lake,10542,0,16,16,Merged into voters' home precincts and released with cumulative results,100,10542,>98%,>98% reported,edison,10,unknown,1960,7313,3218,11,0,0,0,2020-11-16T15:47:56Z,38.84462,R+39,Grothman +39,republican,WI-G-H-6-2020-11-03,wi-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",403333,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,430,434,99% reporting,99%,99,403333,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:26Z,TRUE,18.50456,74635,R+19,Grothman +19,republican,"","",0,0,1604467040175
55071,Manitowoc,43851,0,43,43,Merged into voters' home precincts and released with cumulative results,100,43851,>98%,>98% reported,edison,10,unknown,11915,27663,16164,24,0,0,0,2020-11-16T19:31:01Z,26.22289,R+26,Grothman +26,republican,WI-G-H-6-2020-11-03,wi-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",403333,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,430,434,99% reporting,99%,99,403333,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:26Z,TRUE,18.50456,74635,R+19,Grothman +19,republican,"","",0,0,1604467040175
55077,Marquette,8907,0,19,19,Merged into voters' home precincts and released with cumulative results,100,8907,>98%,>98% reported,edison,10,unknown,1312,5692,3211,4,0,0,0,2020-11-16T15:47:57Z,27.8545,R+28,Grothman +28,republican,WI-G-H-6-2020-11-03,wi-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",403333,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,430,434,99% reporting,99%,99,403333,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:26Z,TRUE,18.50456,74635,R+19,Grothman +19,republican,"","",0,0,1604467040175
55079,Milwaukee,1314,0,1,1,Merged into voters' home precincts and released with cumulative results,100,1314,>98%,>98% reported,edison,10,unknown,182432,627,686,1,0,0,0,2020-11-16T23:16:10Z,4.49011,D+4,King +4,democrat,WI-G-H-6-2020-11-03,wi-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",403333,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,430,434,99% reporting,99%,99,403333,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:26Z,TRUE,18.50456,74635,R+19,Grothman +19,republican,"","",0,0,1604467040175
55089,Ozaukee,60572,0,47,51,Merged into voters' home precincts and released with cumulative results,100,60572,>98%,>98% reported,edison,10,unknown,30423,36259,24272,41,0,0,0,2020-11-16T15:47:59Z,19.78967,R+20,Grothman +20,republican,WI-G-H-6-2020-11-03,wi-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",403333,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,430,434,99% reporting,99%,99,403333,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:26Z,TRUE,18.50456,74635,R+19,Grothman +19,republican,"","",0,0,1604467040175
55117,Sheboygan,64940,0,54,54,None,100,64940,>98%,>98% reported,edison,10,unknown,15814,38901,25993,46,0,0,0,2020-11-16T15:47:58Z,19.87681,R+20,Grothman +20,republican,WI-G-H-6-2020-11-03,wi-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",403333,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,430,434,99% reporting,99%,99,403333,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:26Z,TRUE,18.50456,74635,R+19,Grothman +19,republican,"","",0,0,1604467040175
55137,Waushara,13375,0,26,26,Merged into voters' home precincts and released with cumulative results,100,13375,>98%,>98% reported,edison,10,unknown,2251,9033,4342,0,0,0,0,2020-11-16T15:47:58Z,35.0729,R+35,Grothman +35,republican,WI-G-H-6-2020-11-03,wi-house-general-district-006-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin-house-district-6.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-wisconsin.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-wisconsin.html,house,general,2020-11-03,FALSE,U.S. House District 6,U.S. House,H,solid-rep,6,District 6,WI,wisconsin,Wisconsin,Wis.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",403333,0,unknown,Polls close at 9 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T02:00:00.000Z,9 p.m.,430,434,99% reporting,99%,99,403333,edison,>98%,>98% reported,edison,republican,FALSE,2020-11-18T17:17:26Z,TRUE,18.50456,74635,R+19,Grothman +19,republican,"","",0,0,1604467040175
